cycle,chamber,district,party,candidate,canonical_candidate_id,person_id,incumbent,winner,candidate_cmo_total_oof,match_status,match_method,similarity,suggested_source_name,shor_u_id,shor_np_score,served_by_election,first_observed_service_year
1998,senate,30,D,Mitchell,AL-1998-senate-30-D-MITCHELL,ALPERSON-MITCHELL,0,1,35.9611506749297,fuzzy_review,none,90.0,"Mitchell, Wendell",,,,
1998,senate,31,D,Holley,AL-1998-senate-31-D-HOLLEY,ALPERSON-HOLLEY,0,0,-0.9097398505753548,fuzzy_review,none,90.0,"Holley, Jimmy",,,,
1998,senate,32,D,Jensen,AL-1998-senate-32-D-JENSEN,ALPERSON-JENSEN,0,0,-12.489490281559592,fuzzy_review,none,60.00000000000001,"Penn, Myron",,,,
1998,senate,35,D,Staten,AL-1998-senate-35-D-STATEN,ALPERSON-STATEN,0,0,-19.034950410372453,fuzzy_review,none,60.00000000000001,"Hurst, Steve",,,,
2002,house,1,D,"Starkey, Nelson",AL-2002-house-1-D-STARKEY-NELSON,ALPERSON-STARKEY-NELSON,0,1,33.19749124375298,matched,normalized_exact,100.0,"Starkey, Nelson Jr.",AL1996L101,-0.053,True,1996.0
2002,house,2,D,"Pettus, Mary",AL-2002-house-2-D-PETTUS-MARY,ALPERSON-PETTUS-MARY,0,0,1.153807993155349,fuzzy_review,none,57.14285714285714,"Moore, Mary",,,,
2002,house,3,D,"Black, Marcel",AL-2002-house-3-D-BLACK-MARCEL,ALPERSON-BLACK-MARCEL,0,1,22.783139884919144,matched,normalized_exact,100.0,"Black, Marcel",AL1996L028,-0.223,True,1996.0
2002,house,4,D,"Hansberry, Cathy",AL-2002-house-4-D-HANSBERRY-CATHY,ALPERSON-HANSBERRY-CATHY,0,0,16.891464464378178,fuzzy_review,none,53.84615384615385,"Tanner, Gary",,,,
2002,house,5,D,"Carter, Tommy",AL-2002-house-5-D-CARTER-TOMMY,ALPERSON-CARTER-TOMMY,0,1,27.226086071088385,matched,normalized_exact,100.0,"Carter, Tommy",AL1996L035,0.092,True,1996.0
2002,house,6,D,"Schmitz, Sue",AL-2002-house-6-D-SCHMITZ-SUE,ALPERSON-SCHMITZ-SUE,0,1,19.136156173837573,matched,winner_or_incumbent_unique_surname,90.0,Schmitz,AL1999L024,-0.187,True,1999.0
2002,house,7,D,"Letson, John (Jody)",AL-2002-house-7-D-LETSON-JOHN-JODY,ALPERSON-LETSON-JOHN-JODY,0,1,53.37115121475133,matched,election_year_roster_name,90.0,Letson,AL1999L003,-0.13,True,1999.0
2002,house,8,D,"Dukes, Bill J.",AL-2002-house-8-D-DUKES-BILL-J,ALPERSON-DUKES-BILL-J,0,1,52.72370981821364,matched,winner_or_incumbent_unique_surname,95.0,"Dukes, Bill",AL1996L041,0.059,True,1996.0
2002,house,9,D,"Grantland, Ronald",AL-2002-house-9-D-GRANTLAND-RONALD,ALPERSON-GRANTLAND-RONALD,0,1,30.715107831601497,matched,normalized_exact,100.0,"Grantland, Ronald",AL1999L105,-0.075,True,1999.0
2002,house,10,D,"Smith, Pam",AL-2002-house-10-D-SMITH-PAM,ALPERSON-SMITH-PAM,0,0,-7.193075930105113,fuzzy_review,none,90.0,Smith,,,,
2002,house,11,D,"Maze, Dennis E.",AL-2002-house-11-D-MAZE-DENNIS-E,ALPERSON-MAZE-DENNIS-E,0,0,9.769690824547816,fuzzy_review,none,51.42857142857142,Drake,,,,
2002,house,12,D,"Morrison, Neal",AL-2002-house-12-D-MORRISON-NEAL,ALPERSON-MORRISON-NEAL,0,1,49.76180790554196,matched,winner_or_incumbent_unique_surname,90.0,Morrison,AL1996L020,0.254,True,1996.0
2002,house,13,D,"Sherer, Tommy",AL-2002-house-13-D-SHERER-TOMMY,ALPERSON-SHERER-TOMMY,0,1,26.20138075433138,matched,winner_or_incumbent_unique_surname,80.0,"Sherer, Thomas",AL2003L082,-0.043,False,2003.0
2002,house,14,D,"Guin, Ken",AL-2002-house-14-D-GUIN-KEN,ALPERSON-GUIN-KEN,0,1,24.17779898969106,matched,normalized_exact,100.0,"Guin, James Jr.",AL1996L007,-0.071,True,1996.0
2002,house,16,D,"Thigpen, Williams E.",AL-2002-house-16-D-THIGPEN-WILLIAMS-E,ALPERSON-THIGPEN-WILLIAMS-E,0,1,15.727785853463986,matched,winner_or_incumbent_unique_surname,90.9090909090909,"Thigpen, William Sr.",AL1999L079,0.048,True,1999.0
2002,house,17,D,"Millican, Mike",AL-2002-house-17-D-MILLICAN-MIKE,ALPERSON-MILLICAN-MIKE,0,1,11.632259736195758,matched,winner_or_incumbent_unique_surname,82.75862068965517,"Millican, Michael",AL1996L074,0.125,True,1996.0
2002,house,20,D,"Miller, Jeff",AL-2002-house-20-D-MILLER-JEFF,ALPERSON-MILLER-JEFF,0,0,7.248538588754119,fuzzy_review,none,63.33333333333332,"Enfinger, Jeff",,,,
2002,house,21,D,"Hinshaw, Randy",AL-2002-house-21-D-HINSHAW-RANDY,ALPERSON-HINSHAW-RANDY,0,1,8.91989434103553,matched,normalized_exact,100.0,"Hinshaw, Randy",AL1996L056,-0.113,True,1996.0
2002,house,22,D,"Hall, Albert",AL-2002-house-22-D-HALL-ALBERT,ALPERSON-HALL-ALBERT,0,1,35.59715266994007,matched,normalized_exact,100.0,"Hall, Albert",AL1996L064,-0.066,True,1996.0
2002,house,24,D,"Hendrix, J. Luther",AL-2002-house-24-D-HENDRIX-J-LUTHER,ALPERSON-HENDRIX-J-LUTHER,0,0,-17.179959060283206,fuzzy_review,none,60.00000000000001,Ghee,,,,
2002,house,25,D,"Miles, Pam",AL-2002-house-25-D-MILES-PAM,ALPERSON-MILES-PAM,0,0,5.174924161843467,fuzzy_review,none,57.14285714285714,"Fields, James Jr.",,,,
2002,house,26,D,"McDaniel, Frank",AL-2002-house-26-D-MCDANIEL-FRANK,ALPERSON-MCDANIEL-FRANK,0,1,30.420932895830653,matched,winner_or_incumbent_unique_surname,84.44444444444444,"McDaniel, W.",AL1996L049,0.341,True,1996.0
2002,house,28,D,"Ford, Craig",AL-2002-house-28-D-FORD-CRAIG,ALPERSON-FORD-CRAIG,0,1,18.45963196526429,matched,normalized_exact,100.0,"Ford, Craig",AL2001L039,-0.152,True,2001.0
2002,house,29,D,"Page, Jack",AL-2002-house-29-D-PAGE-JACK,ALPERSON-PAGE-JACK,0,1,22.15740575161478,matched,normalized_exact,100.0,"Page, John III",AL1996L030,-0.308,True,1996.0
2002,house,31,D,"Venable, Jack B.",AL-2002-house-31-D-VENABLE-JACK-B,ALPERSON-VENABLE-JACK-B,0,1,49.52294606101052,matched,winner_or_incumbent_unique_surname,95.0,"Venable, Jack",AL1996L053,0.126,True,1996.0
2002,house,32,D,"Boyd, Barbara Bigsby",AL-2002-house-32-D-BOYD-BARBARA-BIGSBY,ALPERSON-BOYD-BARBARA-BIGSBY,0,1,18.353392844036243,matched,winner_or_incumbent_unique_surname,85.5,"Boyd, Barbara",AL1996L072,-0.504,True,1996.0
2002,house,33,D,"Curtis, Clara",AL-2002-house-33-D-CURTIS-CLARA,ALPERSON-CURTIS-CLARA,0,0,-18.5058798647134,fuzzy_review,none,67.05882352941177,"Curtis, Mike",,,,
2002,house,35,D,"Hurst, Steve",AL-2002-house-35-D-HURST-STEVE,ALPERSON-HURST-STEVE,0,1,25.76859495438873,matched,normalized_exact,100.0,"Hurst, Steve",AL1999L048,0.093,True,1999.0
2002,house,36,D,"Chandler, Wayne",AL-2002-house-36-D-CHANDLER-WAYNE,ALPERSON-CHANDLER-WAYNE,0,0,-16.391625763941768,fuzzy_review,none,59.25925925925925,"Hayden, Andrew",,,,
2002,house,37,D,"Laird, Richard",AL-2002-house-37-D-LAIRD-RICHARD,ALPERSON-LAIRD-RICHARD,0,1,61.916315994098106,matched,normalized_exact,100.0,"Laird, Richard Sr.",AL1996L091,0.414,True,1996.0
2002,house,38,D,"Patterson, Arthur Frank, Jr.",AL-2002-house-38-D-PATTERSON-ARTHUR-FRANK-JR,ALPERSON-PATTERSON-ARTHUR-FRANK-JR,0,0,-6.737920550366585,fuzzy_review,none,65.45454545454547,Letson,,,,
2002,house,40,D,"Fite, Lea",AL-2002-house-40-D-FITE-LEA,ALPERSON-FITE-LEA,0,1,18.794748807252653,matched,normalized_exact,100.0,"Fite, Lea",AL2003L075,0.105,False,2003.0
2002,house,41,D,"McKinzie, Mack",AL-2002-house-41-D-MCKINZIE-MACK,ALPERSON-MCKINZIE-MACK,0,0,-18.25966120398555,fuzzy_review,none,56.00000000000001,"Black, Marcel",,,,
2002,house,42,D,"Martin, James M. ""Jimmy""",AL-2002-house-42-D-MARTIN-JAMES-M-JIMMY,ALPERSON-MARTIN-JAMES-M-JIMMY,0,1,41.332733652927104,matched,winner_or_incumbent_unique_surname,85.5,"Martin, James",AL1999L007,0.007,True,1999.0
2002,house,50,D,"Quarles, Marilyn",AL-2002-house-50-D-QUARLES-MARILYN,ALPERSON-QUARLES-MARILYN,0,0,-11.06859731378259,fuzzy_review,none,60.00000000000001,Bailey,,,,
2002,house,59,D,"Moore, Mary",AL-2002-house-59-D-MOORE-MARY,ALPERSON-MOORE-MARY,0,1,5.981077910284711,matched,normalized_exact,100.0,"Moore, Mary",AL2003L022,-0.802,False,2003.0
2002,house,62,D,"Merrill, John H.",AL-2002-house-62-D-MERRILL-JOHN-H,ALPERSON-MERRILL-JOHN-H,0,0,6.608300959050764,fuzzy_review,none,85.5,"Page, John III",,,,
2002,house,63,D,"VanderMeer, Jeanette",AL-2002-house-63-D-VANDERMEER-JEANETTE,ALPERSON-VANDERMEER-JEANETTE,0,0,-8.863395697855804,fuzzy_review,none,67.5,Reed,,,,
2002,house,64,D,"Warren, J.E. ""Jimmy""",AL-2002-house-64-D-WARREN-J-E-JIMMY,ALPERSON-WARREN-J-E-JIMMY,0,0,15.6774423402846,fuzzy_review,none,85.5,"Johnson, E",,,,
2002,house,65,D,"Dolbare, Jeff",AL-2002-house-65-D-DOLBARE-JEFF,ALPERSON-DOLBARE-JEFF,0,1,21.40953194788149,matched,normalized_exact,100.0,"Dolbare, Jeff",AL1996L092,-0.017,True,1996.0
2002,house,67,D,"Salaam, Y.",AL-2002-house-67-D-SALAAM-Y,ALPERSON-SALAAM-Y,0,1,-17.115541620890244,matched,winner_or_incumbent_unique_surname,90.0,"Salaam, Yusuf",AL2003L087,-0.421,False,2003.0
