person_id,election_cycle,display_candidate,chamber,district,best_cmo,public_education,school_choice,healthcare_medicaid,labor_unions,guns,abortion,taxes_budget,business_economic_development,ethics_government,lgbtq_cultural,gambling,infrastructure_energy,health_social_services,criminal_justice,environment,immigration,rural_hunting,public_employee_benefits,assisted_dying,healthcare_conscience,public_private_partnerships,occupational_licensing,anti_esg_governance,racial_civil_rights,minimum_wage_worker_pay
ALPERSON-TAMMY-L-IRONS,2010,Tammy Irons,senate,1,27.9658213674507,E: Supports; L: nan,L: Voted Nay,L: Supports access,E: Aligned; L: Voted Nay,?,?,L: nan; L: Voted Nay; E: Sponsored,E: Sponsored,L: Voted Yea,?,L: Voted Yea,?,L: Voted Yea; E: Sponsored,E: Sponsored,E: Sponsored,L: Voted Nay; E: Sponsored,E: Sponsored,L: Voted Nay; E: Sponsored,?,?,?,?,?,?,?
ALPERSON-VIVIAN-DAVIS-FIGURES,2010,Vivian Davis Figures,senate,33,16.744298484529196,E: Sponsored; L: Offered policy amendment,L: Voted Nay; E: Sponsored,L: nan; L: Offered policy amendment,L: Voted Nay,E: Gun-regulation; L: Voted Nay; E: Sponsored,L: nan; L: Voted Nay; L: Offered policy amendment,L: Voted Nay; L: Offered policy amendment,?,L: Voted Yea; L: Voted Nay; E: Sponsored; L: Offered policy amendment,L: Voted Nay; L: Offered policy amendment,L: Voted Nay; L: Voted Yea,?,L: Voted Nay; L: Voted Yea; E: Sponsored,E: Sponsored; L: Offered policy amendment,?,L: Voted Nay,?,L: Voted Nay,?,?,?,L: Offered policy amendment,?,E: Sponsored; L: Offered policy amendment,L: nan
ALPERSON-ANDREW-ANDY-BETTERTON,2014,"Andrew ""Andy"" Betterton",house,2,27.492379331342505,E: Supports,E: Opposes private-school diversion,E: Supports expansion,?,?,?,?,E: Local development,?,?,?,?,?,?,?,?,?,E: Supports,?,?,?,?,?,?,?
ALPERSON-ANTHONY-DANIELS,2014,Anthony Daniels,house,53,55.655956689780965,L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Supports expansion; L: Voted Nay,B: Aligned; L: Voted Nay,L: Gun-regulation; L: Voted Nay,L: Abortion-rights; L: Voted Nay; L: Offered policy amendment,L: Voted Nay,E: Business-friendly,L: Voted Nay; L: Voted Yea,?,?,?,L: Voted Nay,L: Voted Nay,L: Voted Nay,L: Voted Nay,?,?,?,?,L: Voted Nay,L: Voted Nay,L: Voted Nay,?,?
ALPERSON-BARBARA-A-DRUMMOND,2014,Barbara A. Drummond,house,103,29.89025236951064,L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Supports expansion; L: Voted Nay,E: Aligned; L: Voted Nay,L: Gun-regulation; L: Voted Nay,L: Voted Nay,L: Voted Nay; L: Offered policy amendment,L: Voted Yea,L: Voted Yea,?,?,?,L: Voted Nay; L: Offered policy amendment,L: Voted Nay; L: Voted Yea,L: Voted Nay,L: Voted Nay,L: Supports hunter user fee,?,?,?,L: Voted Nay,L: Voted Nay,L: Voted Nay,L: Offered policy amendment,?
ALPERSON-CRAIG-FORD,2014,Craig Ford,house,28,23.68662617909687,L: Supports; L: Voted Nay; E: Sponsored,L: Opposes; E: Voted Nay; L: Voted Nay,L: Supports expansion; L: Voted Nay; E: Sponsored,L: Voted Nay,L: Gun-rights; L: Voted Nay; E: Voted Yea; E: Sponsored,L: Voted Yea; L: Voted Nay,E: Voted Nay; E: Sponsored,E: Voted Nay; E: Voted Yea; L: Voted Nay; E: Sponsored,E: Voted Yea; L: Voted Yea; E: Sponsored,?,E: Voted Yea; E: Sponsored,?,E: Voted Nay; E: Voted Yea; E: Sponsored,L: Voted Yea; E: Sponsored,E: Voted Nay; E: Sponsored,E: Voted Nay; E: Sponsored,L: Supports hunter user fee; E: Sponsored,E: Sponsored,?,?,L: Voted Yea; E: Sponsored,L: Voted Nay,?,?,?
ALPERSON-BEDDINGFIELD,2014,David Beddingfield,house,24,23.220259733713803,E: School-governance record,?,?,E: Aligned,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ALPERSON-HENRY-A-WHITE,2014,Henry A. White,house,5,29.729306552658905,E: Supports,?,?,?,?,?,E: Sponsored,E: Local development; E: Sponsored,?,?,?,?,E: Supports; E: Sponsored,E: Sponsored,E: Sponsored,E: Sponsored,?,E: Sponsored,?,?,?,?,?,?,?
ALPERSON-JEFF-MCLAUGHLIN,2014,Jeff McLaughlin,house,27,37.692109000464725,E: Supports,?,?,E: Aligned,E: Gun-rights,?,E: Sponsored,E: Sponsored,E: Reform; E: Sponsored,?,?,E: Supports,E: Sponsored,E: Sponsored,E: Sponsored,?,E: Sponsored,?,?,?,?,?,?,?,?
ALPERSON-JOHN-JODY-LETSON,2014,John (Jody) Letson,house,7,37.152067339362816,E: Supports; E: Sponsored,?,?,E: Aligned,?,?,E: Sponsored,E: Local development; E: Sponsored,?,?,?,?,E: Sponsored,E: Sponsored,E: Sponsored,E: Sponsored,?,E: Sponsored,?,?,?,?,?,?,?
ALPERSON-LARRY-MEANS,2014,Larry Means,senate,10,29.13324637426904,E: Supports,?,E: Sponsored,?,E: Gun-rights,E: Sponsored,E: Supports targeted incentives,E: Industrial jobs; E: Sponsored,E: nan; E: Sponsored,?,E: Supports voter referendum,?,E: Sponsored,E: Supports stand-your-ground; E: Sponsored,?,?,E: Sponsored,E: Sponsored,?,E: Sponsored,?,?,?,E: Sponsored,?
ALPERSON-REX-CHEATHAM,2014,Rex Cheatham,house,8,16.743981777741908,E: Education professional,?,?,E: Strongly aligned; E: Supports teacher seniority protection,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ALPERSON-RICHARD-LINDSEY,2014,Richard Lindsey,house,39,40.756299374806446,E: nan; L: Voted Nay; E: Sponsored,E: Voted Nay; L: Voted Nay,L: Voted Nay,E: Aligned; L: Voted Nay,L: Voted Nay; E: Voted Yea; E: Sponsored,L: Voted Yea; L: Voted Nay,E: nan; L: Voted Yea; E: Voted Nay; E: Sponsored,E: Voted Nay; E: Voted Yea; L: Voted Yea; E: Sponsored,E: Voted Yea; L: Voted Yea; E: Sponsored,?,E: Voted Yea,?,L: Voted Yea; E: Voted Nay; E: Voted Yea; E: Sponsored,L: Voted Yea; E: Sponsored,E: Voted Nay,E: Voted Nay,L: Supports hunter user fee; E: Sponsored,E: Supports; E: Sponsored,?,?,L: Voted Yea,L: Voted Nay,?,L: Offered policy amendment,?
ALPERSON-ALLI-SUMMERFORD,2018,Alli Summerford,house,48,24.098850085602905,E: Supports,?,E: Universal access,?,?,?,?,?,?,?,?,E: Supports public investment,?,?,?,?,?,?,?,?,?,?,?,?,?
ALPERSON-DAVID-COACH-BURKETTE,2018,"David ""Coach"" Burkette",senate,26,23.543047828356347,E: Supports reform/investment,?,?,E: Aligned,?,L: Voted Nay,?,?,?,?,L: Voted Nay,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ALPERSON-FELICIA-STEWART,2018,Felicia Stewart,house,46,22.34478427253325,E: Supports,?,E: Supports access,?,?,?,?,E: Jobs and wages,E: Reform,E: Progressive,?,?,?,E: Reform,E: Protective,?,?,?,?,?,?,?,?,?,?
ALPERSON-JOHNNY-MACK-MORROW,2018,Johnny Mack Morrow,senate,6,31.14717422709608,E: Supports; E: Voted Nay,E: Opposes charter-school diversion; E: Voted Nay,E: Voted Nay,E: Voted Nay,E: Gun-rights; E: Voted Nay; E: Voted Yea; E: Sponsored,E: Anti-abortion; E: Voted Nay,E: Voted Nay; E: Sponsored,E: Voted Nay; E: Sponsored,E: Voted Yea; E: Sponsored,?,E: Supports lottery; E: Voted Yea,E: Supports public investment; E: Sponsored,E: Voted Yea; E: Sponsored,E: Supports reform/investment; E: Sponsored,E: Voted Nay; E: Sponsored,E: Voted Nay; E: Sponsored,E: Supports hunter user fee; E: Sponsored,E: Sponsored,?,?,E: Voted Nay,E: Voted Nay,?,?,?
ALPERSON-LINDA-MEIGS,2018,Linda Meigs,house,20,15.120380750211098,E: Education lottery; B: Supports public investment,?,E: Supports expansion,?,?,?,B: Opposes grocery sales tax,B: Workforce development,?,?,E: Supports lottery,?,?,?,B: Supports clean energy,?,?,?,?,?,?,?,?,?,B: Supports living wage
ALPERSON-KIM-CAUDLE-LEWIS,2022,Kim Caudle Lewis,senate,2,15.04537943600424,E: Supports; E: Supports public investment,?,E: Supports access,?,?,E: Abortion-rights,?,E: Business-friendly,?,?,E: Education lottery,E: Supports public investment,?,?,?,?,?,?,?,?,?,?,?,?,?
