person_id,candidate,election_cycle,legiscan_people_id,bill_id,bill_number,session_year,session_name,history_order,action_date,action,chamber,importance,matched_name,activity_timing,bill_url,bill_title,bill_description,subject_names
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,511335,SB240,2013,Regular Session 2013,6,2013-04-25,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB240/2013,"Sales and use tax, durable medical equipment, prosthetics and orthotics, and certain medical supplies, exempt when covered and paid by third party","Sales and use tax, durable medical equipment, prosthetics and orthotics, and certain medical supplies, exempt when covered and paid by third party",Health
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,564051,SB20,2014,Regular Session 2014,6,2014-01-16,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB20/2014,"Environment, Alabama Drought Assessment and Planning Team established, power and duties, the Monitoring and Impacts Group Subcommittee established, membership, duties, responsibilities","Environment, Alabama Drought Assessment and Planning Team established, power and duties, the Monitoring and Impacts Group Subcommittee established, membership, duties, responsibilities",Environment
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,679541,SR2,2015,Organizational Session 2015,6,2015-01-14,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SR2/2015/O,"Senate, rules adopted","Senate, rules adopted","Resolutions, Legislative"
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,764900,HB349,2015,Regular Session 2015,8,2015-05-19,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB349/2015,"Houston Co., sheriff, service of process, fee authorized, sheriff's law enforcement fund established, distribution of funds provided for","Houston Co., sheriff, service of process, fee authorized, sheriff's law enforcement fund established, distribution of funds provided for",Houston County
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,782773,SB508,2015,Regular Session 2015,4,2015-06-03,Beasley first Substitute Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB508/2015,"Russell Co. volunteer fire departments, fire protection service fees authorized for certain property outside corp. limits of City of Phenix City, exemptions, collection, purposes, uses, distribution of funds, provided for, referendum","Russell Co. volunteer fire departments, fire protection service fees authorized for certain property outside corp. limits of City of Phenix City, exemptions, collection, purposes, uses, distribution of funds, provided for, referendum",Russell County
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,745343,HB135,2015,Regular Session 2015,28,2015-06-04,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB135/2015,"General fund budget, appropriations for ordinary expenses of executive, legislative, and judicial departments","General fund budget, appropriations for ordinary expenses of executive, legislative, and judicial departments",Appropriations
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,854811,SB287,2016,Regular Session 2016,10,2016-04-05,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB287/2016,"Prisons, Alabama Prison Transformation Initiative Act, construction of new facilities provided for, Joint Legislative Prison Committee, reporting requirements increased, Alabama Corrections Institution Finance Authority, bonds authorized for prison facilities, construction agreements, renovating and demolishing existing prison facilities, proceeds on existing one mill tax, distribution further provided for, Secs. 14-2-1, 14-2-12, 14-2-13.1, 14-2-14, 14-2-16, 14-2-19, 14-2-21, 14-2-28, 14-2-34, 38-4-12, 40-8-3 am'd.","Prisons, Alabama Prison Transformation Initiative Act, construction of new facilities provided for, Joint Legislative Prison Committee, reporting requirements increased, Alabama Corrections Institution Finance Authority, bonds authorized for prison facilities, construction agreements, renovating and demolishing existing prison facilities, proceeds on existing one mill tax, distribution further provided for, Secs. 14-2-1, 14-2-12, 14-2-13.1, 14-2-14, 14-2-16, 14-2-19, 14-2-21, 14-2-28, 14-2-34, 38-4-12, 40-8-3 am'd.",Prisons and Prisoners
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,857701,SB310,2016,Regular Session 2016,6,2016-04-12,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB310/2016,"State Board of Pharmacy, powers and duties of board, rulemaking authority clarified with regard to anticompetitive rules that prioritize patient safety and wellness, Sec. 34-24-92.1 added","State Board of Pharmacy, powers and duties of board, rulemaking authority clarified with regard to anticompetitive rules that prioritize patient safety and wellness, Sec. 34-24-92.1 added","Pharmacy, Alabama State Board of"
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,857701,SB310,2016,Regular Session 2016,10,2016-04-12,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB310/2016,"State Board of Pharmacy, powers and duties of board, rulemaking authority clarified with regard to anticompetitive rules that prioritize patient safety and wellness, Sec. 34-24-92.1 added","State Board of Pharmacy, powers and duties of board, rulemaking authority clarified with regard to anticompetitive rules that prioritize patient safety and wellness, Sec. 34-24-92.1 added","Pharmacy, Alabama State Board of"
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,858693,SB320,2016,Regular Session 2016,6,2016-04-27,Beasley first Substitute Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB320/2016,"Macon Co., bingo, may be played on electronic machines authorized by the National Indian Gaming Commission","Macon Co., bingo, may be played on electronic machines authorized by the National Indian Gaming Commission",Macon County
