sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value
all,candidate_statewide_overperformance,mediator_adjusted_incumbency_finance,327,264,incumbent_i,estimated,3.376914085132616,2.8941484247061076,-2.2956168272913553,9.049444997556588,0.24434499365321416
all,candidate_statewide_overperformance,mediator_adjusted_incumbency_finance,327,264,democratic_x_incumbency,estimated,-0.3940523140368988,3.9466176316717916,-8.12942287211361,7.341318244039813,0.9205429892041099
all,candidate_statewide_overperformance,party_directed_convergence,407,328,party_directed_convergence,estimated,5.261873181848418,5.771224774020012,-6.0497273752308045,16.57347373892764,0.3625757207727657
all,candidate_statewide_overperformance,party_directed_convergence,407,328,democratic_x_convergence,estimated,10.25181543071734,6.275016242639219,-2.0472164048555292,22.55084726629021,0.10327347765611902
D,candidate_statewide_overperformance,party_total_context,209,179,absolute_conservatism_z,estimated,12.920840211324009,2.7969585949398885,7.438801365241828,18.40287905740619,7.352339163434199e-06
D,candidate_statewide_overperformance,party_mediator_adjusted,158,137,absolute_conservatism_z,estimated,12.170792519030362,2.8506343084873875,6.583549274395083,17.758035763665642,3.652059414337038e-05
D,candidate_statewide_overperformance,party_winners_only,175,160,absolute_conservatism_z,estimated,11.780117692676392,2.8976846469081585,6.100655784736401,17.459579600616383,7.523391097190269e-05
D,candidate_statewide_overperformance,party_prior_service_only,177,152,absolute_conservatism_z,estimated,13.596060535557783,2.835692234413186,8.038103756107937,19.15401731500763,3.870180984766967e-06
D,winsorized_outcome,party_winsorized:candidate_statewide_overperformance,209,179,absolute_conservatism_z,estimated,12.787098077309267,2.6402737077613603,7.612161610097001,17.962034544521533,2.7656751549219127e-06
D:omit_1998,candidate_statewide_overperformance,party_leave_cycle_out,151,122,absolute_conservatism_z,estimated,15.017314093300914,3.271887834043321,8.604413938576005,21.430214248025823,1.0928381643101585e-05
D:omit_2002,candidate_statewide_overperformance,party_leave_cycle_out,159,129,absolute_conservatism_z,estimated,12.054030904762175,3.0800860425317325,6.01706226139998,18.090999548124373,0.00014696413030266183
D:omit_2006,candidate_statewide_overperformance,party_leave_cycle_out,174,159,absolute_conservatism_z,estimated,10.967830932770907,3.247904999358727,4.601937134027802,17.33372473151401,0.0009229438154999735
D:omit_2010,candidate_statewide_overperformance,party_leave_cycle_out,172,166,absolute_conservatism_z,estimated,13.635689450995104,3.12881308577539,7.5032158028753395,19.76816309911487,2.2999116209845652e-05
D:omit_2014,candidate_statewide_overperformance,party_leave_cycle_out,185,168,absolute_conservatism_z,estimated,12.540167890879406,2.843839893243278,6.966241700122581,18.11409408163623,1.8489796375984142e-05
D:omit_2018,candidate_statewide_overperformance,party_leave_cycle_out,204,177,absolute_conservatism_z,estimated,13.284109074922,2.8139589517704886,7.768749529451843,18.799468620392158,4.776725415393726e-06
D:2008_2014,candidate_statewide_overperformance,party_era_context,61,50,absolute_conservatism_z,estimated,8.651072714163753,5.168143370659679,-1.4784882923292173,18.780633720656724,0.10051842738562891
D:post_2016,candidate_statewide_overperformance,party_era_context,5,5,absolute_conservatism_z,underpowered,,,,,
D:pre_2008,candidate_statewide_overperformance,party_era_context,143,142,absolute_conservatism_z,estimated,13.979608400965546,3.976736537983099,6.185204786518672,21.77401201541242,0.0005909751411655804
R,candidate_statewide_overperformance,party_total_context,198,154,absolute_conservatism_z,estimated,-9.14314518929982,5.96992045304573,-20.84418927726945,2.5578988986698104,0.1277021493940162
R,candidate_statewide_overperformance,party_mediator_adjusted,169,131,absolute_conservatism_z,estimated,-2.59991889798045,5.488313885752106,-13.357014114054577,8.157176318093677,0.6364948545413809
R,candidate_statewide_overperformance,party_winners_only,185,145,absolute_conservatism_z,estimated,-11.66138133641921,5.756894568553559,-22.944894690784185,-0.37786798205423366,0.044649103282921765
R,candidate_statewide_overperformance,party_prior_service_only,136,110,absolute_conservatism_z,estimated,-6.5608002002002905,7.13684714290402,-20.549020600292167,7.427420199891587,0.3599761418981
R,winsorized_outcome,party_winsorized:candidate_statewide_overperformance,198,154,absolute_conservatism_z,estimated,-7.990537684905001,5.775844242263428,-19.31119239974132,3.3301170299313183,0.16854503079999403
R:omit_1998,candidate_statewide_overperformance,party_leave_cycle_out,166,123,absolute_conservatism_z,estimated,-17.900407913059595,6.882980027635901,-31.39104876722596,-4.4097670588932285,0.010453740473139536
R:omit_2002,candidate_statewide_overperformance,party_leave_cycle_out,173,129,absolute_conservatism_z,estimated,-4.059929256799699,6.052409774947278,-15.922652415696362,7.8027939020969646,0.5035594131620045
R:omit_2006,candidate_statewide_overperformance,party_leave_cycle_out,175,143,absolute_conservatism_z,estimated,-9.072227915707131,6.172157145538242,-21.169655920962086,3.0252000895478233,0.14381093155324032
R:omit_2010,candidate_statewide_overperformance,party_leave_cycle_out,156,133,absolute_conservatism_z,estimated,-12.978966960628185,6.645414007209506,-26.003978414758816,0.046044493502446215,0.052926802629759954
R:omit_2014,candidate_statewide_overperformance,party_leave_cycle_out,157,137,absolute_conservatism_z,estimated,-3.080243504257215,6.202023489267431,-15.23620954322138,9.07572253470695,0.6202367493155867
R:omit_2018,candidate_statewide_overperformance,party_leave_cycle_out,163,137,absolute_conservatism_z,estimated,-9.235674643282032,6.79375517782803,-22.551434791824967,4.0800855052609055,0.17625828876732907
R:2008_2014,candidate_statewide_overperformance,party_era_context,83,67,absolute_conservatism_z,estimated,-9.595988196718856,11.068174979576368,-31.289611156688537,12.097634763250824,0.38908910325179435
R:post_2016,candidate_statewide_overperformance,party_era_context,35,35,absolute_conservatism_z,estimated,-7.934988234010548,8.81344513654197,-25.20934070163281,9.339364233611713,0.3742790182457899
R:pre_2008,candidate_statewide_overperformance,party_era_context,80,79,absolute_conservatism_z,estimated,-0.8246543427933974,9.026872048188416,-18.517323557242694,16.868014871655898,0.9274443357497197
all,candidate_federal_overperformance,total_context,360,313,absolute_conservatism_z,estimated,0.03373551047551082,7.849193735441592,-15.350684210990009,15.41815523194103,0.996573482407417
all,candidate_federal_overperformance,total_context,360,313,democratic_x_absolute,estimated,14.057019023654327,9.705853012063068,-4.966452879989287,33.080490927297944,0.14853642427804714
all,candidate_federal_overperformance,common_incumbency,360,313,absolute_conservatism_z,estimated,0.9878989443201149,7.931790646938464,-14.558410723679275,16.534208612319503,0.900960577331724
all,candidate_federal_overperformance,common_incumbency,360,313,democratic_x_absolute,estimated,13.124335235574058,9.759610117328316,-6.004500594389441,32.25317106553756,0.17967944329229038
all,candidate_federal_overperformance,common_incumbency,360,313,incumbent_i,estimated,5.720189132738436,3.9587526567019897,-2.0389660743974636,13.479344339874334,0.14947624690687075
all,candidate_federal_overperformance,party_specific_incumbency,360,313,absolute_conservatism_z,estimated,0.03729414304401146,7.970361420564717,-15.584614241262834,15.659202527350857,0.9962696198029761
all,candidate_federal_overperformance,party_specific_incumbency,360,313,democratic_x_absolute,estimated,13.44714869473044,9.75529628855487,-5.673232030837106,32.56752942029799,0.1690532446261787
all,candidate_federal_overperformance,party_specific_incumbency,360,313,incumbent_i,estimated,13.773695199703727,5.049440230236451,3.876792348440283,23.670598050967172,0.006737605450010202
all,candidate_federal_overperformance,party_specific_incumbency,360,313,democratic_x_incumbency,estimated,-17.097000377877624,6.146825669830659,-29.144778690745717,-5.049222065009532,0.005741125131163458
all,candidate_federal_overperformance,mediator_adjusted_incumbency_finance,284,251,absolute_conservatism_z,estimated,7.1486962898895285,7.2620945719857595,-7.08500907120256,21.382401650981617,0.3258780067762379
all,candidate_federal_overperformance,mediator_adjusted_incumbency_finance,284,251,democratic_x_absolute,estimated,9.262751338784456,9.713743419008331,-9.776185762471874,28.301688440040785,0.34122153489877194
all,candidate_federal_overperformance,mediator_adjusted_incumbency_finance,284,251,incumbent_i,estimated,10.813042699877451,5.714343505096499,-0.3870705701116872,22.013155969866588,0.059611319901192415
all,candidate_federal_overperformance,mediator_adjusted_incumbency_finance,284,251,democratic_x_incumbency,estimated,-16.2248704612721,7.016904787357477,-29.978003844492754,-2.4717370780514454,0.0215766794111802
all,candidate_federal_overperformance,party_directed_convergence,360,313,party_directed_convergence,estimated,-0.03373551047484735,7.849193735441554,-15.418155231940293,15.3506842109906,0.9965734824074843
all,candidate_federal_overperformance,party_directed_convergence,360,313,democratic_x_convergence,estimated,14.124490044604613,9.209466461283496,-3.926064219511037,32.17504430872026,0.12611867841281255
D,candidate_federal_overperformance,party_total_context,187,171,absolute_conservatism_z,estimated,18.767755204431396,5.244623777322518,8.48829260087926,29.04721780798353,0.0004505190515083349
D,candidate_federal_overperformance,party_mediator_adjusted,139,131,absolute_conservatism_z,estimated,21.44997008201937,5.954341907030439,9.77945994423971,33.12048021979903,0.00044750231884067816
D,candidate_federal_overperformance,party_winners_only,159,148,absolute_conservatism_z,estimated,17.42311913139128,5.688360299370325,6.273932944625445,28.57230531815712,0.0026073646318007493
D,candidate_federal_overperformance,party_prior_service_only,157,145,absolute_conservatism_z,estimated,17.975205388230986,5.645995716301885,6.909053784279292,29.041356992182678,0.0017821278485817332
D,winsorized_outcome,party_winsorized:candidate_federal_overperformance,187,171,absolute_conservatism_z,estimated,17.36411830793591,4.627914227643713,8.293406421754232,26.434830194117588,0.00024038146714879292
D:omit_1998,candidate_federal_overperformance,party_leave_cycle_out,129,114,absolute_conservatism_z,estimated,21.981151666745525,6.850435486096125,8.55429811399712,35.40800521949393,0.0017353306553285082
D:omit_2002,candidate_federal_overperformance,party_leave_cycle_out,137,121,absolute_conservatism_z,estimated,17.103165969793448,6.021141062624046,5.301729487050318,28.90460245253658,0.005292798726753166
D:omit_2006,candidate_federal_overperformance,party_leave_cycle_out,164,155,absolute_conservatism_z,estimated,13.223756279376314,5.296082615320452,2.843434353348229,23.6040782054044,0.01358073722666698
D:omit_2010,candidate_federal_overperformance,party_leave_cycle_out,150,148,absolute_conservatism_z,estimated,21.444543729529187,6.069828074358431,9.547680703786662,33.34140675527171,0.0005494782253844924
D:omit_2014,candidate_federal_overperformance,party_leave_cycle_out,173,163,absolute_conservatism_z,estimated,20.650626575717556,5.095581306170198,10.663287215623969,30.637965935811145,7.84228102418223e-05
D:omit_2018,candidate_federal_overperformance,party_leave_cycle_out,182,168,absolute_conservatism_z,estimated,18.62291814614023,5.292470515611723,8.249675935541253,28.996160356739203,0.0005587370996644306
D:2008_2014,candidate_federal_overperformance,party_era_context,51,45,absolute_conservatism_z,estimated,-2.504322206127041,10.240510998498205,-22.575723763183525,17.56707935092944,0.8079413557729789
D:post_2016,candidate_federal_overperformance,party_era_context,5,5,absolute_conservatism_z,underpowered,,,,,
D:pre_2008,candidate_federal_overperformance,party_era_context,131,130,absolute_conservatism_z,estimated,22.166762640759377,6.745914838512199,8.944769557275466,35.38875572424329,0.0013092099170544538
R,candidate_federal_overperformance,party_total_context,173,146,absolute_conservatism_z,estimated,-5.30963724914675,7.423985070661711,-19.860647987643702,9.241373489350204,0.4756352111629655
R,candidate_federal_overperformance,party_mediator_adjusted,145,123,absolute_conservatism_z,estimated,1.7665523505982903,7.226671707487547,-12.397724196077302,15.930828897273884,0.8072937774705572
R,candidate_federal_overperformance,party_winners_only,160,136,absolute_conservatism_z,estimated,-3.7969546527079068,7.993060672864234,-19.463353571521807,11.869444266105992,0.635532226149276
R,candidate_federal_overperformance,party_prior_service_only,119,103,absolute_conservatism_z,estimated,-1.7010126534831762,9.306521593945172,-19.941794977615714,16.539769670649363,0.8553362534876239
R,winsorized_outcome,party_winsorized:candidate_federal_overperformance,173,146,absolute_conservatism_z,estimated,-5.732367210529747,6.768314903172254,-18.998264420747365,7.533529999687869,0.39842338840636127
R:omit_1998,candidate_federal_overperformance,party_leave_cycle_out,141,115,absolute_conservatism_z,estimated,-12.80643039973647,9.989382871056405,-32.385620827007024,6.772760027534083,0.2024422383501631
R:omit_2002,candidate_federal_overperformance,party_leave_cycle_out,148,121,absolute_conservatism_z,estimated,-0.32998149188482984,7.838436058540821,-15.693316166624838,15.033353182855178,0.9664906408566392
R:omit_2006,candidate_federal_overperformance,party_leave_cycle_out,158,137,absolute_conservatism_z,estimated,-5.43577696817652,7.588770853118464,-20.30976784028871,9.438213903935669,0.47503915033896615
R:omit_2010,candidate_federal_overperformance,party_leave_cycle_out,131,118,absolute_conservatism_z,estimated,-11.686917613808541,7.364072025318355,-26.120498783432517,2.7466635558154344,0.11520744200616001
R:omit_2014,candidate_federal_overperformance,party_leave_cycle_out,149,134,absolute_conservatism_z,estimated,-1.6489107633599513,7.521832069758084,-16.391701620085794,13.093880093365891,0.826817358814484
