sample,specification,outcome,n,people,status,coefficient_per_sd,cluster_se,ci_low,ci_high,p_value
1994_later_observed_sensitivity,cycle_chamber_total,candidate_cmo_total_oof,47,44,estimated,4.036711278834937,2.853678803153454,-1.5564991753458326,9.629921733015706,0.1643970947525819
1994_later_observed_sensitivity,plus_district_context,candidate_cmo_total_oof,47,44,estimated,1.7714067384164556,3.399647348576733,-4.891902064793941,8.434715541626852,0.6050009448213916
1994_later_observed_sensitivity,plus_incumbency,candidate_cmo_total_oof,47,44,estimated,1.7714067384164556,3.440856699820774,-4.972672393232261,8.515485870065172,0.609318198016622
1994_later_observed_sensitivity,plus_incumbency_finance,candidate_cmo_total_oof,0,0,underpowered,,,,,
1994_later_observed_sensitivity,cycle_chamber_total,federal_index_overperformance,35,32,estimated,1.6999610908174096,3.0778438528391048,-4.332612860747235,7.732535042382055,0.584688311709225
1994_later_observed_sensitivity,plus_district_context,federal_index_overperformance,35,32,estimated,2.7852854111108782,4.64557952858896,-6.320050464923483,11.89062128714524,0.5531593920042905
1994_later_observed_sensitivity,plus_incumbency,federal_index_overperformance,35,32,estimated,2.7852854111108782,4.724996897256213,-6.4757085075113,12.046279329733057,0.5598121606775424
1994_later_observed_sensitivity,plus_incumbency_finance,federal_index_overperformance,0,0,underpowered,,,,,
1994_later_observed_sensitivity,cycle_chamber_total,presidential_overperformance,44,42,estimated,-3.869202540706831,2.061640211712796,-7.910017355663911,0.17161227425024883,0.06768025050345934
1994_later_observed_sensitivity,plus_district_context,presidential_overperformance,44,42,estimated,-0.3485663444616798,3.0982063282585237,-6.421050747848386,5.723918058925027,0.9109713745108579
1994_later_observed_sensitivity,plus_incumbency,presidential_overperformance,44,42,estimated,-0.3485663444616798,3.138707476376665,-6.500432998159942,5.803300309236583,0.9121153186050355
1994_later_observed_sensitivity,plus_incumbency_finance,presidential_overperformance,0,0,underpowered,,,,,
era:2008_2014,chamber_total,candidate_cmo_total_oof,61,50,estimated,7.697204655953455,2.0349012217718343,3.70879826128066,11.68561105062625,0.0004227890130399711
era:2008_2014,chamber_total,federal_index_overperformance,51,45,estimated,0.05216241527748822,3.4813340405113804,-6.771252304124817,6.875577134679793,0.9881131148118827
era:2008_2014,chamber_total,presidential_overperformance,59,48,estimated,1.1325442834247723,2.6215578695945396,-4.0057091409805246,6.27079770783007,0.6677083010758331
era:post_2016,chamber_total,candidate_cmo_total_oof,5,5,underpowered,,,,,
era:post_2016,chamber_total,federal_index_overperformance,5,5,underpowered,,,,,
era:post_2016,chamber_total,presidential_overperformance,5,5,underpowered,,,,,
era:pre_2008,chamber_total,candidate_cmo_total_oof,143,142,estimated,7.286380298574901,1.0002078084797466,5.325972993954598,9.246787603195205,2.0863213556953773e-11
era:pre_2008,chamber_total,federal_index_overperformance,131,130,estimated,5.700929124933512,1.786005330876587,2.200358676415401,9.201499573451622,0.001774982378148096
era:pre_2008,chamber_total,presidential_overperformance,135,134,estimated,5.21974453089383,1.446658039395148,2.38429477367934,8.05519428810832,0.00043535045957038943
