cycle,chamber,district,party,canonical_votes,candidate,canonical_source,person_id,canonical_candidate_id,incumbent,winner,raw_overperformance,scenario,expected_cmo_total_oof,cmo_total_oof,candidate_cmo_total_oof
2010,house,9,R,11405.0,ED HENRY,alabama_sos,ALPERSON-ED-HENRY,AL-2010-house-9-R-ED-HENRY,0,1,-3.653236455441956,strict_consensus,4.020619850255278,-7.6738563056972335,7.6738563056972335
2010,house,12,D,7667.0,"JAMES C. FIELDS, JR.",alabama_sos,ALPERSON-JAMES-C-FIELDS-JR,AL-2010-house-12-D-JAMES-C-FIELDS-JR,1,0,34.18221385488577,conflict_county_fallback,18.394817744047522,15.787396110838245,15.787396110838245
2010,house,12,D,7667.0,"JAMES C. FIELDS, JR.",alabama_sos,ALPERSON-JAMES-C-FIELDS-JR,AL-2010-house-12-D-JAMES-C-FIELDS-JR,1,0,34.18221385488577,prefer_direct,18.39715155219323,15.785062302692538,15.785062302692538
2010,house,12,D,7667.0,"JAMES C. FIELDS, JR.",alabama_sos,ALPERSON-JAMES-C-FIELDS-JR,AL-2010-house-12-D-JAMES-C-FIELDS-JR,1,0,34.18221385488577,prefer_source_transfer,18.39417526707896,15.788038587806806,15.788038587806806
2010,house,12,D,7667.0,"JAMES C. FIELDS, JR.",alabama_sos,ALPERSON-JAMES-C-FIELDS-JR,AL-2010-house-12-D-JAMES-C-FIELDS-JR,1,0,34.18221385488577,production_canonical_weights,18.579047260576683,15.603166594309084,15.603166594309084
2010,house,12,D,7667.0,"JAMES C. FIELDS, JR.",alabama_sos,ALPERSON-JAMES-C-FIELDS-JR,AL-2010-house-12-D-JAMES-C-FIELDS-JR,1,0,34.18221385488577,strict_consensus,18.394817744047522,15.787396110838245,15.787396110838245
2010,house,12,R,9062.0,MAC BUTTRAM,alabama_sos,ALPERSON-MAC-BUTTRAM,AL-2010-house-12-R-MAC-BUTTRAM,0,1,34.18221385488577,conflict_county_fallback,18.394817744047522,15.787396110838245,-15.787396110838245
2010,house,12,R,9062.0,MAC BUTTRAM,alabama_sos,ALPERSON-MAC-BUTTRAM,AL-2010-house-12-R-MAC-BUTTRAM,0,1,34.18221385488577,prefer_direct,18.39715155219323,15.785062302692538,-15.785062302692538
2010,house,12,R,9062.0,MAC BUTTRAM,alabama_sos,ALPERSON-MAC-BUTTRAM,AL-2010-house-12-R-MAC-BUTTRAM,0,1,34.18221385488577,prefer_source_transfer,18.39417526707896,15.788038587806806,-15.788038587806806
2010,house,12,R,9062.0,MAC BUTTRAM,alabama_sos,ALPERSON-MAC-BUTTRAM,AL-2010-house-12-R-MAC-BUTTRAM,0,1,34.18221385488577,production_canonical_weights,18.579047260576683,15.603166594309084,-15.603166594309084
2010,house,12,R,9062.0,MAC BUTTRAM,alabama_sos,ALPERSON-MAC-BUTTRAM,AL-2010-house-12-R-MAC-BUTTRAM,0,1,34.18221385488577,strict_consensus,18.394817744047522,15.787396110838245,-15.787396110838245
2010,house,13,D,5186.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2010-house-13-D-TOMMY-SHERER,1,0,3.022208176084799,conflict_county_fallback,21.45737394342789,-18.43516576734309,-18.43516576734309
2010,house,13,D,5186.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2010-house-13-D-TOMMY-SHERER,1,0,3.022208176084799,prefer_direct,21.457942030262792,-18.435733854177993,-18.435733854177993
2010,house,13,D,5186.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2010-house-13-D-TOMMY-SHERER,1,0,3.022208176084799,prefer_source_transfer,21.454000504235623,-18.431792328150824,-18.431792328150824
2010,house,13,D,5186.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2010-house-13-D-TOMMY-SHERER,1,0,3.022208176084799,production_canonical_weights,21.44813805920412,-18.42592988311932,-18.42592988311932
2010,house,13,D,5186.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2010-house-13-D-TOMMY-SHERER,1,0,3.022208176084799,strict_consensus,21.45737394342789,-18.43516576734309,-18.43516576734309
2010,house,13,R,7990.0,BILL ROBERTS,alabama_sos,ALPERSON-BILL-ROBERTS,AL-2010-house-13-R-BILL-ROBERTS,0,1,3.022208176084799,conflict_county_fallback,21.45737394342789,-18.43516576734309,18.43516576734309
2010,house,13,R,7990.0,BILL ROBERTS,alabama_sos,ALPERSON-BILL-ROBERTS,AL-2010-house-13-R-BILL-ROBERTS,0,1,3.022208176084799,prefer_direct,21.457942030262792,-18.435733854177993,18.435733854177993
2010,house,13,R,7990.0,BILL ROBERTS,alabama_sos,ALPERSON-BILL-ROBERTS,AL-2010-house-13-R-BILL-ROBERTS,0,1,3.022208176084799,prefer_source_transfer,21.454000504235623,-18.431792328150824,18.431792328150824
2010,house,13,R,7990.0,BILL ROBERTS,alabama_sos,ALPERSON-BILL-ROBERTS,AL-2010-house-13-R-BILL-ROBERTS,0,1,3.022208176084799,production_canonical_weights,21.44813805920412,-18.42592988311932,18.42592988311932
2010,house,13,R,7990.0,BILL ROBERTS,alabama_sos,ALPERSON-BILL-ROBERTS,AL-2010-house-13-R-BILL-ROBERTS,0,1,3.022208176084799,strict_consensus,21.45737394342789,-18.43516576734309,18.43516576734309
2010,house,14,D,4121.0,KEN GUIN,alabama_sos,ALPERSON-KEN-GUIN,AL-2010-house-14-D-KEN-GUIN,1,0,-11.37232595756322,conflict_county_fallback,21.45737394342789,-32.82969990099111,-32.82969990099111
2010,house,14,D,4121.0,KEN GUIN,alabama_sos,ALPERSON-KEN-GUIN,AL-2010-house-14-D-KEN-GUIN,1,0,-11.37232595756322,prefer_direct,21.457942030262792,-32.83026798782601,-32.83026798782601
2010,house,14,D,4121.0,KEN GUIN,alabama_sos,ALPERSON-KEN-GUIN,AL-2010-house-14-D-KEN-GUIN,1,0,-11.37232595756322,prefer_source_transfer,21.454000504235623,-32.82632646179884,-32.82632646179884
2010,house,14,D,4121.0,KEN GUIN,alabama_sos,ALPERSON-KEN-GUIN,AL-2010-house-14-D-KEN-GUIN,1,0,-11.37232595756321,production_canonical_weights,21.44813805920412,-32.82046401676733,-32.82046401676733
2010,house,14,D,4121.0,KEN GUIN,alabama_sos,ALPERSON-KEN-GUIN,AL-2010-house-14-D-KEN-GUIN,1,0,-11.37232595756322,strict_consensus,21.45737394342789,-32.82969990099111,-32.82969990099111
2010,house,14,R,9327.0,RICHARD BAUGHN,alabama_sos,ALPERSON-RICHARD-BAUGHN,AL-2010-house-14-R-RICHARD-BAUGHN,0,1,-11.37232595756322,conflict_county_fallback,21.45737394342789,-32.82969990099111,32.82969990099111
2010,house,14,R,9327.0,RICHARD BAUGHN,alabama_sos,ALPERSON-RICHARD-BAUGHN,AL-2010-house-14-R-RICHARD-BAUGHN,0,1,-11.37232595756322,prefer_direct,21.457942030262792,-32.83026798782601,32.83026798782601
2010,house,14,R,9327.0,RICHARD BAUGHN,alabama_sos,ALPERSON-RICHARD-BAUGHN,AL-2010-house-14-R-RICHARD-BAUGHN,0,1,-11.37232595756322,prefer_source_transfer,21.454000504235623,-32.82632646179884,32.82632646179884
2010,house,14,R,9327.0,RICHARD BAUGHN,alabama_sos,ALPERSON-RICHARD-BAUGHN,AL-2010-house-14-R-RICHARD-BAUGHN,0,1,-11.37232595756321,production_canonical_weights,21.44813805920412,-32.82046401676733,32.82046401676733
2010,house,14,R,9327.0,RICHARD BAUGHN,alabama_sos,ALPERSON-RICHARD-BAUGHN,AL-2010-house-14-R-RICHARD-BAUGHN,0,1,-11.37232595756322,strict_consensus,21.45737394342789,-32.82969990099111,32.82969990099111
2010,house,16,D,6379.0,"WILLIAM E. THIGPEN, SR.",alabama_sos,ALPERSON-WILLIAM-E-THIGPEN-SR,AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,1,0,22.54962034968405,conflict_county_fallback,21.45737394342789,1.0922464062561623,1.0922464062561623
2010,house,16,D,6379.0,"WILLIAM E. THIGPEN, SR.",alabama_sos,ALPERSON-WILLIAM-E-THIGPEN-SR,AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,1,0,22.54962034968405,prefer_direct,21.457942030262792,1.0916783194212591,1.0916783194212591
2010,house,16,D,6379.0,"WILLIAM E. THIGPEN, SR.",alabama_sos,ALPERSON-WILLIAM-E-THIGPEN-SR,AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,1,0,22.54962034968405,prefer_source_transfer,21.454000504235623,1.0956198454484287,1.0956198454484287
2010,house,16,D,6379.0,"WILLIAM E. THIGPEN, SR.",alabama_sos,ALPERSON-WILLIAM-E-THIGPEN-SR,AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,1,0,22.54962034968405,production_canonical_weights,21.44813805920412,1.1014822904799324,1.1014822904799324
2010,house,16,D,6379.0,"WILLIAM E. THIGPEN, SR.",alabama_sos,ALPERSON-WILLIAM-E-THIGPEN-SR,AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,1,0,22.54962034968405,strict_consensus,21.45737394342789,1.0922464062561623,1.0922464062561623
2010,house,16,R,7451.0,DANIEL H. BOMAN,alabama_sos,ALPERSON-DANIEL-H-BOMAN,AL-2010-house-16-R-DANIEL-H-BOMAN,0,1,22.54962034968405,conflict_county_fallback,21.45737394342789,1.0922464062561623,-1.0922464062561623
2010,house,16,R,7451.0,DANIEL H. BOMAN,alabama_sos,ALPERSON-DANIEL-H-BOMAN,AL-2010-house-16-R-DANIEL-H-BOMAN,0,1,22.54962034968405,prefer_direct,21.457942030262792,1.0916783194212591,-1.0916783194212591
2010,house,16,R,7451.0,DANIEL H. BOMAN,alabama_sos,ALPERSON-DANIEL-H-BOMAN,AL-2010-house-16-R-DANIEL-H-BOMAN,0,1,22.54962034968405,prefer_source_transfer,21.454000504235623,1.0956198454484287,-1.0956198454484287
2010,house,16,R,7451.0,DANIEL H. BOMAN,alabama_sos,ALPERSON-DANIEL-H-BOMAN,AL-2010-house-16-R-DANIEL-H-BOMAN,0,1,22.54962034968405,production_canonical_weights,21.44813805920412,1.1014822904799324,-1.1014822904799324
2010,house,16,R,7451.0,DANIEL H. BOMAN,alabama_sos,ALPERSON-DANIEL-H-BOMAN,AL-2010-house-16-R-DANIEL-H-BOMAN,0,1,22.54962034968405,strict_consensus,21.45737394342789,1.0922464062561623,-1.0922464062561623
2010,house,21,D,6201.0,RANDY HINSHAW,alabama_sos,ALPERSON-RANDY-HINSHAW,AL-2010-house-21-D-RANDY-HINSHAW,1,0,20.07859927037868,conflict_county_fallback,18.83499124526758,1.2436080251111008,1.2436080251111008
