person_id,candidate,election_cycle,issue,issue_label,reviewed_vote_records,yea_votes,nay_votes,distinct_roll_calls,distinct_bills,observed_pattern,first_vote_date,last_vote_date,source_urls
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,assisted_dying,Assisted dying,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB96/2017
ALPERSON-ALAN-HARPER,Alan Harper,2010,abortion,Abortion,4,4,0,4,4,The candidate supported all 4 reviewed motions in this issue sample.,2016-02-17,2017-03-16,https://legiscan.com/AL/bill/HB98/2017 | https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,abortion,Abortion,4,1,3,4,4,"In this reviewed sample, the candidate supported 1 motion and opposed 3. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2016-02-17,2017-03-16,https://legiscan.com/AL/bill/HB98/2017 | https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,abortion,Abortion,4,4,0,4,4,The candidate supported all 4 reviewed motions in this issue sample.,2016-02-17,2017-03-16,https://legiscan.com/AL/bill/HB98/2017 | https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,abortion,Abortion,4,0,4,4,4,The candidate opposed all 4 reviewed motions in this issue sample.,2016-02-17,2017-03-16,https://legiscan.com/AL/bill/HB98/2017 | https://legiscan.com/AL/bill/SB363/2016 | https://legiscan.com/AL/bill/HB45/2016 | https://legiscan.com/AL/bill/HB183/2016
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,abortion,Abortion,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB98/2017
ALPERSON-ALAN-HARPER,Alan Harper,2010,healthcare_conscience,Health-care conscience rules,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB95/2017
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,healthcare_conscience,Health-care conscience rules,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB95/2017
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,healthcare_conscience,Health-care conscience rules,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB95/2017
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,criminal_justice,Criminal justice,6,1,5,6,6,"In this reviewed sample, the candidate supported 1 motion and opposed 5. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2015-03-11,2023-05-31,https://legiscan.com/AL/bill/HB380/2019 | https://legiscan.com/AL/bill/SB198/2023 | https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/SB1/2023 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,criminal_justice,Criminal justice,6,0,6,6,6,The candidate opposed all 6 reviewed motions in this issue sample.,2015-03-11,2023-05-31,https://legiscan.com/AL/bill/HB380/2019 | https://legiscan.com/AL/bill/SB198/2023 | https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/SB1/2023 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,criminal_justice,Criminal justice,6,6,0,6,6,The candidate supported all 6 reviewed motions in this issue sample.,2015-03-11,2023-05-31,https://legiscan.com/AL/bill/HB380/2019 | https://legiscan.com/AL/bill/SB198/2023 | https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/SB1/2023 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,criminal_justice,Criminal justice,6,1,5,6,6,"In this reviewed sample, the candidate supported 1 motion and opposed 5. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2015-03-11,2023-05-31,https://legiscan.com/AL/bill/HB380/2019 | https://legiscan.com/AL/bill/SB198/2023 | https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/SB1/2023 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,criminal_justice,Criminal justice,6,0,6,6,6,The candidate opposed all 6 reviewed motions in this issue sample.,2015-03-11,2023-05-31,https://legiscan.com/AL/bill/HB380/2019 | https://legiscan.com/AL/bill/SB198/2023 | https://legiscan.com/AL/bill/SB41/2015/X1 | https://legiscan.com/AL/bill/SB1/2023 | https://legiscan.com/AL/bill/HB18/2015 | https://legiscan.com/AL/bill/SB82/2017
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,abortion,Abortion,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2019-05-14,2019-05-14,https://legiscan.com/AL/bill/HB314/2019
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,abortion,Abortion,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2019-05-14,2019-05-14,https://legiscan.com/AL/bill/HB314/2019
