person_id,candidate,election_cycle,roll_call_id,bill_number,vote_date,human_issue_code,policy_direction_of_yea,vote,candidate_position,evidence_timing,source_url,state_link
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,91541,HB57,2011-03-10,taxes_budget,caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,Nay,opposes: caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,post_election,https://legiscan.com/AL/bill/HB57/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB57
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,91541,HB57,2011-03-10,taxes_budget,caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,Nay,opposes: caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,post_election,https://legiscan.com/AL/bill/HB57/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB57
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,91541,HB57,2011-03-10,taxes_budget,caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,Nay,opposes: caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,post_election,https://legiscan.com/AL/bill/HB57/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB57
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,91541,HB57,2011-03-10,taxes_budget,caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,Nay,opposes: caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,post_election,https://legiscan.com/AL/bill/HB57/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB57
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,91541,HB57,2011-03-10,taxes_budget,caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,Nay,opposes: caps annual Education Trust Fund appropriations and establishes stabilization and capital funds,post_election,https://legiscan.com/AL/bill/HB57/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB57
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,174486,SB2,2012-03-19,labor_unions,prohibits public payroll deductions for political committees or organizational dues,Nay,opposes: prohibits public payroll deductions for political committees or organizational dues,post_election,https://legiscan.com/AL/bill/SB2/2010/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB2
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,174486,SB2,2012-03-19,labor_unions,prohibits public payroll deductions for political committees or organizational dues,Nay,opposes: prohibits public payroll deductions for political committees or organizational dues,post_election,https://legiscan.com/AL/bill/SB2/2010/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB2
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,174486,SB2,2012-03-19,labor_unions,prohibits public payroll deductions for political committees or organizational dues,Nay,opposes: prohibits public payroll deductions for political committees or organizational dues,post_election,https://legiscan.com/AL/bill/SB2/2010/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB2
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,174486,SB2,2012-03-19,labor_unions,prohibits public payroll deductions for political committees or organizational dues,Nay,opposes: prohibits public payroll deductions for political committees or organizational dues,post_election,https://legiscan.com/AL/bill/SB2/2010/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB2
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,174486,SB2,2012-03-19,labor_unions,prohibits public payroll deductions for political committees or organizational dues,Nay,opposes: prohibits public payroll deductions for political committees or organizational dues,post_election,https://legiscan.com/AL/bill/SB2/2010/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB2
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,527897,SB14,2016-04-05,guns,expands circumstances in which firearm possession and vehicle or property carry are authorized,Nay,opposes: expands circumstances in which firearm possession and vehicle or property carry are authorized,post_election,https://legiscan.com/AL/bill/SB14/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB14
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,527897,SB14,2016-04-05,guns,expands circumstances in which firearm possession and vehicle or property carry are authorized,Nay,opposes: expands circumstances in which firearm possession and vehicle or property carry are authorized,post_election,https://legiscan.com/AL/bill/SB14/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB14
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Nay,opposes: requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-ALAN-HARPER,Alan Harper,2010,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Yea,requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Nay,opposes: requires higher-education institutions to comply with state immigration restrictions or risk funding,pre_or_during_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Nay,opposes: requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Yea,requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Nay,opposes: requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,583992,HB100,2017-02-14,immigration,requires higher-education institutions to comply with state immigration restrictions or risk funding,Nay,opposes: requires higher-education institutions to comply with state immigration restrictions or risk funding,post_election,https://legiscan.com/AL/bill/HB100/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB100&WIN_TYPE=SELECTED_STATUS
ALPERSON-ALAN-HARPER,Alan Harper,2010,618976,HB96,2017-03-16,assisted_dying,prohibits deliberately providing aid in dying and establishes civil and criminal penalties,Yea,prohibits deliberately providing aid in dying and establishes civil and criminal penalties,post_election,https://legiscan.com/AL/bill/HB96/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB96&WIN_TYPE=SELECTED_STATUS
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,618976,HB96,2017-03-16,assisted_dying,prohibits deliberately providing aid in dying and establishes civil and criminal penalties,Nay,opposes: prohibits deliberately providing aid in dying and establishes civil and criminal penalties,post_election,https://legiscan.com/AL/bill/HB96/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB96&WIN_TYPE=SELECTED_STATUS
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,618976,HB96,2017-03-16,assisted_dying,prohibits deliberately providing aid in dying and establishes civil and criminal penalties,Yea,prohibits deliberately providing aid in dying and establishes civil and criminal penalties,post_election,https://legiscan.com/AL/bill/HB96/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB96&WIN_TYPE=SELECTED_STATUS
ALPERSON-ALAN-HARPER,Alan Harper,2010,619077,HB98,2017-03-16,abortion,affirms a constitutional commitment to the right to life of unborn children,Yea,affirms a constitutional commitment to the right to life of unborn children,post_election,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,619077,HB98,2017-03-16,abortion,affirms a constitutional commitment to the right to life of unborn children,Nay,opposes: affirms a constitutional commitment to the right to life of unborn children,post_election,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,619077,HB98,2017-03-16,abortion,affirms a constitutional commitment to the right to life of unborn children,Yea,affirms a constitutional commitment to the right to life of unborn children,post_election,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,619077,HB98,2017-03-16,abortion,affirms a constitutional commitment to the right to life of unborn children,Nay,opposes: affirms a constitutional commitment to the right to life of unborn children,post_election,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,619077,HB98,2017-03-16,abortion,affirms a constitutional commitment to the right to life of unborn children,Nay,opposes: affirms a constitutional commitment to the right to life of unborn children,post_election,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS
ALPERSON-ALAN-HARPER,Alan Harper,2010,619669,HB95,2017-03-16,healthcare_conscience,authorizes providers to decline health care services that violate their conscience,Yea,authorizes providers to decline health care services that violate their conscience,post_election,https://legiscan.com/AL/bill/HB95/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB95&WIN_TYPE=SELECTED_STATUS
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,619669,HB95,2017-03-16,healthcare_conscience,authorizes providers to decline health care services that violate their conscience,Nay,opposes: authorizes providers to decline health care services that violate their conscience,post_election,https://legiscan.com/AL/bill/HB95/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB95&WIN_TYPE=SELECTED_STATUS
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,619669,HB95,2017-03-16,healthcare_conscience,authorizes providers to decline health care services that violate their conscience,Yea,authorizes providers to decline health care services that violate their conscience,post_election,https://legiscan.com/AL/bill/HB95/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB95&WIN_TYPE=SELECTED_STATUS
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,626676,SB24,2017-04-18,guns,repeals or removes several restrictions on firearm possession and carrying,Nay,opposes: repeals or removes several restrictions on firearm possession and carrying,post_election,https://legiscan.com/AL/bill/SB24/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB24&WIN_TYPE=SELECTED_STATUS
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,626676,SB24,2017-04-18,guns,repeals or removes several restrictions on firearm possession and carrying,Nay,opposes: repeals or removes several restrictions on firearm possession and carrying,post_election,https://legiscan.com/AL/bill/SB24/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB24&WIN_TYPE=SELECTED_STATUS
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,862047,HB380,2019-05-09,criminal_justice,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,Nay,opposes: restructures parole administration and imposes more standardized criteria and oversight on parole decisions,post_election,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,862047,HB380,2019-05-09,criminal_justice,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,Nay,opposes: restructures parole administration and imposes more standardized criteria and oversight on parole decisions,post_election,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,862047,HB380,2019-05-09,criminal_justice,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,Yea,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,post_election,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,862047,HB380,2019-05-09,criminal_justice,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,Nay,opposes: restructures parole administration and imposes more standardized criteria and oversight on parole decisions,post_election,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,862047,HB380,2019-05-09,criminal_justice,restructures parole administration and imposes more standardized criteria and oversight on parole decisions,Nay,opposes: restructures parole administration and imposes more standardized criteria and oversight on parole decisions,post_election,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,863723,HB314,2019-05-14,abortion,prohibits abortion under most circumstances and creates felony penalties,Nay,opposes: prohibits abortion under most circumstances and creates felony penalties,post_election,https://legiscan.com/AL/bill/HB314/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB314&WIN_TYPE=SELECTED_STATUS
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,863723,HB314,2019-05-14,abortion,prohibits abortion under most circumstances and creates felony penalties,Nay,opposes: prohibits abortion under most circumstances and creates felony penalties,post_election,https://legiscan.com/AL/bill/HB314/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB314&WIN_TYPE=SELECTED_STATUS
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,863723,HB314,2019-05-14,abortion,prohibits abortion under most circumstances and creates felony penalties,Nay,opposes: prohibits abortion under most circumstances and creates felony penalties,post_election,https://legiscan.com/AL/bill/HB314/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB314&WIN_TYPE=SELECTED_STATUS
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,1483089,SB79,2025-02-06,culture_lgbtq,defines sex-based terms and establishes policy recognizing sex as male or female,Nay,opposes: defines sex-based terms and establishes policy recognizing sex as male or female,post_election,https://legiscan.com/AL/bill/SB79/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,1483089,SB79,2025-02-06,culture_lgbtq,defines sex-based terms and establishes policy recognizing sex as male or female,Nay,opposes: defines sex-based terms and establishes policy recognizing sex as male or female,post_election,https://legiscan.com/AL/bill/SB79/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,1488930,SB53,2025-02-13,immigration,creates offenses for concealing and smuggling unauthorized immigrants and establishes detainee-status procedures,Nay,opposes: creates offenses for concealing and smuggling unauthorized immigrants and establishes detainee-status procedures,post_election,https://legiscan.com/AL/bill/SB53/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,1551123,HB7,2025-04-17,immigration,"expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",Nay,"opposes: expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,1551123,HB7,2025-04-17,immigration,"expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",Yea,"expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,1551123,HB7,2025-04-17,immigration,"expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",Nay,"opposes: expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,1551126,HB7,2025-04-17,immigration,supports expanded state and local immigration-detention enforcement,Nay,opposes: supports expanded state and local immigration-detention enforcement,post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,1551126,HB7,2025-04-17,immigration,supports expanded state and local immigration-detention enforcement,Nay,opposes: supports expanded state and local immigration-detention enforcement,post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,1551126,HB7,2025-04-17,immigration,supports expanded state and local immigration-detention enforcement,Yea,supports expanded state and local immigration-detention enforcement,post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,1551126,HB7,2025-04-17,immigration,supports expanded state and local immigration-detention enforcement,Nay,opposes: supports expanded state and local immigration-detention enforcement,post_election,https://legiscan.com/AL/bill/HB7/2025,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,1642545,HB360,2026-02-24,taxes_revenue,creates a sales-tax holiday for specified firearms-related purchases,Nay,opposes: creates a sales-tax holiday for specified firearms-related purchases,post_election,https://legiscan.com/AL/bill/HB360/2026,https://alison.legislature.state.al.us/bill-search
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,1642545,HB360,2026-02-24,taxes_revenue,creates a sales-tax holiday for specified firearms-related purchases,Nay,opposes: creates a sales-tax holiday for specified firearms-related purchases,post_election,https://legiscan.com/AL/bill/HB360/2026,https://alison.legislature.state.al.us/bill-search
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,1642545,HB360,2026-02-24,taxes_revenue,creates a sales-tax holiday for specified firearms-related purchases,Yea,creates a sales-tax holiday for specified firearms-related purchases,post_election,https://legiscan.com/AL/bill/HB360/2026,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,1642545,HB360,2026-02-24,taxes_revenue,creates a sales-tax holiday for specified firearms-related purchases,Nay,opposes: creates a sales-tax holiday for specified firearms-related purchases,post_election,https://legiscan.com/AL/bill/HB360/2026,https://alison.legislature.state.al.us/bill-search
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,1642545,HB360,2026-02-24,taxes_revenue,creates a sales-tax holiday for specified firearms-related purchases,Nay,opposes: creates a sales-tax holiday for specified firearms-related purchases,post_election,https://legiscan.com/AL/bill/HB360/2026,https://alison.legislature.state.al.us/bill-search
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Nay,opposes: preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-ALAN-HARPER,Alan Harper,2010,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Yea,preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Nay,opposes: preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Nay,opposes: preempts local minimum-wage and employment-benefit requirements,pre_or_during_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-CRAIG-FORD,Craig Ford,2014,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Nay,opposes: preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Nay,opposes: preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,498436,HB174,2016-02-16,labor_unions,preempts local minimum-wage and employment-benefit requirements,Yea,preempts local minimum-wage and employment-benefit requirements,post_election,https://legiscan.com/AL/bill/HB174/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB174
