sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value,primary_bh_q_value,congruence_bh_q_value
R,candidate_cmo,issue_district_congruence:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_cmo,issue_district_congruence:family:institutional_reform,2,2,issue_congruence_institutional_reform,underpowered,,,,,,,
R:2008_2014,candidate_cmo,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R:post_2016,candidate_cmo,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_total:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_mediator_adjusted:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_congruence_institutional_reform,underpowered,,,,,,,
R:2008_2014,candidate_statewide_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R:post_2016,candidate_statewide_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_total:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_mediator_adjusted:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_congruence_institutional_reform,underpowered,,,,,,,
R:2008_2014,candidate_federal_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R:post_2016,candidate_federal_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_total:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_mediator_adjusted:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:institutional_reform,2,2,issue_congruence_institutional_reform,underpowered,,,,,,,
R:2008_2014,candidate_presidential_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
R:post_2016,candidate_presidential_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
all,candidate_cmo,issue_pooled_convergence:family:institutional_reform,6,6,issue_convergence_institutional_reform,underpowered,,,,,,,
all,candidate_statewide_overperformance,issue_pooled_convergence:family:institutional_reform,6,6,issue_convergence_institutional_reform,underpowered,,,,,,,
all,candidate_federal_overperformance,issue_pooled_convergence:family:institutional_reform,6,6,issue_convergence_institutional_reform,underpowered,,,,,,,
all,candidate_presidential_overperformance,issue_pooled_convergence:family:institutional_reform,5,5,issue_convergence_institutional_reform,underpowered,,,,,,,
