primitive_axis,era,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
digital_privacy,post_2016,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
direct_democracy,2008_2014,7,0,0,7,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
direct_democracy,post_2016,4,0,0,4,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
direct_democracy,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
drug_criminalization,2008_2014,28,4,0,24,4,0.14285714285714285,0.7142857142857143,0.7126966450997985,-1.0,1.0,1.0,1.0,1.0,one_sided
drug_criminalization,post_2016,13,3,0,10,3,0.23076923076923078,0.23076923076923078,0.7909747313543118,-1.0,0.2,0.2,1.0,1.0,sparse
drug_criminalization,pre_2008,6,6,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
drug_treatment,2008_2014,16,0,0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
drug_treatment,post_2016,5,0,0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
drug_treatment,pre_2008,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
due_process,2008_2014,23,4,0,19,4,0.17391304347826086,0.6521739130434783,0.7751067757631795,-1.0,1.0,1.0,1.0,1.0,one_sided
due_process,post_2016,9,5,0,4,4,0.4444444444444444,-0.1111111111111111,1.0540925533894598,-1.0,-1.0,-1.0,1.0,1.0,sparse
economic_stimulus,2008_2014,18,10,4,4,4,0.2222222222222222,1.2335811384723961e-17,0.5940885257860046,-1.0,-0.3333333333333333,-0.3333333333333333,0.0,1.0,sparse
economic_stimulus,post_2016,11,5,0,6,5,0.45454545454545453,0.393939393939394,0.6963106238227913,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,sparse
economic_stimulus,pre_2008,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_access,2008_2014,20,2,0,18,2,0.1,0.8,0.6155870112510925,-1.0,1.0,1.0,1.0,1.0,sparse
education_access,post_2016,19,0,0,19,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_access,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
education_accountability,2008_2014,24,0,0,24,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_accountability,post_2016,6,1,0,5,1,0.16666666666666666,0.7777777777777778,0.5443310539518174,-0.3333333333333333,1.0,1.0,1.0,1.0,sparse
education_accountability,pre_2008,48,0,0,48,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_curriculum_traditionalism,post_2016,7,1,4,2,1,0.14285714285714285,0.14285714285714285,0.6900655593423541,-1.0,0.0,0.0,0.5,1.0,sparse
education_curriculum_traditionalism,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
education_market_choice,2008_2014,29,26,1,2,2,0.06896551724137931,-0.7999999999999999,0.4892495062491932,-1.0,-1.0,-1.0,-1.0,1.0,sparse
education_market_choice,post_2016,26,18,0,8,8,0.3076923076923077,-0.38461538461538464,0.9413574486632834,-1.0,-1.0,-1.0,1.0,1.0,weakly_two_sided
education_market_choice,pre_2008,17,2,0,15,2,0.11764705882352941,0.7647058823529411,0.6642111641550714,-1.0,1.0,1.0,1.0,1.0,sparse
education_public_funding,2008_2014,45,0,2,43,0,0.0,0.887037037037037,0.25999924458148055,0.0,1.0,1.0,1.0,1.0,sparse
education_public_funding,post_2016,36,0,0,36,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_public_funding,pre_2008,91,7,10,74,7,0.07692307692307693,0.5863422291993721,0.5684490038587555,-1.0,0.5,0.75,1.0,1.0,weakly_two_sided
education_teacher_labor,2008_2014,11,8,0,3,3,0.2727272727272727,-0.3939393939393939,0.9167355346031049,-1.0,-1.0,-1.0,0.33333333333333337,1.0,sparse
education_teacher_labor,post_2016,12,0,0,12,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
education_teacher_labor,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
election_integrity_controls,2008_2014,18,0,0,18,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
election_integrity_controls,post_2016,7,0,0,7,0,0.0,0.7619047619047619,0.3021089890583219,0.3333333333333333,0.5,1.0,1.0,1.0,sparse
environmental_protection,2008_2014,49,4,15,30,4,0.08163265306122448,0.5306122448979592,0.5719863349302489,-1.0,0.0,1.0,1.0,1.0,one_sided
environmental_protection,post_2016,21,0,2,19,0,0.0,0.9047619047619048,0.30079260375911915,0.0,1.0,1.0,1.0,1.0,sparse
environmental_protection,pre_2008,58,24,9,25,24,0.41379310344827586,0.09084564860426929,0.6063365576222083,-1.0,-0.425595238095238,0.0,0.5,1.0,two_sided_usable
family_support_enforcement,2008_2014,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
federalism,2008_2014,7,7,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
federalism,post_2016,7,3,4,0,0,0.0,-0.42857142857142855,0.5345224838248487,-1.0,-1.0,0.0,0.0,0.0,sparse
federalism,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
foreign_aid,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
gambling_policy,2008_2014,8,3,0,5,3,0.375,0.34615384615384615,0.9330958116639024,-1.0,-0.423076923076923,1.0,1.0,1.0,sparse
gambling_policy,post_2016,20,5,0,15,5,0.25,0.5,0.8885233166386386,-1.0,0.5,1.0,1.0,1.0,weakly_two_sided
gambling_policy,pre_2008,6,3,0,3,3,0.5,0.0,1.0954451150103321,-1.0,-1.0,0.0,1.0,1.0,sparse
government_ethics_transparency,2008_2014,37,0,0,37,0,0.0,0.8481338481338481,0.24441682946413654,0.25,0.7142857142857143,1.0,1.0,1.0,sparse
government_ethics_transparency,post_2016,16,5,1,10,5,0.3125,0.3125,0.9464847243000456,-1.0,-1.0,1.0,1.0,1.0,sparse
government_ethics_transparency,pre_2008,9,0,0,9,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
gun_access,2008_2014,79,31,3,45,31,0.3924050632911392,0.08410049865746069,0.8811906596915924,-1.0,-1.0,0.34,0.9527272727272726,1.0,two_sided_usable
gun_access,post_2016,52,41,4,7,7,0.1346153846153846,-0.6525137362637363,0.6851064721333143,-1.0,-1.0,-1.0,-1.0,1.0,weakly_two_sided
gun_access,pre_2008,152,60,34,58,58,0.3815789473684211,-0.04399122807017542,0.808972043644667,-1.0,-1.0,0.0,0.85,1.0,two_sided_usable
gun_purchase_regulation,2008_2014,23,4,2,17,4,0.17391304347826086,0.5652173913043478,0.7877520927828717,-1.0,0.5,1.0,1.0,1.0,one_sided
gun_purchase_regulation,post_2016,26,5,3,18,5,0.19230769230769232,0.5,0.812403840463596,-1.0,0.0,1.0,1.0,1.0,weakly_two_sided
gun_purchase_regulation,pre_2008,19,0,0,19,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
healthcare_access,2008_2014,52,4,4,44,4,0.07692307692307693,0.8020833333333334,0.44295156236467575,-0.6666666666666666,1.0,1.0,1.0,1.0,one_sided
healthcare_access,post_2016,53,0,1,52,0,0.0,0.967409948542024,0.16828511250775788,0.0,1.0,1.0,1.0,1.0,sparse
healthcare_access,pre_2008,94,2,2,90,2,0.02127659574468085,0.8310725257220878,0.29693310064805956,-0.5,0.8333333333333334,1.0,1.0,1.0,sparse
healthcare_delivery,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
healthcare_public_responsibility,2008_2014,9,1,0,8,1,0.1111111111111111,0.7777777777777778,0.6666666666666666,-1.0,1.0,1.0,1.0,1.0,sparse
healthcare_public_responsibility,post_2016,10,0,0,10,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
healthcare_regulation_patient_rights,2008_2014,16,8,0,8,8,0.5,0.0,1.0327955589886444,-1.0,-1.0,0.0,1.0,1.0,sparse
healthcare_regulation_patient_rights,post_2016,13,0,0,13,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
healthcare_regulation_patient_rights,pre_2008,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
hunting_rural_recreation,2008_2014,13,0,0,13,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
immigrant_public_benefits,2008_2014,16,1,3,12,1,0.0625,0.3958333333333333,0.5335936864527374,-1.0,0.25,0.3333333333333333,1.0,1.0,sparse
immigration_access,2008_2014,27,24,1,2,2,0.07407407407407407,-0.7311875367430923,0.5416055489684641,-1.0,-1.0,-1.0,-0.75,1.0,sparse
immigration_access,post_2016,19,2,3,14,2,0.10526315789473684,0.631578947368421,0.6839855680567692,-1.0,0.5,1.0,1.0,1.0,sparse
immigration_access,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
immigration_enforcement,2008_2014,26,12,3,11,11,0.4230769230769231,0.14102564102564105,0.8064907627662888,-1.0,-0.3333333333333333,0.0,1.0,1.0,two_sided_usable
immigration_enforcement,post_2016,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
incarceration,2008_2014,8,0,0,8,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
incarceration,post_2016,12,11,1,0,0,0.0,-0.736111111111111,0.35146398965887815,-1.0,-1.0,-1.0,-0.5,0.0,sparse
incarceration,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
institutional_populism,2008_2014,3,0,1,2,0,0.0,0.4444444444444444,0.5091750772173156,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.0,sparse
institutional_populism,post_2016,18,2,0,16,2,0.1111111111111111,0.7777777777777778,0.6467616667635546,-1.0,1.0,1.0,1.0,1.0,sparse
labor_capital_alignment,2008_2014,11,0,0,11,0,0.0,0.8787878787878789,0.26967994498529685,0.3333333333333333,1.0,1.0,1.0,1.0,sparse
labor_capital_alignment,post_2016,23,1,0,22,1,0.043478260869565216,0.9130434782608695,0.41702882811414954,-1.0,1.0,1.0,1.0,1.0,sparse
labor_capital_alignment,pre_2008,51,12,0,39,12,0.23529411764705882,0.5294117647058824,0.8568066567545001,-1.0,1.0,1.0,1.0,1.0,two_sided_usable
labor_rights,2008_2014,63,31,0,32,31,0.49206349206349204,0.007936507936507936,1.0019821625000387,-1.0,-1.0,0.5,1.0,1.0,two_sided_usable
labor_rights,post_2016,71,5,0,66,5,0.07042253521126761,0.8873239436619719,0.42142487692909353,-1.0,1.0,1.0,1.0,1.0,weakly_two_sided
land_use_property_rights,2008_2014,34,19,2,13,13,0.38235294117647056,-0.17647058823529413,0.9683033657896907,-1.0,-1.0,-1.0,1.0,1.0,two_sided_usable
land_use_property_rights,post_2016,11,4,0,7,4,0.36363636363636365,0.2727272727272727,1.009049958219026,-1.0,-1.0,1.0,1.0,1.0,sparse
land_use_property_rights,pre_2008,16,16,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
malpractice_liability,2008_2014,14,2,11,1,1,0.07142857142857142,-0.07142857142857142,0.4746311465493234,-1.0,0.0,0.0,0.0,1.0,sparse
market_governance,2008_2014,63,4,11,48,4,0.06349206349206349,0.5655072640638732,0.4745093049299566,-1.0,0.1666666666666666,0.6214012738853503,1.0,1.0,one_sided
market_governance,post_2016,30,11,4,15,11,0.36666666666666664,0.230952380952381,0.5928820366572787,-1.0,-0.3333333333333333,0.23809523809523805,1.0,1.0,two_sided_usable
market_governance,pre_2008,134,60,21,53,53,0.39552238805970147,-0.02772863481818707,0.6745929683705608,-1.0,-0.56,-0.06,0.5,1.0,two_sided_usable
marriage_equality,2008_2014,11,7,2,2,2,0.18181818181818182,-0.45454545454545453,0.8201995322647243,-1.0,-1.0,-1.0,0.0,1.0,sparse
marriage_equality,post_2016,3,1,0,2,1,0.3333333333333333,0.3333333333333333,1.1547005383792517,-1.0,0.0,1.0,1.0,1.0,sparse
marriage_equality,pre_2008,45,42,0,3,3,0.06666666666666667,-0.8666666666666667,0.504524979109513,-1.0,-1.0,-1.0,-1.0,1.0,one_sided
military_intervention,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
police_authority,2008_2014,27,0,1,26,0,0.0,0.9629629629629629,0.19245008972987523,0.0,1.0,1.0,1.0,1.0,sparse
police_authority,post_2016,5,1,0,4,1,0.2,0.6,0.894427190999916,-1.0,1.0,1.0,1.0,1.0,sparse
public_employee_compensation,2008_2014,58,1,1,56,1,0.017241379310344827,0.9039408866995075,0.23355255064798136,-0.2,1.0,1.0,1.0,1.0,sparse
public_employee_compensation,post_2016,29,0,0,29,0,0.0,0.8965517241379309,0.23322188283655101,0.3333333333333333,1.0,1.0,1.0,1.0,sparse
public_employee_compensation,pre_2008,54,0,0,54,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
public_private_provision,2008_2014,32,4,0,28,4,0.125,0.7083333333333334,0.6760097982365552,-1.0,1.0,1.0,1.0,1.0,one_sided
public_private_provision,post_2016,7,0,0,7,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
public_private_provision,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
public_spending,2008_2014,51,0,0,51,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
public_spending,post_2016,19,0,0,19,0,0.0,0.8313283208020049,0.21850240284505906,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,sparse
public_spending,pre_2008,20,0,0,20,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
public_utility_rates,2008_2014,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
racial_civil_rights,2008_2014,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
racial_civil_rights,post_2016,3,0,0,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
racial_civil_rights,pre_2008,19,1,0,18,1,0.05263157894736842,0.8947368421052632,0.45883146774112354,-1.0,1.0,1.0,1.0,1.0,sparse
redistricting_governance,2008_2014,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
redistricting_governance,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
redistricting_governance,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
religion_state,2008_2014,5,2,0,3,2,0.4,0.2,1.0954451150103324,-1.0,-1.0,1.0,1.0,1.0,sparse
religion_state,post_2016,12,2,0,10,2,0.16666666666666666,0.6666666666666666,0.7784989441615229,-1.0,1.0,1.0,1.0,1.0,sparse
religion_state,pre_2008,65,1,1,63,1,0.015384615384615385,0.9538461538461539,0.2756112088822559,-1.0,1.0,1.0,1.0,1.0,sparse
renewable_energy_support,2008_2014,9,0,1,8,0,0.0,0.8888888888888888,0.33333333333333337,0.0,1.0,1.0,1.0,1.0,sparse
renewable_energy_support,post_2016,19,0,0,19,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
renewable_energy_support,pre_2008,22,0,0,22,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
resource_development,2008_2014,15,7,0,8,7,0.4666666666666667,0.06666666666666667,1.0327955589886444,-1.0,-1.0,1.0,1.0,1.0,sparse
resource_development,post_2016,4,1,0,3,1,0.25,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,sparse
resource_development,pre_2008,8,0,0,8,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
resource_management,2008_2014,15,0,0,15,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
resource_management,post_2016,4,0,0,4,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
resource_management,pre_2008,18,0,0,18,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
security_preparedness,2008_2014,3,0,0,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
security_preparedness,post_2016,7,0,0,7,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
social_security_generosity,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
surveillance_authority,2008_2014,16,0,0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
surveillance_authority,post_2016,8,0,0,8,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
tax_burden,2008_2014,47,38,9,0,0,0.0,-0.6131363460701335,0.38098588636725966,-1.0,-1.0,-0.5789473684210527,-0.36231884057971014,0.1,sparse
tax_burden,post_2016,26,20,0,6,6,0.23076923076923078,-0.44965034965034967,0.8180534475829513,-1.0,-1.0,-0.8181818181818182,-0.6,1.0,weakly_two_sided
tax_burden,pre_2008,97,18,37,42,18,0.18556701030927836,0.2079299280330208,0.5569898919251574,-1.0,-0.0909090909090909,0.0909090909090909,0.6428571428571429,1.0,two_sided_usable
tax_distribution,2008_2014,6,0,0,6,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
tax_distribution,post_2016,8,0,0,8,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
tax_distribution,pre_2008,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
term_limits,post_2016,5,3,0,2,2,0.4,-0.2,1.0954451150103324,-1.0,-1.0,-1.0,1.0,1.0,sparse
trade_openness,2008_2014,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
trade_openness,post_2016,5,5,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
voting_access,2008_2014,21,0,0,21,0,0.0,0.9571428571428572,0.1362770287738494,0.4999999999999999,1.0,1.0,1.0,1.0,sparse
voting_access,post_2016,34,13,1,20,13,0.38235294117647056,0.22549019607843138,0.9595193389681276,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
voting_access,pre_2008,36,18,0,18,18,0.5,0.0,1.01418510567422,-1.0,-1.0,0.0,1.0,1.0,two_sided_usable
welfare_conditionality,2008_2014,15,0,0,15,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
welfare_conditionality,post_2016,24,14,0,10,10,0.4166666666666667,-0.16666666666666666,1.0072203103706698,-1.0,-1.0,-1.0,1.0,1.0,two_sided_usable
welfare_conditionality,pre_2008,46,0,0,46,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
welfare_generosity,2008_2014,20,6,6,8,6,0.3,0.2,0.7326950970650465,-1.0,-0.5,0.0,1.0,1.0,weakly_two_sided
welfare_generosity,post_2016,7,0,0,7,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
welfare_generosity,pre_2008,51,3,2,46,3,0.058823529411764705,0.5852941176470587,0.42812766863821683,-1.0,0.5,0.6666666666666666,0.8333333333333334,1.0,one_sided
