canonical_candidate_id,person_id,canonical_candidate,election_year,chamber,district,party,votesmart_candidate_id,votesmart_candidate,match_method,name_score,score_margin,accepted,review_required
AL-1994-house-23-D-POBINSON,ALPERSON-POBINSON,Pobinson,1994,house,23,D,,Oliver Robinson,unmatched,84.0,0.0,False,True
AL-1994-house-24-D-BURKE,ALPERSON-BURKE,Burke,1994,house,24,D,5628.0,Ralph Burke,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-25-D-HAWK,ALPERSON-HAWK,Hawk,1994,house,25,D,5656.0,Howard Hawk,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-26-D-MCDANIEL,ALPERSON-MCDANIEL,Mcdaniel,1994,house,26,D,5679.0,W. McDaniel,canonical_person_id_propagation,95.0,17.857,True,False
AL-1994-house-26-R-HOLCOMB,ALPERSON-HOLCOMB,Holcomb,1994,house,26,R,,Albert Lipscomb,unmatched,65.455,3.273,False,False
AL-1994-house-27-D-MURPHREE,ALPERSON-MURPHREE,Murphree,1994,house,27,D,5690.0,Jim Murphree,canonical_person_id_propagation,90.0,30.0,True,False
AL-1994-house-27-R-MARTIN,ALPERSON-MARTIN,Martin,1994,house,27,R,,,manual_rejected_identity,0.0,0.0,False,True
AL-1994-house-28-D-FORD,ALPERSON-FORD,Ford,1994,house,28,D,5643.0,Joe Ford,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-28-R-O-BARR,ALPERSON-O-BARR,O'Barr,1994,house,28,R,,Lowell Barron,unmatched,77.727,0.0,False,True
AL-1994-house-29-D-PAGE,ALPERSON-PAGE,Page,1994,house,29,D,5693.0,Jack Page III,canonical_person_id_propagation,90.0,12.857,True,False
AL-1994-house-29-R-ESTES,ALPERSON-ESTES,Estes,1994,house,29,R,,Tracy Estes,unmatched,90.0,18.0,False,True
AL-1994-house-30-D-GALLIHER,ALPERSON-GALLIHER,Galliher,1994,house,30,D,5646.0,Blaine Galliher,canonical_person_id_propagation,90.0,20.769,True,False
AL-1994-house-30-R-HODGES,ALPERSON-HODGES,Hodges,1994,house,30,R,,Howard Rhodes,unmatched,81.818,9.818,False,True
AL-1994-house-31-D-VENABLE,ALPERSON-VENABLE,Venable,1994,house,31,D,5719.0,Jack Venable,canonical_person_id_propagation,90.0,30.0,True,False
AL-1994-house-32-D-BOYD,ALPERSON-BOYD,Boyd,1994,house,32,D,5627.0,Barbara Boyd,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-32-R-MONTGOMERY,ALPERSON-MONTGOMERY,Montgomery,1994,house,32,R,,Jim Toomey,unmatched,60.0,5.714,False,False
AL-1994-house-33-D-JOHNSON,ALPERSON-JOHNSON,Johnson,1994,house,33,D,,DJ Johnson,unmatched,95.0,5.0,False,True
AL-1994-house-33-R-HATTAWAY,ALPERSON-HATTAWAY,Hattaway,1994,house,33,R,,Allen Treadaway,unmatched,64.286,10.848,False,False
AL-1994-house-34-D-WILLIS,ALPERSON-WILLIS,Willis,1994,house,34,D,,Gerald Willis,unmatched,90.0,0.0,False,True
AL-1994-house-35-D-SHADDIX,ALPERSON-SHADDIX,Shaddix,1994,house,35,D,,Shadrack McGill,unmatched,65.455,5.455,False,False
AL-1994-house-35-R-SIMS,ALPERSON-SIMS,Sims,1994,house,35,R,5709.0,Larry Sims,canonical_person_id_propagation,90.0,22.5,True,False
AL-1994-house-36-D-CAMPBELL,ALPERSON-CAMPBELL,Campbell,1994,house,36,D,,Ray Campbell,unmatched,90.0,0.0,False,True
AL-1994-house-36-R-ROGERS,ALPERSON-ROGERS,Rogers,1994,house,36,R,,Mike Rogers,unmatched,90.0,0.0,False,True
AL-1994-house-37-D-LAIRD,ALPERSON-LAIRD,Laird,1994,house,37,D,,"Richard Laird, Sr.",unmatched,90.0,10.0,False,True
AL-1994-house-38-D-FULLER,ALPERSON-FULLER,Fuller,1994,house,38,D,5644.0,"Bill Fuller, Jr.",canonical_person_id_propagation,90.0,18.0,True,False
AL-1994-house-39-D-LINDSEY,ALPERSON-LINDSEY,Lindsey,1994,house,39,D,,WH Lindsey,unmatched,95.0,5.0,False,True
AL-1994-house-40-D-MARTIN,ALPERSON-MARTIN,Martin,1994,house,40,D,,,manual_rejected_identity,0.0,0.0,False,True
AL-1994-house-40-R-KNIGHT,ALPERSON-KNIGHT,Knight,1994,house,40,R,,"John Knight, Jr.",unmatched,90.0,0.0,False,True
AL-1994-house-41-D-HILL,ALPERSON-HILL,Hill,1994,house,41,D,5604.0,"Odell Hill, Jr.",canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-42-D-SMITH,ALPERSON-SMITH,Smith,1994,house,42,D,,Pamela Smith,unmatched,90.0,0.0,False,True
AL-1994-house-42-R-BIALAS,ALPERSON-BIALAS,Bialas,1994,house,42,R,,"Bill Fuller, Jr.",unmatched,60.0,0.0,False,False
AL-1994-house-43-D-ROMEI,ALPERSON-ROMEI,Romei,1994,house,43,D,,D.L. Bloomer,unmatched,60.0,0.0,False,False
AL-1994-house-43-R-SANDERSON,ALPERSON-SANDERSON,Sanderson,1994,house,43,R,,Allen Sanderson,unmatched,90.0,11.25,False,True
AL-1994-house-44-D-PAYNE,ALPERSON-PAYNE,Payne,1994,house,44,D,,Arthur Payne,unmatched,90.0,14.0,False,True
AL-1994-house-45-D-MORTON,ALPERSON-MORTON,Morton,1994,house,45,D,16103.0,Michael Morton,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-46-D-JONES,ALPERSON-JONES,Jones,1994,house,46,D,16006.0,Patrick Jones,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-46-R-CARNS,ALPERSON-CARNS,Carns,1994,house,46,R,,Jim Carns,unmatched,90.0,10.0,False,True
AL-1994-house-47-D-GAINES,ALPERSON-GAINES,Gaines,1994,house,47,D,,Mark Gaines,unmatched,90.0,18.0,False,True
AL-1994-house-48-D-GULAS,ALPERSON-GULAS,Gulas,1994,house,48,D,,Lashunda Scales,unmatched,67.5,3.375,False,False
AL-1994-house-48-R-HAWKINS,ALPERSON-HAWKINS,Hawkins,1994,house,48,R,,"John Hawkins, Jr.",unmatched,90.0,0.0,False,True
AL-1994-house-49-D-HOLLADAY,ALPERSON-HOLLADAY,Holladay,1994,house,49,D,,Jimmy Holley,unmatched,64.286,1.128,False,False
AL-1994-house-49-R-THOMAS,ALPERSON-THOMAS,Thomas,1994,house,49,R,,Dave Thomas,unmatched,90.0,0.0,False,True
AL-1994-house-50-D-SMITH,ALPERSON-SMITH,Smith,1994,house,50,D,,Pamela Smith,unmatched,90.0,0.0,False,True
AL-1994-house-50-R-TOWNSEND,ALPERSON-TOWNSEND,Townsend,1994,house,50,R,,Jim Townsend,unmatched,90.0,30.0,False,True
AL-1994-house-51-D-PETELOS,ALPERSON-PETELOS,Petelos,1994,house,51,D,,Elbert Peters,unmatched,69.231,2.564,False,False
AL-1994-house-52-D-ROGERS,ALPERSON-ROGERS,Rogers,1994,house,52,D,,Mike Rogers,unmatched,90.0,0.0,False,True
AL-1994-house-53-D-NEWTON,ALPERSON-NEWTON,Newton,1994,house,53,D,,"Demetrius Newton, Sr.",unmatched,90.0,0.0,False,True
AL-1994-house-53-R-BLAKE,ALPERSON-BLAKE,Blake,1994,house,53,R,,Locy Baker,unmatched,76.0,0.0,False,True
AL-1994-house-54-D-PERDUE,ALPERSON-PERDUE,Perdue,1994,house,54,D,5699.0,George Perdue,canonical_person_id_propagation,90.0,24.545,True,False
AL-1994-house-54-R-PEARSON,ALPERSON-PEARSON,Pearson,1994,house,54,R,,Kerry Henderson,unmatched,75.0,0.0,False,True
AL-1994-house-55-D-MINNIFIELD,ALPERSON-MINNIFIELD,Minnifield,1994,house,55,D,,David Beddingfield,unmatched,70.0,9.13,False,False
AL-1994-house-55-R-EVANS,ALPERSON-EVANS,Evans,1994,house,55,R,,Larry Means,unmatched,80.0,0.0,False,True
AL-1994-house-56-D-MCADORY,ALPERSON-MCADORY,Mcadory,1994,house,56,D,,Lawrence McAdory,unmatched,90.0,24.545,False,True
AL-1994-house-57-D-HOUSTON,ALPERSON-HOUSTON,Houston,1994,house,57,D,,Tommie Houston,unmatched,90.0,20.769,False,True
AL-1994-house-58-D-JOHNSON,ALPERSON-JOHNSON,Johnson,1994,house,58,D,,DJ Johnson,unmatched,95.0,5.0,False,True
AL-1994-house-58-R-LELAND,ALPERSON-LELAND,Leland,1994,house,58,R,,Joe Holland,unmatched,81.818,0.0,False,True
AL-1994-house-59-D-SPRATT,ALPERSON-SPRATT,Spratt,1994,house,59,D,,Lewis Spratt,unmatched,90.0,21.6,False,True
AL-1994-house-60-D-HILLARD,ALPERSON-HILLARD,Hillard,1994,house,60,D,,John Hilliard,unmatched,77.143,0.0,False,True
AL-1994-house-60-R-WRIGHT,ALPERSON-WRIGHT,Wright,1994,house,60,R,,David Boatwright,unmatched,90.0,8.182,False,True
AL-1994-house-61-D-LAYSON,ALPERSON-LAYSON,Layson,1994,house,61,D,,Allen Layson,unmatched,90.0,18.0,False,True
AL-1994-house-62-D-ALLEN,ALPERSON-ALLEN,Allen,1994,house,62,D,5621.0,Gerald Allen,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-62-R-COPELAND,ALPERSON-COPELAND,Copeland,1994,house,62,R,,Ted Copland,unmatched,73.684,4.453,False,False
AL-1994-house-63-D-PARKER,ALPERSON-PARKER,Parker,1994,house,63,D,,William Parker,unmatched,90.0,0.0,False,True
AL-1994-house-64-D-WARREN,ALPERSON-WARREN,Warren,1994,house,64,D,5720.0,James Warren,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-64-R-BOWEN,ALPERSON-BOWEN,Bowen,1994,house,64,R,15963.0,David Bowen,canonical_person_id_propagation,90.0,10.0,True,False
AL-1994-house-65-D-DOLBARE,ALPERSON-DOLBARE,Dolbare,1994,house,65,D,8192.0,Jeff Dolbare,canonical_person_id_propagation,90.0,25.714,True,False
AL-1994-house-65-R-WILKINS,ALPERSON-WILKINS,Wilkins,1994,house,65,R,,Gerald Hawkins,unmatched,75.0,5.769,False,True
AL-1994-house-66-D-WHITE,ALPERSON-WHITE,White,1994,house,66,D,,Skippy White,unmatched,90.0,0.0,False,True
AL-1994-house-66-R-THOMSON,ALPERSON-THOMSON,Thomson,1994,house,66,R,,Wesley Thompson,unmatched,77.143,3.459,False,True
AL-1994-house-67-D-MAULL,ALPERSON-MAULL,Maull,1994,house,67,D,5676.0,Edward Maull,canonical_person_id_propagation,90.0,10.0,True,False
AL-1994-house-67-R-WALKER,ALPERSON-WALKER,Walker,1994,house,67,R,,Cliff Walker,unmatched,90.0,15.0,False,True
AL-1994-house-68-D-JACKSON,ALPERSON-JACKSON,Jackson,1994,house,68,D,,"Thomas Jackson, Jr.",unmatched,90.0,0.0,False,True
AL-1994-house-69-D-THOMAS,ALPERSON-THOMAS,Thomas,1994,house,69,D,,Dave Thomas,unmatched,90.0,0.0,False,True
AL-1994-house-69-R-BROOKS,ALPERSON-BROOKS,Brooks,1994,house,69,R,,Mike Westbrooks,unmatched,90.0,0.0,False,True
AL-1994-house-70-D-MELTON,ALPERSON-MELTON,Melton,1994,house,70,D,,"Bryant Melton, Jr.",unmatched,90.0,0.0,False,True
AL-1994-house-71-D-BLACK,ALPERSON-BLACK,Black,1994,house,71,D,,Lucius Black,unmatched,90.0,0.0,False,True
AL-1994-house-72-D-HAYDEN,ALPERSON-HAYDEN,Hayden,1994,house,72,D,5658.0,Andrew Hayden,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-72-R-WILLIAMS,ALPERSON-WILLIAMS,Williams,1994,house,72,R,,Walter Williams,unmatched,90.0,0.0,False,True
AL-1994-house-73-D-VAUGHAN,ALPERSON-VAUGHAN,Vaughan,1994,house,73,D,,Vaughn Goodwin,unmatched,83.077,0.0,False,True
AL-1994-house-73-R-HOOPER,ALPERSON-HOOPER,Hooper,1994,house,73,R,,"Perry Hooper, Jr.",unmatched,90.0,24.545,False,True
AL-1994-house-74-D-MCKEE,ALPERSON-MCKEE,Mckee,1994,house,74,D,,Bob McKee,unmatched,90.0,18.0,False,True
AL-1994-house-75-D-HOLLEY,ALPERSON-HOLLEY,Holley,1994,house,75,D,16030.0,Jimmy Holley,canonical_person_id_propagation,90.0,8.182,True,False
AL-1994-house-75-R-WREN,ALPERSON-WREN,Wren,1994,house,75,R,,Lawrence McAdory,unmatched,90.0,0.0,False,True
AL-1994-house-76-D-MCCLAMMY,ALPERSON-MCCLAMMY,McClammy,1994,house,76,D,,Thad McClammy,unmatched,90.0,0.0,False,True
AL-1994-house-76-R-MERREN,ALPERSON-MERREN,Merren,1994,house,76,R,,James Warren,unmatched,72.0,0.0,False,False
AL-1994-house-77-D-KNIGHT,ALPERSON-KNIGHT,Knight,1994,house,77,D,,"John Knight, Jr.",unmatched,90.0,0.0,False,True
AL-1994-house-78-D-HOLMES,ALPERSON-HOLMES,Holmes,1994,house,78,D,,J. Holmes,unmatched,95.0,5.0,False,True
AL-1994-house-79-D-TURNHAM,ALPERSON-TURNHAM,Turnham,1994,house,79,D,,Rick Burnham,unmatched,83.077,17.622,False,True
AL-1994-house-79-R-PIERCE,ALPERSON-PIERCE,Pierce,1994,house,79,R,,Kyle Pierce,unmatched,90.0,24.545,False,True
AL-1994-house-80-D-VANCE,ALPERSON-VANCE,Vance,1994,house,80,D,5718.0,Lesley Vance,canonical_person_id_propagation,90.0,10.0,True,False
AL-1994-house-80-R-MCCRAINE,ALPERSON-MCCRAINE,Mccraine,1994,house,80,R,,Edward McClain,unmatched,72.0,7.714,False,False
AL-1994-house-81-D-GRAHAM,ALPERSON-GRAHAM,Graham,1994,house,81,D,5649.0,Betty Graham,canonical_person_id_propagation,90.0,18.0,True,False
AL-1994-house-82-D-REED,ALPERSON-REED,Reed,1994,house,82,D,,Wayne Creed,unmatched,90.0,0.0,False,True
AL-1994-house-83-D-BANDY,ALPERSON-BANDY,Bandy,1994,house,83,D,,George Bandy,unmatched,90.0,10.0,False,True
AL-1994-house-84-D-CLARK,ALPERSON-CLARK,Clark,1994,house,84,D,,William Clark,unmatched,90.0,0.0,False,True
AL-1994-house-85-D-BAKER,ALPERSON-BAKER,Baker,1994,house,85,D,5622.0,Locy Baker,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-85-R-RALEY,ALPERSON-RALEY,Raley,1994,house,85,R,60454.0,Harold Raley,canonical_person_id_propagation,90.0,10.0,True,False
AL-1994-house-86-D-CAROTHERS,ALPERSON-CAROTHERS,Carothers,1994,house,86,D,5631.0,"Joe Carothers, Jr.",canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-86-R-SHUEMAKE,ALPERSON-SHUEMAKE,Shuemake,1994,house,86,R,,Shaun Malone,unmatched,60.0,4.615,False,False
AL-1994-house-87-D-MATHIS,ALPERSON-MATHIS,Mathis,1994,house,87,D,15972.0,Nathan Mathis,canonical_person_id_propagation,90.0,24.545,True,False
AL-1994-house-87-R-SEIBENHENER,ALPERSON-SEIBENHENER,Seibenhener,1994,house,87,R,5708.0,Riley Seibenhener,canonical_person_id_propagation,90.0,32.857,True,False
AL-1994-house-88-D-GIPSON,ALPERSON-GIPSON,Gipson,1994,house,88,D,,"H. Mac Gipson, Jr.",unmatched,90.0,15.0,False,True
AL-1994-house-88-R-TEMPLENTON,ALPERSON-TEMPLENTON,Templenton,1994,house,88,R,,Delbert Shelton,unmatched,60.0,0.0,False,False
AL-1994-house-89-D-FLOWERS,ALPERSON-FLOWERS,Flowers,1994,house,89,D,,George Flowers,unmatched,90.0,24.545,False,True
AL-1994-house-90-D-NEWTON,ALPERSON-NEWTON,Newton,1994,house,90,D,,"Demetrius Newton, Sr.",unmatched,90.0,0.0,False,True
AL-1994-house-91-D-SPICER,ALPERSON-SPICER,Spicer,1994,house,91,D,15991.0,Terry Spicer,canonical_person_id_propagation,90.0,24.545,True,False
AL-1994-house-93-D-WILLIAMS,ALPERSON-WILLIAMS,Williams,1994,house,93,D,,Walter Williams,unmatched,90.0,0.0,False,True
AL-1994-house-93-R-CLOUSE,ALPERSON-CLOUSE,Clouse,1994,house,93,R,,Steve Clouse,unmatched,90.0,15.0,False,True
AL-1994-house-94-D-PENRY,ALPERSON-PENRY,Penry,1994,house,94,D,,"Walter Penry, Jr.",unmatched,90.0,10.0,False,True
AL-1994-house-95-D-MCNAIR,ALPERSON-MCNAIR,Mcnair,1994,house,95,D,,Stephen McNair,unmatched,90.0,30.0,False,True
AL-1994-house-95-R-MCMILLAN,ALPERSON-MCMILLAN,Mcmillan,1994,house,95,R,5681.0,Steve McMillan,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-96-D-BOX,ALPERSON-BOX,Box,1994,house,96,D,,Michael Box,unmatched,90.0,18.0,False,True
AL-1994-house-96-R-LONG,ALPERSON-LONG,Long,1994,house,96,R,,Wes Long,unmatched,90.0,0.0,False,True
AL-1994-house-97-D-KENNEDY,ALPERSON-KENNEDY,Kennedy,1994,house,97,D,,Yvonne Kennedy,unmatched,90.0,15.0,False,True
AL-1994-house-97-R-BAUMHAUER,ALPERSON-BAUMHAUER,Baumhauer,1994,house,97,R,,Delor Baumann,unmatched,60.455,3.455,False,False
AL-1994-house-98-D-CLARK,ALPERSON-CLARK,Clark,1994,house,98,D,,William Clark,unmatched,90.0,0.0,False,True
AL-1994-house-99-D-BUSKEY,ALPERSON-BUSKEY,Buskey,1994,house,99,D,,James Buskey,unmatched,90.0,24.545,False,True
AL-1994-house-100-D-GASTON,ALPERSON-GASTON,Gaston,1994,house,100,D,,Victor Gaston,unmatched,90.0,8.182,False,True
AL-1994-house-101-D-PRINGLE,ALPERSON-PRINGLE,Pringle,1994,house,101,D,,Chris Pringle,unmatched,90.0,15.0,False,True
AL-1994-house-102-D-TURNER,ALPERSON-TURNER,Turner,1994,house,102,D,5716.0,J.E. Turner,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-103-D-MITCHELL,ALPERSON-MITCHELL,Mitchell,1994,house,103,D,,Joseph Mitchell,unmatched,90.0,0.0,False,True
AL-1994-house-103-R-GARDNER,ALPERSON-GARDNER,Gardner,1994,house,103,R,,Gregory Varner,unmatched,75.0,4.412,False,True
AL-1994-house-104-D-ROCKHOLD,ALPERSON-ROCKHOLD,Rockhold,1994,house,104,D,15904.0,Lois Rockhold,canonical_person_id_propagation,90.0,22.5,True,False
AL-1994-house-104-R-DEAN,ALPERSON-DEAN,Dean,1994,house,104,R,5639.0,Mike Dean,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-105-D-HARPER,ALPERSON-HARPER,Harper,1994,house,105,D,,Alan Harper,unmatched,90.0,18.0,False,True
AL-1994-house-105-R-CRIGLER,ALPERSON-CRIGLER,Crigler,1994,house,105,R,5637.0,"Richard Crigler, Jr.",canonical_person_id_propagation,90.0,20.769,True,False
AL-1994-senate-1-D-DENTON,ALPERSON-DENTON,Denton,1994,senate,1,D,5597.0,Bobby Denton,canonical_person_id_propagation,90.0,8.182,True,False
AL-1994-senate-2-D-BUTLER,ALPERSON-BUTLER,Butler,1994,senate,2,D,5594.0,Tom Butler,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-senate-2-R-MANLEY,ALPERSON-MANLEY,Manley,1994,senate,2,R,,Andrea Stanley,unmatched,81.818,4.091,False,True
AL-1994-senate-3-D-ROBERTS,ALPERSON-ROBERTS,Roberts,1994,senate,3,D,5614.0,Tommy Ed Roberts,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-senate-3-R-GENTRY,ALPERSON-GENTRY,Gentry,1994,senate,3,R,,Henry White,unmatched,65.455,5.455,False,False
AL-1994-senate-4-D-FARRAR,ALPERSON-FARRAR,Farrar,1994,senate,4,D,,Barbara Boyd,unmatched,60.0,0.0,False,False
AL-1994-senate-4-R-HALE,ALPERSON-HALE,Hale,1994,senate,4,R,5603.0,Don Hale,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-senate-5-D-WILSON,ALPERSON-WILSON,Wilson,1994,senate,5,D,,J. Wilson,unmatched,95.0,5.0,False,True
AL-1994-senate-5-R-DAVIDSON,ALPERSON-DAVIDSON,Davidson,1994,senate,5,R,,David Colston,unmatched,76.19,2.506,False,True
AL-1994-senate-6-D-BEDFORD,ALPERSON-BEDFORD,Bedford,1994,senate,6,D,5592.0,"Roger Bedford, Jr.",canonical_person_id_propagation,90.0,19.412,True,False
AL-1994-senate-7-D-FREEMAN,ALPERSON-FREEMAN,Freeman,1994,senate,7,D,,Freeman Craig Presson,unmatched,90.0,0.0,False,True
AL-1994-senate-7-R-TONDERA,ALPERSON-TONDERA,Tondera,1994,senate,7,R,,Gene Ponder,unmatched,75.0,8.333,False,True
AL-1994-senate-8-D-BARRON,ALPERSON-BARRON,Barron,1994,senate,8,D,5591.0,Lowell Barron,canonical_person_id_propagation,90.0,12.273,True,False
AL-1994-senate-9-D-MITCHEM,ALPERSON-MITCHEM,Mitchem,1994,senate,9,D,5611.0,Hinton Mitchem,canonical_person_id_propagation,90.0,6.923,True,False
AL-1994-senate-9-R-GOOD,ALPERSON-GOOD,Good,1994,senate,9,R,,Vaughn Goodwin,unmatched,90.0,0.0,False,True
AL-1994-senate-10-D-FLOYD,ALPERSON-FLOYD,Floyd,1994,senate,10,D,,Floyd McBroom,unmatched,90.0,10.0,False,True
AL-1994-senate-10-R-SMITH,ALPERSON-SMITH,Smith,1994,senate,10,R,,Pamela Smith,unmatched,90.0,0.0,False,True
AL-1994-senate-11-D-SPRAYBERRY,ALPERSON-SPRAYBERRY,Sprayberry,1994,senate,11,D,,Tim Sprayberry,unmatched,95.0,27.5,False,True
AL-1994-senate-12-D-GHEE,ALPERSON-GHEE,Ghee,1994,senate,12,D,,Doug Ghee,unmatched,90.0,12.857,False,True
AL-1994-senate-12-R-JAMES,ALPERSON-JAMES,James,1994,senate,12,R,,James Haney,unmatched,90.0,0.0,False,True
AL-1994-senate-13-D-DIAL,ALPERSON-DIAL,Dial,1994,senate,13,D,5598.0,Gerald Dial,canonical_person_id_propagation,90.0,12.857,True,False
AL-1994-senate-14-D-OWENS,ALPERSON-OWENS,Owens,1994,senate,14,D,,Patrick F Owens,unmatched,90.0,10.0,False,True
AL-1994-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,Armistead,1994,senate,14,R,5589.0,Bill Armistead,canonical_person_id_propagation,90.0,30.0,True,False
AL-1994-senate-15-D-AMARI,ALPERSON-AMARI,Amari,1994,senate,15,D,,Marilyn Quarles,unmatched,80.0,0.0,False,True
AL-1994-senate-16-D-WAGGONER,ALPERSON-WAGGONER,Waggoner,1994,senate,16,D,5619.0,Jabo Waggoner,canonical_person_id_propagation,90.0,33.75,True,False
