canonical_candidate_id,year,issue_code,sponsorship_issue_score,directional_sponsored_bills,primary_sponsored_bills
AL-2014-house-4-R-MICKY-HAMMON,2014,abortion,1.0,2,1
AL-2014-house-4-R-MICKY-HAMMON,2014,guns,1.0,3,0
AL-2014-house-4-R-MICKY-HAMMON,2014,immigration,1.0,3,3
AL-2014-house-4-R-MICKY-HAMMON,2014,taxes_budget,1.0,4,2
AL-2014-house-5-R-DAN-WILLIAMS,2014,abortion,1.0,1,0
AL-2014-house-5-R-DAN-WILLIAMS,2014,guns,1.0,3,0
AL-2014-house-5-R-DAN-WILLIAMS,2014,immigration,1.0,3,3
AL-2014-house-5-R-DAN-WILLIAMS,2014,taxes_budget,1.0,2,1
AL-2014-house-6-R-PHIL-WILLIAMS,2014,immigration,1.0,2,2
AL-2014-house-6-R-PHIL-WILLIAMS,2014,school_choice,1.0,4,4
AL-2014-house-6-R-PHIL-WILLIAMS,2014,taxes_budget,1.0,4,2
AL-2014-house-7-R-KEN-JOHNSON,2014,abortion,1.0,4,2
AL-2014-house-7-R-KEN-JOHNSON,2014,guns,1.0,2,0
AL-2014-house-7-R-KEN-JOHNSON,2014,immigration,1.0,2,2
AL-2014-house-7-R-KEN-JOHNSON,2014,taxes_budget,1.0,6,3
AL-2014-house-8-R-TERRI-COLLINS,2014,abortion,1.0,5,3
AL-2014-house-8-R-TERRI-COLLINS,2014,immigration,1.0,3,3
AL-2014-house-8-R-TERRI-COLLINS,2014,school_choice,1.0,1,1
AL-2014-house-8-R-TERRI-COLLINS,2014,taxes_budget,1.0,10,3
AL-2014-house-9-R-ED-HENRY,2014,abortion,1.0,5,3
AL-2014-house-9-R-ED-HENRY,2014,guns,1.0,3,0
AL-2014-house-9-R-ED-HENRY,2014,immigration,1.0,2,2
AL-2014-house-9-R-ED-HENRY,2014,taxes_budget,1.0,5,1
AL-2014-house-10-R-MIKE-BALL,2014,immigration,1.0,1,1
AL-2014-house-10-R-MIKE-BALL,2014,school_choice,1.0,1,1
AL-2014-house-10-R-MIKE-BALL,2014,taxes_budget,1.0,9,3
AL-2014-house-11-R-RANDALL-SHEDD,2014,abortion,1.0,1,0
AL-2014-house-15-R-ALLEN-FARLEY,2014,abortion,1.0,2,1
AL-2014-house-15-R-ALLEN-FARLEY,2014,guns,1.0,1,0
AL-2014-house-15-R-ALLEN-FARLEY,2014,immigration,1.0,1,1
AL-2014-house-15-R-ALLEN-FARLEY,2014,taxes_budget,1.0,3,2
AL-2014-house-17-R-MIKE-MILLICAN,2014,guns,1.0,3,0
AL-2014-house-17-R-MIKE-MILLICAN,2014,immigration,1.0,1,1
AL-2014-house-17-R-MIKE-MILLICAN,2014,taxes_budget,1.0,2,1
AL-2014-house-18-D-JOHNNY-MACK-MORROW,2014,taxes_budget,1.0,1,0
AL-2014-house-18-R-GERRY-WALLACE,2014,abortion,1.0,3,1
AL-2014-house-18-R-GERRY-WALLACE,2014,guns,1.0,2,0
AL-2014-house-18-R-GERRY-WALLACE,2014,taxes_budget,1.0,4,3
AL-2014-house-19-D-LAURA-HALL,2014,healthcare,-1.0,1,0
AL-2014-house-19-D-LAURA-HALL,2014,taxes_budget,1.0,4,1
AL-2014-house-20-R-HOWARD-SANDERFORD,2014,abortion,1.0,1,1
AL-2014-house-20-R-HOWARD-SANDERFORD,2014,guns,1.0,1,0
AL-2014-house-20-R-HOWARD-SANDERFORD,2014,immigration,1.0,2,2
AL-2014-house-20-R-HOWARD-SANDERFORD,2014,taxes_budget,1.0,7,5
AL-2014-house-21-R-JIM-PATTERSON,2014,guns,1.0,1,0
AL-2014-house-21-R-JIM-PATTERSON,2014,immigration,1.0,2,2
AL-2014-house-21-R-JIM-PATTERSON,2014,taxes_budget,0.8666666666666667,10,5
AL-2014-house-23-D-JOHN-ROBINSON,2014,taxes_budget,1.0,2,0
AL-2014-house-25-R-MAC-MCCUTCHEON,2014,immigration,1.0,2,2
AL-2014-house-25-R-MAC-MCCUTCHEON,2014,taxes_budget,1.0,8,5
AL-2014-house-26-R-KERRY-RICH,2014,abortion,1.0,4,2
AL-2014-house-26-R-KERRY-RICH,2014,guns,1.0,2,0
AL-2014-house-26-R-KERRY-RICH,2014,immigration,1.0,4,4
AL-2014-house-26-R-KERRY-RICH,2014,taxes_budget,1.0,3,1
AL-2014-house-28-D-CRAIG-FORD,2014,taxes_budget,1.0,2,1
AL-2014-house-29-R-BECKY-NORDGREN,2014,abortion,1.0,4,2
AL-2014-house-29-R-BECKY-NORDGREN,2014,guns,1.0,2,0
AL-2014-house-29-R-BECKY-NORDGREN,2014,immigration,1.0,3,3
AL-2014-house-29-R-BECKY-NORDGREN,2014,taxes_budget,1.0,2,1
AL-2014-house-30-R-MACK-N-BUTLER,2014,abortion,1.0,1,0
AL-2014-house-30-R-MACK-N-BUTLER,2014,guns,1.0,3,0
AL-2014-house-30-R-MACK-N-BUTLER,2014,taxes_budget,1.0,2,0
AL-2014-house-32-D-BARBARA-BIGSBY-BOYD,2014,healthcare,-1.0,1,0
AL-2014-house-32-D-BARBARA-BIGSBY-BOYD,2014,taxes_budget,1.0,4,2
AL-2014-house-34-R-DAVID-STANDRIDGE,2014,guns,1.0,1,0
AL-2014-house-34-R-DAVID-STANDRIDGE,2014,taxes_budget,1.0,2,0
AL-2014-house-35-R-STEVE-HURST,2014,guns,1.0,1,0
AL-2014-house-35-R-STEVE-HURST,2014,taxes_budget,1.0,2,1
AL-2014-house-36-R-RANDY-WOOD,2014,abortion,1.0,1,1
AL-2014-house-36-R-RANDY-WOOD,2014,guns,1.0,2,0
AL-2014-house-36-R-RANDY-WOOD,2014,immigration,1.0,1,1
AL-2014-house-36-R-RANDY-WOOD,2014,taxes_budget,1.0,9,4
AL-2014-house-37-R-BOB-FINCHER,2014,guns,1.0,2,0
AL-2014-house-37-R-BOB-FINCHER,2014,immigration,1.0,1,1
AL-2014-house-37-R-BOB-FINCHER,2014,school_choice,1.0,3,3
AL-2014-house-37-R-BOB-FINCHER,2014,taxes_budget,1.0,8,5
AL-2014-house-39-D-RICHARD-LINDSEY,2014,taxes_budget,0.5,3,1
AL-2014-house-39-R-HEATH-JONES,2014,abortion,1.0,2,0
AL-2014-house-39-R-HEATH-JONES,2014,guns,1.0,1,0
AL-2014-house-39-R-HEATH-JONES,2014,immigration,1.0,1,1
AL-2014-house-39-R-HEATH-JONES,2014,taxes_budget,1.0,5,3
AL-2014-house-40-R-BROWN,2014,guns,1.0,2,0
AL-2014-house-40-R-BROWN,2014,immigration,1.0,1,1
AL-2014-house-40-R-BROWN,2014,taxes_budget,1.0,4,2
AL-2014-house-41-R-MIKE-HILL,2014,abortion,1.0,2,1
AL-2014-house-41-R-MIKE-HILL,2014,guns,1.0,1,0
AL-2014-house-41-R-MIKE-HILL,2014,immigration,1.0,1,1
AL-2014-house-41-R-MIKE-HILL,2014,taxes_budget,0.5,5,3
AL-2014-house-45-R-DICKIE-DRAKE,2014,taxes_budget,0.6,4,1
AL-2014-house-47-R-JACK-WILLIAMS,2014,abortion,1.0,3,1
AL-2014-house-47-R-JACK-WILLIAMS,2014,guns,1.0,2,0
AL-2014-house-47-R-JACK-WILLIAMS,2014,immigration,1.0,2,2
AL-2014-house-47-R-JACK-WILLIAMS,2014,taxes_budget,0.2,12,8
AL-2014-house-48-R-JIM-CARNS,2014,abortion,1.0,1,0
AL-2014-house-48-R-JIM-CARNS,2014,immigration,1.0,1,1
AL-2014-house-48-R-JIM-CARNS,2014,taxes_budget,1.0,5,0
AL-2014-house-49-R-APRIL-WEAVER,2014,abortion,1.0,3,1
AL-2014-house-49-R-APRIL-WEAVER,2014,guns,1.0,1,0
AL-2014-house-49-R-APRIL-WEAVER,2014,immigration,1.0,1,1
AL-2014-house-49-R-APRIL-WEAVER,2014,taxes_budget,1.0,3,2
AL-2014-house-50-R-JIM-HILL,2014,abortion,1.0,2,1
AL-2014-house-50-R-JIM-HILL,2014,guns,1.0,1,0
AL-2014-house-50-R-JIM-HILL,2014,immigration,1.0,1,1
AL-2014-house-50-R-JIM-HILL,2014,taxes_budget,0.5,5,3
AL-2014-house-51-R-ALLEN-TREADAWAY,2014,immigration,1.0,2,2
AL-2014-house-51-R-ALLEN-TREADAWAY,2014,taxes_budget,1.0,3,1
AL-2014-house-54-D-PATRICIA-A-TODD,2014,lgbtq_rights,-1.0,1,0
AL-2014-house-54-D-PATRICIA-A-TODD,2014,taxes_budget,-0.3333333333333333,13,8
AL-2014-house-55-D-RODERICK-ROD-SCOTT,2014,healthcare,-1.0,1,0
AL-2014-house-55-D-RODERICK-ROD-SCOTT,2014,taxes_budget,0.75,11,5
AL-2014-house-58-D-OLIVER-ROBINSON,2014,taxes_budget,0.8181818181818182,8,3
AL-2014-house-59-D-MARY-MOORE,2014,healthcare,-1.0,1,0
AL-2014-house-59-D-MARY-MOORE,2014,taxes_budget,0.6363636363636364,8,3
AL-2014-house-60-D-JUANDALYNN-LELE-GIVAN,2014,healthcare,-1.0,1,0
AL-2014-house-60-D-JUANDALYNN-LELE-GIVAN,2014,taxes_budget,-0.3333333333333333,3,0
AL-2014-house-61-R-ALAN-HARPER,2014,abortion,1.0,1,0
AL-2014-house-61-R-ALAN-HARPER,2014,guns,1.0,1,0
AL-2014-house-61-R-ALAN-HARPER,2014,taxes_budget,1.0,3,1
AL-2014-house-63-R-BILL-POOLE,2014,criminal_justice,1.0,1,0
AL-2014-house-63-R-BILL-POOLE,2014,immigration,1.0,1,1
AL-2014-house-63-R-BILL-POOLE,2014,taxes_budget,1.0,4,2
AL-2014-house-64-R-HARRY-SHIVER,2014,guns,1.0,2,0
AL-2014-house-64-R-HARRY-SHIVER,2014,immigration,1.0,2,2
AL-2014-house-64-R-HARRY-SHIVER,2014,taxes_budget,0.45454545454545453,8,3
AL-2014-house-65-D-ELAINE-BEECH,2014,guns,1.0,1,0
AL-2014-house-65-D-ELAINE-BEECH,2014,taxes_budget,1.0,3,1
AL-2014-house-66-R-ALAN-BAKER,2014,abortion,1.0,1,0
AL-2014-house-66-R-ALAN-BAKER,2014,guns,1.0,1,0
AL-2014-house-66-R-ALAN-BAKER,2014,immigration,1.0,1,1
AL-2014-house-66-R-ALAN-BAKER,2014,taxes_budget,0.7777777777777778,6,3
AL-2014-house-67-D-DARRIO-MELTON,2014,healthcare,-1.0,1,0
AL-2014-house-67-D-DARRIO-MELTON,2014,taxes_budget,1.0,2,1
AL-2014-house-68-D-THOMAS-E-ACTION-JACKSON,2014,healthcare,-1.0,1,0
AL-2014-house-68-D-THOMAS-E-ACTION-JACKSON,2014,taxes_budget,-1.0,2,0
AL-2014-house-70-D-CHRISTOPHER-JOHN-ENGLAND,2014,criminal_justice,1.0,1,0
AL-2014-house-70-D-CHRISTOPHER-JOHN-ENGLAND,2014,healthcare,-1.0,1,0
AL-2014-house-70-D-CHRISTOPHER-JOHN-ENGLAND,2014,taxes_budget,1.0,2,0
AL-2014-house-71-D-ARTIS-A-J-MCCAMPBELL,2014,healthcare,-1.0,1,0
AL-2014-house-71-D-ARTIS-A-J-MCCAMPBELL,2014,taxes_budget,1.0,2,1
AL-2014-house-72-D-RALPH-A-HOWARD,2014,taxes_budget,1.0,6,5
AL-2014-house-76-D-THAD-MCCLAMMY,2014,taxes_budget,1.0,1,0
AL-2014-house-77-D-JOHN-KNIGHT,2014,taxes_budget,1.0,1,0
AL-2014-house-79-R-MIKE-HUBBARD,2014,guns,1.0,1,0
AL-2014-house-79-R-MIKE-HUBBARD,2014,immigration,1.0,2,2
AL-2014-house-79-R-MIKE-HUBBARD,2014,school_choice,1.0,2,2
AL-2014-house-79-R-MIKE-HUBBARD,2014,taxes_budget,1.0,2,2
AL-2014-house-80-R-LESLEY-VANCE,2014,immigration,1.0,1,1
AL-2014-house-80-R-LESLEY-VANCE,2014,taxes_budget,0.14285714285714285,5,2
AL-2014-house-81-R-MARK-M-TUGGLE,2014,abortion,1.0,3,1
AL-2014-house-81-R-MARK-M-TUGGLE,2014,immigration,1.0,1,1
AL-2014-house-81-R-MARK-M-TUGGLE,2014,taxes_budget,1.0,3,1
AL-2014-house-82-D-PEBBLIN-W-WARREN,2014,healthcare,-1.0,1,0
AL-2014-house-82-D-PEBBLIN-W-WARREN,2014,taxes_budget,1.0,1,0
AL-2014-house-84-D-BERRY-FORTE,2014,healthcare,-1.0,1,0
AL-2014-house-84-D-BERRY-FORTE,2014,taxes_budget,0.0,2,0
AL-2014-house-85-D-DEXTER-GRIMSLEY,2014,healthcare,-1.0,1,0
AL-2014-house-85-D-DEXTER-GRIMSLEY,2014,taxes_budget,1.0,4,2
AL-2014-house-86-R-PAUL-W-LEE,2014,abortion,1.0,1,0
AL-2014-house-86-R-PAUL-W-LEE,2014,guns,1.0,1,0
AL-2014-house-86-R-PAUL-W-LEE,2014,immigration,1.0,2,2
AL-2014-house-86-R-PAUL-W-LEE,2014,taxes_budget,0.6363636363636364,8,3
AL-2014-house-87-R-DONNIE-CHESTEEN,2014,abortion,1.0,1,0
AL-2014-house-87-R-DONNIE-CHESTEEN,2014,guns,1.0,2,0
AL-2014-house-87-R-DONNIE-CHESTEEN,2014,immigration,1.0,2,2
AL-2014-house-87-R-DONNIE-CHESTEEN,2014,taxes_budget,0.4666666666666667,10,5
AL-2014-house-88-R-PAUL-BECKMAN,2014,abortion,1.0,1,0
AL-2014-house-88-R-PAUL-BECKMAN,2014,guns,1.0,1,0
AL-2014-house-88-R-PAUL-BECKMAN,2014,taxes_budget,1.0,3,3
AL-2014-house-89-R-ALAN-C-BOOTHE,2014,immigration,1.0,1,1
AL-2014-house-89-R-ALAN-C-BOOTHE,2014,taxes_budget,1.0,3,3
AL-2014-house-91-R-BARRY-MOORE,2014,abortion,1.0,2,1
AL-2014-house-91-R-BARRY-MOORE,2014,guns,1.0,2,0
AL-2014-house-91-R-BARRY-MOORE,2014,immigration,1.0,2,2
AL-2014-house-91-R-BARRY-MOORE,2014,taxes_budget,1.0,4,3
AL-2014-house-93-R-STEVE-CLOUSE,2014,immigration,1.0,1,1
AL-2014-house-93-R-STEVE-CLOUSE,2014,taxes_budget,1.0,6,4
AL-2014-house-94-R-T-JOE-FAUST,2014,taxes_budget,0.5555555555555556,6,3
AL-2014-house-95-R-STEVE-MCMILLAN,2014,guns,1.0,1,0
AL-2014-house-95-R-STEVE-MCMILLAN,2014,immigration,1.0,1,1
AL-2014-house-95-R-STEVE-MCMILLAN,2014,school_choice,1.0,2,2
AL-2014-house-95-R-STEVE-MCMILLAN,2014,taxes_budget,0.8181818181818182,8,3
AL-2014-house-96-R-RANDY-DAVIS,2014,taxes_budget,0.7777777777777778,7,2
AL-2014-house-97-D-ADLINE-C-CLARKE,2014,taxes_budget,0.0,2,0
AL-2014-house-99-D-JAMES-E-BUSKEY,2014,healthcare,-1.0,1,0
AL-2014-house-99-D-JAMES-E-BUSKEY,2014,taxes_budget,0.7142857142857143,6,1
AL-2014-house-100-R-VICTOR-GASTON,2014,guns,1.0,1,0
AL-2014-house-100-R-VICTOR-GASTON,2014,immigration,1.0,2,2
AL-2014-house-100-R-VICTOR-GASTON,2014,taxes_budget,0.9130434782608695,14,9
AL-2014-house-102-R-JACK-WILLIAMS,2014,abortion,1.0,3,1
AL-2014-house-102-R-JACK-WILLIAMS,2014,guns,1.0,2,0
AL-2014-house-102-R-JACK-WILLIAMS,2014,immigration,1.0,2,2
AL-2014-house-102-R-JACK-WILLIAMS,2014,taxes_budget,0.2,12,8
AL-2014-house-104-R-MARGIE-WILCOX,2014,abortion,1.0,1,0
AL-2014-house-104-R-MARGIE-WILCOX,2014,taxes_budget,-1.0,1,0
AL-2014-house-105-R-DAVID-SESSIONS,2014,abortion,1.0,3,1
AL-2014-house-105-R-DAVID-SESSIONS,2014,guns,1.0,2,0
AL-2014-house-105-R-DAVID-SESSIONS,2014,school_choice,1.0,1,1
AL-2014-house-105-R-DAVID-SESSIONS,2014,taxes_budget,1.0,7,2
AL-2014-senate-2-R-BILL-HOLTZCLAW,2014,abortion,1.0,1,1
AL-2014-senate-2-R-BILL-HOLTZCLAW,2014,guns,1.0,1,0
AL-2014-senate-2-R-BILL-HOLTZCLAW,2014,immigration,1.0,1,1
AL-2014-senate-2-R-BILL-HOLTZCLAW,2014,school_choice,1.0,1,1
AL-2014-senate-2-R-BILL-HOLTZCLAW,2014,taxes_budget,1.0,6,6
AL-2014-senate-3-R-ARTHUR-ORR,2014,labor_unions,1.0,1,0
AL-2014-senate-3-R-ARTHUR-ORR,2014,taxes_budget,0.6,8,7
AL-2014-senate-4-R-PAUL-BUSSMAN,2014,abortion,1.0,1,1
AL-2014-senate-4-R-PAUL-BUSSMAN,2014,guns,1.0,1,0
AL-2014-senate-4-R-PAUL-BUSSMAN,2014,taxes_budget,1.0,5,5
AL-2014-senate-5-R-GREG-REED,2014,abortion,1.0,6,6
AL-2014-senate-5-R-GREG-REED,2014,guns,1.0,1,0
AL-2014-senate-5-R-GREG-REED,2014,immigration,1.0,1,1
AL-2014-senate-5-R-GREG-REED,2014,labor_unions,1.0,1,0
AL-2014-senate-5-R-GREG-REED,2014,taxes_budget,1.0,4,3
AL-2014-senate-7-R-PAUL-L-SANFORD,2014,guns,1.0,1,0
AL-2014-senate-7-R-PAUL-L-SANFORD,2014,immigration,1.0,7,7
AL-2014-senate-7-R-PAUL-L-SANFORD,2014,taxes_budget,0.8333333333333334,8,4
AL-2014-senate-9-R-CLAY-SCOFIELD,2014,abortion,1.0,2,2
AL-2014-senate-9-R-CLAY-SCOFIELD,2014,guns,1.0,2,0
AL-2014-senate-9-R-CLAY-SCOFIELD,2014,labor_unions,1.0,1,0
AL-2014-senate-9-R-CLAY-SCOFIELD,2014,taxes_budget,1.0,4,4
AL-2014-senate-10-R-PHIL-WILLIAMS,2014,abortion,1.0,1,1
AL-2014-senate-10-R-PHIL-WILLIAMS,2014,guns,1.0,1,0
AL-2014-senate-10-R-PHIL-WILLIAMS,2014,immigration,1.0,1,1
AL-2014-senate-10-R-PHIL-WILLIAMS,2014,taxes_budget,1.0,4,4
AL-2014-senate-12-R-DEL-MARSH,2014,guns,1.0,1,0
AL-2014-senate-12-R-DEL-MARSH,2014,labor_unions,1.0,1,0
AL-2014-senate-12-R-DEL-MARSH,2014,taxes_budget,1.0,6,5
AL-2014-senate-13-R-GERALD-DIAL,2014,abortion,1.0,1,1
AL-2014-senate-13-R-GERALD-DIAL,2014,guns,1.0,1,0
AL-2014-senate-13-R-GERALD-DIAL,2014,immigration,1.0,1,1
AL-2014-senate-13-R-GERALD-DIAL,2014,labor_unions,1.0,2,0
AL-2014-senate-13-R-GERALD-DIAL,2014,taxes_budget,1.0,9,5
AL-2014-senate-14-R-CAM-WARD,2014,taxes_budget,1.0,9,7
AL-2014-senate-15-R-SLADE-BLACKWELL,2014,immigration,1.0,1,1
AL-2014-senate-15-R-SLADE-BLACKWELL,2014,taxes_budget,1.0,5,3
AL-2014-senate-16-R-J-T-JABO-WAGGONER,2014,abortion,1.0,2,2
AL-2014-senate-16-R-J-T-JABO-WAGGONER,2014,labor_unions,1.0,1,0
AL-2014-senate-16-R-J-T-JABO-WAGGONER,2014,taxes_budget,0.7894736842105263,11,8
AL-2014-senate-18-D-RODGER-M-SMITHERMAN,2014,criminal_justice,1.0,1,1
AL-2014-senate-18-D-RODGER-M-SMITHERMAN,2014,immigration,1.0,1,1
AL-2014-senate-18-D-RODGER-M-SMITHERMAN,2014,taxes_budget,1.0,2,2
AL-2014-senate-18-D-RODGER-M-SMITHERMAN,2014,voting_elections,1.0,1,0
AL-2014-senate-19-D-PRISCILLA-DUNN,2014,criminal_justice,1.0,1,1
AL-2014-senate-19-D-PRISCILLA-DUNN,2014,taxes_budget,1.0,6,5
AL-2014-senate-21-R-GERALD-ALLEN,2014,abortion,1.0,5,5
AL-2014-senate-21-R-GERALD-ALLEN,2014,guns,1.0,1,0
AL-2014-senate-21-R-GERALD-ALLEN,2014,labor_unions,1.0,1,0
AL-2014-senate-21-R-GERALD-ALLEN,2014,taxes_budget,0.7777777777777778,6,3
AL-2014-senate-23-D-HANK-SANDERS,2014,criminal_justice,1.0,13,5
AL-2014-senate-23-D-HANK-SANDERS,2014,taxes_budget,1.0,1,1
AL-2014-senate-24-D-BOBBY-SINGLETON,2014,taxes_budget,1.0,3,3
AL-2014-senate-24-D-BOBBY-SINGLETON,2014,voting_elections,1.0,1,0
AL-2014-senate-25-R-DICK-L-BREWBAKER,2014,abortion,1.0,3,3
AL-2014-senate-25-R-DICK-L-BREWBAKER,2014,labor_unions,1.0,1,0
AL-2014-senate-25-R-DICK-L-BREWBAKER,2014,school_choice,1.0,1,1
AL-2014-senate-25-R-DICK-L-BREWBAKER,2014,taxes_budget,0.7777777777777778,6,3
AL-2014-senate-27-R-TOM-WHATLEY,2014,abortion,1.0,2,2
AL-2014-senate-27-R-TOM-WHATLEY,2014,guns,1.0,2,0
AL-2014-senate-27-R-TOM-WHATLEY,2014,immigration,1.0,1,1
AL-2014-senate-27-R-TOM-WHATLEY,2014,labor_unions,1.0,1,0
AL-2014-senate-27-R-TOM-WHATLEY,2014,taxes_budget,1.0,7,3
AL-2014-senate-28-D-BILLY-BEASLEY,2014,criminal_justice,1.0,1,1
AL-2014-senate-28-D-BILLY-BEASLEY,2014,taxes_budget,1.0,5,5
AL-2014-senate-31-R-JIMMY-W-HOLLEY,2014,guns,1.0,1,0
AL-2014-senate-31-R-JIMMY-W-HOLLEY,2014,immigration,1.0,1,1
AL-2014-senate-31-R-JIMMY-W-HOLLEY,2014,taxes_budget,1.0,4,3
AL-2014-senate-32-R-TRIP-PITTMAN,2014,abortion,1.0,1,1
AL-2014-senate-32-R-TRIP-PITTMAN,2014,guns,0.0,2,0
AL-2014-senate-32-R-TRIP-PITTMAN,2014,immigration,1.0,1,1
AL-2014-senate-32-R-TRIP-PITTMAN,2014,taxes_budget,0.6,6,4
AL-2014-senate-33-D-VIVIAN-DAVIS-FIGURES,2014,taxes_budget,0.4,6,4
AL-2014-senate-34-R-RUSTY-GLOVER,2014,abortion,1.0,1,1
AL-2014-senate-34-R-RUSTY-GLOVER,2014,taxes_budget,0.7777777777777778,6,3
AL-2014-senate-35-R-BILL-HIGHTOWER,2014,taxes_budget,-1.0,1,0
AL-2018-house-1-R-PHILLIP-PETTUS,2018,taxes_budget,1.0,1,0
AL-2018-house-2-R-LYNN-GREER,2018,criminal_justice,1.0,1,0
AL-2018-house-2-R-LYNN-GREER,2018,taxes_budget,1.0,8,0
AL-2018-house-5-R-DANNY-F-CRAWFORD,2018,taxes_budget,1.0,2,0
AL-2018-house-8-R-TERRI-COLLINS,2018,abortion,1.0,3,0
AL-2018-house-8-R-TERRI-COLLINS,2018,school_choice,1.0,5,0
AL-2018-house-8-R-TERRI-COLLINS,2018,taxes_budget,1.0,2,0
AL-2018-house-13-R-CONNIE-COONER-ROWE,2018,taxes_budget,-1.0,2,0
AL-2018-house-19-D-LAURA-HALL,2018,taxes_budget,1.0,2,0
AL-2018-house-24-R-NATHANIEL-LEDBETTER,2018,taxes_budget,1.0,1,0
AL-2018-house-25-R-MAC-MCCUTCHEON,2018,taxes_budget,-1.0,3,0
AL-2018-house-29-R-BECKY-NORDGREN,2018,school_choice,1.0,1,0
AL-2018-house-35-R-STEVE-HURST,2018,taxes_budget,-1.0,1,0
AL-2018-house-37-R-BOB-FINCHER,2018,taxes_budget,-1.0,2,0
AL-2018-house-40-D-PAMELA-JEAN-HOWARD,2018,school_choice,1.0,1,0
AL-2018-house-42-R-JAMES-M-JIMMY-MARTIN,2018,taxes_budget,1.0,2,0
AL-2018-house-44-R-DANNY-GARRETT,2018,taxes_budget,1.0,2,0
AL-2018-house-45-R-DICKIE-DRAKE,2018,taxes_budget,1.0,2,0
AL-2018-house-46-R-DAVID-FAULKNER,2018,labor_unions,1.0,1,0
AL-2018-house-46-R-DAVID-FAULKNER,2018,taxes_budget,1.0,4,0
AL-2018-house-48-R-JIM-CARNS,2018,taxes_budget,1.0,1,0
AL-2018-house-49-R-APRIL-WEAVER,2018,taxes_budget,0.3333333333333333,3,0
AL-2018-house-50-R-JIM-HILL,2018,abortion,1.0,1,0
AL-2018-house-50-R-JIM-HILL,2018,taxes_budget,1.0,1,0
