primitive_axis,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
healthcare_regulation_patient_rights,31,8,0,23,8,0.25806451612903225,0.4838709677419355,0.8896054459491387,-1.0,0.0,1.0,1.0,1.0,weakly_two_sided
hunting_rural_recreation,13,0,0,13,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
immigrant_public_benefits,16,1,3,12,1,0.0625,0.3958333333333333,0.5335936864527374,-1.0,0.25,0.3333333333333333,1.0,1.0,sparse
immigration_access,47,27,4,16,16,0.3404255319148936,-0.1860013508949679,0.9021214850388893,-1.0,-1.0,-0.75,1.0,1.0,two_sided_usable
immigration_enforcement,28,12,3,13,12,0.42857142857142855,0.2023809523809524,0.8080830627674174,-1.0,-0.3333333333333333,0.0,1.0,1.0,two_sided_usable
incarceration,21,12,1,8,8,0.38095238095238093,-0.0873015873015873,0.9138122947591096,-1.0,-1.0,-0.5,1.0,1.0,weakly_two_sided
institutional_populism,21,2,1,18,2,0.09523809523809523,0.7301587301587301,0.6291003066023698,-1.0,1.0,1.0,1.0,1.0,sparse
labor_capital_alignment,85,13,0,72,13,0.15294117647058825,0.6784313725490196,0.7245634679652749,-1.0,1.0,1.0,1.0,1.0,two_sided_usable
labor_rights,134,36,0,98,36,0.26865671641791045,0.47388059701492535,0.8692400769926957,-1.0,-0.3333333333333333,1.0,1.0,1.0,two_sided_usable
land_use_property_rights,61,39,2,20,20,0.32786885245901637,-0.3114754098360656,0.9405846339122879,-1.0,-1.0,-1.0,1.0,1.0,two_sided_usable
malpractice_liability,14,2,11,1,1,0.07142857142857142,-0.07142857142857142,0.4746311465493234,-1.0,0.0,0.0,0.0,1.0,sparse
market_governance,227,75,36,116,75,0.3303964757709251,0.17110084581038934,0.6648030390521317,-1.0,-0.26,0.1666666666666666,0.9043626551538047,1.0,two_sided_usable
marriage_equality,59,50,2,7,7,0.11864406779661017,-0.7288135593220338,0.6651551147736342,-1.0,-1.0,-1.0,-1.0,1.0,weakly_two_sided
military_intervention,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
police_authority,32,1,1,30,1,0.03125,0.90625,0.3901509219974802,-1.0,1.0,1.0,1.0,1.0,sparse
public_employee_compensation,141,1,1,139,1,0.0070921985815602835,0.9392097264437687,0.18816078966073319,-0.2,1.0,1.0,1.0,1.0,sparse
public_private_provision,40,4,0,36,4,0.1,0.7666666666666668,0.6141725956178582,-1.0,1.0,1.0,1.0,1.0,one_sided
public_spending,90,0,0,90,0,0.0,0.9643915343915344,0.1201971843750356,0.3333333333333333,1.0,1.0,1.0,1.0,sparse
public_utility_rates,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
racial_civil_rights,24,1,0,23,1,0.041666666666666664,0.9166666666666666,0.408248290463863,-1.0,1.0,1.0,1.0,1.0,sparse
redistricting_governance,4,1,0,3,1,0.25,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,sparse
religion_state,82,5,1,76,5,0.06097560975609756,0.8658536585365854,0.49096013571673314,-1.0,1.0,1.0,1.0,1.0,weakly_two_sided
renewable_energy_support,50,0,1,49,0,0.0,0.98,0.14142135623730948,0.0,1.0,1.0,1.0,1.0,sparse
resource_development,27,8,0,19,8,0.2962962962962963,0.4074074074074074,0.9306432539361504,-1.0,-1.0,1.0,1.0,1.0,weakly_two_sided
resource_management,37,0,0,37,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
security_preparedness,10,0,0,10,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
social_security_generosity,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
surveillance_authority,24,0,0,24,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
tax_burden,170,76,46,48,48,0.2823529411764706,-0.1196418490411903,0.6788269286451761,-1.0,-0.7944444444444445,-0.06349206349206345,0.2272727272727272,1.0,two_sided_usable
tax_distribution,16,0,0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
term_limits,5,3,0,2,2,0.4,-0.2,1.0954451150103324,-1.0,-1.0,-1.0,1.0,1.0,sparse
trade_openness,6,6,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
voting_access,91,31,1,59,31,0.34065934065934067,0.30512820512820515,0.9383716270973406,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
welfare_conditionality,85,14,0,71,14,0.16470588235294117,0.6705882352941176,0.746232366691528,-1.0,1.0,1.0,1.0,1.0,two_sided_usable
welfare_generosity,78,9,8,61,9,0.11538461538461539,0.5237179487179487,0.5494012826175139,-1.0,0.375,0.725,0.96875,1.0,weakly_two_sided
