canonical_candidate_id,election_cycle,primitive_axis,person_id,candidate_name,issue_valence,absolute_evidence_weight,evidence_records,source_types,source_type_count,conflict_ratio,position_status,issue_score_available,model_issue_valence
AL-1998-house-10-R-HANEY,1998.0,education_public_funding,ALPERSON-HANEY,Haney,0.6666666666666666,3.0,3,candidate_questionnaire|legislative_vote,2,0.0,supported,True,0.6666666666666666
AL-1998-house-10-R-HANEY,1998.0,environmental_protection,ALPERSON-HANEY,Haney,-0.625,4.0,4,candidate_questionnaire,1,0.3333333333333333,opposed,True,-0.625
AL-1998-house-10-R-HANEY,1998.0,gun_access,ALPERSON-HANEY,Haney,-0.7547169811320755,2.65,3,candidate_questionnaire|interest_group_rating,2,0.0,opposed,True,-0.7547169811320755
AL-1998-house-10-R-HANEY,1998.0,healthcare_access,ALPERSON-HANEY,Haney,0.0,3.0,3,candidate_questionnaire|legislative_vote,2,1.0,conflicted,False,
AL-1998-house-10-R-HANEY,1998.0,market_governance,ALPERSON-HANEY,Haney,-0.4520547945205479,3.65,4,candidate_questionnaire|interest_group_rating|legislative_vote,3,0.37735849056603776,opposed,True,-0.4520547945205479
AL-1998-house-10-R-HANEY,1998.0,marriage_equality,ALPERSON-HANEY,Haney,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-10-R-HANEY,1998.0,public_employee_compensation,ALPERSON-HANEY,Haney,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-10-R-HANEY,1998.0,religion_state,ALPERSON-HANEY,Haney,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-10-R-HANEY,1998.0,tax_burden,ALPERSON-HANEY,Haney,0.1,10.0,10,candidate_questionnaire|legislative_vote,2,0.5,conflicted,False,
AL-1998-house-10-R-HANEY,1998.0,voting_access,ALPERSON-HANEY,Haney,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-10-R-HANEY,1998.0,welfare_conditionality,ALPERSON-HANEY,Haney,1.0,3.0,3,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-10-R-HANEY,1998.0,welfare_generosity,ALPERSON-HANEY,Haney,0.5,2.0,2,candidate_questionnaire,1,0.0,supported,True,0.5
AL-1998-house-102-R-TURNER,1998.0,civil_social_liberty,ALPERSON-TURNER,Turner,-1.0,1.0,1,legislative_vote,1,0.0,opposed,True,-1.0
AL-1998-house-102-R-TURNER,1998.0,criminal_punishment,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-102-R-TURNER,1998.0,education_public_funding,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-102-R-TURNER,1998.0,gun_access,ALPERSON-TURNER,Turner,0.9500000000000001,1.3,2,interest_group_rating,1,0.0,supported,True,0.9500000000000001
AL-1998-house-102-R-TURNER,1998.0,healthcare_access,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-102-R-TURNER,1998.0,market_governance,ALPERSON-TURNER,Turner,-1.0,2.65,3,interest_group_rating|legislative_vote,2,0.0,opposed,True,-1.0
AL-1998-house-102-R-TURNER,1998.0,public_employee_compensation,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-102-R-TURNER,1998.0,religion_state,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-102-R-TURNER,1998.0,tax_burden,ALPERSON-TURNER,Turner,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,civil_social_liberty,ALPERSON-DEAN,Dean,-1.0,1.0,1,legislative_vote,1,0.0,opposed,True,-1.0
AL-1998-house-104-R-DEAN,1998.0,criminal_punishment,ALPERSON-DEAN,Dean,1.0,2.0,2,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,education_public_funding,ALPERSON-DEAN,Dean,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,gun_access,ALPERSON-DEAN,Dean,0.9500000000000001,1.3,2,interest_group_rating,1,0.0,supported,True,0.9500000000000001
AL-1998-house-104-R-DEAN,1998.0,healthcare_access,ALPERSON-DEAN,Dean,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,market_governance,ALPERSON-DEAN,Dean,-1.0,1.65,2,interest_group_rating|legislative_vote,2,0.0,opposed,True,-1.0
AL-1998-house-104-R-DEAN,1998.0,public_employee_compensation,ALPERSON-DEAN,Dean,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,religion_state,ALPERSON-DEAN,Dean,1.0,2.0,2,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-104-R-DEAN,1998.0,tax_burden,ALPERSON-DEAN,Dean,1.0,2.0,2,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,abortion_access,ALPERSON-STRAUB,Straub,-0.3333333333333333,3.0,3,candidate_questionnaire,1,0.5,conflicted,False,
AL-1998-house-105-D-STRAUB,1998.0,anti_discrimination,ALPERSON-STRAUB,Straub,-1.0,4.0,4,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-D-STRAUB,1998.0,childcare_support,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,civil_social_liberty,ALPERSON-STRAUB,Straub,0.6,5.0,5,candidate_questionnaire,1,0.25,supported,True,0.6
AL-1998-house-105-D-STRAUB,1998.0,criminal_punishment,ALPERSON-STRAUB,Straub,0.6428571428571429,7.0,7,candidate_questionnaire,1,0.16666666666666666,supported,True,0.6428571428571429
AL-1998-house-105-D-STRAUB,1998.0,deficit_discipline,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,education_accountability,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,education_public_funding,ALPERSON-STRAUB,Straub,0.25,2.0,2,candidate_questionnaire,1,0.0,supported,True,0.25
AL-1998-house-105-D-STRAUB,1998.0,environmental_protection,ALPERSON-STRAUB,Straub,-0.5,2.0,2,candidate_questionnaire,1,0.0,opposed,True,-0.5
AL-1998-house-105-D-STRAUB,1998.0,gun_access,ALPERSON-STRAUB,Straub,-1.0,2.0,2,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-D-STRAUB,1998.0,healthcare_access,ALPERSON-STRAUB,Straub,-0.5,2.0,2,candidate_questionnaire,1,0.0,opposed,True,-0.5
AL-1998-house-105-D-STRAUB,1998.0,labor_capital_alignment,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,market_governance,ALPERSON-STRAUB,Straub,1.0,2.0,2,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,marriage_equality,ALPERSON-STRAUB,Straub,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-D-STRAUB,1998.0,religion_state,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,tax_burden,ALPERSON-STRAUB,Straub,0.05555555555555555,9.0,9,candidate_questionnaire,1,0.5,conflicted,False,
AL-1998-house-105-D-STRAUB,1998.0,welfare_conditionality,ALPERSON-STRAUB,Straub,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-D-STRAUB,1998.0,welfare_generosity,ALPERSON-STRAUB,Straub,-0.5,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-0.5
AL-1998-house-105-R-CRIGLER,1998.0,abortion_access,ALPERSON-CRIGLER,Crigler,-1.0,2.0,2,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-R-CRIGLER,1998.0,anti_discrimination,ALPERSON-CRIGLER,Crigler,-1.0,4.0,4,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-R-CRIGLER,1998.0,childcare_support,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,civil_social_liberty,ALPERSON-CRIGLER,Crigler,0.5,8.0,8,candidate_questionnaire|legislative_vote,2,0.3333333333333333,supported,True,0.5
AL-1998-house-105-R-CRIGLER,1998.0,criminal_punishment,ALPERSON-CRIGLER,Crigler,0.8461538461538461,13.0,13,candidate_questionnaire|legislative_vote,2,0.08333333333333333,supported,True,0.8461538461538461
AL-1998-house-105-R-CRIGLER,1998.0,deficit_discipline,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,education_accountability,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,education_market_choice,ALPERSON-CRIGLER,Crigler,1.0,2.0,2,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,education_public_funding,ALPERSON-CRIGLER,Crigler,0.8333333333333334,3.0,3,candidate_questionnaire|legislative_vote,2,0.0,supported,True,0.8333333333333334
AL-1998-house-105-R-CRIGLER,1998.0,environmental_protection,ALPERSON-CRIGLER,Crigler,0.375,4.0,4,candidate_questionnaire,1,0.3333333333333333,supported,True,0.375
AL-1998-house-105-R-CRIGLER,1998.0,gun_access,ALPERSON-CRIGLER,Crigler,1.0,1.3,2,interest_group_rating,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,healthcare_access,ALPERSON-CRIGLER,Crigler,0.6,5.0,5,candidate_questionnaire|legislative_vote,2,0.25,supported,True,0.6
AL-1998-house-105-R-CRIGLER,1998.0,labor_capital_alignment,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,land_use_property_rights,ALPERSON-CRIGLER,Crigler,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-R-CRIGLER,1998.0,market_governance,ALPERSON-CRIGLER,Crigler,0.415929203539823,5.65,6,candidate_questionnaire|interest_group_rating,2,0.4125,supported,True,0.415929203539823
AL-1998-house-105-R-CRIGLER,1998.0,marriage_equality,ALPERSON-CRIGLER,Crigler,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-R-CRIGLER,1998.0,public_employee_compensation,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,legislative_vote,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,public_spending,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,religion_state,ALPERSON-CRIGLER,Crigler,1.0,2.0,2,candidate_questionnaire|legislative_vote,2,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,resource_management,ALPERSON-CRIGLER,Crigler,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,tax_burden,ALPERSON-CRIGLER,Crigler,-0.36363636363636365,11.0,11,candidate_questionnaire|legislative_vote,2,0.3333333333333333,opposed,True,-0.36363636363636365
AL-1998-house-105-R-CRIGLER,1998.0,voting_access,ALPERSON-CRIGLER,Crigler,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-105-R-CRIGLER,1998.0,welfare_conditionality,ALPERSON-CRIGLER,Crigler,1.0,3.0,3,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-105-R-CRIGLER,1998.0,welfare_generosity,ALPERSON-CRIGLER,Crigler,0.5,4.0,4,candidate_questionnaire,1,0.3333333333333333,supported,True,0.5
AL-1998-house-11-D-WHITE,1998.0,abortion_access,ALPERSON-WHITE,White,0.3333333333333333,3.0,3,candidate_questionnaire,1,0.5,conflicted,False,
AL-1998-house-11-D-WHITE,1998.0,anti_discrimination,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,childcare_support,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,civil_social_liberty,ALPERSON-WHITE,White,0.42857142857142855,7.0,7,candidate_questionnaire,1,0.4,supported,True,0.42857142857142855
AL-1998-house-11-D-WHITE,1998.0,criminal_punishment,ALPERSON-WHITE,White,0.5,9.0,9,candidate_questionnaire,1,0.2857142857142857,supported,True,0.5
AL-1998-house-11-D-WHITE,1998.0,education_accountability,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,education_public_funding,ALPERSON-WHITE,White,0.75,2.0,2,candidate_questionnaire,1,0.0,supported,True,0.75
AL-1998-house-11-D-WHITE,1998.0,environmental_protection,ALPERSON-WHITE,White,-0.4166666666666667,6.0,6,candidate_questionnaire,1,0.5,conflicted,False,
AL-1998-house-11-D-WHITE,1998.0,gun_access,ALPERSON-WHITE,White,0.0,2.0,2,candidate_questionnaire,1,1.0,conflicted,False,
AL-1998-house-11-D-WHITE,1998.0,healthcare_access,ALPERSON-WHITE,White,1.0,3.0,3,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,labor_capital_alignment,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,market_governance,ALPERSON-WHITE,White,0.6,5.0,5,candidate_questionnaire,1,0.25,supported,True,0.6
AL-1998-house-11-D-WHITE,1998.0,marriage_equality,ALPERSON-WHITE,White,-1.0,1.0,1,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-11-D-WHITE,1998.0,public_spending,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,religion_state,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,resource_management,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,tax_burden,ALPERSON-WHITE,White,-0.1111111111111111,9.0,9,candidate_questionnaire,1,0.3333333333333333,mixed_or_unclear,False,
AL-1998-house-11-D-WHITE,1998.0,voting_access,ALPERSON-WHITE,White,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,welfare_conditionality,ALPERSON-WHITE,White,1.0,3.0,3,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-D-WHITE,1998.0,welfare_generosity,ALPERSON-WHITE,White,0.6666666666666666,3.0,3,candidate_questionnaire,1,0.0,supported,True,0.6666666666666666
AL-1998-house-11-R-ODEN,1998.0,abortion_access,ALPERSON-ODEN,Oden,-1.0,4.0,4,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-11-R-ODEN,1998.0,anti_discrimination,ALPERSON-ODEN,Oden,-1.0,4.0,4,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-11-R-ODEN,1998.0,civil_social_liberty,ALPERSON-ODEN,Oden,0.3333333333333333,3.0,3,candidate_questionnaire,1,0.5,conflicted,False,
AL-1998-house-11-R-ODEN,1998.0,criminal_punishment,ALPERSON-ODEN,Oden,0.8,10.0,10,candidate_questionnaire,1,0.1111111111111111,supported,True,0.8
AL-1998-house-11-R-ODEN,1998.0,deficit_discipline,ALPERSON-ODEN,Oden,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-R-ODEN,1998.0,education_accountability,ALPERSON-ODEN,Oden,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-R-ODEN,1998.0,education_market_choice,ALPERSON-ODEN,Oden,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-11-R-ODEN,1998.0,education_public_funding,ALPERSON-ODEN,Oden,0.75,2.0,2,candidate_questionnaire,1,0.0,supported,True,0.75
AL-1998-house-11-R-ODEN,1998.0,environmental_protection,ALPERSON-ODEN,Oden,0.0,3.0,3,candidate_questionnaire,1,1.0,conflicted,False,
