votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
5704,"John Rogers, Jr.",Conservative,Conservative Christians of Alabama,2201,12486,13%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/2201/rating/12486,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,Eagle Forum of Alabama,369,2635,13%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/369/rating/2635,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,LEAP Forward,2867,13052,95%,2021,2021,2021,interest_group_rating,https://votesmart.org/interest-group/2867/rating/13052,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association (NRA),1034,13506,0%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1034/rating/13506,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association (NRA),1034,12493,67%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1034/rating/12493,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,7257,64%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1557/rating/7257,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,42%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,3440,F,2006,2006,2006,interest_group_rating,https://votesmart.org/interest-group/1557/rating/3440,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,2028,0%,2002,2002,2002,interest_group_rating,https://votesmart.org/interest-group/1557/rating/2028,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,1128,C,1998,1998,1998,interest_group_rating,https://votesmart.org/interest-group/1557/rating/1128,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
