scope,bundle_id,bundle_label,outcome,n,mean,median,sd,standard_error,ci_low,ci_high
era:2008_2014,2,high gun rights + high market and development autonomy,presidential_overperformance,5,20.264683032504365,31.28279912947672,24.578623934187082,10.991894782049126,-1.2794307403119198,41.808796805320654
era:2008_2014,2,high gun rights + high market and development autonomy,federal_index_overperformance,5,8.34882219781359,9.560747259970045,32.59925478801358,14.578829944366772,-20.225684493145284,36.92332888877246
era:2008_2014,2,high gun rights + high market and development autonomy,candidate_cmo_total_oof,5,3.9700653089023374,10.315702323960895,15.506627107183057,6.934774462680446,-9.622092637951337,17.562223255756013
era:2008_2014,4,low punitive law and order + high material redistribution,presidential_overperformance,2,12.003933113155801,12.003933113155801,26.886274988637634,19.011467365311937,-25.25854292285559,49.266409149167195
era:2008_2014,4,low punitive law and order + high material redistribution,federal_index_overperformance,2,13.891245456425608,13.891245456425608,17.43403850693113,12.327726851718394,-10.271099172942446,38.05359008579366
era:2008_2014,4,low punitive law and order + high material redistribution,candidate_cmo_total_oof,2,-2.0575878154772793,-2.0575878154772793,8.582010681877508,6.068397949370972,-13.951647796244384,9.836472165289827
era:2008_2014,5,high material redistribution + low market and development autonomy,presidential_overperformance,7,32.7277715418061,36.88642477075298,18.718977975450304,7.0751086457624055,18.860558596111787,46.59498448750041
era:2008_2014,5,high material redistribution + low market and development autonomy,federal_index_overperformance,7,29.405768063468482,23.720724398881792,18.089705532441098,6.837266018461201,16.00472666728453,42.806809459652435
era:2008_2014,5,high material redistribution + low market and development autonomy,candidate_cmo_total_oof,7,18.405592945880414,26.548749294367056,13.926075938079169,5.263561953022572,8.089011517956173,28.722174373804656
era:2008_2014,6,low social traditionalism + high racial and political equality,presidential_overperformance,33,26.352381764182955,26.37054117443637,22.077729583188162,3.8432394146651614,18.819632511439238,33.88513101692667
era:2008_2014,6,low social traditionalism + high racial and political equality,federal_index_overperformance,30,24.637609999768486,19.91876863852613,24.61799462331138,4.494610325242846,15.82817376229251,33.447046237244464
era:2008_2014,6,low social traditionalism + high racial and political equality,candidate_cmo_total_oof,35,11.394626293048171,11.887488086497257,18.35363787628604,3.1023310281779204,5.314057477819448,17.475195108276893
era:post_2016,1,high social traditionalism + low material redistribution,presidential_overperformance,2,13.333163423133877,13.333163423133877,21.927901058848065,15.505367535899142,-17.057356947228435,43.72368379349619
era:post_2016,1,high social traditionalism + low material redistribution,federal_index_overperformance,2,10.108818747047229,10.108818747047229,11.994514482178937,8.481402527388976,-6.514730206635166,26.732367700729625
era:post_2016,1,high social traditionalism + low material redistribution,candidate_cmo_total_oof,2,6.636794335527794,6.636794335527794,16.93682825411792,11.976146110278695,-16.836452040618447,30.11004071167403
era:post_2016,2,high gun rights + high market and development autonomy,presidential_overperformance,2,12.2888743644255,12.2888743644255,7.753131571205162,5.482291909430682,1.5435822219413637,23.034166506909635
era:post_2016,2,high gun rights + high market and development autonomy,federal_index_overperformance,2,15.178024637258018,15.178024637258018,26.488387319696024,18.730118296452815,-21.533007223789497,51.889056498305536
era:post_2016,2,high gun rights + high market and development autonomy,candidate_cmo_total_oof,2,-0.5348797470714581,-0.5348797470714581,16.049673372402264,11.348832877454806,-22.778592186882875,21.70883269273996
era:post_2016,3,low racial and political equality + high social traditionalism,presidential_overperformance,5,19.90042140702515,7.205628610095744,30.754268951751648,13.753727194885576,-7.05688389495058,46.85772670900088
era:post_2016,3,low racial and political equality + high social traditionalism,federal_index_overperformance,5,7.702818091986382,0.287292336797833,14.123007978886406,6.316001177512383,-4.676544215937888,20.08218039991065
era:post_2016,3,low racial and political equality + high social traditionalism,candidate_cmo_total_oof,5,2.6339744304742134,0.9131268861707298,11.161786692261401,4.9917027588498035,-7.149762976871401,12.417711837819827
era:post_2016,4,low punitive law and order + high material redistribution,presidential_overperformance,13,-4.755002665557049,4.36559631161545,17.188730259880852,4.767296024009221,-14.098902872615124,4.5888975415010265
era:post_2016,4,low punitive law and order + high material redistribution,federal_index_overperformance,13,-1.9605443602327184,-0.0561110478458175,15.240766152445826,4.227027987692265,-10.245519216109559,6.324430495644121
era:post_2016,4,low punitive law and order + high material redistribution,candidate_cmo_total_oof,13,-3.407733834978674,-4.178294205973444,5.667217020229891,1.5718031965862393,-6.488468100287704,-0.3269995696696446
era:post_2016,5,high material redistribution + low market and development autonomy,presidential_overperformance,9,8.375598313623433,5.697468245826691,15.360931526330287,5.120310508776762,-1.660210283579021,18.41140691082589
era:post_2016,5,high material redistribution + low market and development autonomy,federal_index_overperformance,9,5.704106340674546,2.581287822232987,14.163355068795095,4.721118356265031,-3.5492856376049158,14.957498318954007
era:post_2016,5,high material redistribution + low market and development autonomy,candidate_cmo_total_oof,9,3.617332637714799,2.453012595497948,12.794257379601767,4.264752459867256,-4.741582183625022,11.97624745905462
era:post_2016,6,low social traditionalism + high racial and political equality,presidential_overperformance,4,-5.347206216158944,-4.311358918326363,16.4345321676032,8.2172660838016,-21.45304774041008,10.758635308092192
era:post_2016,6,low social traditionalism + high racial and political equality,federal_index_overperformance,4,3.9803247360869345,1.1522309581547674,12.366936174833027,6.1834680874165135,-8.139272715249431,16.0999221874233
era:post_2016,6,low social traditionalism + high racial and political equality,candidate_cmo_total_oof,4,-4.447951165510643,-6.500872868183015,5.131142252541077,2.5655711262705383,-9.4764705730009,0.5805682419796119
era:pre_2008,1,high social traditionalism + low material redistribution,presidential_overperformance,14,25.988956745196834,30.440806678943407,23.001366942564488,6.147373894753169,13.940103911480623,38.03780957891304
era:pre_2008,1,high social traditionalism + low material redistribution,federal_index_overperformance,14,26.80165506796127,28.156517443979237,23.592542856914182,6.305372303810981,14.443125352491748,39.16018478343079
era:pre_2008,1,high social traditionalism + low material redistribution,candidate_cmo_total_oof,14,17.19297189396292,26.112270627933142,19.75277007565138,5.279149861629161,6.845838165169763,27.540105622756077
era:pre_2008,2,high gun rights + high market and development autonomy,presidential_overperformance,24,37.728245626675495,33.56369536491823,24.388591575034805,4.9783004086646665,27.970776825692752,47.48571442765824
era:pre_2008,2,high gun rights + high market and development autonomy,federal_index_overperformance,23,45.429522113142816,41.78681162098265,24.09198203819873,5.0235255181685785,35.5834120975324,55.27563212875323
era:pre_2008,2,high gun rights + high market and development autonomy,candidate_cmo_total_oof,25,21.1537211366235,21.51425729556141,20.98227205694915,4.19645441138983,12.928670490299432,29.378771782947567
era:pre_2008,3,low racial and political equality + high social traditionalism,presidential_overperformance,31,21.008716177292317,20.55930587879844,29.729299376875712,5.339539793628173,10.543218181781096,31.47421417280354
era:pre_2008,3,low racial and political equality + high social traditionalism,federal_index_overperformance,32,26.60593441008823,26.34864708912233,27.275252732272257,4.821629041391655,17.155541488960587,36.056327331215876
era:pre_2008,3,low racial and political equality + high social traditionalism,candidate_cmo_total_oof,33,4.465201818731743,3.5041621054145224,20.890628198415097,3.636591588222103,-2.6625176941835793,11.592921331647066
era:pre_2008,4,low punitive law and order + high material redistribution,presidential_overperformance,3,-8.670757904547301,0.1687875111765038,22.204480578641906,12.819762839294723,-33.79749306956496,16.455977260470355
era:pre_2008,4,low punitive law and order + high material redistribution,federal_index_overperformance,3,10.381318083088964,10.632954534759897,2.9742851924999196,1.7172043565365467,7.015597544277332,13.747038621900595
era:pre_2008,4,low punitive law and order + high material redistribution,candidate_cmo_total_oof,4,-6.7595109074750255,-9.31163757456536,8.829273925233363,4.414636962616681,-15.41219935420372,1.893177539253669
era:pre_2008,5,high material redistribution + low market and development autonomy,presidential_overperformance,1,18.97455817751742,18.97455817751742,,,,
era:pre_2008,5,high material redistribution + low market and development autonomy,federal_index_overperformance,1,7.203095110324739,7.203095110324739,,,,
era:pre_2008,5,high material redistribution + low market and development autonomy,candidate_cmo_total_oof,1,2.0108012249377225,2.0108012249377225,,,,
era:pre_2008,6,low social traditionalism + high racial and political equality,presidential_overperformance,22,41.82767376986367,40.789559014186956,22.135168318040794,4.71923374205831,32.57797563542938,51.07737190429796
era:pre_2008,6,low social traditionalism + high racial and political equality,federal_index_overperformance,16,36.54684114737065,32.420122499321266,31.199941305071626,7.799985326267906,21.258869907885554,51.834812386855745
era:pre_2008,6,low social traditionalism + high racial and political equality,candidate_cmo_total_oof,23,26.19443068374846,25.76859495438873,15.70370436134301,3.2744487134309677,19.776511205423766,32.612350162073156
