canonical_candidate_id,person_id,year,chamber,district_candidate,canonical_party,canonical_name,incumbent,winner,prior_winner_i,expected_prior_officeholder,resolved_name,identity_status,identity_match_method,member_source_id,member_display_name,first_session,last_session,legislative_sessions,legislative_ideology_available,coverage_status,score_member_source_id,identity_member_source_id,votes_used,possible_votes,legislative_evidence_rows,legislative_issue_axes,effective_window_member_id,member_source_id_window,raw_yea_nay_votes,raw_rollcalls,scoring_eligible_votes,scoring_eligible_rollcalls,mapped_issue_votes,mapped_issue_rollcalls,legiscan_identity_resolved,pre_election_identity_resolved,gap_reason
AL-2018-house-66-R-ALAN-BAKER,ALPERSON-ALAN-BAKER,2018,house,66,R,Alan Baker,1,1,True,True,Alan Baker,resolved,exact_name_same_chamber_district,LEGISCAN-3426,Alan Baker,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3426,LEGISCAN-3426,785.0,876.0,39,14,LEGISCAN-3426,LEGISCAN-3426,2665,2665,785,785,38,38,True,True,score_and_issue_evidence_available
AL-2006-house-89-D-ALAN-C-BOOTHE,ALPERSON-ALAN-C-BOOTHE,2006,house,89,D,ALAN C. BOOTHE,0,1,False,False,ALAN C. BOOTHE,resolved,first_initial_surname_same_chamber_district_party_transition,LEGISCAN-3450,Alan Boothe,2010.0,2018.0,9,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3450,,,0,0,LEGISCAN-3450,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-house-89-D-ALAN-C-BOOTHE,ALPERSON-ALAN-C-BOOTHE,2010,house,89,D,ALAN C. BOOTHE,1,1,True,True,ALAN C. BOOTHE,resolved,first_initial_surname_same_chamber_district_party_transition,LEGISCAN-3450,Alan Boothe,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3450,LEGISCAN-3450,44.0,643.0,2,2,LEGISCAN-3450,LEGISCAN-3450,353,353,44,44,2,2,True,True,score_and_issue_evidence_available
AL-2014-house-89-R-ALAN-C-BOOTHE,ALPERSON-ALAN-C-BOOTHE,2014,house,89,R,Alan C. Boothe,1,1,True,True,Alan C. Boothe,resolved,first_initial_surname_same_chamber_district,LEGISCAN-3450,Alan Boothe,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3450,LEGISCAN-3450,776.0,871.0,39,12,LEGISCAN-3450,LEGISCAN-3450,3169,3169,776,776,37,37,True,True,score_and_issue_evidence_available
AL-2006-house-61-D-ALAN-HARPER,ALPERSON-ALAN-HARPER,2006,house,61,D,ALAN HARPER,0,1,False,False,ALAN HARPER,resolved,exact_name_same_chamber_district_party_transition,LEGISCAN-3381,Alan Harper,2010.0,2018.0,9,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3381,,,0,0,LEGISCAN-3381,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-house-61-D-ALAN-HARPER,ALPERSON-ALAN-HARPER,2010,house,61,D,ALAN HARPER,1,1,True,True,ALAN HARPER,resolved,exact_name_same_chamber_district_party_transition,LEGISCAN-3381,Alan Harper,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3381,LEGISCAN-3381,50.0,643.0,3,3,LEGISCAN-3381,LEGISCAN-3381,382,382,50,50,3,3,True,True,score_and_issue_evidence_available
AL-2014-house-61-R-ALAN-HARPER,ALPERSON-ALAN-HARPER,2014,house,61,R,Alan Harper,1,1,True,True,Alan Harper,resolved,exact_name_same_chamber_district,LEGISCAN-3381,Alan Harper,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3381,LEGISCAN-3381,754.0,871.0,42,12,LEGISCAN-3381,LEGISCAN-3381,3217,3217,754,754,40,40,True,True,score_and_issue_evidence_available
AL-2006-house-22-D-ALBERT-HALL,ALPERSON-ALBERT-HALL,2006,house,22,D,ALBERT HALL,0,1,False,False,ALBERT HALL,unmatched,unmatched,,,,,0,True,scored_pre_election_legislative_behavior,AL1996L064,,657.0,1082.0,44,8,AL1996L064,AL1996L064,3121,3121,657,657,44,44,False,True,score_and_issue_evidence_available
AL-1998-house-64-R-ALBRITTON,ALPERSON-ALBRITTON,1998,house,64,R,Albritton,0,0,False,False,Greg Albritton,resolved,unique_exact_name_person,LEGISCAN-16871,Greg Albritton,2015.0,2026.0,12,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-16871,,,0,0,LEGISCAN-16871,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2002-house-64-R-ALBRITTON-GREG,ALPERSON-ALBRITTON-GREG,2002,house,64,R,"Albritton, Greg",0,1,False,False,Greg Albritton,resolved,unique_exact_name_person,LEGISCAN-16871,Greg Albritton,2015.0,2026.0,12,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-16871,,,0,0,LEGISCAN-16871,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-1994-house-62-D-ALLEN,ALPERSON-ALLEN,1994,house,62,D,Allen,0,1,False,False,Gerald Harrison Allen,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-1998-house-62-R-ALLEN,ALPERSON-ALLEN,1998,house,62,R,Allen,0,1,True,True,Gerald Allen,resolved,unique_exact_name_person,LEGISCAN-3420,Gerald Allen,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,AL1996L077,LEGISCAN-3420,299.0,471.0,9,7,AL1996L077,AL1996L077,1124,1124,299,299,9,9,True,True,score_and_issue_evidence_available
AL-2006-house-42-R-ALLEN-CATON,ALPERSON-ALLEN-CATON,2006,house,42,R,ALLEN CATON,0,0,False,False,ALLEN CATON,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2010-house-15-R-ALLEN-FARLEY,ALPERSON-ALLEN-FARLEY,2010,house,15,R,ALLEN FARLEY,0,1,False,False,ALLEN FARLEY,resolved,exact_name_same_chamber_district,LEGISCAN-12548,Allen Farley,2010.0,2022.0,13,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-12548,,,0,0,LEGISCAN-12548,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2014-house-15-R-ALLEN-FARLEY,ALPERSON-ALLEN-FARLEY,2014,house,15,R,Allen Farley,1,1,True,True,Allen Farley,resolved,exact_name_same_chamber_district,LEGISCAN-12548,Allen Farley,2010.0,2022.0,13,True,scored_pre_election_legislative_behavior,LEGISCAN-12548,LEGISCAN-12548,832.0,871.0,37,12,LEGISCAN-12548,LEGISCAN-12548,3105,3105,832,832,34,34,True,True,score_and_issue_evidence_available
AL-2018-house-15-R-ALLEN-FARLEY,ALPERSON-ALLEN-FARLEY,2018,house,15,R,Allen Farley,1,1,True,True,Allen Farley,resolved,exact_name_same_chamber_district,LEGISCAN-12548,Allen Farley,2010.0,2022.0,13,True,scored_pre_election_legislative_behavior,LEGISCAN-12548,LEGISCAN-12548,817.0,876.0,36,13,LEGISCAN-12548,LEGISCAN-12548,2633,2633,817,817,35,35,True,True,score_and_issue_evidence_available
AL-2002-house-62-R-ALLEN-GERALD,ALPERSON-ALLEN-GERALD,2002,house,62,R,"Allen, Gerald",0,1,False,False,"Allen, Gerald",unmatched,unmatched,,,,,0,True,scored_pre_election_legislative_behavior,AL1996L077,,1244.0,1477.0,44,12,AL1996L077,AL1996L077,5131,5131,1244,1244,41,41,False,True,score_and_issue_evidence_available
AL-2006-house-51-R-ALLEN-TREADAWAY,ALPERSON-ALLEN-TREADAWAY,2006,house,51,R,ALLEN TREADAWAY,0,1,False,False,ALLEN TREADAWAY,resolved,exact_name_same_chamber_district,LEGISCAN-3445,Allen Treadaway,2010.0,2026.0,17,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3445,,,0,0,LEGISCAN-3445,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-house-51-R-ALLEN-TREADAWAY,ALPERSON-ALLEN-TREADAWAY,2010,house,51,R,ALLEN TREADAWAY,1,1,True,True,ALLEN TREADAWAY,resolved,exact_name_same_chamber_district,LEGISCAN-3445,Allen Treadaway,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3445,LEGISCAN-3445,42.0,643.0,3,3,LEGISCAN-3445,LEGISCAN-3445,318,318,42,42,3,3,True,True,score_and_issue_evidence_available
AL-2014-house-51-R-ALLEN-TREADAWAY,ALPERSON-ALLEN-TREADAWAY,2014,house,51,R,Allen Treadaway,1,1,True,True,Allen Treadaway,resolved,exact_name_same_chamber_district,LEGISCAN-3445,Allen Treadaway,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3445,LEGISCAN-3445,790.0,871.0,46,12,LEGISCAN-3445,LEGISCAN-3445,3055,3055,790,790,43,43,True,True,score_and_issue_evidence_available
AL-2018-house-51-R-ALLEN-TREADAWAY,ALPERSON-ALLEN-TREADAWAY,2018,house,51,R,Allen Treadaway,1,1,True,True,Allen Treadaway,resolved,exact_name_same_chamber_district,LEGISCAN-3445,Allen Treadaway,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3445,LEGISCAN-3445,694.0,876.0,37,14,LEGISCAN-3445,LEGISCAN-3445,2361,2361,694,694,36,36,True,True,score_and_issue_evidence_available
AL-2018-house-48-D-ALLI-SUMMERFORD,ALPERSON-ALLI-SUMMERFORD,2018,house,48,D,Alli Summerford,0,0,False,False,Alli Summerford,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2006-house-78-D-ALVIN-HOLMES,ALPERSON-ALVIN-HOLMES,2006,house,78,D,ALVIN HOLMES,0,1,False,False,ALVIN HOLMES,resolved,exact_name_same_chamber_district,LEGISCAN-3442,Alvin Holmes,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,AL1996L016,LEGISCAN-3442,717.0,1082.0,43,7,AL1996L016,AL1996L016,3363,3363,717,717,43,43,True,True,score_and_issue_evidence_available
AL-2010-house-78-D-ALVIN-HOLMES,ALPERSON-ALVIN-HOLMES,2010,house,78,D,ALVIN HOLMES,1,1,True,True,ALVIN HOLMES,resolved,exact_name_same_chamber_district,LEGISCAN-3442,Alvin Holmes,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3442,LEGISCAN-3442,34.0,643.0,1,1,LEGISCAN-3442,LEGISCAN-3442,283,283,34,34,1,1,True,True,score_and_issue_evidence_available
AL-2014-house-78-D-ALVIN-HOLMES,ALPERSON-ALVIN-HOLMES,2014,house,78,D,Alvin Holmes,1,1,True,True,Alvin Holmes,resolved,exact_name_same_chamber_district,LEGISCAN-3442,Alvin Holmes,2010.0,2018.0,9,True,scored_pre_election_legislative_behavior,LEGISCAN-3442,LEGISCAN-3442,668.0,871.0,39,11,LEGISCAN-3442,LEGISCAN-3442,2858,2858,668,668,37,37,True,True,score_and_issue_evidence_available
AL-1994-senate-15-D-AMARI,ALPERSON-AMARI,1994,senate,15,D,Amari,0,1,False,False,Amari,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-2018-house-64-D-AMBER-SELMAN-LYNN,ALPERSON-AMBER-SELMAN-LYNN,2018,house,64,D,Amber Selman-Lynn,0,0,False,False,Amber Selman-Lynn,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2006-house-101-D-AMY-BECKERLE-SMITH,ALPERSON-AMY-BECKERLE-SMITH,2006,house,101,D,AMY BECKERLE SMITH,0,0,False,False,AMY BECKERLE SMITH,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2018-senate-2-D-AMY-WASYLUKA,ALPERSON-AMY-WASYLUKA,2018,senate,2,D,Amy Wasyluka,0,0,False,False,Amy Wasyluka,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-1994-house-19-R-ANDERSON,ALPERSON-ANDERSON,1994,house,19,R,Anderson,0,0,False,False,Anderson,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-1994-senate-25-D-ANDERSON,ALPERSON-ANDERSON,1994,senate,25,D,Anderson,0,1,False,False,James Anderson,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-2014-house-2-D-ANDREW-ANDY-BETTERTON,ALPERSON-ANDREW-ANDY-BETTERTON,2014,house,2,D,"Andrew ""Andy"" Betterton",0,0,False,False,"Andrew ""Andy"" Betterton",unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2018-senate-10-R-ANDREW-JONES,ALPERSON-ANDREW-JONES,2018,senate,10,R,Andrew Jones,0,1,False,False,Andrew Jones,resolved,exact_name_same_chamber_district,LEGISCAN-21283,Andrew Jones,2019.0,2026.0,8,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-21283,,,0,0,LEGISCAN-21283,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2018-house-3-R-ANDREW-SORRELL,ALPERSON-ANDREW-SORRELL,2018,house,3,R,Andrew Sorrell,0,1,False,False,Andrew Sorrell,resolved,exact_name_same_chamber_district,LEGISCAN-21291,Andrew Sorrell,2019.0,2022.0,4,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-21291,,,0,0,LEGISCAN-21291,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-1998-house-5-R-ANDREWS,ALPERSON-ANDREWS,1998,house,5,R,Andrews,0,0,False,False,Andrews,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2002-senate-2-R-ANDREWS-STEVE,ALPERSON-ANDREWS-STEVE,2002,senate,2,R,"Andrews, Steve",0,0,False,False,"Andrews, Steve",unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2018-house-6-R-ANDY-WHITT,ALPERSON-ANDY-WHITT,2018,house,6,R,Andy Whitt,0,1,False,False,Andy Whitt,resolved,exact_name_same_chamber_district,LEGISCAN-21311,Andy Whitt,2019.0,2026.0,8,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-21311,,,0,0,LEGISCAN-21311,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2014-senate-4-D-ANGELO-DOC-MANCUSO,ALPERSON-ANGELO-DOC-MANCUSO,2014,senate,4,D,"Angelo ""Doc"" Mancuso",0,0,False,False,"Angelo ""Doc"" Mancuso",unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2006-house-62-D-ANN-SKELTON,ALPERSON-ANN-SKELTON,2006,house,62,D,ANN SKELTON,0,0,False,False,ANN SKELTON,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2014-house-53-D-ANTHONY-DANIELS,ALPERSON-ANTHONY-DANIELS,2014,house,53,D,Anthony Daniels,0,1,False,False,Anthony Daniels,resolved,exact_name_same_chamber_district,LEGISCAN-17642,Anthony Daniels,2015.0,2026.0,12,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-17642,,,0,0,LEGISCAN-17642,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2018-house-53-D-ANTHONY-DANIELS,ALPERSON-ANTHONY-DANIELS,2018,house,53,D,Anthony Daniels,1,1,True,True,Anthony Daniels,resolved,exact_name_same_chamber_district,LEGISCAN-17642,Anthony Daniels,2015.0,2026.0,12,True,scored_pre_election_legislative_behavior,LEGISCAN-17642,LEGISCAN-17642,521.0,876.0,24,9,LEGISCAN-17642,LEGISCAN-17642,1937,1937,521,521,23,23,True,True,score_and_issue_evidence_available
AL-2014-house-33-D-ANTHONY-ZACHERO,ALPERSON-ANTHONY-ZACHERO,2014,house,33,D,Anthony Zachero,0,0,False,False,Anthony Zachero,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2010-house-49-R-APRIL-WEAVER,ALPERSON-APRIL-WEAVER,2010,house,49,R,APRIL WEAVER,0,1,False,False,APRIL WEAVER,resolved,exact_name_same_chamber_district,LEGISCAN-12500,April Weaver,2010.0,2026.0,17,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-12500,,,0,0,LEGISCAN-12500,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2014-house-49-R-APRIL-WEAVER,ALPERSON-APRIL-WEAVER,2014,house,49,R,April Weaver,1,1,True,True,April Weaver,resolved,exact_name_same_chamber_district,LEGISCAN-12500,April Weaver,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-12500,LEGISCAN-12500,807.0,871.0,46,12,LEGISCAN-12500,LEGISCAN-12500,3246,3246,807,807,43,43,True,True,score_and_issue_evidence_available
AL-2018-house-49-R-APRIL-WEAVER,ALPERSON-APRIL-WEAVER,2018,house,49,R,April Weaver,1,1,True,True,April Weaver,resolved,exact_name_same_chamber_district,LEGISCAN-12500,April Weaver,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-12500,LEGISCAN-12500,792.0,876.0,38,14,LEGISCAN-12500,LEGISCAN-12500,2731,2731,792,792,37,37,True,True,score_and_issue_evidence_available
AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,ALPERSON-ARLENE-CUNNINGHAM-EASLEY,2018,house,104,D,Arlene Cunningham Easley,0,0,False,False,Arlene Cunningham Easley,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-1994-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,1994,senate,14,R,Armistead,0,1,False,False,Armistead,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-1998-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,1998,senate,14,R,Armistead,0,1,True,True,Bill Armistead,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,expected_officeholder_identity_unresolved
AL-2018-house-43-R-ARNOLD-G-MOONEY-II,ALPERSON-ARNOLD-G-MOONEY-II,2018,house,43,R,Arnold G. Mooney II,1,1,False,True,Arnold G. Mooney II,resolved,first_initial_surname_same_chamber_district,LEGISCAN-17634,Arnold Mooney,2015.0,2026.0,12,True,scored_pre_election_legislative_behavior,LEGISCAN-17634,LEGISCAN-17634,750.0,876.0,36,12,LEGISCAN-17634,LEGISCAN-17634,2453,2453,750,750,35,35,True,True,score_and_issue_evidence_available
AL-2014-house-43-R-ARNOLD-MOONEY,ALPERSON-ARNOLD-MOONEY,2014,house,43,R,Arnold Mooney,0,1,False,False,Arnold Mooney,resolved,exact_name_same_chamber_district,LEGISCAN-17634,Arnold Mooney,2015.0,2026.0,12,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-17634,,,0,0,LEGISCAN-17634,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2006-senate-3-R-ARTHUR-ORR,ALPERSON-ARTHUR-ORR,2006,senate,3,R,ARTHUR ORR,0,1,False,False,ARTHUR ORR,resolved,exact_name_same_chamber_district,LEGISCAN-3481,Arthur Orr,2010.0,2026.0,17,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3481,,,0,0,LEGISCAN-3481,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-senate-3-R-ARTHUR-ORR,ALPERSON-ARTHUR-ORR,2010,senate,3,R,ARTHUR ORR,1,1,True,True,ARTHUR ORR,resolved,exact_name_same_chamber_district,LEGISCAN-3481,Arthur Orr,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3481,LEGISCAN-3481,38.0,548.0,1,1,LEGISCAN-3481,LEGISCAN-3481,333,333,38,38,1,1,True,True,score_and_issue_evidence_available
AL-2014-senate-3-R-ARTHUR-ORR,ALPERSON-ARTHUR-ORR,2014,senate,3,R,Arthur Orr,1,1,True,True,Arthur Orr,resolved,exact_name_same_chamber_district,LEGISCAN-3481,Arthur Orr,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3481,LEGISCAN-3481,894.0,1050.0,34,14,LEGISCAN-3481,LEGISCAN-3481,2746,2746,894,894,30,30,True,True,score_and_issue_evidence_available
AL-2018-senate-3-R-ARTHUR-ORR,ALPERSON-ARTHUR-ORR,2018,senate,3,R,Arthur Orr,1,1,True,True,Arthur Orr,resolved,exact_name_same_chamber_district,LEGISCAN-3481,Arthur Orr,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3481,LEGISCAN-3481,462.0,568.0,28,10,LEGISCAN-3481,LEGISCAN-3481,2596,2596,462,462,28,28,True,True,score_and_issue_evidence_available
AL-2006-house-44-R-ARTHUR-PAYNE,ALPERSON-ARTHUR-PAYNE,2006,house,44,R,ARTHUR PAYNE,0,1,False,False,ARTHUR PAYNE,resolved,exact_name_same_chamber_district,LEGISCAN-3446,Arthur Payne,2010.0,2014.0,5,True,scored_pre_election_legislative_behavior,AL1996L100,LEGISCAN-3446,952.0,1082.0,49,8,AL1996L100,AL1996L100,3850,3850,952,952,49,49,True,True,score_and_issue_evidence_available
AL-2010-house-44-R-ARTHUR-PAYNE,ALPERSON-ARTHUR-PAYNE,2010,house,44,R,ARTHUR PAYNE,1,1,True,True,ARTHUR PAYNE,resolved,exact_name_same_chamber_district,LEGISCAN-3446,Arthur Payne,2010.0,2014.0,5,True,scored_pre_election_legislative_behavior,LEGISCAN-3446,LEGISCAN-3446,46.0,643.0,3,3,LEGISCAN-3446,LEGISCAN-3446,316,316,46,46,3,3,True,True,score_and_issue_evidence_available
AL-2006-house-71-D-ARTIS-A-J-MCCAMPBELL,ALPERSON-ARTIS-A-J-MCCAMPBELL,2006,house,71,D,ARTIS (A.J.) McCAMPBELL,0,1,False,False,ARTIS (A.J.) McCAMPBELL,resolved,exact_name_same_chamber_district,LEGISCAN-3358,Artis McCampbell,2010.0,2026.0,17,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3358,,,0,0,LEGISCAN-3358,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-house-71-D-ARTIS-A-J-MCCAMPBELL,ALPERSON-ARTIS-A-J-MCCAMPBELL,2010,house,71,D,ARTIS 'A.J.' McCAMPBELL,1,1,True,True,ARTIS 'A.J.' McCAMPBELL,resolved,first_initial_surname_same_chamber_district,LEGISCAN-3358,Artis McCampbell,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3358,LEGISCAN-3358,28.0,643.0,1,1,LEGISCAN-3358,LEGISCAN-3358,269,269,28,28,1,1,True,True,score_and_issue_evidence_available
