canonical_candidate_id,person_id,election_cycle,environment_resources,immigration_inclusion,institutional_reform,labor_capital,market_government_direction,material_support,order_justice,social_liberty_equality,families_observed,policies_observed,evidence_rows
AL-1998-senate-10-R-SMITH,ALPERSON-SMITH,1998.0,-0.6666666666666666,,,1.0,0.6,0.7857142857142857,0.6875,-0.14285714285714285,6,31,31
AL-1998-senate-12-R-MARSH,ALPERSON-MARSH,1998.0,-0.5,,,1.0,0.5,0.7857142857142857,0.35714285714285715,0.08333333333333333,6,37,40
AL-1998-senate-13-D-DIAL,ALPERSON-DIAL,1998.0,-0.3,,,1.0,0.6,0.8571428571428571,0.9444444444444444,0.0,6,37,40
AL-1998-senate-13-R-BRANCH,ALPERSON-BRANCH,1998.0,-0.25,,,1.0,0.5,-0.25,0.875,-0.6666666666666666,6,27,30
AL-1998-senate-14-D-ROBINSON,ALPERSON-ROBINSON,1998.0,-0.5,,,1.0,1.0,0.9285714285714286,0.0,0.0,6,36,39
AL-1998-senate-16-D-JOHNS,ALPERSON-JOHNS,1998.0,0.8333333333333334,,,1.0,1.0,0.7857142857142857,-0.75,0.6,6,27,29
AL-1998-senate-2-R-MCINNISH,ALPERSON-MCINNISH,1998.0,-0.8333333333333334,,,1.0,0.0,-0.25,0.6666666666666666,-0.75,6,30,33
AL-1998-senate-21-R-BENTLEY,ALPERSON-BENTLEY,1998.0,-0.8333333333333334,,,1.0,0.6,0.4375,0.55,-0.07142857142857142,6,44,48
AL-1998-senate-22-D-LINDSEY,ALPERSON-LINDSEY,1998.0,-0.25,,,1.0,1.0,1.0,0.7777777777777778,-0.2857142857142857,6,28,30
AL-1998-senate-25-D-CHAPPELL,ALPERSON-CHAPPELL,1998.0,0.1,,,1.0,0.6,0.5833333333333334,0.5,-0.42857142857142855,6,34,37
AL-1998-senate-26-R-SANDERS,ALPERSON-SANDERS,1998.0,-0.4166666666666667,,,1.0,0.6,0.5,0.7222222222222222,0.14285714285714285,6,44,44
AL-1998-senate-30-R-HOLLAND,ALPERSON-HOLLAND,1998.0,-0.9,,,,-1.0,0.0,0.7222222222222222,-0.7142857142857143,5,27,30
AL-1998-senate-31-D-HOLLEY,ALPERSON-HOLLEY,1998.0,-0.5714285714285714,,,1.0,0.3333333333333333,0.5625,0.7777777777777778,-0.2727272727272727,6,39,41
AL-1998-senate-5-R-LEE,ALPERSON-LEE,1998.0,0.0,,,1.0,0.6,1.0,1.0,-0.4,6,27,29
AL-1998-senate-9-R-KING,ALPERSON-KING,1998.0,-0.9,,,1.0,0.5,-0.25,0.4375,-0.7777777777777778,6,31,33
AL-2002-house-10-R-BALL-MIKE,ALPERSON-BALL-MIKE,2002.0,0.0,,,,0.5,0.6666666666666666,0.5833333333333334,-0.3333333333333333,5,23,25
AL-2002-house-104-D-WEBSTER-DANIEL-J,ALPERSON-WEBSTER-DANIEL-J,2002.0,0.75,,,,1.0,0.875,0.4375,0.14285714285714285,5,28,30
AL-2002-house-104-R-BARTON-JIM,ALPERSON-BARTON-JIM,2002.0,-0.5,,,,0.3333333333333333,0.8571428571428571,0.42857142857142855,-1.0,5,23,25
