votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
115767,Paul Sanford,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,100%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10896,68%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10590,68%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10589,69%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10112,67%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10128,68%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,9176,69%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,9175,64%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Conservative,American Conservative Union (ACU),1481,10283,73%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Guns,National Rifle Association (NRA),1034,13506,92%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1034/rating/13506,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,7257,93%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1557/rating/7257,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
115767,Paul Sanford,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,92%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/115767/paul-sanford
119435,Elaine Beech,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,73%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Conservative,American Conservative Union (ACU),1481,10896,48%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Conservative,American Conservative Union (ACU),1481,10895,50%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Conservative,American Conservative Union (ACU),1481,10589,57%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
119435,Elaine Beech,Conservative,American Conservative Union (ACU),1481,10590,47%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/119435/elaine-beech
