canonical_candidate_id,election_cycle,family,evidence_weight,evidence_records,distinct_issues,source_type_count,person_id,candidate_name,family_valence,family_score_available,model_family_valence
AL-1998-house-13-D-HOGAN,1998.0,material_support,9.0,9,3,2,ALPERSON-HOGAN,Hogan,0.8888888888888888,True,0.8888888888888888
AL-1998-house-13-D-HOGAN,1998.0,order_justice,12.0,12,1,2,ALPERSON-HOGAN,Hogan,0.8333333333333334,False,
AL-1998-house-13-D-HOGAN,1998.0,social_liberty_equality,18.0,18,4,2,ALPERSON-HOGAN,Hogan,-0.2222222222222222,True,-0.2222222222222222
AL-1998-house-14-D-GUIN,1998.0,market_government_direction,0.65,1,1,1,ALPERSON-GUIN,Guin,-0.56,False,
AL-1998-house-14-R-WALLACE,1998.0,environment_resources,6.0,6,1,1,ALPERSON-WALLACE,Wallace,-0.8333333333333334,False,
AL-1998-house-14-R-WALLACE,1998.0,labor_capital,1.0,1,1,1,ALPERSON-WALLACE,Wallace,1.0,False,
AL-1998-house-14-R-WALLACE,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-WALLACE,Wallace,0.6,False,
AL-1998-house-14-R-WALLACE,1998.0,material_support,7.0,7,3,1,ALPERSON-WALLACE,Wallace,0.35714285714285715,True,0.35714285714285715
AL-1998-house-14-R-WALLACE,1998.0,order_justice,11.0,11,1,1,ALPERSON-WALLACE,Wallace,0.5909090909090909,False,
AL-1998-house-14-R-WALLACE,1998.0,social_liberty_equality,11.0,11,4,1,ALPERSON-WALLACE,Wallace,-0.6363636363636364,True,-0.6363636363636364
AL-1998-house-16-R-WALDON,1998.0,environment_resources,3.0,3,1,1,ALPERSON-WALDON,Waldon,-0.6666666666666666,False,
AL-1998-house-16-R-WALDON,1998.0,market_government_direction,4.0,4,1,1,ALPERSON-WALDON,Waldon,0.5,False,
AL-1998-house-16-R-WALDON,1998.0,material_support,8.0,8,2,1,ALPERSON-WALDON,Waldon,0.4375,True,0.4375
AL-1998-house-16-R-WALDON,1998.0,order_justice,8.0,8,1,1,ALPERSON-WALDON,Waldon,0.6875,False,
AL-1998-house-16-R-WALDON,1998.0,social_liberty_equality,15.0,15,4,1,ALPERSON-WALDON,Waldon,-0.06666666666666667,True,-0.06666666666666667
AL-1998-house-17-D-MILLICAN,1998.0,market_government_direction,2.65,3,1,2,ALPERSON-MILLICAN,Millican,-1.0,False,
AL-1998-house-17-D-MILLICAN,1998.0,material_support,1.0,1,1,1,ALPERSON-MILLICAN,Millican,1.0,False,
AL-1998-house-17-D-MILLICAN,1998.0,order_justice,1.0,1,1,1,ALPERSON-MILLICAN,Millican,1.0,False,
AL-1998-house-17-D-MILLICAN,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-MILLICAN,Millican,-1.0,False,
AL-1998-house-17-R-JOHNSON,1998.0,environment_resources,7.0,7,1,1,ALPERSON-JOHNSON,Johnson,-0.6428571428571429,False,
AL-1998-house-17-R-JOHNSON,1998.0,labor_capital,1.0,1,1,1,ALPERSON-JOHNSON,Johnson,1.0,False,
AL-1998-house-17-R-JOHNSON,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-JOHNSON,Johnson,0.6,False,
AL-1998-house-17-R-JOHNSON,1998.0,material_support,4.0,4,3,1,ALPERSON-JOHNSON,Johnson,-0.25,True,-0.25
AL-1998-house-17-R-JOHNSON,1998.0,order_justice,10.0,10,1,1,ALPERSON-JOHNSON,Johnson,0.7,False,
AL-1998-house-17-R-JOHNSON,1998.0,social_liberty_equality,10.0,10,4,1,ALPERSON-JOHNSON,Johnson,-0.6,True,-0.6
AL-1998-house-18-D-MORROW,1998.0,environment_resources,7.0,7,1,1,ALPERSON-MORROW,Morrow,-0.5714285714285714,False,
AL-1998-house-18-D-MORROW,1998.0,labor_capital,1.0,1,1,1,ALPERSON-MORROW,Morrow,1.0,False,
AL-1998-house-18-D-MORROW,1998.0,market_government_direction,7.65,8,1,3,ALPERSON-MORROW,Morrow,0.09673202614379084,False,
AL-1998-house-18-D-MORROW,1998.0,material_support,8.0,8,3,1,ALPERSON-MORROW,Morrow,0.4375,True,0.4375
AL-1998-house-18-D-MORROW,1998.0,order_justice,13.0,13,1,2,ALPERSON-MORROW,Morrow,0.8461538461538461,False,
AL-1998-house-18-D-MORROW,1998.0,social_liberty_equality,14.0,14,4,2,ALPERSON-MORROW,Morrow,0.0,True,0.0
AL-1998-house-2-D-HAMILTON,1998.0,market_government_direction,1.65,2,1,2,ALPERSON-HAMILTON,Hamilton,-0.9133333333333334,False,
AL-1998-house-2-D-HAMILTON,1998.0,material_support,1.0,1,1,1,ALPERSON-HAMILTON,Hamilton,1.0,False,
AL-1998-house-2-D-HAMILTON,1998.0,order_justice,2.0,2,1,1,ALPERSON-HAMILTON,Hamilton,1.0,False,
AL-1998-house-2-D-HAMILTON,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-HAMILTON,Hamilton,-1.0,False,
AL-1998-house-2-R-TATUM,1998.0,environment_resources,3.0,3,1,1,ALPERSON-TATUM,Tatum,-0.16666666666666666,False,
AL-1998-house-2-R-TATUM,1998.0,market_government_direction,1.0,1,1,1,ALPERSON-TATUM,Tatum,-1.0,False,
AL-1998-house-2-R-TATUM,1998.0,material_support,4.0,4,2,1,ALPERSON-TATUM,Tatum,1.0,True,1.0
AL-1998-house-2-R-TATUM,1998.0,order_justice,8.0,8,1,1,ALPERSON-TATUM,Tatum,1.0,False,
AL-1998-house-2-R-TATUM,1998.0,social_liberty_equality,10.0,10,4,1,ALPERSON-TATUM,Tatum,-0.6,True,-0.6
AL-1998-house-20-R-SANDERFORD,1998.0,market_government_direction,2.65,3,1,2,ALPERSON-SANDERFORD,Sanderford,-0.24528301886792456,False,
AL-1998-house-20-R-SANDERFORD,1998.0,material_support,1.0,1,1,1,ALPERSON-SANDERFORD,Sanderford,1.0,False,
AL-1998-house-20-R-SANDERFORD,1998.0,order_justice,2.0,2,1,1,ALPERSON-SANDERFORD,Sanderford,1.0,False,
AL-1998-house-20-R-SANDERFORD,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-SANDERFORD,Sanderford,-1.0,False,
AL-1998-house-21-D-JONES,1998.0,environment_resources,3.0,3,1,1,ALPERSON-JONES,Jones,0.16666666666666666,False,
AL-1998-house-21-D-JONES,1998.0,labor_capital,1.0,1,1,1,ALPERSON-JONES,Jones,1.0,False,
AL-1998-house-21-D-JONES,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-JONES,Jones,0.6,False,
AL-1998-house-21-D-JONES,1998.0,material_support,7.0,7,3,1,ALPERSON-JONES,Jones,0.6428571428571429,True,0.6428571428571429
AL-1998-house-21-D-JONES,1998.0,order_justice,7.0,7,1,1,ALPERSON-JONES,Jones,0.5714285714285714,False,
AL-1998-house-21-D-JONES,1998.0,social_liberty_equality,15.0,15,4,1,ALPERSON-JONES,Jones,0.06666666666666667,True,0.06666666666666667
AL-1998-house-21-R-CLEMONS,1998.0,environment_resources,5.0,5,1,1,ALPERSON-CLEMONS,Clemons,-0.4,False,
AL-1998-house-21-R-CLEMONS,1998.0,labor_capital,1.0,1,1,1,ALPERSON-CLEMONS,Clemons,1.0,False,
AL-1998-house-21-R-CLEMONS,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-CLEMONS,Clemons,0.6,False,
AL-1998-house-21-R-CLEMONS,1998.0,material_support,7.0,7,3,1,ALPERSON-CLEMONS,Clemons,0.5714285714285714,True,0.5714285714285714
AL-1998-house-21-R-CLEMONS,1998.0,order_justice,10.0,10,1,1,ALPERSON-CLEMONS,Clemons,0.75,False,
AL-1998-house-21-R-CLEMONS,1998.0,social_liberty_equality,14.0,14,4,1,ALPERSON-CLEMONS,Clemons,-0.2857142857142857,True,-0.2857142857142857
AL-1998-house-22-D-HALL,1998.0,environment_resources,3.0,3,1,1,ALPERSON-HALL,Hall,0.16666666666666666,False,
AL-1998-house-22-D-HALL,1998.0,labor_capital,1.0,1,1,1,ALPERSON-HALL,Hall,1.0,False,
AL-1998-house-22-D-HALL,1998.0,market_government_direction,5.65,6,1,3,ALPERSON-HALL,Hall,0.5171681415929202,False,
AL-1998-house-22-D-HALL,1998.0,material_support,7.0,7,3,2,ALPERSON-HALL,Hall,0.8571428571428571,True,0.8571428571428571
AL-1998-house-22-D-HALL,1998.0,order_justice,12.0,12,1,2,ALPERSON-HALL,Hall,0.8333333333333334,False,
AL-1998-house-22-D-HALL,1998.0,social_liberty_equality,12.0,12,4,2,ALPERSON-HALL,Hall,-0.3333333333333333,True,-0.3333333333333333
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,environment_resources,4.0,4,1,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,-0.25,False,
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,labor_capital,1.0,1,1,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,1.0,False,
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,market_government_direction,2.0,2,1,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,0.0,False,
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,material_support,4.0,4,3,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,0.125,True,0.125
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,order_justice,10.0,10,1,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,0.95,False,
AL-1998-house-22-R-HOLLINGSWORTH,1998.0,social_liberty_equality,10.0,10,4,1,ALPERSON-HOLLINGSWORTH,Hollingsworth,-1.0,True,-1.0
AL-1998-house-23-D-ROBINSON,1998.0,market_government_direction,1.65,2,1,2,ALPERSON-ROBINSON,Robinson,-0.7084848484848485,False,
AL-1998-house-23-D-ROBINSON,1998.0,material_support,1.0,1,1,1,ALPERSON-ROBINSON,Robinson,1.0,False,
AL-1998-house-23-D-ROBINSON,1998.0,order_justice,2.0,2,1,1,ALPERSON-ROBINSON,Robinson,1.0,False,
AL-1998-house-23-D-ROBINSON,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-ROBINSON,Robinson,-1.0,False,
AL-1998-house-23-R-SHELTON,1998.0,environment_resources,3.0,3,1,1,ALPERSON-SHELTON,Shelton,-0.6666666666666666,False,
AL-1998-house-23-R-SHELTON,1998.0,market_government_direction,1.0,1,1,1,ALPERSON-SHELTON,Shelton,-1.0,False,
AL-1998-house-23-R-SHELTON,1998.0,material_support,3.0,3,2,1,ALPERSON-SHELTON,Shelton,-0.5,True,-0.5
AL-1998-house-23-R-SHELTON,1998.0,order_justice,8.0,8,1,1,ALPERSON-SHELTON,Shelton,0.875,False,
AL-1998-house-23-R-SHELTON,1998.0,social_liberty_equality,9.0,9,4,1,ALPERSON-SHELTON,Shelton,-0.5555555555555556,True,-0.5555555555555556
AL-1998-house-24-D-BURKE,1998.0,market_government_direction,2.0,2,1,1,ALPERSON-BURKE,Burke,-1.0,False,
AL-1998-house-24-D-BURKE,1998.0,material_support,1.0,1,1,1,ALPERSON-BURKE,Burke,1.0,False,
AL-1998-house-24-D-BURKE,1998.0,order_justice,2.0,2,1,1,ALPERSON-BURKE,Burke,1.0,False,
AL-1998-house-24-D-BURKE,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-BURKE,Burke,-1.0,False,
AL-1998-house-25-D-HAWK,1998.0,market_government_direction,1.65,2,1,2,ALPERSON-HAWK,Hawk,-0.9133333333333334,False,
AL-1998-house-25-D-HAWK,1998.0,material_support,1.0,1,1,1,ALPERSON-HAWK,Hawk,1.0,False,
AL-1998-house-25-D-HAWK,1998.0,order_justice,2.0,2,1,1,ALPERSON-HAWK,Hawk,1.0,False,
AL-1998-house-25-R-FINLEY,1998.0,environment_resources,4.0,4,1,1,ALPERSON-FINLEY,Finley,-1.0,False,
AL-1998-house-25-R-FINLEY,1998.0,labor_capital,1.0,1,1,1,ALPERSON-FINLEY,Finley,1.0,False,
AL-1998-house-25-R-FINLEY,1998.0,market_government_direction,3.0,3,1,1,ALPERSON-FINLEY,Finley,0.3333333333333333,False,
AL-1998-house-25-R-FINLEY,1998.0,material_support,4.0,4,2,1,ALPERSON-FINLEY,Finley,0.5,True,0.5
AL-1998-house-25-R-FINLEY,1998.0,order_justice,6.0,6,1,1,ALPERSON-FINLEY,Finley,1.0,False,
AL-1998-house-25-R-FINLEY,1998.0,social_liberty_equality,11.0,11,4,1,ALPERSON-FINLEY,Finley,-0.6363636363636364,True,-0.6363636363636364
AL-1998-house-26-D-MCDANIEL,1998.0,market_government_direction,2.65,3,1,2,ALPERSON-MCDANIEL,McDaniel,-0.24528301886792456,False,
AL-1998-house-26-D-MCDANIEL,1998.0,material_support,1.0,1,1,1,ALPERSON-MCDANIEL,McDaniel,1.0,False,
AL-1998-house-26-D-MCDANIEL,1998.0,order_justice,2.0,2,1,1,ALPERSON-MCDANIEL,McDaniel,1.0,False,
AL-1998-house-26-D-MCDANIEL,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-MCDANIEL,McDaniel,-1.0,False,
AL-1998-house-26-R-JOHNSTON,1998.0,environment_resources,7.0,7,1,1,ALPERSON-JOHNSTON,Johnston,-0.2857142857142857,False,
AL-1998-house-26-R-JOHNSTON,1998.0,labor_capital,1.0,1,1,1,ALPERSON-JOHNSTON,Johnston,1.0,False,
AL-1998-house-26-R-JOHNSTON,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-JOHNSTON,Johnston,0.6,False,
AL-1998-house-26-R-JOHNSTON,1998.0,material_support,5.0,5,3,1,ALPERSON-JOHNSTON,Johnston,0.0,True,0.0
AL-1998-house-26-R-JOHNSTON,1998.0,order_justice,8.0,8,1,1,ALPERSON-JOHNSTON,Johnston,1.0,False,
AL-1998-house-26-R-JOHNSTON,1998.0,social_liberty_equality,12.0,12,4,1,ALPERSON-JOHNSTON,Johnston,-0.5,True,-0.5
AL-1998-house-27-D-MURPHREE,1998.0,environment_resources,5.0,5,1,1,ALPERSON-MURPHREE,Murphree,-0.4,False,
AL-1998-house-27-D-MURPHREE,1998.0,labor_capital,1.0,1,1,1,ALPERSON-MURPHREE,Murphree,1.0,False,
AL-1998-house-27-D-MURPHREE,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-MURPHREE,Murphree,0.6,False,
AL-1998-house-27-D-MURPHREE,1998.0,material_support,7.0,7,3,1,ALPERSON-MURPHREE,Murphree,0.35714285714285715,True,0.35714285714285715
AL-1998-house-27-D-MURPHREE,1998.0,order_justice,10.0,10,1,1,ALPERSON-MURPHREE,Murphree,0.6,False,
AL-1998-house-27-D-MURPHREE,1998.0,social_liberty_equality,13.0,13,4,1,ALPERSON-MURPHREE,Murphree,-0.38461538461538464,True,-0.38461538461538464
AL-1998-house-28-D-FORD,1998.0,labor_capital,0.75,1,1,1,ALPERSON-FORD,Ford,1.0,False,
AL-1998-house-28-D-FORD,1998.0,market_government_direction,0.65,1,1,1,ALPERSON-FORD,Ford,-0.2,False,
AL-1998-house-28-R-STEPHENS,1998.0,environment_resources,3.0,3,1,1,ALPERSON-STEPHENS,Stephens,-0.3333333333333333,False,
AL-1998-house-28-R-STEPHENS,1998.0,order_justice,7.0,7,1,1,ALPERSON-STEPHENS,Stephens,0.42857142857142855,False,
AL-1998-house-28-R-STEPHENS,1998.0,social_liberty_equality,9.0,9,4,1,ALPERSON-STEPHENS,Stephens,0.1111111111111111,True,0.1111111111111111
AL-1998-house-29-D-PAGE,1998.0,market_government_direction,0.65,1,1,1,ALPERSON-PAGE,Page,-0.2,False,
AL-1998-house-29-R-MALONE,1998.0,environment_resources,5.0,5,1,1,ALPERSON-MALONE,Malone,-0.4,False,
AL-1998-house-29-R-MALONE,1998.0,labor_capital,1.0,1,1,1,ALPERSON-MALONE,Malone,1.0,False,
AL-1998-house-29-R-MALONE,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-MALONE,Malone,0.6,False,
AL-1998-house-29-R-MALONE,1998.0,material_support,7.0,7,3,1,ALPERSON-MALONE,Malone,0.6428571428571429,True,0.6428571428571429
AL-1998-house-29-R-MALONE,1998.0,order_justice,11.0,11,1,1,ALPERSON-MALONE,Malone,0.8181818181818182,False,
AL-1998-house-29-R-MALONE,1998.0,social_liberty_equality,11.0,11,4,1,ALPERSON-MALONE,Malone,-0.6363636363636364,True,-0.6363636363636364
AL-1998-house-3-D-BLACK,1998.0,market_government_direction,2.65,3,1,2,ALPERSON-BLACK,Black,-0.7841509433962266,False,
AL-1998-house-3-D-BLACK,1998.0,material_support,1.0,1,1,1,ALPERSON-BLACK,Black,1.0,False,
AL-1998-house-3-D-BLACK,1998.0,order_justice,2.0,2,1,1,ALPERSON-BLACK,Black,1.0,False,
AL-1998-house-3-D-BLACK,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-BLACK,Black,-1.0,False,
AL-1998-house-3-R-SMALLWOOD,1998.0,environment_resources,4.0,4,1,1,ALPERSON-SMALLWOOD,Smallwood,-1.0,False,
AL-1998-house-3-R-SMALLWOOD,1998.0,labor_capital,1.0,1,1,1,ALPERSON-SMALLWOOD,Smallwood,1.0,False,
AL-1998-house-3-R-SMALLWOOD,1998.0,market_government_direction,3.0,3,1,1,ALPERSON-SMALLWOOD,Smallwood,0.3333333333333333,False,
AL-1998-house-3-R-SMALLWOOD,1998.0,material_support,5.0,5,3,1,ALPERSON-SMALLWOOD,Smallwood,0.0,True,0.0
AL-1998-house-3-R-SMALLWOOD,1998.0,order_justice,7.0,7,1,1,ALPERSON-SMALLWOOD,Smallwood,0.9285714285714286,False,
AL-1998-house-3-R-SMALLWOOD,1998.0,social_liberty_equality,8.0,8,4,1,ALPERSON-SMALLWOOD,Smallwood,-0.75,True,-0.75
AL-1998-house-30-D-GALLIHER,1998.0,environment_resources,6.0,6,1,1,ALPERSON-GALLIHER,Galliher,-0.8333333333333334,False,
AL-1998-house-30-D-GALLIHER,1998.0,market_government_direction,5.65,6,1,3,ALPERSON-GALLIHER,Galliher,0.06194690265486727,False,
AL-1998-house-30-D-GALLIHER,1998.0,material_support,7.0,7,2,2,ALPERSON-GALLIHER,Galliher,0.5,True,0.5
AL-1998-house-30-D-GALLIHER,1998.0,order_justice,13.0,13,1,2,ALPERSON-GALLIHER,Galliher,0.8461538461538461,False,
AL-1998-house-30-D-GALLIHER,1998.0,social_liberty_equality,11.0,11,4,2,ALPERSON-GALLIHER,Galliher,-0.45454545454545453,True,-0.45454545454545453
AL-1998-house-30-R-HOLLAND,1998.0,environment_resources,5.0,5,1,1,ALPERSON-HOLLAND,Holland,-0.4,False,
AL-1998-house-30-R-HOLLAND,1998.0,market_government_direction,3.0,3,1,1,ALPERSON-HOLLAND,Holland,0.3333333333333333,False,
AL-1998-house-30-R-HOLLAND,1998.0,material_support,3.0,3,2,1,ALPERSON-HOLLAND,Holland,-0.5,True,-0.5
AL-1998-house-30-R-HOLLAND,1998.0,order_justice,11.0,11,1,1,ALPERSON-HOLLAND,Holland,0.5909090909090909,False,
AL-1998-house-30-R-HOLLAND,1998.0,social_liberty_equality,11.0,11,4,1,ALPERSON-HOLLAND,Holland,-0.6363636363636364,True,-0.6363636363636364
AL-1998-house-31-D-VENABLE,1998.0,environment_resources,7.0,7,1,1,ALPERSON-VENABLE,Venable,-0.5714285714285714,False,
AL-1998-house-31-D-VENABLE,1998.0,market_government_direction,6.65,7,1,3,ALPERSON-VENABLE,Venable,-0.09774436090225562,False,
AL-1998-house-31-D-VENABLE,1998.0,material_support,5.0,5,2,2,ALPERSON-VENABLE,Venable,0.7,True,0.7
AL-1998-house-31-D-VENABLE,1998.0,order_justice,13.0,13,1,2,ALPERSON-VENABLE,Venable,0.8076923076923077,False,
