election_year,votesmart_candidate_id,candidate,chamber,district,party,outcome,profile_slug,profile_url,source_url
1998,5657,"John Hawkins, Jr.",house,48,Republican,Won,john-hawkins-jr,https://j.futurefacts.votesmart.io/candidate/5657/john-hawkins-jr,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,15879,Sara Beth Blair,house,49,Democratic,Lost,sara-beth-blair,https://j.futurefacts.votesmart.io/candidate/15879/sara-beth-blair,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5713,Dave Thomas,house,49,Republican,Won,dave-thomas,https://j.futurefacts.votesmart.io/candidate/5713/dave-thomas,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,16074,Scott Beason,house,50,Republican,Won,scott-beason,https://j.futurefacts.votesmart.io/candidate/16074/scott-beason,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5715,Jim Townsend,house,50,Republican,Withdrawn,jim-townsend,https://j.futurefacts.votesmart.io/candidate/5715/jim-townsend,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,15910,Bobby Humphryes,house,51,Republican,Won,bobby-humphryes,https://j.futurefacts.votesmart.io/candidate/15910/bobby-humphryes,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,15965,R.L. Mullins,house,51,Democratic,Lost,rl-mullins,https://j.futurefacts.votesmart.io/candidate/15965/rl-mullins,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5704,"John Rogers, Jr.",house,52,Democratic,Won,john-rogers-jr,https://j.futurefacts.votesmart.io/candidate/5704/john-rogers-jr,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5692,"Demetrius Newton, Sr.",house,53,Democratic,Won,demetrius-newton-sr,https://j.futurefacts.votesmart.io/candidate/5692/demetrius-newton-sr,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,15960,Mary Latimore,house,54,Republican,Lost,mary-latimore,https://j.futurefacts.votesmart.io/candidate/15960/mary-latimore,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5699,George Perdue,house,54,Democratic,Won,george-perdue,https://j.futurefacts.votesmart.io/candidate/5699/george-perdue,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,15892,Eric Major,house,55,Democratic,Won,eric-major,https://j.futurefacts.votesmart.io/candidate/15892/eric-major,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
