canonical_candidate_id,bundle_id,dimensions_observed,dimensions_used,bundle_label,person_id,cycle,chamber,era,presidential_overperformance,federal_index_overperformance,candidate_cmo_total_oof
AL-1998-house-86-D-CAROTHERS,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-CAROTHERS,1998,house,pre_2008,60.030503903940975,80.45505966267399,36.67183726744692
AL-1998-house-87-D-MATHIS,1,6,6,high social traditionalism + low material redistribution,ALPERSON-MATHIS,1998,house,pre_2008,18.036629183501734,40.05286980624616,-4.283316014145255
AL-1998-house-89-D-BOOTHE,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-BOOTHE,1998,house,pre_2008,24.521577062069422,47.67661997536601,1.1004266676974623
AL-1998-house-95-D-PFEIFER,2,5,6,high gun rights + high market and development autonomy,ALPERSON-PFEIFER,1998,house,pre_2008,-8.581588204191242,9.935128000300516,-21.438330874972102
AL-1998-senate-1-D-DENTON,1,6,6,high social traditionalism + low material redistribution,ALPERSON-DENTON,1998,senate,pre_2008,38.45789781642314,29.05805111514405,27.07771732138984
AL-1998-senate-13-D-DIAL,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-DIAL,1998,senate,pre_2008,34.17011488645236,54.21439089056395,21.856716597238226
AL-1998-senate-14-D-ROBINSON,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-ROBINSON,1998,senate,pre_2008,-11.14697410779182,2.2346711682596307,-24.99091504061293
AL-1998-senate-16-D-JOHNS,4,6,6,low punitive law and order + high material redistribution,ALPERSON-JOHNS,1998,senate,pre_2008,-33.93365382846785,7.289208953032009,-14.395846391054093
AL-1998-senate-2-D-BUTLER,2,3,6,high gun rights + high market and development autonomy,ALPERSON-BUTLER,1998,senate,pre_2008,33.16261075368605,27.415741641485816,21.51425729556141
AL-1998-senate-22-D-LINDSEY,1,6,6,high social traditionalism + low material redistribution,ALPERSON-LINDSEY,1998,senate,pre_2008,16.526156608262394,39.49947131928754,5.70845828216241
AL-1998-senate-25-D-CHAPPELL,1,6,6,high social traditionalism + low material redistribution,ALPERSON-CHAPPELL,1998,senate,pre_2008,-34.010023663483,3.0418645568604674,-30.226848247872155
AL-1998-senate-26-D-LANGFORD,2,3,6,high gun rights + high market and development autonomy,ALPERSON-LANGFORD,1998,senate,pre_2008,43.9011816566116,38.09008285293133,1.1408995075312165
AL-1998-senate-31-D-HOLLEY,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-HOLLEY,1998,senate,pre_2008,19.984469304313784,44.26910886848038,-0.9097398505753548
AL-1998-senate-6-D-BEDFORD,2,3,6,high gun rights + high market and development autonomy,ALPERSON-BEDFORD,1998,senate,pre_2008,33.96477997615042,47.12593029315963,23.156560858851616
AL-2002-house-104-D-WEBSTER-DANIEL-J,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-WEBSTER-DANIEL-J,2002,house,pre_2008,-32.191803879367264,-14.009795996390466,-19.611052625014874
AL-2002-house-11-D-MAZE-DENNIS-E,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MAZE-DENNIS-E,2002,house,pre_2008,18.756448511803484,-21.19446815109612,9.769690824547816
AL-2002-house-22-D-HALL-ALBERT,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-HALL-ALBERT,2002,house,pre_2008,48.26673501199534,15.426450145241734,35.59715266994007
AL-2002-house-26-D-MCDANIEL-FRANK,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MCDANIEL-FRANK,2002,house,pre_2008,52.75982983015919,47.3354180291806,30.420932895830653
AL-2002-house-28-D-FORD-CRAIG,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-FORD-CRAIG,2002,house,pre_2008,33.525807296930886,37.37960006881093,18.45963196526429
AL-2002-house-3-D-BLACK-MARCEL,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-BLACK-MARCEL,2002,house,pre_2008,32.963957144439554,8.505772311878893,22.783139884919144
AL-2002-house-31-D-VENABLE-JACK-B,2,3,6,high gun rights + high market and development autonomy,ALPERSON-VENABLE-JACK-B,2002,house,pre_2008,57.10382308672639,61.83154800063684,49.52294606101052
AL-2002-house-33-D-CURTIS-CLARA,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-CURTIS-CLARA,2002,house,pre_2008,-11.708296240851794,-10.667679590368149,-18.5058798647134
AL-2002-house-35-D-HURST-STEVE,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-HURST-STEVE,2002,house,pre_2008,35.51642655717963,39.79243653300559,25.76859495438873
AL-2002-house-5-D-CARTER-TOMMY,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-CARTER-TOMMY,2002,house,pre_2008,38.93554907343291,-1.5004085478262643,27.226086071088385
AL-2002-house-59-D-MOORE-MARY,4,6,6,low punitive law and order + high material redistribution,ALPERSON-MOORE-MARY,2002,house,pre_2008,,13.221790761474985,5.981077910284711
AL-2002-house-65-D-DOLBARE-JEFF,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-DOLBARE-JEFF,2002,house,pre_2008,36.63200940023378,27.46064492983161,21.40953194788149
AL-2002-house-74-D-OTT-RUTH-MITCHELL,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-OTT-RUTH-MITCHELL,2002,house,pre_2008,-22.085656644166512,12.24702098159949,0.0614995495352701
AL-2002-house-76-D-MCCLAMMY-THAD,5,6,6,high material redistribution + low market and development autonomy,ALPERSON-MCCLAMMY-THAD,2002,house,pre_2008,18.97455817751742,7.203095110324739,2.0108012249377225
AL-2002-house-87-D-HUTTO-MICKEY-A,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-HUTTO-MICKEY-A,2002,house,pre_2008,-4.0962937288860815,19.88114130490617,-5.428909314124233
AL-2002-house-9-D-GRANTLAND-RONALD,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-GRANTLAND-RONALD,2002,house,pre_2008,40.35948358172925,-4.5299148171237,30.715107831601497
AL-2002-house-91-D-SPICER-TERRY,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-SPICER-TERRY,2002,house,pre_2008,55.3997408838179,72.18374285832242,41.77032075545422
AL-2002-senate-1-D-DENTON-BOBBY,1,5,6,high social traditionalism + low material redistribution,ALPERSON-DENTON-BOBBY,2002,senate,pre_2008,34.23193876170493,6.430875650692634,26.043591208487
AL-2002-senate-10-D-MEANS-LARRY,1,5,6,high social traditionalism + low material redistribution,ALPERSON-MEANS-LARRY,2002,senate,pre_2008,45.495247650298026,44.62909207522058,33.142556048674834
AL-2002-senate-17-D-MOORE-CAROLINE-B,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MOORE-CAROLINE-B,2002,senate,pre_2008,-22.006563623602936,-16.809275590415233,-31.08436618726978
AL-2002-senate-2-D-BUTLER-TOM,1,5,6,high social traditionalism + low material redistribution,ALPERSON-BUTLER-TOM,2002,senate,pre_2008,39.48595348015709,8.184595547834787,32.21359292876001
AL-2002-senate-21-D-POOLE-PHIL,1,5,6,high social traditionalism + low material redistribution,ALPERSON-POOLE-PHIL,2002,senate,pre_2008,29.378226993759352,38.425911779332864,26.616828924226063
AL-2002-senate-3-D-ROBERTS-TOMMY-ED,1,5,6,high social traditionalism + low material redistribution,ALPERSON-ROBERTS-TOMMY-ED,2002,senate,pre_2008,47.62424179574862,11.471739824391085,43.38435981131242
AL-2002-senate-35-D-TANNER-GARY,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-TANNER-GARY,2002,senate,pre_2008,16.176247616266682,21.782472849885064,15.122408725724704
AL-2002-senate-6-D-BEDFORD-ROGER,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-BEDFORD-ROGER,2002,senate,pre_2008,41.21963444664466,1.582879500166431,21.92566995261077
AL-2002-senate-7-D-ENFINGER-JEFF,1,5,6,high social traditionalism + low material redistribution,ALPERSON-ENFINGER-JEFF,2002,senate,pre_2008,29.731164573996324,8.71969553001071,28.72693448617332
AL-2002-senate-9-D-MITCHEM-HINTON,1,5,6,high social traditionalism + low material redistribution,ALPERSON-MITCHEM-HINTON,2002,senate,pre_2008,31.15044878389049,-1.7331706699009368,23.606388618272263
AL-2006-house-101-D-AMY-BECKERLE-SMITH,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-AMY-BECKERLE-SMITH,2006,house,pre_2008,,8.319380999979138,-21.960406617234668
AL-2006-house-102-D-GARY-JOHNSON,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-GARY-JOHNSON,2006,house,pre_2008,,-0.3956161696853115,-26.932718661924685
AL-2006-house-13-D-TOMMY-SHERER,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-TOMMY-SHERER,2006,house,pre_2008,101.0817531597962,72.26967088558864,40.20274344359715
AL-2006-house-21-D-RANDY-HINSHAW,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-RANDY-HINSHAW,2006,house,pre_2008,35.96928183808224,,34.454489548166464
AL-2006-house-28-D-CRAIG-FORD,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-CRAIG-FORD,2006,house,pre_2008,65.88155938932498,53.484055839622144,28.220737481474263
AL-2006-house-35-D-STEVE-HURST,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-STEVE-HURST,2006,house,pre_2008,86.88452497065265,,59.70422443986594
AL-2006-house-4-D-SUE-MITCHELL,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-SUE-MITCHELL,2006,house,pre_2008,23.137810095478525,31.34354721988026,6.433744674357552
AL-2006-house-40-D-LEA-FITE,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-LEA-FITE,2006,house,pre_2008,46.26293494232404,,23.56402596906499
AL-2006-house-44-D-JONATHAN-BARBEE,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-JONATHAN-BARBEE,2006,house,pre_2008,20.55930587879844,,3.5041621054145224
AL-2006-house-58-D-OLIVER-ROBINSON,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-OLIVER-ROBINSON,2006,house,pre_2008,21.738855057950367,,6.844138382368222
AL-2006-house-66-D-F-P-SKIPPY-WHITE,2,5,6,high gun rights + high market and development autonomy,ALPERSON-F-P-SKIPPY-WHITE,2006,house,pre_2008,25.28771513393117,27.87810900001395,-1.080818793413556
AL-2006-house-7-D-JOHN-JODY-LETSON,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-JOHN-JODY-LETSON,2006,house,pre_2008,55.03546791074024,94.81044779327682,27.150325348232908
AL-2006-house-73-D-LARRY-A-GREWELLE,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-LARRY-A-GREWELLE,2006,house,pre_2008,20.028301733162383,,-4.894486043847468
AL-2006-house-80-D-LESLEY-VANCE,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-LESLEY-VANCE,2006,house,pre_2008,44.20050407205727,,24.311092389672208
AL-2006-house-9-D-RONALD-GRANTLAND,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-RONALD-GRANTLAND,2006,house,pre_2008,58.04475662048739,55.57594218346295,32.60153487901459
AL-2006-house-91-D-TERRY-SPICER,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-TERRY-SPICER,2006,house,pre_2008,51.66157851379236,58.18997059553124,37.78571478354633
AL-2006-house-92-D-SETH-HAMMETT,2,3,6,high gun rights + high market and development autonomy,ALPERSON-SETH-HAMMETT,2006,house,pre_2008,107.10805941045598,110.54350369888138,82.56635520279895
AL-2006-house-93-D-JOHN-WILLIAMS,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-JOHN-WILLIAMS,2006,house,pre_2008,11.80477591975002,14.928570168879062,-2.7356738315831706
AL-2006-house-94-D-GENE-PONDER,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-GENE-PONDER,2006,house,pre_2008,1.2572859733890098,4.026907878457806,-16.939891072448233
AL-2006-house-95-D-FRANK-CAMP,4,6,6,low punitive law and order + high material redistribution,ALPERSON-FRANK-CAMP,2006,house,pre_2008,7.75259260364944,10.632954534759897,-9.632035803084818
AL-2006-senate-11-D-JIM-PREUITT,1,5,6,high social traditionalism + low material redistribution,ALPERSON-JIM-PREUITT,2006,senate,pre_2008,49.468155494700966,87.67837815445603,26.18095004737928
AL-2006-senate-16-D-RUSS-PARKER,4,6,6,low punitive law and order + high material redistribution,ALPERSON-RUSS-PARKER,2006,senate,pre_2008,0.1687875111765038,,-8.991239346045901
AL-2006-senate-18-D-RODGER-M-SMITHERMAN,2,3,6,high gun rights + high market and development autonomy,ALPERSON-RODGER-M-SMITHERMAN,2006,senate,pre_2008,16.438896440997098,,10.742248747659673
AL-2006-senate-2-D-TOM-BUTLER,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-TOM-BUTLER,2006,senate,pre_2008,43.411888409994695,,43.91102118992636
AL-2006-senate-21-D-PHIL-POOLE,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-PHIL-POOLE,2006,senate,pre_2008,90.58874946894872,84.89104130153841,48.09137655750715
AL-2006-senate-27-D-T-D-TED-LITTLE,2,5,6,high gun rights + high market and development autonomy,ALPERSON-T-D-TED-LITTLE,2006,senate,pre_2008,50.12597995765709,,38.0390187083871
AL-2006-senate-35-D-GARY-TANNER,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-GARY-TANNER,2006,senate,pre_2008,,26.6205379561468,-0.2995613655296723
AL-2006-senate-4-D-ZEB-LITTLE,2,3,6,high gun rights + high market and development autonomy,ALPERSON-ZEB-LITTLE,2006,senate,pre_2008,63.083986844197184,71.08980660199045,30.19873836972275
AL-2006-senate-9-D-HINTON-HITCHEM,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-HINTON-HITCHEM,2006,senate,pre_2008,50.02209185423016,58.48753634937085,35.03077408884765
AL-2010-house-12-D-JAMES-C-FIELDS-JR,5,4,6,high material redistribution + low market and development autonomy,ALPERSON-JAMES-C-FIELDS-JR,2010,house,2008_2014,56.8299001783898,51.554226536278094,30.466090711856133
AL-2010-house-13-D-TOMMY-SHERER,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-TOMMY-SHERER,2010,house,2008_2014,26.842747875738336,25.235718905814185,4.211185762941806
AL-2010-house-14-D-KEN-GUIN,2,5,6,high gun rights + high market and development autonomy,ALPERSON-KEN-GUIN,2010,house,2008_2014,6.443043066063687,-10.128672191475552,-12.262163873598606
AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,5,4,6,high material redistribution + low market and development autonomy,ALPERSON-WILLIAM-E-THIGPEN-SR,2010,house,2008_2014,37.4753400281372,23.720724398881792,26.548749294367056
AL-2010-house-2-D-MIKE-CURTIS,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-MIKE-CURTIS,2010,house,2008_2014,27.06796304205319,19.53112956557493,14.236841902651951
AL-2010-house-21-D-RANDY-HINSHAW,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-RANDY-HINSHAW,2010,house,2008_2014,7.637475300005639,18.115506312385747,12.427183996718636
AL-2010-house-22-D-BUTCH-TAYLOR,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-BUTCH-TAYLOR,2010,house,2008_2014,12.107959980747154,15.136452598489612,7.798572622121377
AL-2010-house-27-D-JEFF-MCLAUGHLIN,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-JEFF-MCLAUGHLIN,2010,house,2008_2014,49.95548415816762,56.43992828393883,33.692295463782465
AL-2010-house-29-D-JOHN-G-JACK-PAGE-III,4,3,6,low punitive law and order + high material redistribution,ALPERSON-JOHN-G-JACK-PAGE-III,2010,house,2008_2014,31.015400478467736,26.218972308144004,4.010810133893694
AL-2010-house-30-D-WALLY-BURNS,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-WALLY-BURNS,2010,house,2008_2014,13.540266919346736,16.801739985506373,-3.0164257223218414
AL-2010-house-35-D-STEVE-HURST,1,4,6,high social traditionalism + low material redistribution,ALPERSON-STEVE-HURST,2010,house,2008_2014,36.17452576657405,50.91610753239299,31.760823085099428
AL-2010-house-37-D-RICHARD-LAIRD,2,5,6,high gun rights + high market and development autonomy,ALPERSON-RICHARD-LAIRD,2010,house,2008_2014,45.82289759224755,43.84060346800041,23.168252659585207
AL-2010-house-39-D-RICHARD-LINDSEY,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-RICHARD-LINDSEY,2010,house,2008_2014,70.20839662888658,64.01501891346932,40.86397663397608
AL-2010-house-42-D-JAMES-M-JIMMY-MARTIN,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-JAMES-M-JIMMY-MARTIN,2010,house,2008_2014,26.08409717667687,30.39725746036035,10.448839262534165
AL-2010-house-45-D-CHARLENE-CANNON,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-CHARLENE-CANNON,2010,house,2008_2014,-23.29593658254913,-33.175694840360244,-9.086014743293193
AL-2010-house-5-D-HENRY-A-WHITE,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-HENRY-A-WHITE,2010,house,2008_2014,23.436185122947837,16.911828600161897,12.50310797250561
AL-2010-house-61-D-ALAN-HARPER,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-ALAN-HARPER,2010,house,2008_2014,42.96966169263322,40.26952405876184,49.79237235884608
AL-2010-house-7-D-JOHN-JODY-LETSON,2,3,6,high gun rights + high market and development autonomy,ALPERSON-JOHN-JODY-LETSON,2010,house,2008_2014,31.28279912947672,9.560747259970045,10.315702323960895
AL-2010-house-73-D-JOSEPH-LISTER-JOE-HUBBARD,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-JOSEPH-LISTER-JOE-HUBBARD,2010,house,2008_2014,-16.657462585336525,8.471844586891864,-4.8487738413864205
AL-2010-house-80-D-LESLEY-VANCE,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-LESLEY-VANCE,2010,house,2008_2014,24.165340483451928,40.323512980477545,26.67032669088924
AL-2010-house-81-D-BETTY-CAROL-GRAHAM,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-BETTY-CAROL-GRAHAM,2010,house,2008_2014,24.611507041749743,20.30640771147733,2.1416133921085727
AL-2010-house-90-D-CHARLES-NEWTON,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-CHARLES-NEWTON,2010,house,2008_2014,39.72838214612077,27.179171076376225,16.258849180856025
AL-2010-house-91-D-TERRY-SPICER,6,5,6,low social traditionalism + high racial and political equality,ALPERSON-TERRY-SPICER,2010,house,2008_2014,20.32865703165414,6.200014469733532,-3.3221558458000686
AL-2010-senate-1-D-TAMMY-L-IRONS,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-TAMMY-L-IRONS,2010,senate,2008_2014,37.557973851369695,30.304391927829563,25.92487140340738
AL-2010-senate-10-D-LARRY-MEANS,2,5,6,high gun rights + high market and development autonomy,ALPERSON-LARRY-MEANS,2010,senate,2008_2014,33.299302977134126,34.464931027680144,10.408100770483038
AL-2010-senate-2-D-TOM-BUTLER,5,4,6,high material redistribution + low market and development autonomy,ALPERSON-TOM-BUTLER,2010,senate,2008_2014,13.853654070273343,16.885715338623736,11.406550967627783
AL-2010-senate-21-D-PHIL-POOLE,1,4,6,high social traditionalism + low material redistribution,ALPERSON-PHIL-POOLE,2010,senate,2008_2014,11.178071305886563,22.037234731056728,21.198313092343685
AL-2010-senate-22-D-MARC-KEAHEY,5,6,6,high material redistribution + low market and development autonomy,ALPERSON-MARC-KEAHEY,2010,senate,2008_2014,36.88642477075298,56.32715521767616,29.69781852101756
AL-2010-senate-27-D-T-D-TED-LITTLE,5,5,6,high material redistribution + low market and development autonomy,ALPERSON-T-D-TED-LITTLE,2010,senate,2008_2014,12.778213575556936,17.467856982487064,2.494648254840973
AL-2010-senate-28-D-BILLY-BEASLEY,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-BILLY-BEASLEY,2010,senate,2008_2014,26.37054117443637,23.04954889743219,11.887488086497257
AL-2010-senate-30-D-WALKING-WENDELL-MITCHELL,5,4,6,high material redistribution + low market and development autonomy,ALPERSON-WALKING-WENDELL-MITCHELL,2010,senate,2008_2014,16.786982764545247,9.047129517611843,-1.4650468631439626
AL-2010-senate-33-D-VIVIAN-DAVIS-FIGURES,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-VIVIAN-DAVIS-FIGURES,2010,senate,2008_2014,30.88122805519619,47.87233908734365,1.132432829688753
AL-2010-senate-4-D-ZEB-LITTLE,1,4,6,high social traditionalism + low material redistribution,ALPERSON-ZEB-LITTLE,2010,senate,2008_2014,40.60376929350375,6.2754681414210935,15.729442700390235
AL-2010-senate-5-D-BRETT-WADSWORTH,2,5,6,high gun rights + high market and development autonomy,ALPERSON-BRETT-WADSWORTH,2010,senate,2008_2014,-15.524627602400244,-35.9934985751071,-11.779565335918846
AL-2010-senate-6-D-ROGER-BEDFORD-JR,5,4,6,high material redistribution + low market and development autonomy,ALPERSON-ROGER-BEDFORD-JR,2010,senate,2008_2014,54.48388540498717,30.837568452720696,29.69033973459737
AL-2010-senate-8-D-LOWELL-BARRON,6,3,6,low social traditionalism + high racial and political equality,ALPERSON-LOWELL-BARRON,2010,senate,2008_2014,43.51549451306904,29.33864250963666,18.52305880073304
AL-2014-house-1-D-GREG-BURDINE,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-GREG-BURDINE,2014,house,2008_2014,19.473474454529708,,12.468668529265948
AL-2014-house-16-D-DANIEL-H-BOMAN,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-DANIEL-H-BOMAN,2014,house,2008_2014,-4.237755990455128,15.575406396191354,-6.881004591873996
AL-2014-house-18-D-JOHNNY-MACK-MORROW,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-JOHNNY-MACK-MORROW,2014,house,2008_2014,56.03256218211908,,39.98475640422988
AL-2014-house-23-D-JOHN-ROBINSON,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-JOHN-ROBINSON,2014,house,2008_2014,26.848836039699748,,17.685484559244117
AL-2014-house-28-D-CRAIG-FORD,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-CRAIG-FORD,2014,house,2008_2014,50.05268102442159,,24.583293364913764
AL-2014-house-3-D-MARCEL-BLACK,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-MARCEL-BLACK,2014,house,2008_2014,35.4487473915693,,23.533733639573743
AL-2014-house-39-D-RICHARD-LINDSEY,6,6,6,low social traditionalism + high racial and political equality,ALPERSON-RICHARD-LINDSEY,2014,house,2008_2014,69.51059109458942,67.61164173963289,51.82533174508392
