legislator_name,chamber,district,party,rating,rating_year,organization,source_url,local_path,source_sha256,election_cycle,name_key,canonical_candidate_id,person_id,canonical_name,year_num,district_num,canonical_party
"Clarke, Adline",house,97.0,D,17.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ADLINE CLARKE,AL-2022-house-97-D-GSL097DCLA,ALPERSON-GSL097DCLA,GSL097DCLA,2022.0,97.0,D
"Clouse, Steve",house,93.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,STEVE CLOUSE,AL-2022-house-93-R-GSL093RCLO,ALPERSON-GSL093RCLO,GSL093RCLO,2022.0,93.0,R
"Coleman, Merika",house,57.0,D,6.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,MERIKA COLEMAN,,,,,,
"Collins, Terri",house,8.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,TERRI COLLINS,AL-2022-house-8-R-GSL008RCOL,ALPERSON-GSL008RCOL,GSL008RCOL,2022.0,8.0,R
"Crawford, Danny",house,5.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,DANNY CRAWFORD,AL-2022-house-5-R-GSL005RCRA,ALPERSON-GSL005RCRA,GSL005RCRA,2022.0,5.0,R
"Daniels, Anthony",house,53.0,D,17.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ANTHONY DANIELS,AL-2022-house-53-D-GSL053DDAN,ALPERSON-GSL053DDAN,GSL053DDAN,2022.0,53.0,D
"Dismukes, Will",house,88.0,R,19.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,WILL DISMUKES,,,,,,
"Drake, Dickie",house,45.0,R,14.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,DICKIE DRAKE,,,,,,
"Drummond, Barbara",house,103.0,D,16.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,BARBARA DRUMMOND,AL-2022-house-103-D-GSL103DDRU,ALPERSON-GSL103DDRU,GSL103DDRU,2022.0,103.0,D
"Easterbrook, Brett",house,65.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,BRETT EASTERBROOK,AL-2022-house-65-R-GSL065REAS,ALPERSON-GSL065REAS,GSL065REAS,2022.0,65.0,R
"Ellis, Corley",house,41.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,CORLEY ELLIS,AL-2022-house-41-R-GSL041RELL,ALPERSON-GSL041RELL,GSL041RELL,2022.0,41.0,R
"England, Christopher",house,70.0,D,6.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,CHRISTOPHER ENGLAND,,,,,,
"Estes, Tracy",house,17.0,R,30.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,TRACY ESTES,AL-2022-house-17-R-GSL017REST,ALPERSON-GSL017REST,GSL017REST,2022.0,17.0,R
"Farley, Allen",house,15.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ALLEN FARLEY,,,,,,
"Faulkner, David",house,46.0,R,30.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,DAVID FAULKNER,AL-2022-house-46-R-GSL046RFAU,ALPERSON-GSL046RFAU,GSL046RFAU,2022.0,46.0,R
"Faust, Joe",house,94.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JOE FAUST,,,,,,
"Fincher, Bob",house,37.0,R,32.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,BOB FINCHER,AL-2022-house-37-R-GSL037RFIN,ALPERSON-GSL037RFIN,GSL037RFIN,2022.0,37.0,R
"Forte, Berry",house,84.0,D,19.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,BERRY FORTE,AL-2022-house-84-D-GSL084DFOR,ALPERSON-GSL084DFOR,GSL084DFOR,2022.0,84.0,D
"Garrett, Danny",house,44.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,DANNY GARRETT,AL-2022-house-44-R-GSL044RGAR,ALPERSON-GSL044RGAR,GSL044RGAR,2022.0,44.0,R
"Gaston, Victor",house,100.0,R,20.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,VICTOR GASTON,,,,,,
"Givan, Juandalynn",house,60.0,D,7.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JUANDALYNN GIVAN,AL-2022-house-60-D-GSL060DGIV,ALPERSON-GSL060DGIV,GSL060DGIV,2022.0,60.0,D
"Gray, Jeremy",house,83.0,D,12.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JEREMY GRAY,AL-2022-house-83-D-GSL083DGRA,ALPERSON-GSL083DGRA,GSL083DGRA,2022.0,83.0,D
"Greer, Lynn",house,2.0,R,23.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,LYNN GREER,,,,,,
"Grimsley, Dexter",house,85.0,D,20.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,DEXTER GRIMSLEY,AL-2022-house-85-D-GSL085DGRI,ALPERSON-GSL085DGRI,GSL085DGRI,2022.0,85.0,D
"Hall, Laura",house,19.0,D,17.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,LAURA HALL,AL-2022-house-19-D-GSL019DHAL,ALPERSON-GSL019DHAL,GSL019DHAL,2022.0,19.0,D
"Hanes, Tommy",house,23.0,R,34.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,TOMMY HANES,,,,,,
"Harbison, Corey",house,12.0,R,29.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,COREY HARBISON,AL-2022-house-12-R-GSL012RHAR,ALPERSON-GSL012RHAR,GSL012RHAR,2022.0,12.0,R
"Hill, Jim",house,50.0,R,16.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JIM HILL,AL-2022-house-50-R-GSL050RHIL,ALPERSON-GSL050RHIL,GSL050RHIL,2022.0,50.0,R
"Hollis, Rolanda",house,58.0,D,17.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ROLANDA HOLLIS,AL-2022-house-58-D-GSL058DHOL,ALPERSON-GSL058DHOL,GSL058DHOL,2022.0,58.0,D
"Holmes, Mike",house,31.0,R,51.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,MIKE HOLMES,,,,,,
"Howard, Ralph",house,72.0,D,6.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,RALPH HOWARD,,,,,,
"Hurst, Stephen",house,35.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,STEPHEN HURST,,,,,,
"Ingram, Reed",house,75.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,REED INGRAM,AL-2022-house-75-R-GSL075RING,ALPERSON-GSL075RING,GSL075RING,2022.0,75.0,R
"Isbell, Gil",house,28.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,GIL ISBELL,,,,,,
"Jackson, Thomas",house,68.0,D,7.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,THOMAS JACKSON,,,,,,
"Jones, Mike",house,92.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,MIKE JONES,,,,,,
"Jones, Sam",house,99.0,D,12.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,SAM JONES,AL-2022-house-99-D-GSL099DJON,ALPERSON-GSL099DJON,GSL099DJON,2022.0,99.0,D
"Kiel, Jamie",house,18.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JAMIE KIEL,AL-2022-house-18-R-GSL018RKIE,ALPERSON-GSL018RKIE,GSL018RKIE,2022.0,18.0,R
"Kitchens, Wes",house,27.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,WES KITCHENS,AL-2022-house-27-R-GSL027RKIT,ALPERSON-GSL027RKIT,GSL027RKIT,2022.0,27.0,R
"Lawrence, Kelvin",house,69.0,D,13.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,KELVIN LAWRENCE,AL-2022-house-69-D-GSL069DLAW,ALPERSON-GSL069DLAW,GSL069DLAW,2022.0,69.0,D
"Ledbetter, Nathaniel",house,24.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,NATHANIEL LEDBETTER,AL-2022-house-24-R-GSL024RLED,ALPERSON-GSL024RLED,GSL024RLED,2022.0,24.0,R
"Lee, Paul",house,86.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,PAUL LEE,AL-2022-house-86-R-GSL086RLEE,ALPERSON-GSL086RLEE,GSL086RLEE,2022.0,86.0,R
"Lipscomb, Craig",house,30.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,CRAIG LIPSCOMB,,,,,,
"Lovvorn, Joe",house,79.0,R,15.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JOE LOVVORN,AL-2022-house-79-R-GSL079RLOV,ALPERSON-GSL079RLOV,GSL079RLOV,2022.0,79.0,R
"Marques, Rhett",house,91.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,RHETT MARQUES,AL-2022-house-91-R-GSL091RMAR,ALPERSON-GSL091RMAR,GSL091RMAR,2022.0,91.0,R
"McCampbell, Artis",house,71.0,D,14.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ARTIS MCCAMPBELL,,,,,,
"McClammy, Thad",house,76.0,D,13.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,THAD MCCLAMMY,,,,,,
