people_id,chamber,member_display_name,sessions,first_session,last_session,member_source_id,raw_recorded_votes,raw_rollcalls,classified_votes,classified_rollcalls,career_ideology_available,candidate_identity_linked,coverage_flag
3388,house,James Buskey,9,2010,2018,LEGISCAN-3388,5312,5312,193,193,True,True,covered
3389,house,Mary Moore,17,2010,2026,LEGISCAN-3389,10789,10789,771,771,True,True,covered
3391,house,Merika Coleman-Evans,14,2010,2023,LEGISCAN-3391,11766,11766,683,683,True,True,covered
3392,house,Richard Lindsey,9,2010,2018,LEGISCAN-3392,6279,6279,211,211,True,True,covered
3400,house,John Robinson,5,2010,2014,LEGISCAN-3400,3276,3276,128,128,True,True,covered
3401,house,Patricia Todd,9,2010,2018,LEGISCAN-3401,4253,4253,131,131,True,True,covered
3402,house,Johnny Morrow,9,2010,2018,LEGISCAN-3402,5742,5742,204,204,True,True,covered
3405,senate,Robert Ward,11,2011,2021,LEGISCAN-3405,6216,6216,166,166,True,True,covered
3406,house,Craig Ford,9,2010,2018,LEGISCAN-3406,6287,6287,211,211,True,True,covered
3407,house,Todd Greeson,5,2010,2014,LEGISCAN-3407,2784,2784,108,108,True,True,covered
3408,house,Randy Davis,9,2010,2018,LEGISCAN-3408,6279,6279,221,221,True,True,covered
3410,house,Mike Hill,7,2010,2016,LEGISCAN-3410,5356,5356,186,186,True,True,covered
3411,house,Mac McCutcheon,13,2010,2022,LEGISCAN-3411,9144,9144,310,310,True,True,covered
3414,house,Jay Love,4,2010,2013,LEGISCAN-3414,2609,2609,127,127,True,True,covered
3415,house,Victor Gaston,13,2010,2022,LEGISCAN-3415,9706,9706,307,307,True,True,covered
3416,house,Mike Ball,13,2010,2022,LEGISCAN-3416,8797,8797,293,293,True,True,covered
3417,house,Paul DeMarco,5,2010,2014,LEGISCAN-3417,3626,3626,144,144,True,True,covered
3418,house,Jack Williams,9,2010,2018,LEGISCAN-3418,6569,6569,218,218,True,True,covered
3419,house,Dickie Drake,13,2010,2022,LEGISCAN-3419,8197,8197,274,274,True,True,covered
3420,senate,Gerald Allen,15,2011,2026,LEGISCAN-3420,13734,13734,748,748,True,True,covered
3421,house,Joseph Hubbard,5,2010,2014,LEGISCAN-3421,3132,3132,115,115,True,True,covered
3422,house,James Martin,6,2010,2019,LEGISCAN-3422,2807,2807,84,84,True,True,covered
3423,house,Harry Shiver,13,2010,2022,LEGISCAN-3423,9665,9665,297,297,True,True,covered
3424,house,Joe Faust,13,2010,2022,LEGISCAN-3424,9838,9838,298,298,True,True,covered
3425,house,Chad Fincher,5,2010,2014,LEGISCAN-3425,3411,3411,136,136,True,True,covered
3426,house,Alan Baker,17,2010,2026,LEGISCAN-3426,14152,14152,953,953,True,True,covered
3427,house,Steve McMillan,13,2010,2022,LEGISCAN-3427,7978,7978,258,258,True,True,covered
3428,house,James Ison,5,2010,2014,LEGISCAN-3428,3404,3404,139,139,True,True,covered
3429,house,Jim McClendon,5,2010,2014,LEGISCAN-3429,9447,9447,282,282,True,True,covered
3429,senate,Jim McClendon,8,2015,2022,LEGISCAN-3429,9447,9447,282,282,True,True,covered
3430,house,Randy Wood,17,2010,2026,LEGISCAN-3430,14218,14218,957,957,True,True,covered
3431,house,Jim Barton,4,2010,2013,LEGISCAN-3431,2543,2543,112,112,True,True,covered
3432,house,Steve Clouse,17,2010,2026,LEGISCAN-3432,15956,15956,965,965,True,True,covered
3433,house,Barry Mask,4,2010,2013,LEGISCAN-3433,2318,2318,106,106,True,True,covered
3434,house,Harry Bridges,5,2010,2014,LEGISCAN-3434,3314,3314,133,133,True,True,covered
3435,house,Howard Sanderford,13,2010,2022,LEGISCAN-3435,8607,8607,299,299,True,True,covered
3437,house,Phil Williams,9,2010,2018,LEGISCAN-3437,5487,5487,210,210,True,True,covered
3438,house,Micky Hammon,8,2010,2017,LEGISCAN-3438,4729,4729,177,177,True,True,covered
3439,house,Gregory Wren,5,2010,2014,LEGISCAN-3439,2969,2969,117,117,True,True,covered
3442,house,Alvin Holmes,9,2010,2018,LEGISCAN-3442,5512,5512,183,183,True,True,covered
3445,house,Allen Treadaway,17,2010,2026,LEGISCAN-3445,12653,12653,944,944,True,True,covered
3446,house,Arthur Payne,5,2010,2014,LEGISCAN-3446,3368,3368,137,137,True,True,covered
3447,house,Charles Newton,5,2010,2014,LEGISCAN-3447,3588,3588,136,136,True,True,covered
3448,house,Richard Laird,5,2010,2014,LEGISCAN-3448,3434,3434,131,131,True,True,covered
3449,house,Ronald Johnson,11,2010,2020,LEGISCAN-3449,6959,6959,236,236,True,True,covered
3450,house,Alan Boothe,9,2010,2018,LEGISCAN-3450,6413,6413,217,217,True,True,covered
3453,house,Mary McClurkin,5,2010,2014,LEGISCAN-3453,3282,3282,142,142,True,True,covered
3454,house,John Rogers,15,2010,2024,LEGISCAN-3454,8121,8121,403,403,True,True,covered
3455,house,Elaine Beech,9,2010,2018,LEGISCAN-3455,6011,6011,218,218,True,True,covered
3456,house,Roderick Scott,13,2010,2022,LEGISCAN-3456,8369,8369,242,242,True,True,covered
3457,house,Lawrence McAdory,5,2010,2014,LEGISCAN-3457,2998,2998,124,124,True,True,covered
3458,house,George Bandy,9,2010,2018,LEGISCAN-3458,4051,4051,116,116,True,True,covered
3459,house,K.L. Brown,13,2010,2022,LEGISCAN-3459,9179,9179,309,309,True,True,covered
3461,senate,J.T. Waggoner,17,2010,2026,LEGISCAN-3461,13781,13781,749,749,True,True,covered
3462,senate,Del Marsh,13,2010,2022,LEGISCAN-3462,8236,8236,224,224,True,True,covered
3464,senate,Trip Pittman,9,2010,2018,LEGISCAN-3464,5146,5146,149,149,True,True,covered
3465,senate,Rodger Smitherman,17,2010,2026,LEGISCAN-3465,13202,13202,725,725,True,True,covered
3467,senate,Paul Sanford,9,2010,2018,LEGISCAN-3467,4188,4188,114,114,True,True,covered
3469,senate,Rusty Glover,9,2010,2018,LEGISCAN-3469,4620,4620,142,142,True,True,covered
3470,senate,Hank Sanders,9,2010,2018,LEGISCAN-3470,5064,5064,143,143,True,True,covered
3472,senate,Quinton Ross,8,2010,2017,LEGISCAN-3472,4729,4729,131,131,True,True,covered
3473,senate,Roger Bedford,5,2010,2014,LEGISCAN-3473,2643,2643,78,78,True,True,covered
3479,senate,Linda Coleman-Madison,17,2010,2026,LEGISCAN-3479,12419,12419,703,703,True,True,covered
3480,senate,Priscilla Dunn,13,2010,2022,LEGISCAN-3480,5646,5646,151,151,True,True,covered
3481,senate,Arthur Orr,17,2010,2026,LEGISCAN-3481,12904,12904,727,727,True,True,covered
3482,senate,Bobby Singleton,17,2010,2026,LEGISCAN-3482,11134,11134,577,577,True,True,covered
3485,senate,George Keahey,5,2010,2014,LEGISCAN-3485,2274,2274,62,62,True,True,covered
3486,senate,Tom Butler,9,2010,2026,LEGISCAN-3486,7703,7703,573,573,True,True,covered
3489,senate,Scott Beason,5,2010,2014,LEGISCAN-3489,1968,1968,52,52,True,True,covered
3490,senate,Vivian Figures,17,2010,2026,LEGISCAN-3490,11144,11144,600,600,True,True,covered
3491,senate,Jimmy Holley,13,2010,2022,LEGISCAN-3491,9235,9235,226,226,True,True,covered
3493,senate,Harri Smith,9,2010,2018,LEGISCAN-3493,4483,4483,116,116,True,True,covered
12485,house,Kerry Rich,13,2010,2022,LEGISCAN-12485,8317,8317,292,292,True,True,covered
12486,house,Terri Collins,17,2010,2026,LEGISCAN-12486,13367,13367,943,943,True,True,covered
12487,house,William Roberts,5,2010,2014,LEGISCAN-12487,3085,3085,132,132,True,True,covered
12488,house,Lynn Greer,13,2010,2022,LEGISCAN-12488,9207,9207,283,283,True,True,covered
12489,house,Dan Williams,6,2010,2015,LEGISCAN-12489,3441,3441,133,133,True,True,covered
12490,house,Paul Lee,17,2010,2026,LEGISCAN-12490,15402,15402,956,956,True,True,covered
12492,senate,Greg Reed,15,2010,2024,LEGISCAN-12492,10433,10433,481,481,True,True,covered
12493,senate,Shadrack McGill,5,2010,2014,LEGISCAN-12493,2381,2381,66,66,True,True,covered
12495,senate,Dick Brewbaker,9,2010,2018,LEGISCAN-12495,4383,4383,118,118,True,True,covered
12496,senate,Paul Bussman,9,2010,2018,LEGISCAN-12496,5360,5360,150,150,True,True,covered
12497,senate,Bill Holtzclaw,9,2010,2018,LEGISCAN-12497,4826,4826,143,143,True,True,covered
12498,senate,Phillip Williams,9,2010,2018,LEGISCAN-12498,5479,5479,154,154,True,True,covered
12499,senate,Clay Scofield,14,2010,2023,LEGISCAN-12499,8972,8972,364,364,True,True,covered
12500,house,April Weaver,12,2010,2023,LEGISCAN-12500,11925,11925,743,743,True,True,covered
12500,senate,April Weaver,5,2021,2026,LEGISCAN-12500,11925,11925,743,743,True,True,covered
12501,house,Barry Moore,9,2010,2018,LEGISCAN-12501,5290,5290,208,208,True,True,covered
12502,house,Ed Henry,9,2010,2018,LEGISCAN-12502,4772,4772,199,199,True,True,covered
12503,house,Mike Hubbard,7,2010,2016,LEGISCAN-12503,5134,5134,171,171,True,True,covered
12504,house,Wes Long,5,2010,2014,LEGISCAN-12504,2928,2928,130,130,True,True,covered
12505,house,Richard Baughn,5,2010,2014,LEGISCAN-12505,3039,3039,131,131,True,True,covered
12506,house,Becky Nordgren,13,2010,2022,LEGISCAN-12506,7473,7473,267,267,True,True,covered
12507,house,Mac Buttram,5,2010,2014,LEGISCAN-12507,3023,3023,132,132,True,True,covered
12508,house,Kurt Wallace,5,2010,2014,LEGISCAN-12508,3068,3068,131,131,True,True,covered
12509,house,Donnie Chesteen,10,2010,2023,LEGISCAN-12509,13266,13266,783,783,True,True,covered
12509,senate,Donnie Chesteen,7,2019,2026,LEGISCAN-12509,13266,13266,783,783,True,True,covered
12511,house,John Merrill,5,2010,2014,LEGISCAN-12511,2994,2994,130,130,True,True,covered
12512,house,Ken Johnson,9,2010,2018,LEGISCAN-12512,5384,5384,209,209,True,True,covered
12513,house,Jim Patterson,8,2010,2017,LEGISCAN-12513,5176,5176,189,189,True,True,covered
12515,senate,Gerald Dial,9,2010,2018,LEGISCAN-12515,5642,5642,157,157,True,True,covered
12516,senate,Bryan Taylor,5,2010,2014,LEGISCAN-12516,2748,2748,85,85,True,True,covered
12517,senate,Jerry Fielding,5,2010,2014,LEGISCAN-12517,3077,3077,93,93,True,True,covered
12520,house,Wayne Johnson,5,2010,2014,LEGISCAN-12520,3046,3046,125,125,True,True,covered
12521,senate,Thomas Whatley,13,2010,2022,LEGISCAN-12521,7707,7707,190,190,True,True,covered
12523,house,Daniel Boman,5,2010,2014,LEGISCAN-12523,2070,2070,81,81,True,True,covered
12525,house,Mike Jones,13,2010,2022,LEGISCAN-12525,8336,8336,288,288,True,True,covered
12526,house,Paul Beckman,9,2010,2018,LEGISCAN-12526,5868,5868,205,205,True,True,covered
12530,house,William Poole,12,2010,2021,LEGISCAN-12530,7115,7115,266,266,True,True,covered
12541,senate,Slade Blackwell,9,2010,2018,LEGISCAN-12541,4036,4036,99,99,True,True,covered
12542,house,Napoleon Bracy,17,2010,2026,LEGISCAN-12542,11883,11883,887,887,True,True,covered
12543,house,Berry Forte,17,2010,2026,LEGISCAN-12543,12703,12703,876,876,True,True,covered
12544,house,David Colston,5,2010,2014,LEGISCAN-12544,2905,2905,121,121,True,True,covered
12545,house,Mark Tuggle,9,2010,2018,LEGISCAN-12545,5531,5531,212,212,True,True,covered
12546,house,Darrio Melton,7,2010,2016,LEGISCAN-12546,4343,4343,169,169,True,True,covered
12547,house,Greg Burdine,5,2010,2014,LEGISCAN-12547,2949,2949,116,116,True,True,covered
12548,house,Allen Farley,13,2010,2022,LEGISCAN-12548,8425,8425,281,281,True,True,covered
12549,house,Dexter Grimsley,13,2010,2022,LEGISCAN-12549,8193,8193,274,274,True,True,covered
12550,house,Juandalynn Givan,17,2010,2026,LEGISCAN-12550,10879,10879,810,810,True,True,covered
13150,house,David Sessions,9,2011,2023,LEGISCAN-13150,12164,12164,758,758,True,True,covered
13150,senate,David Sessions,7,2019,2026,LEGISCAN-13150,12164,12164,758,758,True,True,covered
13766,house,Jim Carns,15,2012,2026,LEGISCAN-13766,11406,11406,855,855,True,True,covered
15745,house,David Standridge,14,2013,2026,LEGISCAN-15745,11220,11220,839,839,True,True,covered
15746,house,Mack Butler,10,2013,2026,LEGISCAN-15746,8285,8285,773,773,True,True,covered
15984,senate,Bill Hightower,6,2013,2018,LEGISCAN-15984,3058,3058,76,76,True,True,covered
16021,house,Randall Shedd,13,2013,2025,LEGISCAN-16021,8120,8120,502,502,True,True,covered
16069,house,Dimitri Polizos,6,2014,2019,LEGISCAN-16069,3316,3316,89,89,True,True,covered
16140,house,Adline Clarke,13,2014,2026,LEGISCAN-16140,9612,9612,779,779,True,True,covered
16211,house,Mike Holmes,9,2014,2022,LEGISCAN-16211,5432,5432,172,172,True,True,covered
16212,house,Margie Wilcox,13,2014,2026,LEGISCAN-16212,10498,10498,808,808,True,True,covered
16871,senate,Greg Albritton,12,2015,2026,LEGISCAN-16871,9504,9504,591,591,True,True,covered
16872,senate,Clyde Chambliss,12,2015,2026,LEGISCAN-16872,10011,10011,625,625,True,True,covered
16873,senate,Steve Livingston,12,2015,2026,LEGISCAN-16873,10791,10791,668,668,True,True,covered
16874,senate,Shay Shelnutt,12,2015,2026,LEGISCAN-16874,8712,8712,562,562,True,True,covered
16875,senate,Tim Melson,12,2015,2026,LEGISCAN-16875,9707,9707,641,641,True,True,covered
16876,senate,Larry Stutts,12,2015,2026,LEGISCAN-16876,9829,9829,609,609,True,True,covered
17025,house,Corey Harbison,11,2015,2025,LEGISCAN-17025,6363,6363,437,437,True,True,covered
17026,house,Phillip Pettus,12,2015,2026,LEGISCAN-17026,9718,9718,799,799,True,True,covered
17027,house,Ritchie Whorton,12,2015,2026,LEGISCAN-17027,9758,9758,804,804,True,True,covered
17028,house,Connie Rowe,8,2015,2022,LEGISCAN-17028,4588,4588,141,141,True,True,covered
17589,house,David Faulkner,12,2015,2026,LEGISCAN-17589,10125,10125,804,804,True,True,covered
17590,house,Matt Fridy,6,2015,2020,LEGISCAN-17590,3421,3421,95,95,True,True,covered
17591,house,Danny Garrett,12,2015,2026,LEGISCAN-17591,9935,9935,807,807,True,True,covered
17592,house,James Hanes,8,2015,2022,LEGISCAN-17592,5125,5125,157,157,True,True,covered
17593,house,Jim Hill,12,2015,2026,LEGISCAN-17593,10028,10028,800,800,True,True,covered
17594,house,Reed Ingram,12,2015,2026,LEGISCAN-17594,10257,10257,799,799,True,True,covered
17595,house,Nathaniel Ledbetter,12,2015,2026,LEGISCAN-17595,10513,10513,818,818,True,True,covered
17596,house,Chris Sells,12,2015,2026,LEGISCAN-17596,10093,10093,792,792,True,True,covered
17597,house,Kyle South,9,2015,2023,LEGISCAN-17597,5842,5842,316,316,True,True,covered
17598,house,Jack Williams,5,2015,2023,LEGISCAN-17598,9345,9345,599,599,True,True,covered
17598,senate,Jack Williams,7,2019,2026,LEGISCAN-17598,9345,9345,599,599,True,True,covered
17599,house,Will Ainsworth,4,2015,2018,LEGISCAN-17599,2376,2376,81,81,True,True,covered
17603,house,Chris Pringle,12,2015,2026,LEGISCAN-17603,9858,9858,805,805,True,True,covered
17622,house,Bob Fincher,12,2015,2026,LEGISCAN-17622,9521,9521,790,790,True,True,covered
17624,house,Barbara Drummond,12,2015,2026,LEGISCAN-17624,9384,9384,769,769,True,True,covered
17625,house,Kelvin Lawrence,12,2015,2026,LEGISCAN-17625,8701,8701,731,731,True,True,covered
17632,house,Timothy Wadsworth,12,2015,2026,LEGISCAN-17632,9805,9805,808,808,True,True,covered
17633,house,Rich Wingo,8,2015,2022,LEGISCAN-17633,5126,5126,160,160,True,True,covered
17634,house,Arnold Mooney,12,2015,2026,LEGISCAN-17634,8673,8673,715,715,True,True,covered
17641,house,Louise Alexander,8,2015,2022,LEGISCAN-17641,4948,4948,151,151,True,True,covered
17642,house,Anthony Daniels,12,2015,2026,LEGISCAN-17642,8506,8506,739,739,True,True,covered
17643,house,Issac Whorton,4,2015,2018,LEGISCAN-17643,2327,2327,78,78,True,True,covered
17874,house,Chris Blackshear,11,2016,2026,LEGISCAN-17874,9921,9921,795,795,True,True,covered
17899,house,Danny Crawford,11,2016,2026,LEGISCAN-17899,9053,9053,796,796,True,True,covered
19256,house,Corley Ellis,10,2017,2026,LEGISCAN-19256,8755,8755,768,768,True,True,covered
19257,house,Joe Lovvorn,10,2017,2026,LEGISCAN-19257,8647,8647,772,772,True,True,covered
19353,house,Rolanda Hollis,10,2017,2026,LEGISCAN-19353,7568,7568,705,705,True,True,covered
19368,house,Prince Chestnut,10,2017,2026,LEGISCAN-19368,7065,7065,698,698,True,True,covered
19618,house,Rex Reynolds,9,2018,2026,LEGISCAN-19618,8006,8006,743,743,True,True,covered
20421,house,Wes Kitchens,5,2019,2023,LEGISCAN-20421,7170,7170,618,618,True,True,covered
21169,senate,Chris Elliott,8,2019,2026,LEGISCAN-21169,7330,7330,556,556,True,True,covered
21247,house,Will Dismukes,4,2019,2022,LEGISCAN-21247,2590,2590,77,77,True,True,covered
21248,house,Craig Lipscomb,8,2019,2026,LEGISCAN-21248,8004,8004,728,728,True,True,covered
21249,house,Scott Stadthagen,8,2019,2026,LEGISCAN-21249,7421,7421,720,720,True,True,covered
21250,house,Shane Stringer,8,2019,2026,LEGISCAN-21250,7728,7728,725,725,True,True,covered
21254,senate,Randy Price,8,2019,2026,LEGISCAN-21254,7089,7089,563,563,True,True,covered
21283,senate,Andrew Jones,8,2019,2026,LEGISCAN-21283,7679,7679,595,595,True,True,covered
21284,senate,Dan Roberts,8,2019,2026,LEGISCAN-21284,7382,7382,571,571,True,True,covered
21285,house,David Wheeler,4,2019,2022,LEGISCAN-21285,2338,2338,61,61,True,True,covered
21287,house,Chip Brown,8,2019,2026,LEGISCAN-21287,8407,8407,739,739,True,True,covered
21288,house,Tracy Estes,8,2019,2026,LEGISCAN-21288,7853,7853,719,719,True,True,covered
21289,house,Matt Simpson,8,2019,2026,LEGISCAN-21289,7727,7727,710,710,True,True,covered
21291,house,Andrew Sorrell,4,2019,2022,LEGISCAN-21291,3094,3094,82,82,True,True,covered
21297,house,Brett Easterbrook,8,2019,2026,LEGISCAN-21297,6665,6665,585,585,True,True,covered
21298,house,Jeremy Gray,8,2019,2026,LEGISCAN-21298,6589,6589,686,686,True,True,covered
21299,house,Kirk Hatcher,4,2019,2023,LEGISCAN-21299,5837,5837,477,477,True,True,covered
21299,senate,Kirk Hatcher,4,2022,2026,LEGISCAN-21299,5837,5837,477,477,True,True,covered
21300,house,Gil Isbell,4,2019,2022,LEGISCAN-21300,3005,3005,82,82,True,True,covered
21301,house,Sam Jones,8,2019,2026,LEGISCAN-21301,6763,6763,701,701,True,True,covered
21302,house,Jamie Kiel,8,2019,2026,LEGISCAN-21302,7103,7103,711,711,True,True,covered
21303,house,Rhett Marques,8,2019,2026,LEGISCAN-21303,7725,7725,733,733,True,True,covered
21304,house,Parker Moore,8,2019,2026,LEGISCAN-21304,7565,7565,657,657,True,True,covered
21305,house,TaShina Morris,8,2019,2026,LEGISCAN-21305,6648,6648,686,686,True,True,covered
21306,house,Ed Oliver,8,2019,2026,LEGISCAN-21306,7996,7996,733,733,True,True,covered
21307,house,Proncey Robertson,4,2019,2022,LEGISCAN-21307,3144,3144,84,84,True,True,covered
21308,house,Ginny Shaver,8,2019,2026,LEGISCAN-21308,7292,7292,727,727,True,True,covered
21309,house,Jeff Sorrells,8,2019,2026,LEGISCAN-21309,7728,7728,732,732,True,True,covered
21310,house,Rodney Sullivan,4,2019,2022,LEGISCAN-21310,2933,2933,81,81,True,True,covered
21311,house,Andy Whitt,8,2019,2026,LEGISCAN-21311,7525,7525,738,738,True,True,covered
21312,house,Debbie Wood,7,2019,2025,LEGISCAN-21312,6230,6230,547,547,True,True,covered
21313,senate,Will Barfoot,8,2019,2026,LEGISCAN-21313,6516,6516,514,514,True,True,covered
21315,senate,Sam Givhan,8,2019,2026,LEGISCAN-21315,7307,7307,576,576,True,True,covered
21316,senate,Garlan Gudger,8,2019,2026,LEGISCAN-21316,7343,7343,559,559,True,True,covered
21317,senate,Malika Sanders-Fortier,4,2019,2022,LEGISCAN-21317,1040,1040,16,16,True,True,covered
21318,house,Neil Rafferty,8,2019,2026,LEGISCAN-21318,6516,6516,670,670,True,True,covered
21322,house,Wes Allen,4,2019,2022,LEGISCAN-21322,2599,2599,73,73,True,True,covered
21548,house,Van Smith,7,2020,2026,LEGISCAN-21548,7274,7274,718,718,True,True,covered
22671,house,Russell Bedsole,6,2021,2026,LEGISCAN-22671,6794,6794,715,715,True,True,covered
22761,house,Ben Robbins,6,2021,2026,LEGISCAN-22761,6239,6239,684,684,True,True,covered
22952,house,Kenyatte Hassell,6,2021,2026,LEGISCAN-22952,4835,4835,619,619,True,True,covered
22953,house,Kenneth Paschal,6,2021,2026,LEGISCAN-22953,5824,5824,677,677,True,True,covered
22964,house,Cynthia Almond,5,2021,2025,LEGISCAN-22964,3971,3971,490,490,True,True,covered
23107,house,Patrice McClammy,5,2022,2026,LEGISCAN-23107,4773,4773,628,628,True,True,covered
24594,senate,Lance Bell,4,2023,2026,LEGISCAN-24594,4281,4281,498,498,True,False,covered
24595,house,Ron Bolton,4,2023,2026,LEGISCAN-24595,4997,4997,637,637,True,True,covered
24596,house,Brock Colvin,4,2023,2026,LEGISCAN-24596,4860,4860,654,654,True,True,covered
24597,house,Phillip Ensler,4,2023,2026,LEGISCAN-24597,4034,4034,616,616,True,True,covered
24598,house,Mark Gidley,4,2023,2026,LEGISCAN-24598,4907,4907,652,652,True,True,covered
24599,house,Ben Harrison,4,2023,2026,LEGISCAN-24599,4197,4197,627,627,True,True,covered
24600,senate,Jay Hovey,4,2023,2026,LEGISCAN-24600,4012,4012,481,481,True,True,covered
24601,house,Leigh Hulsey,4,2023,2026,LEGISCAN-24601,4797,4797,645,645,True,True,covered
24602,house,Mike Kirkland,4,2023,2026,LEGISCAN-24602,4935,4935,657,657,True,True,covered
24603,house,Bill Lamb,4,2023,2026,LEGISCAN-24603,4968,4968,656,656,True,True,covered
24604,house,Marcus Paramore,4,2023,2026,LEGISCAN-24604,4873,4873,653,653,True,True,covered
24605,house,Rick Rehm,4,2023,2026,LEGISCAN-24605,4553,4553,644,644,True,True,covered
24606,house,Chad Robertson,4,2023,2026,LEGISCAN-24606,4542,4542,648,648,True,True,covered
24607,house,Mike Shaw,4,2023,2026,LEGISCAN-24607,5072,5072,651,651,True,True,covered
24608,house,Jerry Starnes,4,2023,2026,LEGISCAN-24608,4962,4962,657,657,True,True,covered
24609,senate,Robert Stewart,4,2023,2026,LEGISCAN-24609,4208,4208,489,489,True,True,covered
24610,house,Troy Stubbs,4,2023,2026,LEGISCAN-24610,4906,4906,655,655,True,True,covered
24611,house,Ontario Tillman,4,2023,2026,LEGISCAN-24611,4160,4160,616,616,True,True,covered
24612,house,Kerry Underwood,4,2023,2026,LEGISCAN-24612,4885,4885,652,652,True,True,covered
24614,house,Ernie Yarbrough,4,2023,2026,LEGISCAN-24614,3990,3990,621,621,True,True,covered
24794,senate,Joshua Carnley,4,2023,2026,LEGISCAN-24794,4302,4302,505,505,True,False,covered
24796,house,Susan DuBose,4,2023,2026,LEGISCAN-24796,4216,4216,630,630,True,True,covered
24797,house,Jennifer Fidler,4,2023,2026,LEGISCAN-24797,4917,4917,656,656,True,True,covered
24798,house,Donna Givens,4,2023,2026,LEGISCAN-24798,4977,4977,654,654,True,True,covered
24799,house,Matthew Hammett,4,2023,2026,LEGISCAN-24799,4804,4804,645,645,True,True,covered
24800,house,Frances Holk-Jones,4,2023,2026,LEGISCAN-24800,4999,4999,660,660,True,True,covered
24801,senate,Keith Kelley,4,2023,2026,LEGISCAN-24801,4279,4279,499,499,True,True,covered
24802,house,James Lomax,4,2023,2026,LEGISCAN-24802,4845,4845,656,656,True,True,covered
24804,house,Phillip Rigsby,4,2023,2026,LEGISCAN-24804,4873,4873,657,657,True,True,covered
24805,house,Patrick Sellers,4,2023,2026,LEGISCAN-24805,4171,4171,620,620,True,True,covered
24806,house,Mark Shirey,4,2023,2026,LEGISCAN-24806,4896,4896,654,654,True,True,covered
24807,house,Curtis Travis,4,2023,2026,LEGISCAN-24807,4402,4402,626,626,True,True,covered
