canonical_candidate_id,cycle,chamber,district,party,candidate,requested_record,preferred_authority,missing_is_zero
AL-1994-house-66-D-WHITE,1994,house,66,D,White,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-66-R-THOMSON,1994,house,66,R,Thomson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-67-D-MAULL,1994,house,67,D,Maull,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-67-R-WALKER,1994,house,67,R,Walker,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-69-D-THOMAS,1994,house,69,D,Thomas,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-69-R-BROOKS,1994,house,69,R,Brooks,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-72-D-HAYDEN,1994,house,72,D,Hayden,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-72-R-WILLIAMS,1994,house,72,R,Williams,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-73-D-VAUGHAN,1994,house,73,D,Vaughan,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-73-R-HOOPER,1994,house,73,R,Hooper,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-75-D-HOLLEY,1994,house,75,D,Holley,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-75-R-WREN,1994,house,75,R,Wren,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-76-D-MCCLAMMY,1994,house,76,D,McClammy,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-76-R-MERREN,1994,house,76,R,Merren,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-79-D-TURNHAM,1994,house,79,D,Turnham,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-79-R-PIERCE,1994,house,79,R,Pierce,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-80-D-VANCE,1994,house,80,D,Vance,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-80-R-MCCRAINE,1994,house,80,R,Mccraine,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-85-D-BAKER,1994,house,85,D,Baker,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-85-R-RALEY,1994,house,85,R,Raley,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-86-D-CAROTHERS,1994,house,86,D,Carothers,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-86-R-SHUEMAKE,1994,house,86,R,Shuemake,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-87-D-MATHIS,1994,house,87,D,Mathis,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-87-R-SEIBENHENER,1994,house,87,R,Seibenhener,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-88-D-GIPSON,1994,house,88,D,Gipson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-88-R-TEMPLENTON,1994,house,88,R,Templenton,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-93-D-WILLIAMS,1994,house,93,D,Williams,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-93-R-CLOUSE,1994,house,93,R,Clouse,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-95-D-MCNAIR,1994,house,95,D,Mcnair,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-95-R-MCMILLAN,1994,house,95,R,Mcmillan,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-96-D-BOX,1994,house,96,D,Box,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-96-R-LONG,1994,house,96,R,Long,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-97-D-KENNEDY,1994,house,97,D,Kennedy,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-97-R-BAUMHAUER,1994,house,97,R,Baumhauer,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-103-D-MITCHELL,1994,house,103,D,Mitchell,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-103-R-GARDNER,1994,house,103,R,Gardner,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-104-D-ROCKHOLD,1994,house,104,D,Rockhold,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-104-R-DEAN,1994,house,104,R,Dean,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-105-D-HARPER,1994,house,105,D,Harper,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-105-R-CRIGLER,1994,house,105,R,Crigler,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-2-D-BUTLER,1994,senate,2,D,Butler,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-2-R-MANLEY,1994,senate,2,R,Manley,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-3-D-ROBERTS,1994,senate,3,D,Roberts,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-3-R-GENTRY,1994,senate,3,R,Gentry,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-4-D-FARRAR,1994,senate,4,D,Farrar,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-4-R-HALE,1994,senate,4,R,Hale,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-senate-5-D-WILSON,1994,senate,5,D,Wilson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
