year,election_type,dimension,group,metric,value,source_vintage,source_url
2012,president,other,Male 30-44,dem_two_party_share_pct,48.59,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Male 45-64,dem_two_party_share_pct,46.02,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Male 65+,dem_two_party_share_pct,43.1,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Married,dem_two_party_share_pct,45.41,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Modeled Historical Democrat,dem_two_party_share_pct,92.79,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Modeled Historical Middle,dem_two_party_share_pct,52.06,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Modeled Historical Republican,dem_two_party_share_pct,11.73,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Rural,dem_two_party_share_pct,38.43,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Rural 18-29,dem_two_party_share_pct,44.89,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Rural 30-44,dem_two_party_share_pct,36.12,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Rural 45-64,dem_two_party_share_pct,38.07,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Rural 65+,dem_two_party_share_pct,37.87,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Silent / Greatest,dem_two_party_share_pct,46.43,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Single,dem_two_party_share_pct,60.58,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Suburban,dem_two_party_share_pct,50.94,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Suburban 18-29,dem_two_party_share_pct,61.3,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Suburban 30-44,dem_two_party_share_pct,51.82,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Suburban 45-64,dem_two_party_share_pct,49.54,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Suburban 65+,dem_two_party_share_pct,45.67,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Urban,dem_two_party_share_pct,72.19,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Urban 18-29,dem_two_party_share_pct,79.21,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Urban 30-44,dem_two_party_share_pct,74.12,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Urban 45-64,dem_two_party_share_pct,71.3,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Urban 65+,dem_two_party_share_pct,65.12,2024_workbook,https://catalist.us/whathappened2024/
2012,president,overall,Total,dem_two_party_share_pct,52.01,2024_workbook,https://catalist.us/whathappened2024/
2012,president,race,AAPI,dem_two_party_share_pct,73.58,2024_workbook,https://catalist.us/whathappened2024/
2012,president,race,Black,dem_two_party_share_pct,96.35,2024_workbook,https://catalist.us/whathappened2024/
2012,president,race,Latino,dem_two_party_share_pct,67.61,2024_workbook,https://catalist.us/whathappened2024/
2012,president,race,Other,dem_two_party_share_pct,58.45,2024_workbook,https://catalist.us/whathappened2024/
2012,president,race,White,dem_two_party_share_pct,42.26,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,age,18-29,dem_two_party_share_pct,60.2,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,age,30-44,dem_two_party_share_pct,51.57,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,age,45-64,dem_two_party_share_pct,50.19,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,age,65+,dem_two_party_share_pct,47.27,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,education,College,dem_two_party_share_pct,51.66,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,education,Non-College,dem_two_party_share_pct,51.11,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,gender,Men,dem_two_party_share_pct,46.26,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,gender,Women,dem_two_party_share_pct,55.49,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI 18-29,dem_two_party_share_pct,81.94,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI 30-44,dem_two_party_share_pct,74.15,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI 45-64,dem_two_party_share_pct,60.99,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI 65+,dem_two_party_share_pct,68.96,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI College,dem_two_party_share_pct,71.26,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI Men,dem_two_party_share_pct,63.04,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI Non-College,dem_two_party_share_pct,68.16,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,AAPI Women,dem_two_party_share_pct,75.21,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black 18-29,dem_two_party_share_pct,90.89,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black 30-44,dem_two_party_share_pct,89.39,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black 45-64,dem_two_party_share_pct,95.07,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black 65+,dem_two_party_share_pct,96.4,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black College,dem_two_party_share_pct,91.48,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black Men,dem_two_party_share_pct,89.1,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black Non-College,dem_two_party_share_pct,93.34,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Black Women,dem_two_party_share_pct,95.15,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino 18-29,dem_two_party_share_pct,72.54,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino 30-44,dem_two_party_share_pct,57.31,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino 45-64,dem_two_party_share_pct,63.34,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino 65+,dem_two_party_share_pct,59.36,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino College,dem_two_party_share_pct,59.83,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino Men,dem_two_party_share_pct,54.72,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Latino Non-College,dem_two_party_share_pct,64.4,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other 18-29,dem_two_party_share_pct,64.22,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other 30-44,dem_two_party_share_pct,57.04,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other 45-64,dem_two_party_share_pct,44.9,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other 65+,dem_two_party_share_pct,49.87,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other College,dem_two_party_share_pct,54.38,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other Men,dem_two_party_share_pct,43.39,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other Non-College,dem_two_party_share_pct,50.66,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Other Women,dem_two_party_share_pct,59.03,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Rural AAPI,dem_two_party_share_pct,56.27,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Rural Black,dem_two_party_share_pct,89.98,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Rural Latino,dem_two_party_share_pct,46.64,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Rural Other,dem_two_party_share_pct,39.74,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Rural White,dem_two_party_share_pct,33.38,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Suburban AAPI,dem_two_party_share_pct,65.32,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Suburban Black,dem_two_party_share_pct,91.87,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Suburban Latino,dem_two_party_share_pct,58.02,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Suburban Other,dem_two_party_share_pct,49.67,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Suburban White,dem_two_party_share_pct,42.43,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Urban AAPI,dem_two_party_share_pct,76.84,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Urban Black,dem_two_party_share_pct,96.11,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Urban Latino,dem_two_party_share_pct,72.25,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Urban Other,dem_two_party_share_pct,68.27,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,Urban White,dem_two_party_share_pct,63.22,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White 18-29,dem_two_party_share_pct,48.86,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White 30-44,dem_two_party_share_pct,41.67,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White 45-64,dem_two_party_share_pct,42.36,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White 65+,dem_two_party_share_pct,41.45,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White College,dem_two_party_share_pct,45.13,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White College Men,dem_two_party_share_pct,40.15,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White College Women,dem_two_party_share_pct,49.86,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Married Men,dem_two_party_share_pct,34.17,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Married Women,dem_two_party_share_pct,40.31,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Men,dem_two_party_share_pct,39.39,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Non-College,dem_two_party_share_pct,41.54,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Non-College Men,dem_two_party_share_pct,38.94,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Non-College Women,dem_two_party_share_pct,43.72,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Single Men,dem_two_party_share_pct,48.4,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Single Women,dem_two_party_share_pct,52.81,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,intersectional,White Women,dem_two_party_share_pct,45.83,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Baby Boomers,dem_two_party_share_pct,50.06,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Female 18-29,dem_two_party_share_pct,64.61,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Female 30-44,dem_two_party_share_pct,56.15,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Female 45-64,dem_two_party_share_pct,54.45,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Female 65+,dem_two_party_share_pct,50.67,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Gen X,dem_two_party_share_pct,50.62,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Gen Z / Millennials,dem_two_party_share_pct,59.69,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Latina Women,dem_two_party_share_pct,69.31,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Male 18-29,dem_two_party_share_pct,54.69,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Male 30-44,dem_two_party_share_pct,45.88,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Male 45-64,dem_two_party_share_pct,45.22,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Male 65+,dem_two_party_share_pct,43.12,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Married,dem_two_party_share_pct,44.34,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Modeled Historical Democrat,dem_two_party_share_pct,91.71,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Modeled Historical Middle,dem_two_party_share_pct,51.12,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Modeled Historical Republican,dem_two_party_share_pct,11.73,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Rural,dem_two_party_share_pct,38.11,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Rural 18-29,dem_two_party_share_pct,42.77,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Rural 30-44,dem_two_party_share_pct,34.81,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Rural 45-64,dem_two_party_share_pct,38.19,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Rural 65+,dem_two_party_share_pct,38.39,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Silent / Greatest,dem_two_party_share_pct,47.03,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Single,dem_two_party_share_pct,60.36,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Suburban,dem_two_party_share_pct,50.06,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Suburban 18-29,dem_two_party_share_pct,58.91,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Suburban 30-44,dem_two_party_share_pct,49.74,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Suburban 45-64,dem_two_party_share_pct,49.18,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Suburban 65+,dem_two_party_share_pct,46.04,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Urban,dem_two_party_share_pct,71.74,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Urban 18-29,dem_two_party_share_pct,78.03,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Urban 30-44,dem_two_party_share_pct,72.59,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Urban 45-64,dem_two_party_share_pct,71.07,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,other,Urban 65+,dem_two_party_share_pct,66.25,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,overall,Total,dem_two_party_share_pct,51.3,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,race,AAPI,dem_two_party_share_pct,69.54,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,race,Black,dem_two_party_share_pct,92.84,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,race,Latino,dem_two_party_share_pct,63.03,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,race,Other,dem_two_party_share_pct,51.97,2024_workbook,https://catalist.us/whathappened2024/
2012,us_house,race,White,dem_two_party_share_pct,42.82,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,age,18-29,dem_two_party_share_pct,57.82,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,age,30-44,dem_two_party_share_pct,50.47,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,age,45-64,dem_two_party_share_pct,46.51,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,age,65+,dem_two_party_share_pct,45.04,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,education,College,dem_two_party_share_pct,49.7,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,education,Non-College,dem_two_party_share_pct,46.42,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,gender,Men,dem_two_party_share_pct,41.29,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,gender,Women,dem_two_party_share_pct,53.34,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI 18-29,dem_two_party_share_pct,76.45,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI 30-44,dem_two_party_share_pct,68.94,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI 45-64,dem_two_party_share_pct,64.08,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI 65+,dem_two_party_share_pct,62.55,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI College,dem_two_party_share_pct,67.82,2024_workbook,https://catalist.us/whathappened2024/
2014,us_house,intersectional,AAPI Men,dem_two_party_share_pct,61.58,2024_workbook,https://catalist.us/whathappened2024/
