war_outcome_id,state_code,cycle,chamber,district,dem_candidate_name,rep_candidate_name,ambiguous_result_rows,ambiguous_two_party_votes,validation_status,build_run_id,blocking_reason,resolution_needed
WAROUT-E7333C3E708732DFA369,MS,2019,lower,73,"WALSHMASSEY, GAYLE","FORD, JILL",4,5052.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-FF5336B7E844C8DF27D8,MS,2019,lower,75,"MILES, TOM","COX, VANCE",6,2204.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-0B9436A5473036189A80,MS,2019,lower,78,"BRADFORD, JOE C","RUSHING, RANDAL (RANDY)",6,2204.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-FB9A284B00209BC81CA7,MS,2019,lower,97,"THOMPSON, BEN","MIMS, SAM C, V",1,907.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-CDFD72C202989A7108BD,MS,2019,lower,102,"TERRIONRUE, BRANDON","WARRENMCGEE, MISSY",3,4222.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-2AE7F16CC92B788B37F3,MS,2019,lower,105,"DAVES, MATTHEW","GOODIN, DALE",1,294.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-399D1D05CEC65D6BB847,MS,2019,lower,115,"GINES, FELIX O","PATTERSON, RANDALL H",14,8258.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-18CD9982F5282E1C3136,MS,2019,lower,117,"KELLEHER, INEZ M","FELSHER, KEVIN W",17,11186.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-69377E0AC67C20BD7C72,MS,2019,lower,122,"MCDONALD, WENDY","ANDERSON, BRENT",1,466.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-B1756D8219894433385C,MS,2019,upper,2,"JACKSON, LEE A","PARKER, DAVID L",1,1549.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-987E509719F5AADB7E50,MS,2019,upper,3,"TUCKER, TIM","CHISM, KATHY L",1,424.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-F34420D44D4D5EFD0405,MS,2019,upper,8,"COLEMAN, KEGAN","SUBER, BENJAMIN A",4,1691.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-44971D6020B56F425B5C,MS,2019,upper,9,"FRYE, KEVIN W","AKINSBOYD, NICOLE",1,326.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-5A8E2BCEE6BDDEE81DE1,MS,2019,upper,17,"BELTON, DEWANNA","YOUNGER, CHARLES A (CHUCK)",1,719.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-1CCBCC475D672D7A59E3,MS,2019,upper,19,"BLACK, DIANNE","BLACKWELL, KEVIN",1,1549.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-F7D830FD8D0FD0915725,MS,2019,upper,22,"THOMAS, JOSEPH C, SR","DENT, HAYES",7,3985.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-482640F3C36DA7D2AC58,MS,2019,upper,25,"SCALES, EARL","MICHEL, WALTER",8,10928.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-54ECFB9F9ADC1BD4BD2E,MS,2019,upper,34,"BARNETT, JUAN","WADE, STEVEN L",2,3838.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-F6342C3F1B31FD8EE986,MS,2019,upper,37,"GODFREY, WILLIAM E","SOJOURNER, MELANIE",2,1698.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-9EFD57466F3126605F40,MS,2019,upper,40,"LEHR, THOMAS","HILL, ANGELA B",3,2337.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-5652BA2897CDBA6B9F02,MS,2019,upper,48,"FREDERICKS, GARY","THOMPSON, MIKE",15,9179.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
