bill_id,session_id,session_year,session_name,bill_number,title,description,status,status_date,url,state_link,source_archive,source_member,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,terminal_statuses,issue_codes,classification_sources,text_documents,documents_present,document_types,taxonomy_warning,review_priority,frontier_review_status,frontier_decision,frontier_axes,frontier_poles,frontier_confidence,frontier_rationale
1754857,2014,2023,Regular Session 2023,SB198,"Relating to sentencing; to amend Sections 12-25-34.2, 13A-4-1, 13A-4-2, 13A-4-3, 13A-5-6, 15-18-8, and 15-22-54, Code of Alabama 1975, to add additional offenses that would be subject to the presumptive sentencing guidelines; to modify the criminal penalties for criminal solicitation, attempt, and criminal conspiracy; to give a judge discretion when sentencing a person convicted of a Class C or Class D felony offense; to make nonsubstantive, technical revisions to update the existing code language to current style; and in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Section 111.05 of the Constitution of Alabama of 2022.","Relating to sentencing; to amend Sections 12-25-34.2, 13A-4-1, 13A-4-2, 13A-4-3, 13A-5-6, 15-18-8, and 15-22-54, Code of Alabama 1975, to add additional offenses that would be subject to the presumptive sentencing guidelines; to modify the criminal penalties for criminal solicitation, attempt, and criminal conspiracy; to give a judge discretion when sentencing a person convicted of a Class C or Class D felony offense; to make nonsubstantive, technical revisions to update the existing code language to current style; and in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Section 111.05 of the Constitution of Alabama of 2022.",4,2023-05-31,https://legiscan.com/AL/bill/SB198/2023,https://alison.legislature.state.al.us/bill-search,AL_2023-2023_Regular_Session_JSON_20230607_d17b533ce7196680956ab4bbbb4cfb99.zip,AL/2023-2023_Regular_Session/bill/SB198.json,3,1,criminal_punishment,punitive,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,criminal_justice,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,mixed_no_scalar_direction,criminal_punishment,mixed,high,The measure combines broader presumptive-guideline coverage and judicial discretion for lower felonies with altered inchoate-offense penalties. Those provisions do not support a single punitive-versus-reform scalar direction; retain the vote as mixed rather than forcing it punitive.
1871952,2103,2024,Regular Session 2024,SB322,Department of Corrections; Deputy Commissioner for Prison Rehabilitation renamed; number of Deputy Commissioners further provided for; additional exempt and unclassified employees created; additional Joint Prison Oversight Committee duties created,Department of Corrections; Deputy Commissioner for Prison Rehabilitation renamed; number of Deputy Commissioners further provided for; additional exempt and unclassified employees created; additional Joint Prison Oversight Committee duties created,4,2024-05-09,https://legiscan.com/AL/bill/SB322/2024,https://alison.legislature.state.al.us/bill-search,AL_2024-2024_Regular_Session_JSON_20240523_8163cf95b36859f0f327c0576e729221.zip,AL/2024-2024_Regular_Session/bill/SB322.json,7,2,criminal_punishment,rehabilitative,ministral_structured_then_schema_validated|prior_v3_audit,excluded_after_substantive_text_review|procedural_or_amendment_excluded|v3_direction_accepted,criminal_justice,deterministic_high_precision_rule|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,mixed_no_scalar_direction,corrections_administration;institutional_oversight,mixed,high,Renames and restructures corrections leadership while expanding oversight-committee duties. Administrative reorganization and oversight are not themselves evidence of a rehabilitative sentencing position.
2021701,2148,2025,2025 Regular Session,SB305,"Alabama Renewing Alabama's Investment in Student Excellence (RAISE) Act created, additional funding for public schools authorized based on the individual needs of students","Alabama Renewing Alabama's Investment in Student Excellence (RAISE) Act created, additional funding for public schools authorized based on the individual needs of students",4,2025-05-06,https://legiscan.com/AL/bill/SB305/2025,https://alison.legislature.state.al.us/bill-search,AL_2025-2025_Regular_Session_JSON_20250606_8b02a5b94867a13e6a5ddf91374d9628.zip,AL/2025-2025_Regular_Session/bill/SB305.json,7,2,education_public_funding,expand,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,public_education,deterministic_high_precision_rule|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,map,education_public_funding,expand,high,Creates needs-weighted additional funding for public schools. This is a direct expansion of public-school investment.
2079856,2218,2026,2026 Regular Session,HB239,FY27 2% Teacher Pay Raise and Retiree Longevity Bonus,FY27 2% Teacher Pay Raise and Retiree Longevity Bonus,4,2026-04-17,https://legiscan.com/AL/bill/HB239/2026,https://alison.legislature.state.al.us/bill-search,AL_2026-2026_Regular_Session_JSON_20260508_83dae6d8cabb24f080c0acbf9b47fb57.zip,AL/2026-2026_Regular_Session/bill/HB239.json,8,3,education_public_funding,expand,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,public_education,deterministic_high_precision_rule|none,2,2,Enrolled|Introduced,,0,reviewed,multi_axis,education_public_funding;public_employee_compensation,expand;expand,high,Provides a teacher pay raise and retiree longevity bonus. It expands education appropriations and compensation for public education employees.
96500,29,2010,Regular Session 2010,HB260,"Income tax, employment, employers hiring persons receiving unemployment compensation or whose benefits have expired, tax deduction authorized, duties to Revenue Department, Reemployment Act","Income tax, employment, employers hiring persons receiving unemployment compensation or whose benefits have expired, tax deduction authorized, duties to Revenue Department, Reemployment Act",4,2010-04-08,https://legiscan.com/AL/bill/HB260/2010,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB260,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/HB260.json,4,3,tax_burden,decrease,prior_v3_audit,procedural_or_amendment_excluded|v3_direction_accepted,taxes_budget,none,3,3,Engrossed|Enrolled|Introduced,tax_incidence_collapsed,1,reviewed,map,tax_targeted_employment_incentive,expand,high,"Creates an employer income-tax deduction for hiring people receiving or exhausting unemployment benefits. This is a targeted employment subsidy delivered through the tax code, not evidence for a general preference to reduce income taxes."
291567,131,2011,Regular Session 2011,HB117,"Class 3 municipalities, organized under Act 618, 1973 Reg. Sess., income tax credit for hiring certain persons under age 19 during school breaks, after school, or on weekends","Class 3 municipalities, organized under Act 618, 1973 Reg. Sess., income tax credit for hiring certain persons under age 19 during school breaks, after school, or on weekends",2,2011-03-31,https://legiscan.com/AL/bill/HB117/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB117,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HB117.json,1,1,tax_burden,decrease,prior_v3_audit,v3_direction_accepted,taxes_budget,none,1,1,Introduced,tax_incidence_collapsed,1,reviewed,map,tax_targeted_employment_incentive,expand,high,"Creates a narrowly targeted municipal income-tax credit for employers hiring minors during non-school hours. The incidence is on qualifying employers and the purpose is youth employment, not broad personal-income-tax relief."
298318,131,2011,Regular Session 2011,HB230,"Income tax credit authorized for employers creating jobs, under certain conditions, Full Employment Act, Secs. 40-18-270, 40-18-271, 40-18-272 repealed; Act 2010-557, 2010 Reg. Sess. repealed","Income tax credit authorized for employers creating jobs, under certain conditions, Full Employment Act, Secs. 40-18-270, 40-18-271, 40-18-272 repealed; Act 2010-557, 2010 Reg. Sess. repealed",4,2011-06-02,https://legiscan.com/AL/bill/HB230/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB230,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HB230.json,7,4,tax_burden,decrease,prior_v3_audit,procedural_or_amendment_excluded|v3_direction_accepted,taxes_budget,deterministic_high_precision_rule|none,3,3,Engrossed|Enrolled|Introduced,tax_incidence_collapsed,1,reviewed,map,tax_targeted_employment_incentive,expand,high,Authorizes employer tax credits conditioned on job creation. This is targeted economic-development policy rather than a general corporate-tax-rate position.
315131,131,2011,Regular Session 2011,HB530,"Pike Road, ad valorem tax, additional authorized for public schools, referendum","Pike Road, ad valorem tax, additional authorized for public schools, referendum",4,2011-05-05,https://legiscan.com/AL/bill/HB530/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB530,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HB530.json,2,2,tax_burden,increase,prior_v3_audit,v3_direction_accepted,taxes_budget,none,2,2,Enrolled|Introduced,deprecated_or_overbroad_axis,1,reviewed,multi_axis,tax_property;education_public_funding;local_direct_democracy,increase;expand;referendum,high,"Authorizes an additional Pike Road property tax for public schools subject to referendum. It combines property-tax incidence, education investment, and voter approval."
312409,131,2011,Regular Session 2011,HB548,"Partnerships and limited liability companies, Subchapter K entities and Alabama S corporations, owners and resident beneficiaries of estates or trusts provided a proportionate tax credit for taxes paid to a foreign country, Secs. 40-18-14, 40-18-21 am'd. (2011-20801)","Partnerships and limited liability companies, Subchapter K entities and Alabama S corporations, owners and resident beneficiaries of estates or trusts provided a proportionate tax credit for taxes paid to a foreign country, Secs. 40-18-14, 40-18-21 am'd. (2011-20801)",2,2011-05-04,https://legiscan.com/AL/bill/HB548/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB548,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HB548.json,2,1,tax_burden,decrease,prior_v3_audit,procedural_or_amendment_excluded|v3_direction_accepted,taxes_budget,none,2,2,Engrossed|Introduced,deprecated_or_overbroad_axis,1,reviewed,map,tax_foreign_income_double_tax_relief,expand,high,Provides owners of pass-through entities and trust beneficiaries a proportional credit for taxes paid to foreign countries. This addresses double taxation of foreign income rather than reducing Alabama tax rates generally.
328185,131,2011,Regular Session 2011,HB608,"Economic development, tariff tax credits of capital investment costs for qualifying projects, job creation a qualifying factor, Tariff Credit Act","Economic development, tariff tax credits of capital investment costs for qualifying projects, job creation a qualifying factor, Tariff Credit Act",2,2011-05-31,https://legiscan.com/AL/bill/HB608/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB608,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HB608.json,5,1,tax_burden,decrease,prior_v3_audit,procedural_or_amendment_excluded|v3_direction_accepted,taxes_budget,none,2,2,Engrossed|Introduced,deprecated_or_overbroad_axis,1,reviewed,mixed_no_scalar_direction,tax_targeted_development_incentive;market_governance,mixed,high,"The Tariff Credit Act offsets tariff costs for qualifying capital projects tied to job creation. Support favors targeted industrial recruitment; opposition can reflect either fiscal restraint or free-market opposition to selective subsidies, so it is not a clean left-right tax vote."
