review_batch,path,bills,with_rollcalls,first_year,last_year,minimum_priority,maximum_priority
79,research/cmo_ideology/frontier_legislative_review/batches/batch_079.csv,200,0,2013,2013,5,5
80,research/cmo_ideology/frontier_legislative_review/batches/batch_080.csv,200,0,2013,2013,5,5
81,research/cmo_ideology/frontier_legislative_review/batches/batch_081.csv,200,0,2013,2014,5,5
82,research/cmo_ideology/frontier_legislative_review/batches/batch_082.csv,200,0,2014,2014,5,5
83,research/cmo_ideology/frontier_legislative_review/batches/batch_083.csv,200,0,2014,2014,5,5
84,research/cmo_ideology/frontier_legislative_review/batches/batch_084.csv,200,0,2014,2014,5,5
85,research/cmo_ideology/frontier_legislative_review/batches/batch_085.csv,200,0,2014,2014,5,5
86,research/cmo_ideology/frontier_legislative_review/batches/batch_086.csv,200,0,2014,2014,5,5
87,research/cmo_ideology/frontier_legislative_review/batches/batch_087.csv,200,0,2014,2015,5,5
88,research/cmo_ideology/frontier_legislative_review/batches/batch_088.csv,200,0,2015,2015,5,5
89,research/cmo_ideology/frontier_legislative_review/batches/batch_089.csv,200,0,2015,2015,5,5
90,research/cmo_ideology/frontier_legislative_review/batches/batch_090.csv,200,0,2015,2015,5,5
91,research/cmo_ideology/frontier_legislative_review/batches/batch_091.csv,200,0,2015,2015,5,5
92,research/cmo_ideology/frontier_legislative_review/batches/batch_092.csv,200,0,2015,2015,5,5
93,research/cmo_ideology/frontier_legislative_review/batches/batch_093.csv,200,0,2015,2015,5,5
94,research/cmo_ideology/frontier_legislative_review/batches/batch_094.csv,200,0,2015,2016,5,5
95,research/cmo_ideology/frontier_legislative_review/batches/batch_095.csv,200,0,2016,2016,5,5
96,research/cmo_ideology/frontier_legislative_review/batches/batch_096.csv,200,0,2016,2016,5,5
97,research/cmo_ideology/frontier_legislative_review/batches/batch_097.csv,200,0,2016,2016,5,5
98,research/cmo_ideology/frontier_legislative_review/batches/batch_098.csv,200,0,2016,2016,5,5
99,research/cmo_ideology/frontier_legislative_review/batches/batch_099.csv,200,0,2016,2016,5,5
100,research/cmo_ideology/frontier_legislative_review/batches/batch_100.csv,200,0,2016,2017,5,5
101,research/cmo_ideology/frontier_legislative_review/batches/batch_101.csv,200,0,2017,2017,5,5
102,research/cmo_ideology/frontier_legislative_review/batches/batch_102.csv,200,0,2017,2017,5,5
103,research/cmo_ideology/frontier_legislative_review/batches/batch_103.csv,200,0,2017,2017,5,5
104,research/cmo_ideology/frontier_legislative_review/batches/batch_104.csv,200,0,2017,2017,5,5
105,research/cmo_ideology/frontier_legislative_review/batches/batch_105.csv,200,0,2017,2018,5,5
106,research/cmo_ideology/frontier_legislative_review/batches/batch_106.csv,200,0,2018,2018,5,5
107,research/cmo_ideology/frontier_legislative_review/batches/batch_107.csv,200,0,2018,2018,5,5
108,research/cmo_ideology/frontier_legislative_review/batches/batch_108.csv,200,0,2018,2018,5,5
109,research/cmo_ideology/frontier_legislative_review/batches/batch_109.csv,200,0,2018,2018,5,5
110,research/cmo_ideology/frontier_legislative_review/batches/batch_110.csv,200,0,2018,2018,5,5
111,research/cmo_ideology/frontier_legislative_review/batches/batch_111.csv,200,0,2018,2019,5,5
112,research/cmo_ideology/frontier_legislative_review/batches/batch_112.csv,200,0,2019,2019,5,5
113,research/cmo_ideology/frontier_legislative_review/batches/batch_113.csv,200,0,2019,2019,5,5
114,research/cmo_ideology/frontier_legislative_review/batches/batch_114.csv,200,0,2019,2019,5,5
115,research/cmo_ideology/frontier_legislative_review/batches/batch_115.csv,200,0,2019,2020,5,5
116,research/cmo_ideology/frontier_legislative_review/batches/batch_116.csv,200,0,2020,2020,5,5
117,research/cmo_ideology/frontier_legislative_review/batches/batch_117.csv,200,0,2020,2020,5,5
118,research/cmo_ideology/frontier_legislative_review/batches/batch_118.csv,200,0,2020,2020,5,5
119,research/cmo_ideology/frontier_legislative_review/batches/batch_119.csv,200,0,2020,2021,5,5
120,research/cmo_ideology/frontier_legislative_review/batches/batch_120.csv,200,0,2021,2021,5,5
121,research/cmo_ideology/frontier_legislative_review/batches/batch_121.csv,200,0,2021,2021,5,5
122,research/cmo_ideology/frontier_legislative_review/batches/batch_122.csv,200,0,2021,2021,5,5
123,research/cmo_ideology/frontier_legislative_review/batches/batch_123.csv,200,0,2021,2021,5,5
124,research/cmo_ideology/frontier_legislative_review/batches/batch_124.csv,200,0,2021,2022,5,5
125,research/cmo_ideology/frontier_legislative_review/batches/batch_125.csv,200,0,2022,2022,5,5
126,research/cmo_ideology/frontier_legislative_review/batches/batch_126.csv,200,0,2022,2022,5,5
127,research/cmo_ideology/frontier_legislative_review/batches/batch_127.csv,200,0,2022,2022,5,5
128,research/cmo_ideology/frontier_legislative_review/batches/batch_128.csv,200,0,2022,2023,5,5
129,research/cmo_ideology/frontier_legislative_review/batches/batch_129.csv,200,0,2023,2023,5,5
130,research/cmo_ideology/frontier_legislative_review/batches/batch_130.csv,200,0,2023,2023,5,5
131,research/cmo_ideology/frontier_legislative_review/batches/batch_131.csv,200,0,2023,2023,5,5
132,research/cmo_ideology/frontier_legislative_review/batches/batch_132.csv,200,0,2023,2024,5,5
133,research/cmo_ideology/frontier_legislative_review/batches/batch_133.csv,200,0,2024,2024,5,5
134,research/cmo_ideology/frontier_legislative_review/batches/batch_134.csv,200,0,2024,2024,5,5
135,research/cmo_ideology/frontier_legislative_review/batches/batch_135.csv,200,0,2024,2024,5,5
136,research/cmo_ideology/frontier_legislative_review/batches/batch_136.csv,200,0,2024,2025,5,5
137,research/cmo_ideology/frontier_legislative_review/batches/batch_137.csv,200,0,2025,2025,5,5
138,research/cmo_ideology/frontier_legislative_review/batches/batch_138.csv,200,0,2025,2025,5,5
139,research/cmo_ideology/frontier_legislative_review/batches/batch_139.csv,200,0,2025,2025,5,5
140,research/cmo_ideology/frontier_legislative_review/batches/batch_140.csv,200,0,2025,2026,5,5
141,research/cmo_ideology/frontier_legislative_review/batches/batch_141.csv,200,0,2026,2026,5,5
142,research/cmo_ideology/frontier_legislative_review/batches/batch_142.csv,200,0,2026,2026,5,5
143,research/cmo_ideology/frontier_legislative_review/batches/batch_143.csv,200,0,2026,2026,5,5
144,research/cmo_ideology/frontier_legislative_review/batches/batch_144.csv,200,0,2026,2026,5,5
145,research/cmo_ideology/frontier_legislative_review/batches/batch_145.csv,33,0,2026,2026,5,5
