left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship,left_year,left_county_key,left_precinct_key,left_name_norm,left_precinct_code,right_precinct_key,right_name_norm,right_precinct_code
18820,20965,100.0,0,50.26737967914438,1,93.36898395721926,1,5.528946756568246,review,0,unresolved,2012,CULLMAN,BEAT 8 COMMUNITY CENTER,BEAT 8 COMMUNITY CENTER,,BEAT 8 COMMUNITY CENTER,BEAT 8 COMMUNITY CENTER,
18865,21029,100.0,0,52.10643015521064,1,93.61419068736143,1,35.60471780730032,review,0,unresolved,2012,DALE,ROCKY HEAD FT RUCKER ELEM,ROCKY HEAD FT RUCKER ELEMENTARY,,ROCKY HEAD FT RUCKER ELEM,ROCKY HEAD FT RUCKER ELEMENTARY,
18868,21031,100.0,0,51.80722891566265,1,93.57429718875503,1,11.721816161317776,review,0,unresolved,2012,DALE,SYLVAN GROVE VOTING HALL,SYLVAN GROVE VOTING HALL,,SYLVAN GROVE VOTING HALL,SYLVAN GROVE VOTING HALL,
18862,21012,100.0,0,51.78571428571428,1,93.57142857142857,1,27.55362505362504,review,0,unresolved,2012,DALE,ARGUTA VOTING HOUSE,ARGUTA VOTING HOUSE,,ARGUTA VOTING HOUSE,ARGUTA VOTING HOUSE,
18873,21014,100.0,0,51.56576200417536,1,93.54210160055672,1,14.342755195327953,review,0,unresolved,2012,DALE,BERTHA VOTING HALL,BERTHA VOTING HALL,,BERTHA VOTING HALL,BERTHA VOTING HALL,
18866,21023,100.0,0,51.52027027027026,1,93.53603603603604,1,12.836936936936937,review,0,unresolved,2012,DALE,MIDLAND CITY VOTING HALL,MIDLAND CITY VOTING HALL,,MIDLAND CITY VOTING HALL,MIDLAND CITY VOTING HALL,
18871,21030,100.0,0,51.25348189415042,1,93.5004642525534,1,8.518384401114204,review,0,unresolved,2012,DALE,SKIPPERVILLE VOTING HALL,SKIPPERVILLE VOTING HALL,,SKIPPERVILLE VOTING HALL,SKIPPERVILLE VOTING HALL,
18869,21018,100.0,0,51.19196988707654,1,93.4922626516102,1,11.738561271434534,review,0,unresolved,2012,DALE,ECHO VOTING HALL,ECHO VOTING HALL,,ECHO VOTING HALL,ECHO VOTING HALL,
18864,21028,100.0,0,51.1168384879725,1,93.48224513172967,1,24.050266154571787,review,0,unresolved,2012,DALE,ROCKY HD COMMUNITY HOUSE,ROCKY HD COMMUNITY HOUSE,,ROCKY HD COMMUNITY HOUSE,ROCKY HD COMMUNITY HOUSE,
18874,21019,100.0,0,51.0955710955711,1,93.47940947940948,1,20.124320124320136,review,0,unresolved,2012,DALE,EWELL VOTING HALL,EWELL VOTING HALL,,EWELL VOTING HALL,EWELL VOTING HALL,
18872,21013,100.0,0,51.027703306523684,1,93.47036044086983,1,8.467768841227283,review,0,unresolved,2012,DALE,ARITON CITY HALL,ARITON CITY HALL,,ARITON CITY HALL,ARITON CITY HALL,
18858,21025,100.0,0,50.986027152908534,1,93.46480362038781,1,17.643137449212162,review,0,unresolved,2012,DALE,OZARK CIVIC CENTER,OZARK CIVIC CENTER,,OZARK CIVIC CENTER,OZARK CIVIC CENTER,
18876,21021,100.0,0,50.97809076682316,1,93.46374543557643,1,12.739838730037064,review,0,unresolved,2012,DALE,LEVEL PLAINS COMM. CENTER,LEVEL PLAINS COMMUNITY CENTER,,LEVEL PLAINS COMM. CENTER,LEVEL PLAINS COMMUNITY CENTER,
18859,21015,100.0,0,50.96153846153846,1,93.46153846153847,1,19.351118652589236,review,0,unresolved,2012,DALE,CLAYHATCHEE COMM. HOUSE,CLAYHATCHEE COMMUNITY HOUSE,,CLAYHATCHEE COMM. HOUSE,CLAYHATCHEE COMMUNITY HOUSE,
18875,21022,100.0,0,50.92936802973978,1,93.45724907063197,1,93.45724907063197,review,0,unresolved,2012,DALE,MARLEY MILL FORESTRY,MARLEY MILL FORESTRY,,MARLEY MILL FORESTRY,MARLEY MILL FORESTRY,
18863,21026,100.0,0,50.92879256965944,1,93.45717234262126,1,28.129700722394233,review,0,unresolved,2012,DALE,PINCKARD CITY HALL,PINCKARD CITY HALL,,PINCKARD CITY HALL,PINCKARD CITY HALL,
18870,21016,100.0,0,50.86505190311419,1,93.4486735870819,1,19.393118031526328,review,0,unresolved,2012,DALE,CLOPTON VOTING HALL,CLOPTON VOTING HALL,,CLOPTON VOTING HALL,CLOPTON VOTING HALL,
18867,21020,100.0,0,50.849858356940516,1,93.4466477809254,1,13.587031790997798,review,0,unresolved,2012,DALE,GRIMES COMMUNITY CTR.,GRIMES COMMUNITY CENTER,,GRIMES COMMUNITY CTR.,GRIMES COMMUNITY CENTER,
18861,21024,100.0,0,50.80924855491329,1,93.44123314065511,1,12.289210019267827,review,0,unresolved,2012,DALE,NEWTON CITY HALL,NEWTON CITY HALL,,NEWTON CITY HALL,NEWTON CITY HALL,
18860,21017,100.0,0,50.73322053017484,1,93.43109607068999,1,93.43109607068999,review,0,unresolved,2012,DALE,DALEVILLE CULTURAL & CONV.,DALEVILLE CULTURAL AND CONV,,DALEVILLE CULTURAL & CONV.,DALEVILLE CULTURAL AND CONV,
18891,21052,100.0,0,53.73134328358209,1,93.83084577114428,1,12.218016446974744,review,0,unresolved,2012,DALLAS,SAFFORD COMMUNITY CENTER,SAFFORD COMMUNITY CENTER,,SAFFORD COMMUNITY CENTER,SAFFORD COMMUNITY CENTER,
