doc_id,bill_id,bill_number,session_id,session_year,document_type,local_path,status,source_url,bytes,pages,sha256,error
2669100,1685330,HB5,2014,2023,Introduced,data\raw\alabama_legislature\bill_text\2023\2014\1685330\2669100_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2023RS/HB5-int.pdf,552372,3,60420f5091db58569d472fee029010e9ba4a013efb655d00a01007e78366ed40,
2669101,1685331,HB8,2014,2023,Introduced,data\raw\alabama_legislature\bill_text\2023\2014\1685331\2669101_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2023RS/HB8-int.pdf,552344,15,36caa7bb6de10057a8602eb740ab5213a88a61ee32aadc814e91efc9dcc9aa6b,
2669102,1685332,SB1,2014,2023,Introduced,data\raw\alabama_legislature\bill_text\2023\2014\1685332\2669102_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2023RS/SB1-int.pdf,595249,10,5dd4d9553dc1ee01135b29b3c4b73d1f8360f5b2520b906b8e4958a90584e179,
2760083,1685332,SB1,2014,2023,Engrossed,data\raw\alabama_legislature\bill_text\2023\2014\1685332\2760083_engrossed.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2023RS/SB1-eng.pdf,102596,10,4ad001f0199e35eb3e4f78669ba54370708470af9dad76c29e56e0bc722cd93e,
2779153,1685332,SB1,2014,2023,Enrolled,data\raw\alabama_legislature\bill_text\2023\2014\1685332\2779153_enrolled.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2023RS/SB1-enr.pdf,101474,10,cc6cbdc24b16de5c684f62abc09b84e0b80f415fcf5db968ac3f5a1d1c102e60,
3257819,2037849,SB3,2218,2026,Introduced,data\raw\alabama_legislature\bill_text\2026\2218\2037849\3257819_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB3-int.pdf,513488,8,7aa03178081c90fdc7ca6cce5af78f989307eff548c6fcd2f09c3ddce8152fd1,
3257820,2037850,SB4,2218,2026,Introduced,data\raw\alabama_legislature\bill_text\2026\2218\2037850\3257820_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB4-int.pdf,502915,5,6a6de04f701bf0c0e7447b137f2c62a8717f96cc040ab102c370600c4653bada,
3257821,2037851,SB2,2218,2026,Introduced,data\raw\alabama_legislature\bill_text\2026\2218\2037851\3257821_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB2-int.pdf,498444,3,68512528038435fb0cb62253e6538e6ee0855d226d768b653219c3276f134361,
3257822,2037852,SB1,2218,2026,Introduced,data\raw\alabama_legislature\bill_text\2026\2218\2037852\3257822_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/SB1-int.pdf,584993,49,c00b5bcc2adde793bdde9d0c0a8e2220eab37a2c7e453050173e6fcbb3c2f264,
3258560,2038122,HB6,2218,2026,Introduced,data\raw\alabama_legislature\bill_text\2026\2218\2038122\3258560_introduced.pdf,downloaded,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB6-int.pdf,514106,5,02f0400ae59c474efc09843c1dced6299068aee3b494b7d1f3bebb6c25ebbb22,
