bill_id,session_id,session_year,session_name,bill_number,title,description,status,status_date,url,state_link,source_archive,source_member
415833,157,2010,First Special Session 2010,HR22,"Barrett, Michael Alexander, commended","Barrett, Michael Alexander, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR22/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70110&LABEL=HR22,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR22.json
415820,157,2010,First Special Session 2010,HR23,"Miller, Jack, commended","Miller, Jack, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR23/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70111&LABEL=HR23,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR23.json
415817,157,2010,First Special Session 2010,HR24,"Jetmundsen, Jonathan Gordon, commended","Jetmundsen, Jonathan Gordon, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR24/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70112&LABEL=HR24,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR24.json
415809,157,2010,First Special Session 2010,HR25,"Hiers, Kathie, commended","Hiers, Kathie, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR25/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70113&LABEL=HR25,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR25.json
415800,157,2010,First Special Session 2010,HR26,"Freeman, Sherry Doss, death mourned","Freeman, Sherry Doss, death mourned",4,2010-12-10,https://legiscan.com/AL/bill/HR26/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70114&LABEL=HR26,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR26.json
415796,157,2010,First Special Session 2010,HR27,Association of Universities for Research in Astronomy urged to relocate National Solar Observatory headquarters to University of Alabama in Huntsville,Association of Universities for Research in Astronomy urged to relocate National Solar Observatory headquarters to University of Alabama in Huntsville,2,2010-12-13,https://legiscan.com/AL/bill/HR27/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70115&LABEL=HR27,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR27.json
415789,157,2010,First Special Session 2010,HR29,"Arkema, commended","Arkema, commended",4,2010-12-10,https://legiscan.com/AL/bill/HR29/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70120&LABEL=HR29,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR29.json
415897,157,2010,First Special Session 2010,HR3,"House of Representatives, Senate notified that House is in session and ready to transact business","House of Representatives, Senate notified that House is in session and ready to transact business",2,2010-12-08,https://legiscan.com/AL/bill/HR3/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69931&LABEL=HR3,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR3.json
415761,157,2010,First Special Session 2010,HR35,"Boothe, T. J., commended","Boothe, T. J., commended",4,2010-12-10,https://legiscan.com/AL/bill/HR35/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70128&LABEL=HR35,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR35.json
415726,157,2010,First Special Session 2010,HR43,"Newton, Elijah, commended","Newton, Elijah, commended",4,2010-12-14,https://legiscan.com/AL/bill/HR43/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70150&LABEL=HR43,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR43.json
415706,157,2010,First Special Session 2010,HR46,"Thomasville High School football team, commended","Thomasville High School football team, commended",4,2010-12-14,https://legiscan.com/AL/bill/HR46/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70159&LABEL=HR46,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR46.json
415700,157,2010,First Special Session 2010,HR47,"Sweet Water High School football team, commended","Sweet Water High School football team, commended",4,2010-12-14,https://legiscan.com/AL/bill/HR47/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70160&LABEL=HR47,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR47.json
415686,157,2010,First Special Session 2010,HR51,"Overlaur, Steven J., commended","Overlaur, Steven J., commended",4,2010-12-15,https://legiscan.com/AL/bill/HR51/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70179&LABEL=HR51,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR51.json
415679,157,2010,First Special Session 2010,HR52,"Ladnier, Darrell Walker, death mourned","Ladnier, Darrell Walker, death mourned",4,2010-12-15,https://legiscan.com/AL/bill/HR52/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70180&LABEL=HR52,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR52.json
415670,157,2010,First Special Session 2010,HR53,"Dowd, John Raymond, commended","Dowd, John Raymond, commended",4,2010-12-15,https://legiscan.com/AL/bill/HR53/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70181&LABEL=HR53,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR53.json
415664,157,2010,First Special Session 2010,HR54,"Green, Stacy A., death mourned","Green, Stacy A., death mourned",4,2010-12-15,https://legiscan.com/AL/bill/HR54/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70190&LABEL=HR54,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/HR54.json
415516,157,2010,First Special Session 2010,SJR2,"Hunter, Nell, commended","Hunter, Nell, commended",4,2010-12-14,https://legiscan.com/AL/bill/SJR2/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69923&LABEL=SJR2,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SJR2.json
415411,157,2010,First Special Session 2010,SR1,"Rules, Senate, general rules of order and procedure","Rules, Senate, general rules of order and procedure",2,2010-12-08,https://legiscan.com/AL/bill/SR1/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69922&LABEL=SR1,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR1.json
415405,157,2010,First Special Session 2010,SR14,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2010-12-10,https://legiscan.com/AL/bill/SR14/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70117&LABEL=SR14,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR14.json
415398,157,2010,First Special Session 2010,SR15,"Legislators (2006-2010), participating in No Child Left Behind Research Project, commended","Legislators (2006-2010), participating in No Child Left Behind Research Project, commended",2,2010-12-10,https://legiscan.com/AL/bill/SR15/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70130&LABEL=SR15,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR15.json
415391,157,2010,First Special Session 2010,SR18,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2010-12-14,https://legiscan.com/AL/bill/SR18/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70146&LABEL=SR18,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR18.json
415389,157,2010,First Special Session 2010,SR19,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2010-12-14,https://legiscan.com/AL/bill/SR19/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70168&LABEL=SR19,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR19.json
415374,157,2010,First Special Session 2010,SR22,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2010-12-15,https://legiscan.com/AL/bill/SR22/2010/X1,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70201&LABEL=SR22,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,AL/2010-2010_1st_Special_Session/bill/SR22.json
97575,29,2010,Regular Session 2010,HR238,"Benjamin, Regina M., commended","Benjamin, Regina M., commended",4,2010-02-04,https://legiscan.com/AL/bill/HR238/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=66977&LABEL=HR238,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/HR238.json
97629,29,2010,Regular Session 2010,HR310,"Shelly, Gaylan and Angie, commended","Shelly, Gaylan and Angie, commended",4,2010-02-11,https://legiscan.com/AL/bill/HR310/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=67184&LABEL=HR310,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/HR310.json
97643,29,2010,Regular Session 2010,HR341,"Joseph, Christopher Charles, commended","Joseph, Christopher Charles, commended",4,2010-02-16,https://legiscan.com/AL/bill/HR341/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=67325&LABEL=HR341,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/HR341.json
98828,29,2010,Regular Session 2010,SJR118,"Equal Pay Commission, established to study wage disparities","Equal Pay Commission, established to study wage disparities",2,2010-03-23,https://legiscan.com/AL/bill/SJR118/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=68462&LABEL=SJR118,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/SJR118.json
98842,29,2010,Regular Session 2010,SJR136,"Women in the military, commended","Women in the military, commended",2,2010-04-06,https://legiscan.com/AL/bill/SJR136/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=68928&LABEL=SJR136,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/SJR136.json
98892,29,2010,Regular Session 2010,SR107,Google urged to select Huntsville for Google Fiber Project,Google urged to select Huntsville for Google Fiber Project,2,2010-03-11,https://legiscan.com/AL/bill/SR107/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=68210&LABEL=SR107,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/SR107.json
98905,29,2010,Regular Session 2010,SR166,"Bishop, Tommy, death mourned; intent of Senate to enact legislation, ""The Officer Tommy Bishop Act,"" to authorize prosecution for criminal homicide when death of the victim occurs more than one year and one day following the commission of the offense","Bishop, Tommy, death mourned; intent of Senate to enact legislation, ""The Officer Tommy Bishop Act,"" to authorize prosecution for criminal homicide when death of the victim occurs more than one year and one day following the commission of the offense",2,2010-04-21,https://legiscan.com/AL/bill/SR166/2010,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=69388&LABEL=SR166,AL_2010-2010_Regular_Session_JSON_20100422_909c3d86ace6b72ac6ab79c8a9445aad.zip,AL/2010-2010_Regular_Session/bill/SR166.json
415339,158,2011,Organizational Session 2011,HJR11,"Underwood, Ruth Sherman, commended","Underwood, Ruth Sherman, commended",4,2011-01-18,https://legiscan.com/AL/bill/HJR11/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70225&LABEL=HJR11,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HJR11.json
415351,158,2011,Organizational Session 2011,HJR6,"Joint Legislative Parking Committee, established","Joint Legislative Parking Committee, established",3,2011-01-12,https://legiscan.com/AL/bill/HJR6/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70219&LABEL=HJR6,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HJR6.json
415304,158,2011,Organizational Session 2011,HR10,"Rules of the House of Representatives, adopted","Rules of the House of Representatives, adopted",2,2011-01-11,https://legiscan.com/AL/bill/HR10/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70224&LABEL=HR10,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR10.json
415296,158,2011,Organizational Session 2011,HR12,"Ladnier-Hicks, Jamie, commended","Ladnier-Hicks, Jamie, commended",4,2011-01-11,https://legiscan.com/AL/bill/HR12/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70226&LABEL=HR12,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR12.json
415269,158,2011,Organizational Session 2011,HR16,"Mosley, Sabrina Latrice, death mourned","Mosley, Sabrina Latrice, death mourned",4,2011-01-12,https://legiscan.com/AL/bill/HR16/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70469&LABEL=HR16,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR16.json
415262,158,2011,Organizational Session 2011,HR17,"Norwood, Mary Lucille, death mourned","Norwood, Mary Lucille, death mourned",4,2011-01-12,https://legiscan.com/AL/bill/HR17/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70470&LABEL=HR17,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR17.json
415323,158,2011,Organizational Session 2011,HR4,"House committees, references in any rule or statute to certain House standing committees deemed references to specified committees renamed in House rules","House committees, references in any rule or statute to certain House standing committees deemed references to specified committees renamed in House rules",2,2011-01-11,https://legiscan.com/AL/bill/HR4/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70217&LABEL=HR4,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR4.json
415311,158,2011,Organizational Session 2011,HR8,"Holmes, Representative Alvin, Dean of House of Representatives, named","Holmes, Representative Alvin, Dean of House of Representatives, named",2,2011-01-11,https://legiscan.com/AL/bill/HR8/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70222&LABEL=HR8,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/HR8.json
415214,158,2011,Organizational Session 2011,SR1,"Senate Rules, adopted","Senate Rules, adopted",1,2011-01-11,https://legiscan.com/AL/bill/SR1/2011/O,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=70212&LABEL=SR1,AL_2011-2011_Organizational_Session_JSON_20110118_2a2eb6fc9e780646bc36fb2d7c9da5cc.zip,AL/2011-2011_Organizational_Session/bill/SR1.json
300089,131,2011,Regular Session 2011,HR167,"Brantley, William Henderson, Jr., commended","Brantley, William Henderson, Jr., commended",4,2011-03-22,https://legiscan.com/AL/bill/HR167/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=72169&LABEL=HR167,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HR167.json
297751,131,2011,Regular Session 2011,HR77,"Roberts, Cadence and Emma, commended","Roberts, Cadence and Emma, commended",4,2011-03-09,https://legiscan.com/AL/bill/HR77/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=71916&LABEL=HR77,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HR77.json
334487,131,2011,Regular Session 2011,HR889,"Bracy, Representative Napoleon, Jr., commended","Bracy, Representative Napoleon, Jr., commended",4,2011-06-01,https://legiscan.com/AL/bill/HR889/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=74605&LABEL=HR889,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/HR889.json
334071,131,2011,Regular Session 2011,SR150,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2011-05-26,https://legiscan.com/AL/bill/SR150/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=74453&LABEL=SR150,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SR150.json
333539,131,2011,Regular Session 2011,SR151,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2011-05-26,https://legiscan.com/AL/bill/SR151/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=74467&LABEL=SR151,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SR151.json
334116,131,2011,Regular Session 2011,SR152,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2011-05-31,https://legiscan.com/AL/bill/SR152/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=74479&LABEL=SR152,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SR152.json
299584,131,2011,Regular Session 2011,SR60,"Senate, Special Order Calendar","Senate, Special Order Calendar",1,2011-03-31,https://legiscan.com/AL/bill/SR60/2011,http://alisondb.legislature.state.al.us/acas/ACTIONHistoryResultsMac.asp?OID=72661&LABEL=SR60,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SR60.json
