rollcall_id,session,session_year,bill_type,bill_number,motion_type,count_valid,act_id,act_citation,act_number,title,act_match_count,act_link_status,analytical_eligibility
JRC-BDCECEC722FBAD07,1998_RegularSession,1998,HB,235.0,final_passage,True,ALACT-EAB327D757E8B384,98-504,504.0,,1,unique_act_match,True
JRC-7E64DD873F0CB4BF,1998_RegularSession,1998,HB,237.0,budget_isolation_resolution,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-E2F80C5B3D637BA0,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-E23C76D2967C489E,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-DECAA5441D5F20A8,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-AEBF1996E27EF083,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,False,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,False
JRC-C56174008F5FBF79,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-788C9029AFBAD0CB,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-5EB6519AF9AE679C,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-98DF43EDD9F9B664,1998_RegularSession,1998,HB,237.0,amendment_or_concurrence,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-62112C57D0EF097D,1998_RegularSession,1998,HB,237.0,final_passage,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
JRC-BEA53DC4B3F071C2,1998_RegularSession,1998,HB,237.0,substitute,True,ALACT-F4178877C874F317,98-510,510.0,,1,unique_act_match,True
