roll_call_id,yea,nay,not_voting,absent,total,Absent,Nay,Not Voting,Yea,parsed_vote_count,reported_total_matches
344295,27,2,0,6,35,6,2,0,27,35,True
344296,28,1,0,6,35,6,1,0,28,35,True
344297,28,1,0,6,35,6,1,0,28,35,True
344324,56,1,30,17,104,17,1,30,56,104,True
344325,65,0,28,11,104,11,0,28,65,104,True
344326,68,0,28,8,104,8,0,28,68,104,True
344327,51,0,33,20,104,20,0,33,51,104,True
344346,43,0,53,8,104,8,0,53,43,104,True
344379,101,0,0,3,104,3,0,0,101,104,True
344384,41,0,55,8,104,8,0,55,41,104,True
344406,41,0,41,22,104,22,0,41,41,104,True
344407,35,0,42,27,104,27,0,42,35,104,True
344408,42,0,47,15,104,15,0,47,42,104,True
344419,28,0,58,18,104,18,0,58,28,104,True
344435,21,0,3,11,35,11,0,3,21,35,True
344451,32,0,57,15,104,15,0,57,32,104,True
344455,46,0,47,11,104,11,0,47,46,104,True
344458,25,0,1,9,35,9,0,1,25,35,True
344462,37,0,46,21,104,21,0,46,37,104,True
344467,27,0,1,7,35,7,0,1,27,35,True
344478,42,0,53,9,104,9,0,53,42,104,True
344490,30,1,0,4,35,4,1,0,30,35,True
344491,9,23,0,3,35,3,23,0,9,35,True
344495,17,0,1,17,35,17,0,1,17,35,True
344515,97,1,3,3,104,3,1,3,97,104,True
344524,41,0,47,16,104,16,0,47,41,104,True
344528,97,0,1,6,104,6,0,1,97,104,True
344529,89,0,2,13,104,13,0,2,89,104,True
344530,90,0,2,12,104,12,0,2,90,104,True
344534,30,0,0,5,35,5,0,0,30,35,True
344535,29,0,0,6,35,6,0,0,29,35,True
344566,51,47,2,4,104,4,47,2,51,104,True
344576,100,0,0,4,104,4,0,0,100,104,True
344579,37,0,42,25,104,25,0,42,37,104,True
344692,26,0,66,12,104,12,0,66,26,104,True
344740,30,0,0,5,35,5,0,0,30,35,True
344771,28,0,0,7,35,7,0,0,28,35,True
344772,28,0,0,7,35,7,0,0,28,35,True
344776,27,0,1,7,35,7,0,1,27,35,True
344785,26,0,0,9,35,9,0,0,26,35,True
344792,28,0,0,7,35,7,0,0,28,35,True
344809,31,0,0,4,35,4,0,0,31,35,True
344842,25,0,0,10,35,10,0,0,25,35,True
344846,30,0,0,5,35,5,0,0,30,35,True
344870,18,1,3,13,35,13,1,3,18,35,True
344919,98,1,3,2,104,2,1,3,98,104,True
344931,23,0,2,10,35,10,0,2,23,35,True
344955,101,0,0,3,104,3,0,0,101,104,True
344965,28,0,0,7,35,7,0,0,28,35,True
344966,28,0,0,7,35,7,0,0,28,35,True
344973,30,0,0,5,35,5,0,0,30,35,True
344974,31,0,0,4,35,4,0,0,31,35,True
345106,25,2,0,8,35,8,2,0,25,35,True
345152,30,0,0,5,35,5,0,0,30,35,True
345183,24,2,0,9,35,9,2,0,24,35,True
345190,11,7,1,16,35,16,7,1,11,35,True
345191,10,14,0,11,35,11,14,0,10,35,True
345200,20,0,4,11,35,11,0,4,20,35,True
345206,19,0,3,13,35,13,0,3,19,35,True
345214,23,0,1,11,35,11,0,1,23,35,True
345234,18,0,2,15,35,15,0,2,18,35,True
345235,24,2,0,9,35,9,2,0,24,35,True
345246,85,0,7,12,104,12,0,7,85,104,True
