session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors
2006_RegularSession,2006,2006RegularSession_Day11,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day11.pdf,f2e717990c118f001c443e4034dd211c580859ad73272e72efb86f8a5d88b6d5,124,279490,36
2006_RegularSession,2006,2006RegularSession_Day12,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day12.pdf,4d2308d8b478108a95c1d1229996d246a2e7dd1dec1b72e699cc5b6f8c3bf635,214,525921,32
2006_RegularSession,2006,2006RegularSession_Day13,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day13.pdf,a024e7c4fe5d95f76a0295baa89c3bf2bab97782641d96cb9106c2a49fff726b,140,330032,80
2006_RegularSession,2006,2006RegularSession_Day14,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day14.pdf,c46ec160bfb6d3d839a3e6f270e1c7d7780056b2daa328481e92d818456ad39e,302,834227,53
2006_RegularSession,2006,2006RegularSession_Day15,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day15.pdf,9bbeb741a60419f4f98e54c864f427e8fff37c99c76349c7beefb8eaed0b0e8d,64,132281,63
2006_RegularSession,2006,2006RegularSession_Day16,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day16.pdf,4b7a7d12aa65eb989368af3900bb2f93d3d0ccc521692f6115b4312071b5a8c5,72,152540,36
2006_RegularSession,2006,2006RegularSession_Day17,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume2_2006RegularSession\2006RegularSession_Day17.pdf,44929519e0a665890dbeaefbf2381ea179c252d2dd19222541f02eb5896760bf,142,308926,56
2006_RegularSession,2006,2006RegularSession_Day18,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day18.pdf,a2046767df184c161cf74315155806e17ef7c9ad6048abe80aca52324b23bae9,108,252959,35
2006_RegularSession,2006,2006RegularSession_Day19,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day19.pdf,27dfbc805a84f3b0d0ef8efd1b9ec76616937da3573d6e20b8053683b24ddd82,156,381423,44
2006_RegularSession,2006,2006RegularSession_Day20,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day20.pdf,5f234fc9190ff658f557568e143f445467e2052bea50bbcb723029c454dcc9eb,136,268039,75
