rollcall_id,original_bill_type,original_bill_number,bill_type,bill_number,measure_identity_status,context_synopsis,recovered_synopsis,recovery_status,source_page_window,best_synopsis,synopsis_source
JRC-CBE360A5E2A335BC,HB,42.0,HB,42.0,formal_journal_marker_confirmed,"To amend Section 12-17-81, Code of Alabama 1975, relating to the compensation of circuit clerks; to increase the compensation of circuit clerks and district clerks.",,,,"To amend Section 12-17-81, Code of Alabama 1975, relating to the compensation of circuit clerks; to increase the compensation of circuit clerks and district clerks.",context_window
JRC-DE1FA4620F5A7B31,HB,45.0,HB,45.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-194A78CD9083DD82,HB,49.0,HB,49.0,formal_journal_marker_confirmed,"was lost, lacking a three-fifths vote.",,,,"was lost, lacking a three-fifths vote.",context_window
JRC-31E100CD5F32EA48,HB,50.0,HB,50.0,formal_journal_marker_confirmed,,". MOTION TO INDEFINITELY POSTPONE OFFERED Representative Holmes offered the motion to indefinitely postpone the bill, HB50, and the pending Budget Isolation Resolution. HB50 TEMPORARILY CARRIED OVER In accordance with House Rule 21, the bill, HB50, the pending Budget Isolation Resolution and the pending motion to indefinitely postpone were temporarily carried over at the request of Representative Newton (D). MOTION TO SUSPEND RULES ADOPTED On motion of Representative Carter, the rules were suspended in order to permit the Standing Committee on Rules to meet while the House is in Session. MOTION TO SUSPEND RULES ADOPTED On motion of Representative Carns, the rules were suspended in order to take up out of order the Budget Isolation Resolution",recovered_exact_pdf_window,83-101,". MOTION TO INDEFINITELY POSTPONE OFFERED Representative Holmes offered the motion to indefinitely postpone the bill, HB50, and the pending Budget Isolation Resolution. HB50 TEMPORARILY CARRIED OVER In accordance with House Rule 21, the bill, HB50, the pending Budget Isolation Resolution and the pending motion to indefinitely postpone were temporarily carried over at the request of Representative Newton (D). MOTION TO SUSPEND RULES ADOPTED On motion of Representative Carter, the rules were suspended in order to permit the Standing Committee on Rules to meet while the House is in Session. MOTION TO SUSPEND RULES ADOPTED On motion of Representative Carns, the rules were suspended in order to take up out of order the Budget Isolation Resolution",exact_pdf_page_window
JRC-FA79E5BAFABD6A23,HB,51.0,HB,51.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-F4B871F7832A5B4F,HB,56.0,HB,56.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-2AD520F228A4FF29,HB,57.0,HB,57.0,formal_journal_marker_confirmed,"To amend Sections 15-23-3, 15-23-4, 15-23-12, and 15-23-15, Code of Alabama 1975, relating to the Alabama Crime Victims' Compensation Commission, and the Commission Fund; to further provide for the confidentiality of claimants, the per diem compensation of the commission, and the compensation awarded to individual victims and dependents of victims of violent crimes.",,,,"To amend Sections 15-23-3, 15-23-4, 15-23-12, and 15-23-15, Code of Alabama 1975, relating to the Alabama Crime Victims' Compensation Commission, and the Commission Fund; to further provide for the confidentiality of claimants, the per diem compensation of the commission, and the compensation awarded to individual victims and dependents of victims of violent crimes.",context_window
JRC-2D9B55E5CD799358,HB,63.0,HB,63.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-2124068CCECAAC78,HB,64.0,HB,64.0,formal_journal_marker_confirmed,Relating to the manner and location of execution of persons convicted of a capital offense to provide for execution of the death sentence by lethal injection and organ donation under certain conditions.,,,,Relating to the manner and location of execution of persons convicted of a capital offense to provide for execution of the death sentence by lethal injection and organ donation under certain conditions.,context_window
JRC-FA665CAA6A34974C,HB,67.0,HB,67.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-2B29E15BC1ABC8C8,HB,71.0,HB,71.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-F9BED058A636F7E9,HB,77.0,HB,77.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-26B7B20DCE5961CC,HB,78.0,HB,78.0,formal_journal_marker_confirmed,Establishing the Alabama Tobacco Fair Share Assessment; making legislative findings regarding the effect of tobacco on the State of Alabama and its citizens; providing definitions of key terms; providing for the assessment placed on the tobacco industry and its apportionment; providing for the prohibition of attorneys' fees; and providing for a retroactive effective date.,,,,Establishing the Alabama Tobacco Fair Share Assessment; making legislative findings regarding the effect of tobacco on the State of Alabama and its citizens; providing definitions of key terms; providing for the assessment placed on the tobacco industry and its apportionment; providing for the prohibition of attorneys' fees; and providing for a retroactive effective date.,context_window
JRC-48E8B867B531A600,HB,80.0,HB,80.0,formal_journal_marker_confirmed,"To amend Section 11-13-6, Code of Alabama 1975, to further provide for the reimbursement to the local government for the cost of advertising a proposed local law raising revenue after the proposal becomes law.",,,,"To amend Section 11-13-6, Code of Alabama 1975, to further provide for the reimbursement to the local government for the cost of advertising a proposed local law raising revenue after the proposal becomes law.",context_window
JRC-27CCE8E5155D2354,HB,84.0,HB,84.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-62B611F0D83159A1,HB,87.0,HB,87.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-48572D65CEE4292B,HB,88.0,HB,88.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-A78DEF603FE0498A,HB,90.0,HB,90.0,formal_journal_marker_confirmed,"To amend Section 32-6-19 of the Code of Alabama 1975, as amended by Act 97-494, 1997 Regular Session (Acts 1997, p. 883), relating to the imposition of a penalty for driving with a cancelled, suspended, or revoked driver's license; to provide for the impoundment of a motor vehicle operated by a person whose driver's license or driving privilege has been cancelled, suspended, or revoked for any reason; to provide an exception for certain emergencies; to provide the procedure for the impoundment; to provide immunity to the law enforcement officer; to create a lien on the vehicle on behalf of the towing company; and to repeal Article 9A, Chapter 5A of Title 32 of the Code of Alabama 1975, the ""Safe Streets Act of 1995.""",,,,"To amend Section 32-6-19 of the Code of Alabama 1975, as amended by Act 97-494, 1997 Regular Session (Acts 1997, p. 883), relating to the imposition of a penalty for driving with a cancelled, suspended, or revoked driver's license; to provide for the impoundment of a motor vehicle operated by a person whose driver's license or driving privilege has been cancelled, suspended, or revoked for any reason; to provide an exception for certain emergencies; to provide the procedure for the impoundment; to provide immunity to the law enforcement officer; to create a lien on the vehicle on behalf of the towing company; and to repeal Article 9A, Chapter 5A of Title 32 of the Code of Alabama 1975, the ""Safe Streets Act of 1995.""",context_window
JRC-8C12A20E2521D7F5,HB,91.0,HB,91.0,formal_journal_marker_confirmed,was lost.,,,,was lost.,context_window
JRC-EB96BE428844A8C5,HB,92.0,HB,92.0,formal_journal_marker_confirmed,"Relating to the Children First Program; to establish the Children First Trust Fund within the State Treasury; to provide for the management and administration of the fund by the Alabama Juvenile Justice Coordinating Council; to appropriate the fund for allocations to the Department of Public Health for the Children's Health Insurance Program and for prevention, treatment, education, rehabilitation, and punishment programs for children, the State Board of Education, the Department of Human Resources, the Children's Trust Fund, the State Multiple Needs Children's Fund, the Department of Mental Health and Mental Retardation, the Administrative Office of Courts, the Department of Youth Services, permanent Joint Legislative Oversight Committee on Community Services Grants, the Department of Public Safety, the Alcoholic Beverage Control Board, and the Department of Forensic Sciences; and to provide for oversight by the Permanent Joint Legislative Oversight Committee of the Children First Trust Fund.",,,,"Relating to the Children First Program; to establish the Children First Trust Fund within the State Treasury; to provide for the management and administration of the fund by the Alabama Juvenile Justice Coordinating Council; to appropriate the fund for allocations to the Department of Public Health for the Children's Health Insurance Program and for prevention, treatment, education, rehabilitation, and punishment programs for children, the State Board of Education, the Department of Human Resources, the Children's Trust Fund, the State Multiple Needs Children's Fund, the Department of Mental Health and Mental Retardation, the Administrative Office of Courts, the Department of Youth Services, permanent Joint Legislative Oversight Committee on Community Services Grants, the Department of Public Safety, the Alcoholic Beverage Control Board, and the Department of Forensic Sciences; and to provide for oversight by the Permanent Joint Legislative Oversight Committee of the Children First Trust Fund.",context_window
JRC-D8223EC6CA963659,HB,93.0,HB,93.0,parser_measure_retained_no_formal_marker,,"To amend Sections 12-15-1, 12-15-7, 44-1-2, 44-1-24, and 44-1-27, Code of Alabama 1975, and to repeal Section 44-1-26, Code of Alabama 1975; to provide for the duties of juvenile probation officers; to provide for the allocation of juvenile probation officer positions and staff positions by the Administrative Director of Courts in counties having a population of 99,000 or less according to the 1990 federal decennial census, and in Mobile County, and the allocation formula for salary subsidies in counties having a population of more than 99,000 according to the 1990 federal decennial census, except Mobile County; to provide for the appointment and dismissal of juvenile probation officers and chief juvenile probation officers; to provide for the development of minimum standards for certification of juvenile probation officers and continuing education; to establish the Juvenile Probation Services Fund in the State Treasury; to provide the schedule for the transition of juvenile probation officers from county employees to state employees; to phase out county funding of salaries and benefits for juvenile probation officers and staff providing juvenile probation services, excluding staff of juvenile detention and shelter care facilities; to provide for the classification and pay of juvenile probation officers and staff under the state court system personnel system and the protection of current employee status and benefits of juvenile probation officers and staff during transition and after transition; to provide for state assumption of certain operating expenses and specified property; to provide for an appropriation of $500,000 from the State General Fund to the Unified Judicial System for the fiscal year ending September 30, 1999; and to provide for an effective date.",recovered_exact_pdf_window,1-10,"To amend Sections 12-15-1, 12-15-7, 44-1-2, 44-1-24, and 44-1-27, Code of Alabama 1975, and to repeal Section 44-1-26, Code of Alabama 1975; to provide for the duties of juvenile probation officers; to provide for the allocation of juvenile probation officer positions and staff positions by the Administrative Director of Courts in counties having a population of 99,000 or less according to the 1990 federal decennial census, and in Mobile County, and the allocation formula for salary subsidies in counties having a population of more than 99,000 according to the 1990 federal decennial census, except Mobile County; to provide for the appointment and dismissal of juvenile probation officers and chief juvenile probation officers; to provide for the development of minimum standards for certification of juvenile probation officers and continuing education; to establish the Juvenile Probation Services Fund in the State Treasury; to provide the schedule for the transition of juvenile probation officers from county employees to state employees; to phase out county funding of salaries and benefits for juvenile probation officers and staff providing juvenile probation services, excluding staff of juvenile detention and shelter care facilities; to provide for the classification and pay of juvenile probation officers and staff under the state court system personnel system and the protection of current employee status and benefits of juvenile probation officers and staff during transition and after transition; to provide for state assumption of certain operating expenses and specified property; to provide for an appropriation of $500,000 from the State General Fund to the Unified Judicial System for the fiscal year ending September 30, 1999; and to provide for an effective date.",exact_pdf_page_window
JRC-739937158F6D2CD2,HB,96.0,HB,96.0,formal_journal_marker_confirmed,was tabled.,,,,was tabled.,context_window
JRC-E7FBA09278999C25,HB,114.0,HB,114.0,formal_journal_marker_confirmed,To authorize counties and incorporated municipalities to enter into written contracts with each other to perform any services common to all contracting entities; to establish the requirements for the contracts; to specify the contents of the contracts; to provide that the contracts may not authorize the joint exercise of the power to tax or to zone property except as specifically authorized by this act; and to provide that this act shall not affect any other laws which allow joint contracts between public entities.,,,,To authorize counties and incorporated municipalities to enter into written contracts with each other to perform any services common to all contracting entities; to establish the requirements for the contracts; to specify the contents of the contracts; to provide that the contracts may not authorize the joint exercise of the power to tax or to zone property except as specifically authorized by this act; and to provide that this act shall not affect any other laws which allow joint contracts between public entities.,context_window
JRC-66CC6A33BD8ED4D7,HB,116.0,HB,116.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-40DA63C4D6FAE7B1,HB,117.0,HB,117.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-CCEB8818D7FC341C,HB,128.0,HB,128.0,parser_measure_retained_no_formal_marker,,"Relating to the public schools; to honor the life and public service of Representative Sam Letson of Lawrence County, deceased, by establishing the framework for ""Letson Grants""; to authorize the Legislature to make appropriations in any amount it deems appropriate for Letson Grants; to define certain terms; to establish the rules and procedures for applying for, disbursing, and receiving grants; to rename the ""Alabama Education Foundation for Kindergarten through Grade Twelve Public Schools"" to the ""Foundation for Local Schools""; to conform to changes provided in this law provisions relating to the funds of the foundation concerning investment, withdrawal, reinvestment of earnings, expenditure restrictions, withdrawal timelines, incorporation and certificate of incorporation, and procedures in instances of closure or merger of a school system; to provide for the refunding of the principal sum and interest upon petition; to provide for treatment of community schools; to provide for the dissolution of the foundation; to specify the duties of the State Superintendent of Education and the Chief Executive Officer of the Teachers' Retirement System; to permit the acceptance of private gifts; to specify the board of control as the incorporator of the foundation; to amend Sections 5-23-4 and 5-23-5, Code of Alabama 1975, so as to alter distribution of the proceeds of the state credit card program and to give the financial institution which administers the state-sponsored credit card program permission to name or rename the credit card; to amend Sections 16-26C-1, 16-26C-2, 16-26C-4, 16-26C-6, 16-26C-8, 16-26C-9, and 16-26C-13, Code of Alabama 1975, relating 1600 JOURNAL OF THE HOUSE, 1998 20th Day to the Alabama Education Foundation to establish further provisions; and to repeal Section 16-26C-5, relating to the Board of Trustees of the Alabama Education Foundation for Kindergarten through Grade Twelve Public Schools; and to provide for a delayed effective date.",recovered_exact_pdf_window,31-49,"Relating to the public schools; to honor the life and public service of Representative Sam Letson of Lawrence County, deceased, by establishing the framework for ""Letson Grants""; to authorize the Legislature to make appropriations in any amount it deems appropriate for Letson Grants; to define certain terms; to establish the rules and procedures for applying for, disbursing, and receiving grants; to rename the ""Alabama Education Foundation for Kindergarten through Grade Twelve Public Schools"" to the ""Foundation for Local Schools""; to conform to changes provided in this law provisions relating to the funds of the foundation concerning investment, withdrawal, reinvestment of earnings, expenditure restrictions, withdrawal timelines, incorporation and certificate of incorporation, and procedures in instances of closure or merger of a school system; to provide for the refunding of the principal sum and interest upon petition; to provide for treatment of community schools; to provide for the dissolution of the foundation; to specify the duties of the State Superintendent of Education and the Chief Executive Officer of the Teachers' Retirement System; to permit the acceptance of private gifts; to specify the board of control as the incorporator of the foundation; to amend Sections 5-23-4 and 5-23-5, Code of Alabama 1975, so as to alter distribution of the proceeds of the state credit card program and to give the financial institution which administers the state-sponsored credit card program permission to name or rename the credit card; to amend Sections 16-26C-1, 16-26C-2, 16-26C-4, 16-26C-6, 16-26C-8, 16-26C-9, and 16-26C-13, Code of Alabama 1975, relating 1600 JOURNAL OF THE HOUSE, 1998 20th Day to the Alabama Education Foundation to establish further provisions; and to repeal Section 16-26C-5, relating to the Board of Trustees of the Alabama Education Foundation for Kindergarten through Grade Twelve Public Schools; and to provide for a delayed effective date.",exact_pdf_page_window
JRC-96F4D1048AD98AFB,HB,130.0,HB,130.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-8B78BC247D31BA5F,HB,131.0,HB,131.0,parser_measure_retained_no_formal_marker,Voter Registration Deadlines Page 36,,,,Voter Registration Deadlines Page 36,context_window
JRC-453CF702E5B7F58D,HB,133.0,HB,133.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-ADCF0BA1F57EF630,HB,139.0,HB,139.0,formal_journal_marker_confirmed,"To license and regulate deferred presentment check-cashing services; to provide for definitions; to provide for the administration by the State Banking Department; to provide for exemptions, fines, and penalties, and to provide for an appropriation.",,,,"To license and regulate deferred presentment check-cashing services; to provide for definitions; to provide for the administration by the State Banking Department; to provide for exemptions, fines, and penalties, and to provide for an appropriation.",context_window
JRC-5E26AB021B4D1A57,HB,140.0,HB,140.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-038287C81A563411,HB,141.0,HB,141.0,formal_journal_marker_confirmed,". BUDGET ISOLATION RESOLUTION On motion of Representative McDaniel, the Budget Isolation Resolution relating to the bill, HB141, was adopted.",,,,". BUDGET ISOLATION RESOLUTION On motion of Representative McDaniel, the Budget Isolation Resolution relating to the bill, HB141, was adopted.",context_window
JRC-9199D706A6B4FDF7,HB,147.0,HB,147.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-BB262943AE27CC4C,HB,148.0,HB,148.0,formal_journal_marker_confirmed,To authorize governmental units to enter into guaranteed energy cost savings contracts; to provide for bid proposal procedures; and to establish standards and procedures for awarding of guaranteed energy cost savings contracts.,,,,To authorize governmental units to enter into guaranteed energy cost savings contracts; to provide for bid proposal procedures; and to establish standards and procedures for awarding of guaranteed energy cost savings contracts.,context_window
JRC-3D6F75C3EB43A941,HB,149.0,HB,149.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-D2076B5276B6E731,HB,150.0,HB,150.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-066C497086855AAC,HB,152.0,HB,152.0,formal_journal_marker_confirmed,"To prohibit marriages between persons of the same sex in Alabama, to prohibit the legal recognition of same sex marriages formed outside of the State of Alabama.",,,,"To prohibit marriages between persons of the same sex in Alabama, to prohibit the legal recognition of same sex marriages formed outside of the State of Alabama.",context_window
JRC-9EE84C2CE064F599,HB,160.0,HB,160.0,formal_journal_marker_confirmed,,"To amend Sections 40-21-80 and 40-21-100, Code of Alabama 1975, to clarify that computer access to Internet systems is not a taxable activity under public utilities tax statutes.",recovered_exact_pdf_window,90-108,"To amend Sections 40-21-80 and 40-21-100, Code of Alabama 1975, to clarify that computer access to Internet systems is not a taxable activity under public utilities tax statutes.",exact_pdf_page_window
JRC-5AEF4741B60EAF5A,HB,162.0,HB,162.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-AFF2199063A26E20,HB,164.0,HB,164.0,parser_measure_retained_no_formal_marker,"GREG PAPPAS Clerk ADJOURNMENT On motion of Representative White, the House adjourned until 9:00 o'clock a.m., Thursday, February 12, 1998.",,,,"GREG PAPPAS Clerk ADJOURNMENT On motion of Representative White, the House adjourned until 9:00 o'clock a.m., Thursday, February 12, 1998.",context_window
JRC-A817F65EC1E5CD53,HB,166.0,HB,166.0,formal_journal_marker_confirmed,"was lost, lacking a three-fifths vote.",,,,"was lost, lacking a three-fifths vote.",context_window
JRC-A409568B3701BCEE,HB,167.0,HB,167.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-BAB71173244D55DB,HB,171.0,HB,171.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-E66235A30CB3F737,HB,172.0,HB,172.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-56847767053DCBB5,HB,175.0,HB,175.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-2C7A7DD9A8CE4B68,HB,176.0,HB,176.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-EEC9EAA5C5BC0438,HB,178.0,HB,178.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-38A232C0A8E3B0B5,HB,182.0,HB,182.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-FCF89C12205E0521,HB,185.0,HB,185.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-C223153D15DFE05A,HB,186.0,HB,186.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-15BA8808FE33F362,HB,189.0,HB,189.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-291E1F330B13ADB6,HB,194.0,HB,194.0,formal_journal_marker_confirmed,"To implement the provisions of an amendment to the Constitution of Alabama of 1901, authorizing the state to become indebted and to sell and issue not in excess of $5,700,000 in principal amount of general obligation bonds of the state for the purpose of providing and the equipping of a center for cotton, cotton products technology, and for its use as a promotional facility in the field of textile and apparel technology, to authorize Alabama Agricultural Development Authority to sell and issue for the state said bonds and refunding bonds therefor contingent upon the ratification by the qualified electors of the state of said constitutional amendment authorizing such issue, to provide that the said authority shall specify the form and details of said bonds, to provide for the issuance of said bonds in series, to provide for the sale of said bonds, to provide for the temporary investment of the proceeds of said bonds, to provide for the payment of the expenses of issuance of said bonds, to provide for the issuance of refunding bonds for the purpose of refunding any outstanding bonds issued pursuant to said amendment and this act and to provide for the use of proceeds derived therefrom, and to provide for an effective date.",,,,"To implement the provisions of an amendment to the Constitution of Alabama of 1901, authorizing the state to become indebted and to sell and issue not in excess of $5,700,000 in principal amount of general obligation bonds of the state for the purpose of providing and the equipping of a center for cotton, cotton products technology, and for its use as a promotional facility in the field of textile and apparel technology, to authorize Alabama Agricultural Development Authority to sell and issue for the state said bonds and refunding bonds therefor contingent upon the ratification by the qualified electors of the state of said constitutional amendment authorizing such issue, to provide that the said authority shall specify the form and details of said bonds, to provide for the issuance of said bonds in series, to provide for the sale of said bonds, to provide for the temporary investment of the proceeds of said bonds, to provide for the payment of the expenses of issuance of said bonds, to provide for the issuance of refunding bonds for the purpose of refunding any outstanding bonds issued pursuant to said amendment and this act and to provide for the use of proceeds derived therefrom, and to provide for an effective date.",context_window
JRC-E4FDD79F1D1B5778,HB,197.0,HB,197.0,formal_journal_marker_confirmed,"Relating to athlete agents; to amend Sections 8-26-2, 8-26-3, 8-26-7, 8-26-14, 8-26-15, 8-26-22, 8-26-27, and 8-26-41, Code of Alabama 1975; to define student-athlete; to provide for appointments to the commission; to provide reporting requirements of the Secretary of State to the commission; to further provide the requirements of granting or renewing registrations; to increase the amount of bonds; to provide for distribution of proceeds of bonds for any violations; to require notice to a college or university of a signing of a contract or receiving in-kind benefits; to create contract requirements; to allow civil actions by colleges or universities for certain actions of the athlete agent and student-athlete; to further provide for business and financial records of athlete agents and penalties for violations.",,,,"Relating to athlete agents; to amend Sections 8-26-2, 8-26-3, 8-26-7, 8-26-14, 8-26-15, 8-26-22, 8-26-27, and 8-26-41, Code of Alabama 1975; to define student-athlete; to provide for appointments to the commission; to provide reporting requirements of the Secretary of State to the commission; to further provide the requirements of granting or renewing registrations; to increase the amount of bonds; to provide for distribution of proceeds of bonds for any violations; to require notice to a college or university of a signing of a contract or receiving in-kind benefits; to create contract requirements; to allow civil actions by colleges or universities for certain actions of the athlete agent and student-athlete; to further provide for business and financial records of athlete agents and penalties for violations.",context_window
JRC-2842F26EB2C113A5,HB,203.0,HB,203.0,formal_journal_marker_confirmed,,To provide for a permanent Joint Legislative Oversight Committee on Community Services Grants.,recovered_exact_pdf_window,124-142,To provide for a permanent Joint Legislative Oversight Committee on Community Services Grants.,exact_pdf_page_window
JRC-AB8951A8D8B59396,HB,204.0,HB,204.0,formal_journal_marker_confirmed,"To amend Sections 34-27-81 and 34-27-82 of the Code of Alabama 1975, the Real Estate Consumer's Agency and Disclosure Act, to change the name of the defined term ""contract broker"" to ""transaction broker"" and to further provide for real estate brokerage agreements with certain business entities and other entities for which a written disclosure form is not required; and to amend Section 34-27-8 of the Code of Alabama 1975, to make conforming code changes.",,,,"To amend Sections 34-27-81 and 34-27-82 of the Code of Alabama 1975, the Real Estate Consumer's Agency and Disclosure Act, to change the name of the defined term ""contract broker"" to ""transaction broker"" and to further provide for real estate brokerage agreements with certain business entities and other entities for which a written disclosure form is not required; and to amend Section 34-27-8 of the Code of Alabama 1975, to make conforming code changes.",context_window
JRC-F355CA1670814A02,HB,213.0,HB,213.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-4BD7A9A419127303,HB,221.0,HB,221.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-B2A286EE09458E72,HB,222.0,HB,222.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
