session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors,final_passage_events
2008_RegularSession,2008,2008RegularSession_Day12,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day12.pdf,912cbf1e0d804062a7462745eb3aea039ea412927f7bb358bf949a3cb19e6432,13,21041,8,3
2008_RegularSession,2008,2008RegularSession_Day13,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day13.pdf,af4d3ec3a1960c0d8de02a3a076b51587c5d784772c4f13113da715af213a41d,14,21757,9,1
2008_RegularSession,2008,2008RegularSession_Day14,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day14.pdf,efea19a49f5296561a9cd573b7ff59149e75a8c9f1cf7a219db82f96ab432698,68,132345,18,5
2008_RegularSession,2008,2008RegularSession_Day15,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day15.pdf,f4d5fa7d5f8cd5a62c87fe0f8ab0223af4ec04d5809f2661d7bd266e77a8ddfe,116,234581,48,16
2008_RegularSession,2008,2008RegularSession_Day16,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day16.pdf,e46439e79fd9d924f56a7d4ec559d4290d566aa474f7d44cc0b452bb86492613,182,255927,56,20
2008_RegularSession,2008,2008RegularSession_Day17,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day17.pdf,55a48dfc727137f921a9f86aec3eee979befe83c01a42fd570ee740c3e85dedc,57,104685,3,1
2008_RegularSession,2008,2008RegularSession_Day18,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day18.pdf,4273539cee537da041eee6e41cec1f51b28b000ea9ddf31b4d621e673daa1d56,24,39637,4,0
2008_RegularSession,2008,2008RegularSession_Day19,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day19.pdf,2fb85e88aaf6e66a64b2473c85b96e5078ad8cd4614d7e8921077599730bc1b2,105,188018,5,1
2008_RegularSession,2008,2008RegularSession_Day20,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day20.pdf,facff7348385df56c24ca5a9fd1f72cf7361a628688e81e04dfe0433c005f3da,43,64431,5,0
2008_RegularSession,2008,2008RegularSession_Day21,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day21.pdf,571d0708850788cdd13c6fe87eec1106d214fde1d8f93189cc74e462b3e7019f,44,67000,1,0
2008_RegularSession,2008,2008RegularSession_Day22,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day22.pdf,dfadd82277360b1b7a9279f80e7f4e7ec9393cdaafcedcecf1f286affa83bdf1,25,47777,1,0
