source_row_id,target_norm,match_method,match_score,score_margin
108,CLARK BUILDING OFF 129,exact,100.0,100.0
109,KEMP PLEASANT SITE CHURCH,fuzzy,95.0,49.73529411764706
110,,unmatched,90.0,22.5
111,,unmatched,90.0,29.999999999999993
112,,unmatched,90.0,29.999999999999993
113,,unmatched,90.0,29.999999999999993
114,,unmatched,90.0,25.875
115,,unmatched,60.00000000000001,0.0
116,,unmatched,90.0,29.999999999999993
117,,unmatched,90.0,33.0
118,,unmatched,90.0,25.875
119,,unmatched,90.0,18.0
120,,unmatched,90.0,25.875
121,,unmatched,90.0,25.875
122,ALTERNATIVE SCHOOL,exact,100.0,100.0
123,SIX MILE COMMUNITY CENTER,exact,100.0,100.0
124,WINFIELD COMMUNITY CENTER,exact,100.0,100.0
125,BACCUS UNION HALL,exact,100.0,100.0
126,PIKEVILLE TRAILER,exact,100.0,100.0
127,HACKLEBURG CITY HALL,exact,100.0,100.0
128,WIGINTON COMMUNITY BUILDING HWY 53,fuzzy,95.0,14.230769230769226
129,RYE BYRD VOLUNTEER FIRE DEPARTMENT,fuzzy,95.0,9.5
130,BARNSVILLE TRAILER HWY 11,fuzzy,95.0,20.714285714285708
131,,unmatched,85.5,0.0
132,COMMUNITY LIFE BUILDING,exact,100.0,100.0
133,WEEDS STORE BRANTLEY,exact,100.0,100.0
134,PLEASANT HOME SCHOOL,exact,100.0,100.0
135,PATSBURG DEPOT BUILDING,exact,100.0,100.0
136,VIDETTE COMMUNITY CENTER,exact,100.0,100.0
137,DANIELVILLE SCHOOL HOUSE,fuzzy,95.0,42.36842105263157
138,PANOLA COMMUNITY CENTER,exact,100.0,100.0
139,,unmatched,90.0,29.999999999999993
140,,unmatched,90.0,34.61538461538461
141,,unmatched,90.0,34.61538461538461
142,,unmatched,90.0,34.61538461538461
143,BETHLEHEM,exact,100.0,100.0
144,,unmatched,90.0,45.0
145,,unmatched,90.0,34.61538461538461
146,FAIRVIEW ZION,exact,100.0,100.0
147,GOOD HOPE CHURCH,exact,100.0,100.0
148,CARLOWVILLE MINTER VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
