district,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_allocation_method,chamber,cycle
84,10554.266731219937,8151.087141152421,18705.353872372358,12.84754945810991,normalized_area_intersection,house,2018
85,6614.33602034702,9672.408299770981,16286.744320118001,-18.77644923575373,normalized_area_intersection,house,2018
86,4343.925682622735,16308.080938813797,20652.006621436532,-57.932168411046376,normalized_area_intersection,house,2018
87,2633.7585480204193,16692.848896034888,19326.607444055306,-72.74474006217227,normalized_area_intersection,house,2018
88,4606.491947965235,12777.684993213075,17384.17694117831,-47.00362331156756,normalized_area_intersection,house,2018
89,5653.0919608913355,10544.210129342826,16197.302090234161,-30.19711641607581,normalized_area_intersection,house,2018
90,6830.351544249306,12656.579876369582,19486.931420618886,-29.898131246849946,normalized_area_intersection,house,2018
91,4020.1392355488993,14337.086399370613,18357.225634919512,-56.20101516972475,normalized_area_intersection,house,2018
92,3693.136232973332,17275.214186802405,20968.350419775736,-64.77418433936273,normalized_area_intersection,house,2018
93,4704.887715069444,14637.451556986416,19342.339272055862,-51.35140947644673,normalized_area_intersection,house,2018
94,5436.611477652588,20108.66253818381,25545.274015836396,-57.43548122222338,normalized_area_intersection,house,2018
95,3571.2504108753487,16976.075805089607,20547.326215964957,-65.23878218178537,normalized_area_intersection,house,2018
96,6365.309812385051,19908.317295511963,26273.627107897013,-51.54601390782591,normalized_area_intersection,house,2018
97,11566.476106506987,4368.560356544081,15935.036463051067,45.17037514569156,normalized_area_intersection,house,2018
98,10890.434680332686,5773.738594240762,16664.173274573448,30.704770058404808,normalized_area_intersection,house,2018
99,13426.607657738325,5661.725924944583,19088.333582682906,40.67867789065729,normalized_area_intersection,house,2018
100,5773.170948281493,16273.573666781203,22046.744615062697,-47.62790562433269,normalized_area_intersection,house,2018
101,6615.17006973121,11734.340399575867,18349.510469307075,-27.8981302438962,normalized_area_intersection,house,2018
102,3815.5529043613724,15487.256320492112,19302.809224853485,-60.466346013008014,normalized_area_intersection,house,2018
103,10355.362262479499,4537.481268981219,14892.843531460718,39.064944053217026,normalized_area_intersection,house,2018
104,4886.725634600163,12972.522352272366,17859.247986872528,-45.27512425839925,normalized_area_intersection,house,2018
105,3585.7311096902267,13574.339430632317,17160.070540322544,-58.20843391914369,normalized_area_intersection,house,2018
1,15599.095601665746,44939.58923732464,60538.68483899038,-48.465693818247495,normalized_area_intersection,senate,2018
2,25651.931744642796,37461.06979849449,63113.00154313729,-18.711101936389817,normalized_area_intersection,senate,2018
3,17572.093803420772,46167.8723609583,63739.966164379075,-44.863184401121025,normalized_area_intersection,senate,2018
4,6910.914744162494,52532.131519183094,59443.04626334559,-76.74777731428621,normalized_area_intersection,senate,2018
5,8350.291347639242,52688.074740040036,61038.36608767928,-72.63920421577352,normalized_area_intersection,senate,2018
6,15821.218636360569,37974.90850398058,53796.12714034115,-41.18082666030282,normalized_area_intersection,senate,2018
7,24887.360406996784,32991.91790723996,57879.27831423674,-14.002519962744024,normalized_area_intersection,senate,2018
8,9979.628721663154,43997.30505984788,53976.933781511034,-63.02261717177599,normalized_area_intersection,senate,2018
9,8212.342005109567,43812.44894849754,52024.79095360711,-68.42912059970452,normalized_area_intersection,senate,2018
10,12317.647826155044,42955.57907562033,55273.22690177537,-55.42996667068338,normalized_area_intersection,senate,2018
11,12964.909799207584,48085.96027078162,61050.87006998921,-57.52751833235298,normalized_area_intersection,senate,2018
12,15168.625141560646,38098.66584981265,53267.290991373295,-43.047131328615066,normalized_area_intersection,senate,2018
13,15371.877768416152,40712.18300451402,56084.06077293018,-45.182721947852876,normalized_area_intersection,senate,2018
14,13372.680888250934,42817.363193699406,56190.04408195034,-52.401956230012715,normalized_area_intersection,senate,2018
15,20182.23872298031,50881.138726545396,71063.37744952571,-43.1993258769183,normalized_area_intersection,senate,2018
16,20309.880968054844,41749.9921234151,62059.87309146994,-34.54746213186693,normalized_area_intersection,senate,2018
17,9196.729436927413,57068.1390810698,66264.86851799721,-72.24251811673142,normalized_area_intersection,senate,2018
18,41639.55426656581,13796.586791908096,55436.141058473906,50.22529877267073,normalized_area_intersection,senate,2018
19,42324.45033486728,16071.160411802795,58395.61074667008,44.95764251350268,normalized_area_intersection,senate,2018
20,40783.24326408447,13356.14958826859,54139.39285235306,50.66014269981569,normalized_area_intersection,senate,2018
21,17182.718760905707,42132.24349147095,59314.96225237666,-42.06278446980813,normalized_area_intersection,senate,2018
22,17840.282778670404,46112.81141769849,63953.0941963689,-44.20822634823091,normalized_area_intersection,senate,2018
23,38886.073171504686,23916.531077952153,62802.60424945684,23.835862019498975,normalized_area_intersection,senate,2018
24,37903.06404305745,20504.278093828594,58407.34213688604,29.788696613607733,normalized_area_intersection,senate,2018
25,23309.581691821673,39643.725977433,62953.307669254675,-25.946443309107725,normalized_area_intersection,senate,2018
26,40299.71878613184,10483.103295857809,50782.822081989645,58.71397899497323,normalized_area_intersection,senate,2018
27,21877.629447816827,35281.99584221597,57159.625290032796,-23.45075973886156,normalized_area_intersection,senate,2018
28,29290.598596149,22836.78763353922,52127.38622968822,12.380845136129473,normalized_area_intersection,senate,2018
29,11844.014742226704,45747.52797785909,57591.542720085796,-58.868909625176784,normalized_area_intersection,senate,2018
30,15728.264935293602,44171.21735402326,59899.48228931686,-47.48447120352239,normalized_area_intersection,senate,2018
31,12658.8633335397,41967.93468048266,54626.79801402236,-53.65328449128484,normalized_area_intersection,senate,2018
32,13983.50903972271,52556.74070114099,66540.2497408637,-57.96977289931883,normalized_area_intersection,senate,2018
33,41668.221591100795,11239.65917870049,52907.88076980128,57.51234403962046,normalized_area_intersection,senate,2018
34,14955.38757821393,44891.61113576491,59846.99871397884,-50.02126121749625,normalized_area_intersection,senate,2018
35,15562.356075113372,38984.59594902807,54546.95202414144,-42.939594248178096,normalized_area_intersection,senate,2018
