district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,cycle,pres_swing_2012_2016
18.0,5851.325114906565,13189.457584795644,19040.78269970221,-38.53902744241624,0.5187349970173785,True,house,3823.314513719976,14313.516401074907,18136.830914794882,-57.83922194917574,0.1466594304707828,True,2018,-19.300194506759496
19.0,12586.93166890757,6547.941849780931,19134.873518688502,31.56012404904858,0.24252201913681046,True,house,12709.672146236357,6321.689252106449,19031.361398342808,33.56555929144488,0.0775360701579341,True,2018,2.005435242396299
20.0,7661.268893833528,18437.50818193839,26098.777075771915,-41.29020780099573,0.24252201913681054,True,house,7411.669167042131,17013.07408649347,24424.743253535602,-39.31015699852439,0.07753607015793412,True,2018,1.9800508024713395
21.0,7034.0193827271905,13144.032671230734,20178.052053957923,-30.28049125933871,0.2425220191368105,True,house,7971.706019035999,14368.771047045531,22340.47706608153,-28.634415501009546,0.07753607015793412,True,2018,1.6460757583291645
22.0,5803.897994591258,15232.140130003296,21036.038124594554,-44.81947636512832,0.21124613473261528,True,house,4678.848656246888,17299.502153867365,21978.35081011425,-57.42311425756549,0.07243894834797167,True,2018,-12.60363789243717
23.0,5171.521397487118,12164.732479203281,17336.2538766904,-40.338651772508605,0.06142242240206158,True,house,3297.6160280790587,13980.529844108954,17278.14587218801,-61.8290521162099,0.048408994015104616,True,2018,-21.490400343701296
24.0,3529.939355351881,12339.697827652304,15869.637183004186,-55.513294795014964,0.28538066324147593,True,house,2463.2654752071667,14474.556389693538,16937.821864900703,-70.91402312700369,0.10769412041946506,True,2018,-15.400728331988724
25.0,10651.322960587282,19785.2292583388,30436.55221892608,-30.00966151505119,0.2902962576027125,True,house,9226.926481778584,15501.380517374431,24728.306999153014,-25.373568986387777,0.08938711853014127,True,2018,4.636092528663411
26.0,802.618551103562,3005.657937359881,3808.276488463443,-57.84872482158452,0.32441669922040756,True,house,2335.0980339941034,14188.875433154564,16523.973467148666,-71.73684599970444,0.19777758520355904,True,2018,-13.888121178119924
27.0,542.8034865869818,2176.188037024167,2718.9915236111488,-60.073175523101796,0.24208174758267847,True,house,2435.115964800227,13939.529393510193,16374.64535831042,-70.25748147193474,0.18812904630240612,True,2018,-10.184305948832943
28.0,7815.132796488478,10994.294362028004,18809.427158516482,-16.901958463419092,0.2805891058385449,True,house,5966.532162733028,9252.363627762068,15218.895790495095,-21.59047220154562,0.11260661292207035,True,2018,-4.688513738126527
29.0,3309.992843963662,11461.712040327639,14771.704884291301,-55.184687618778334,0.27190037939506173,True,house,2812.078745711991,14826.428219667783,17638.506965379773,-68.11432224698567,0.10998999775781401,True,2018,-12.929634628207332
30.0,3995.799804677109,17517.8259355911,21513.62574026821,-62.85331117201731,0.2962294083442204,True,house,3583.01195900326,19906.707556494104,23489.719515497363,-69.49293535293715,0.18536691676965916,True,2018,-6.639624180919846
31.0,5287.068270552248,17632.41417383143,22919.482444383677,-53.863982021567665,0.28274038051360806,True,house,4543.311380742137,17735.29157222864,22278.602952970778,-59.21367789234468,0.03861185797045209,True,2018,-5.349695870777012
32.0,9809.154524824782,6426.446536227643,16235.601061052424,20.835126312089027,0.10924450418070962,True,house,8709.50760739634,6492.878465367927,15202.386072764266,14.580797589396836,0.059765319779705915,True,2018,-6.2543287226921915
33.0,6700.277127973517,11302.694247062342,18002.971375035857,-25.564763855986847,0.1307880957934211,True,house,5820.423800705789,12492.145768476128,18312.569569181916,-36.432473021143515,0.1289047499914329,True,2018,-10.867709165156668
34.0,1916.5023083723188,13611.88593716314,15528.38824553546,-75.31614642719498,0.03923850399056086,True,house,1865.5911903219653,17882.02267323235,19747.613863554314,-81.10565455439604,0.06479853956053311,True,2018,-5.78950812720106
35.0,5275.110167500082,12996.388506792984,18271.498674293067,-42.258593435229756,0.14534585814276565,True,house,4568.048433168218,14856.4733640351,19424.52179720332,-52.96616842504805,0.10940051108895303,True,2018,-10.707574989818298
36.0,5672.472396273755,15082.30616865928,20754.778564933033,-45.33815546596214,0.224743454551559,True,house,5154.6681395710775,17122.15689167087,22276.825031241948,-53.72169838078851,0.17924400319898554,True,2018,-8.383542914826371
37.0,8887.97516655598,14724.924659811,23612.89982636698,-24.71932518316654,0.42184056497813877,True,house,5955.587079657915,13982.024258596994,19937.61133825491,-40.25776730604888,0.22048344424117725,True,2018,-15.538442122882344
38.0,5452.041417325788,10748.361574518787,16200.402991844574,-32.69252104320623,0.44611319340140454,True,house,6138.2054733541,14377.933475143342,20516.138948497442,-40.16217682320143,0.17969740918316818,True,2018,-7.4696557799952
39.0,3693.99072992528,13812.40277757628,17506.39350750156,-57.79838116465975,0.30858036932158844,True,house,2729.36211226354,15617.596925469057,18346.9590377326,-70.24725343692873,0.0719863153817002,True,2018,-12.448872272268979
40.0,5316.538184181669,13628.83988806237,18945.37807224404,-43.8750901258532,0.1897885169972909,True,house,4140.502539781058,14694.396892800976,18834.899432582035,-56.033717571982315,0.08888021341661786,True,2018,-12.158627446129117
41.0,5351.33976733659,18971.39273600956,24322.73250334615,-55.997215636850086,0.4675227828528189,True,house,5638.891617527272,20709.226773906346,26348.118391433618,-57.19700713535122,0.22103306777484263,True,2018,-1.1997914985011349
42.0,4539.302063701616,15672.439055134646,20211.74111883626,-55.082523202602985,0.9050057098638247,True,house,3153.850810255811,14309.21740674926,17463.06821700507,-63.87976303975409,0.7785053149736125,True,2018,-8.797239837151103
43.0,7061.998177870107,25506.09132984558,32568.08950771569,-56.63240746008726,0.46752278285281895,True,house,6771.065141535459,21170.634398310343,27941.699539845802,-51.53433575592142,0.2210330677748426,True,2018,5.098071704165839
