district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,cycle
81.0,5867.90820416658,14784.681829444804,20652.590033611385,-43.175086566704124,0.1164068882016644,True,house,2014
65.0,9191.875499920092,15451.350856289526,24643.22635620962,-25.4003889989517,0.28645513733585104,True,house,2014
71.0,16325.823665325523,7449.841965078315,23775.665630403837,37.33221117013348,0.08800650262908012,True,house,2014
24.0,37812.32768518182,18569.012505111903,56381.340190293726,34.13064520126951,0.10055673630017418,False,senate,2014
33.0,6193.72883349941,11750.105044682306,17943.833878181715,-30.965379243390185,0.039167989781408986,True,house,2014
35.0,5028.9927540670815,10387.946381576727,15416.939135643808,-34.76016594707699,0.1258252350510947,True,house,2014
91.0,4616.301189420788,13429.903395769123,18046.20458518991,-48.83909059515732,0.17484772482981015,True,house,2014
92.0,3971.8249699637263,14694.812259226812,18666.63722919054,-57.44466535458608,0.13899879349737923,True,house,2014
31.0,15579.112496984468,40194.90646438973,55774.0189613742,-44.13487574645232,0.11667681476756836,True,senate,2014
3.0,8454.376421064722,10903.848959200486,19358.22538026521,-12.65339404836605,0.12211551349167667,True,house,2014
18.0,5773.833634362805,13050.47078373705,18824.304418099855,-38.65554332184326,0.4910109924756655,True,house,2014
6.0,18999.83038848614,33021.79259871662,52021.62298720276,-26.95410370737542,0.2745715954022871,True,senate,2014
25.0,5411.0838996986495,15893.743333455272,21304.82723315392,-49.20321258200033,0.17002887200607048,False,senate,2014
9.0,4080.523982438469,16650.63320049988,20731.15718293835,-60.63390049643034,0.24352986544002675,True,house,2014
12.0,3022.2062809282506,16813.317465335043,19835.523746263294,-69.52733570750722,0.15667674958151007,True,house,2014
4.0,11014.542553966685,45306.29163605466,56320.83419002134,-60.88643674273494,0.24594250558088013,True,senate,2014
89.0,6694.043187882803,10522.074347952743,17216.117535835547,-22.235159304075665,0.04575709830718603,True,house,2014
93.0,5086.000821322673,11391.932340867304,16477.933162189976,-38.268947066821035,0.0816316337158122,True,house,2014
29.0,13762.099265299914,39646.815026684206,53408.91429198412,-48.46515999159564,0.3169524421192171,True,senate,2014
67.0,15057.266606905048,6589.582997550772,21646.84960445582,39.11739474371955,0.049083591241314756,True,house,2014
10.0,6075.911982062566,10643.466178815392,16719.378160877957,-27.318923902568024,0.15922633172255643,True,house,2014
23.0,5170.691701625301,12190.580894976454,17361.272596601753,-40.43418565252646,0.05029965617910925,True,house,2014
24.0,3459.6936088876673,11822.992771206505,15282.686380094172,-54.724012220862605,0.25400195320793173,True,house,2014
26.0,442.3087131184063,1748.6044415469626,2190.913154665369,-59.62334589332796,0.21191265142262525,True,house,2014
27.0,431.1447200867542,1721.5214528638148,2152.666172950569,-59.9431880795709,0.2006154037677333,True,house,2014
8.0,15237.369734398491,44177.90304466671,59415.2727790652,-48.708912635785005,0.2198282204901089,True,senate,2014
75.0,1773.3653360253963,3963.853443775195,5737.218779800592,-38.18031335081723,0.2260046071154338,False,house,2014
28.0,8091.5423626751335,10795.04576994391,18886.588132619043,-14.314408660183327,0.2570296462500597,True,house,2014
30.0,3899.396711037054,18270.164089739497,22169.56080077655,-64.82206620078404,0.26725385726838896,True,house,2014
16.0,3092.1563825326834,10907.11322189452,13999.269604427203,-55.8240326830365,0.1148720598439726,True,house,2014
5.0,13447.802180841421,43021.45016735835,56469.25234819977,-52.371240554346976,0.2185688211605273,True,senate,2014
7.0,5340.708215677897,12240.233773442524,17580.94198912042,-39.24434516668246,0.4427950654264487,True,house,2014
87.0,2954.5402417077576,13408.152673343133,16362.692915050891,-63.88687049195815,0.19430216676507805,True,house,2014
6.0,6422.029925488412,11335.366850738097,17757.39677622651,-27.66924108959276,0.17959060447880165,True,house,2014
85.0,8503.782031533337,14286.151862639594,22789.93389417293,-25.37247303110751,0.3589527141474574,True,house,2014
86.0,5531.63371755343,15509.688775197228,21041.32249275066,-47.42123533861299,0.5174724403775487,True,house,2014
22.0,5033.438096636842,14876.729196747427,19910.167293384267,-49.438515282497434,0.1351775882478785,True,house,2014
14.0,3022.6918399325227,12954.556164809113,15977.248004741636,-62.16254715410983,0.2389895039781945,True,house,2014
15.0,11055.421764119983,15802.886699408182,26858.308463528163,-17.67596400099041,0.6926431664121844,True,house,2014
43.0,5324.162192515306,19212.96865293064,24537.130845445943,-56.60322124822951,0.2583431593353166,True,house,2014
44.0,321.3530296363009,316.24673734712604,637.5997669834269,0.8008616931172102,0.7667621073027017,True,house,2014
45.0,6677.1944306762525,14133.072860415432,20810.267291091684,-35.82788402208962,0.4464715669982459,True,house,2014
46.0,6539.844873765216,7497.716383597685,14037.5612573629,-6.823631913485342,0.7667621073027017,True,house,2014
47.0,6317.0331152204835,5220.543257467994,11537.576372688478,9.503641166337829,0.7667621073027017,True,house,2014
48.0,4739.819313529987,7577.288719702199,12317.108033232187,-23.036815123457348,0.6147048435838729,True,house,2014
51.0,22785.92163873942,30310.87754038469,53096.79917912411,-14.172146001229828,0.7667621073027017,True,house,2014
52.0,8753.319658605975,6291.405533428165,15044.72519203414,16.363968724941156,0.7667621073027016,True,house,2014
54.0,7258.85877167503,4501.792212935035,11760.650984610065,23.443145811808204,0.7667621073027016,True,house,2014
55.0,11725.287483244223,8146.025562689486,19871.313045933708,18.01220640166587,0.7667621073027017,True,house,2014
56.0,19468.17064239699,15775.602120550926,35243.77276294792,10.477222591016405,0.7667621073027016,True,house,2014
57.0,12902.928072195753,9816.92706244717,22719.855134642923,13.582837528937809,0.7667621073027016,True,house,2014
58.0,4112.2538825844,2693.152107541996,6805.405990126396,20.852565990938736,0.7667621073027017,True,house,2014
59.0,18408.168273644846,13134.84227088667,31543.010544531513,16.71789062528907,0.7667621073027018,True,house,2014
60.0,22484.912209712496,15717.552520867746,38202.46473058024,17.714458311972805,0.7667621073027016,True,house,2014
15.0,16238.096237156198,34638.74638845804,50876.84262561424,-36.1670441829618,0.2680631644956237,True,senate,2014
16.0,16219.033886955433,28133.006231036812,44352.04011799225,-26.862287083944643,0.5196760661186861,True,senate,2014
18.0,45765.61308187229,33748.37653854828,79513.98962042056,15.1133613099924,0.7667621073027018,True,senate,2014
19.0,33554.06792251479,24459.385491242316,58013.4534137571,15.676850620162863,0.7667621073027016,True,senate,2014
20.0,28831.040807094687,21329.169313690156,50160.21012078485,14.955821507406299,0.7667621073027017,True,senate,2014
17.0,3030.0070346699417,12557.266393005959,15587.2734276759,-61.12203909517583,0.09976926589487087,True,house,2014
21.0,16834.39639393724,39267.140809674,56101.53720361124,-39.985971033771904,0.07827568379245123,True,senate,2014
1.0,7108.280612717517,11407.643272186791,18515.92388490431,-23.219811693946664,0.3016261055869911,True,house,2014
2.0,5026.16816681045,13322.545990433891,18348.714157244343,-45.215036609788314,0.30811645184668623,True,house,2014
1.0,19302.711423606823,40711.85487317459,60014.56629678141,-35.673245297976834,0.2853320931070856,True,senate,2014
79.0,4046.9883198905823,6526.570374080477,10573.55869397106,-23.450780630779768,0.33770811459427036,True,house,2014
80.0,6051.113950940021,11585.043928857529,17636.15787979755,-31.378319561635916,0.20701625149375025,True,house,2014
82.0,15023.02853418143,6700.64171185568,21723.67024603711,38.31022441451367,0.18402370751605857,True,house,2014
83.0,11347.175118029916,7289.586185043012,18636.761303072926,21.771963846088795,0.2148629292724533,True,house,2014
27.0,19508.975615139854,30855.248581352418,50364.22419649227,-22.52843788866066,0.22116671038551972,True,senate,2014
4.0,5488.602177410434,15438.306397314815,20926.908574725247,-47.545026463781035,0.2956377936713266,True,house,2014
5.0,4789.905419177589,12630.10860168813,17420.014020865718,-45.006870678287264,0.3306626368613139,True,house,2014
25.0,8920.55132996283,17545.167085003995,26465.718414966825,-32.58787696525856,0.18347270235415233,True,house,2014
2.0,23473.36958012798,36286.070810195444,59759.44039032342,-21.440463877138594,0.17406915721752134,True,senate,2014
3.0,17043.624238067674,40538.601518136406,57582.225756204076,-40.80248196647264,0.2797592590888128,True,senate,2014
19.0,15252.203059794563,6645.878263076233,21898.081322870796,39.30173000010605,0.15418314412943254,True,house,2014
7.0,26314.305839711807,34559.02371845772,60873.32955816953,-13.5440560563841,0.15418314412943251,True,senate,2014
20.0,7300.259829258015,20032.72354435092,27332.983373608935,-46.58278074169758,0.15418314412943251,True,house,2014
21.0,7293.305407413452,14893.466155325972,22186.771562739425,-34.255370261603396,0.15418314412943251,True,house,2014
53.0,8428.199645384937,3237.197739736262,11665.3973851212,44.49914335768461,0.15418314412943251,True,house,2014
34.0,44.18021258045866,194.9136143478733,239.09382692833196,-63.043619194985226,0.18064312736443885,True,house,2014
97.0,10572.962572864186,5509.624043707264,16082.58661657145,31.48335929955243,0.42176639620392387,True,house,2014
98.0,13567.601609214958,8006.344373598293,21573.945982813253,25.777654398722447,0.4217663962039238,True,house,2014
99.0,15869.005276587734,10227.09728780474,26096.102564392473,21.619734114937327,0.4217663962039239,True,house,2014
100.0,4648.204903223171,10223.829727412793,14872.034630635964,-37.49066595571257,0.4217663962039239,True,house,2014
101.0,9490.379771350252,16589.106907387668,26079.48667873792,-27.219581518162567,0.4217663962039239,True,house,2014
