cycle,chamber,district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete
2018,house,23,5107.296907992819,12150.156805114078,17257.453713106897,-40.81053911083223,0.5931740119993446,False
2018,house,24,3109.1385766609815,10878.124578819969,13987.26315548095,-55.54328903231285,1.0,False
2018,house,25,6872.283595930229,12726.023581920788,19598.307177851017,-29.868600042181964,0.4803419469504003,False
2018,house,26,430.83049282488065,1561.358024361887,1992.1885171867675,-56.74801966700722,0.9724147742314259,False
2018,house,27,960.749858854022,3841.4973866381542,4802.247245492176,-59.98748878430328,0.7762980291795037,False
2018,house,28,7421.330739166171,9551.109286095292,16972.440025261465,-12.548452336606864,0.29025636129278654,False
2018,house,29,5344.4795615679695,16871.840870920096,22216.320432488064,-51.88690604450895,0.47947943862091397,False
2018,house,30,3999.7145307788223,17237.626809405498,21237.34134018432,-62.33318976504138,0.5033209874873107,False
2018,house,31,8354.916409083495,24095.184074693756,32450.10048377725,-48.50606756511981,0.6529021983882943,False
2018,house,32,2486.2719657035186,2884.1507832514694,5370.4227489549885,-7.408705722940948,0.728021497858953,False
2018,house,33,13165.039197683462,18431.696269135227,31596.73546681869,-16.668358277020566,0.7899256985874051,False
2018,house,34,1850.9469604739863,12973.94740537487,14824.894365848857,-75.0292054054983,0.1099937497751485,False
2018,house,35,3844.3119436589054,7943.120283779757,11787.432227438663,-34.77269910048507,0.7604846826751093,False
2018,house,36,1330.3859705935429,2980.4593769577773,4310.84534755132,-38.277258248234816,0.7250677508760109,False
2018,house,37,9512.289511823066,15180.190105454685,24692.47961727775,-22.953954732297085,0.36433912672613084,False
2018,house,38,2560.518941578268,4081.2145174289876,6641.733459007255,-22.89606448732767,0.6872070635021627,False
2018,house,39,5213.305523056088,16935.806466107686,22149.11198916377,-52.92537664167625,0.6665780549751597,False
2018,house,40,8163.512951333361,17514.808093255724,25678.321044589087,-36.41708165298003,0.7280214974406687,False
2018,house,41,5130.4244772564125,17172.940769198027,22303.36524645444,-53.99416706344802,0.256988386502462,False
2018,house,42,3489.731380866892,13479.4163425553,16969.147723422193,-58.869691775385014,0.4629364362065811,False
2018,house,43,4320.95627362259,17813.87380518132,22134.83007880391,-60.95785458267156,0.256988386502462,False
2018,house,44,5965.943297063952,9460.169240438887,15426.112537502839,-22.651370751250703,0.6753912457823091,False
2018,house,45,4562.019666520702,13813.228805410237,18375.24847193094,-50.34603560883105,0.3352406824479829,False
2018,house,46,2829.5837341912147,3679.795842020007,6509.379576211222,-13.061338609533928,0.6753912457823091,False
2018,house,47,0.00048488832642887595,0.002181404601596229,0.002666292928025105,-63.62827794858778,0.25698838650246203,False
2018,house,48,1121.4605359914317,3977.8947165255777,5099.355252517009,-56.01559489553564,0.256988386502462,False
2018,house,49,4640.767248255832,13854.238824882756,18495.00607313859,-49.81599649220015,0.43585222399417123,False
2018,house,50,3838.6946027367435,19433.9841245303,23272.678727267044,-67.01114944504259,0.7117645086182559,False
2018,house,51,18020.131102306248,31702.03018953212,49722.16129183837,-27.516702274709218,0.6753912455689157,False
2018,house,52,16796.28888122261,9429.828763260644,26226.117644483253,28.088260023158718,0.6753912457823091,False
2018,house,53,6427.78734385427,3880.9820665003435,10308.769410354613,24.705230818295302,0.48034181307835083,False
2018,house,54,17349.344945736484,11562.653319625282,28911.998265361766,20.014844954677486,0.6753912457823091,False
2018,house,55,14828.856252396723,8809.667628617466,23638.52388101419,25.4634707906347,0.6753912457823091,False
2018,house,56,15444.05400799066,13061.120338248824,28505.174346239484,8.359653025788992,0.6753912457823091,False
2018,house,57,18377.382815672445,12933.059050906984,31310.44186657943,17.388204829446046,0.6753912457823091,False
2018,house,58,2752.150123977996,2411.10242238953,5163.2525463675265,6.605288014207268,0.675391245782309,False
2018,house,59,19854.727491837926,12249.158631791586,32103.886123629512,23.690492891601654,0.6753912457823091,False
2018,house,60,19148.279773113623,12339.720768582236,31488.00054169586,21.622709881231145,0.6753912457823091,False
2018,house,61,10559.438364755271,14806.475262617576,25365.913627372847,-16.74308664868765,0.6798636717634617,False
2018,house,62,3085.0823327606136,5092.058099775048,8177.140432535662,-24.543736084425884,0.766594683531287,False
2018,house,63,7975.123754873957,12939.642903638078,20914.766658512035,-23.73690909309584,0.766594683531287,False
2018,house,64,3900.231061186501,11089.373741755573,14989.604802942074,-47.96085537330529,0.3821667918037623,False
2018,house,65,11437.591526662043,15410.13659160955,26847.728118271592,-14.79657812179622,0.4458390434832755,False
2018,house,66,6257.485121659795,15262.196955515643,21519.68207717544,-41.84407465483225,0.4323994092216353,False
2018,house,67,15187.79297942897,6553.527708123063,21741.320687552034,39.71361903625959,0.4589429109512284,False
2018,house,68,10062.568187131095,10257.897038239138,20320.465225370233,-0.9612420234561037,0.5388331702510326,False
2018,house,69,21780.412420609955,14920.746453323332,36701.15887393329,18.69059772975901,0.6364502573629754,False
2018,house,70,8789.177029016551,9901.051897961845,18690.228926978394,-5.948963350258158,0.766594683531287,False
2018,house,71,13542.284659740679,10769.123019283461,24311.407679024138,11.406832862458636,0.7424181783708774,False
2018,house,72,9925.988455072797,3921.414661332883,13847.40311640568,43.36245390752009,0.5149656522288765,False
2018,house,73,3585.8913502340442,11641.756808382932,15227.648158616976,-52.90288673757056,0.256988386502462,False
2018,house,74,4555.110572984937,4319.996356380456,8875.106929365393,2.649142353728156,0.751323742567814,False
2018,house,75,586.6766827948652,2128.6938140266143,2715.3704968214797,-56.78846157593529,0.6529924456054743,False
2018,house,76,16580.548015421315,9638.745346517404,26219.29336193872,26.475933477982245,0.7513237425678141,False
2018,house,77,12093.249844804508,6678.054947079307,18771.304791883813,28.84826045798681,0.7513237425678142,False
2018,house,78,14835.766948590965,8232.75028418331,23068.517232774277,28.62349841465541,0.7513237400329273,False
2018,house,79,7749.01301757376,11795.344094128834,19544.357111702593,-20.703321441728303,0.7676616169191541,False
2018,house,80,3844.2352239545276,6379.092051916065,10223.327275870593,-24.794832049878554,0.4352852341213745,False
2018,house,81,7039.107065118097,14854.101496573723,21893.20856169182,-35.69597580653438,0.6871983172839868,False
2018,house,82,18412.942634010033,14587.884542345393,33000.82717635542,11.590794591976877,0.6796786811532367,False
2018,house,83,7817.28065855294,5619.232655895271,13436.51331444821,16.358767719108496,0.44686180222818594,False
2018,house,84,8020.647781662834,6769.086513889816,14789.734295552651,8.462364791430828,0.6233903014513892,False
2018,house,85,6532.468949747161,9304.18997539737,15836.658925144531,-17.501930418223704,0.4076855796809137,False
2018,house,86,6347.138182362061,15344.0643167887,21691.20249915076,-41.47730461129981,0.130172683842614,False
2018,house,87,3510.8674309006537,15172.705851053526,18683.57328195418,-62.41760205161953,0.49339247028045813,False
2018,house,88,3963.1593622411233,10490.122058650692,14453.281420891815,-45.159036943507,0.49751268396644904,False
2018,house,89,7095.923069703127,10808.900166013318,17904.823235716445,-20.737301046924408,0.29962858905354206,False
2018,house,90,4273.258800708268,6903.5315470578535,11176.79034776612,-23.533346018924767,0.3955755566470556,False
2018,house,91,4604.014493336818,13560.471991985982,18164.4864853228,-49.307518304390975,0.3826073603931003,False
2018,house,92,4339.615046310647,14774.732607759744,19114.347654070392,-54.59311377140796,0.5650032630387233,False
2018,house,93,5283.680042158396,14488.20116523192,19771.881207390317,-46.553593087708144,0.2565730152447293,False
2018,house,94,5952.92245811601,21292.342028864783,27245.264486980792,-56.301232010717854,0.35660693689730205,False
2018,house,95,3402.9395326992067,14177.94186822208,17580.881400921287,-61.28818055139279,0.356606936897302,False
2018,house,96,5564.494990610727,15681.751726302478,21246.246716913207,-47.619030648071345,0.3560372218609601,False
2018,house,97,15833.765923905365,8091.003619518158,23924.76954342352,32.36295459537895,0.3535441368706559,False
2018,house,98,9433.430571686895,7516.836692047651,16950.267263734546,11.30716023422142,0.3535441368706559,False
2018,house,99,13588.842587669787,9707.320225833566,23296.162813503353,16.661638197284326,0.35354413687065583,False
2018,house,100,8732.195533862316,17313.801290221432,26045.996824083748,-32.947887594089046,0.35354413687065583,False
2018,house,101,7215.3884113770155,10967.482439358848,18182.870850735864,-20.63532243496073,0.35354413687065583,False
2018,house,102,5746.011742720643,13003.726684827114,18749.738427547756,-38.70835302663843,0.3535441368706559,False
2018,house,103,7126.528382912484,4757.38881417367,11883.917197086153,19.935678862856005,0.3535441368706559,False
2018,house,104,4326.016368219605,9665.30802029889,13991.324388518495,-38.1614456488536,0.35354413687065583,False
2018,house,105,5564.136568750655,11112.69216542474,16676.828734175397,-33.27104742224505,0.35354430503370626,False
2018,senate,1,16106.731735080135,33704.57055904573,49811.30229412587,-35.329007702014785,0.5975191586493147,False
2018,senate,2,21861.259856006527,34366.45963844033,56227.71949444685,-22.24027560582256,0.4931614005887818,False
2018,senate,3,21770.55497456008,51296.127782428244,73066.68275698833,-40.40907797342729,0.6410849433321175,False
2018,senate,4,9648.977439315204,42117.66084547098,51766.63828478618,-62.72125152793256,0.4544065637559368,False
2018,senate,5,17911.956819871964,48317.448337032925,66229.40515690489,-45.90935317194371,0.48933371669629033,False
2018,senate,6,21046.91544089609,36817.67353015579,57864.58897105188,-27.25459278238267,0.482047971140447,False
2018,senate,7,23846.351959921383,29962.643662881324,53808.99562280271,-11.366671375609235,0.4803418130783507,False
2018,senate,8,14299.251091676524,38138.71033721139,52437.96142888792,-45.46221591368307,0.6809237062538448,False
2018,senate,9,5800.390653884115,17817.899645872334,23618.29029975645,-50.88221390907429,0.5680133565735795,False
2018,senate,10,15464.11429037447,38497.72671056551,53961.84100093998,-42.685001091400515,0.39579544256687144,False
2018,senate,11,20531.386575094577,50994.568205405696,71525.95478050027,-42.59038795608798,0.6542534869233533,False
2018,senate,12,16652.030658141015,32134.901160674683,48786.9318188157,-31.73569217271904,0.7316366747600387,False
2018,senate,13,15866.563113445953,30357.83873575837,46224.401849204325,-31.349839138182077,0.4939036115475651,False
2018,senate,14,11154.900902472316,35743.03857003398,46897.9394725063,-52.42903620952547,0.3833306784538359,False
2018,senate,15,8998.941420901045,29972.830885396943,38971.772306297986,-53.81815663822515,0.30706220698728953,False
2018,senate,16,3253.236299775354,12925.518778521599,16178.755078296952,-59.78384883099666,0.25698838650246203,False
2018,senate,17,27770.285080898153,65871.2161463367,93641.50122723484,-40.688082277729656,0.5573139699097248,False
2018,senate,18,53511.57278892086,36756.777744833795,90268.35053375465,18.561095827071558,0.6753912410370921,False
2018,senate,19,46594.973613969545,33873.83664158492,80468.81025555448,15.808779739609147,0.675391245782309,False
2018,senate,20,29608.321356255266,19289.625918182835,48897.947274438106,21.102512504582442,0.6753912457823089,False
2018,senate,21,19656.169028230477,32609.336360690846,52265.50538892132,-24.78339630712925,0.722244877750741,False
2018,senate,22,19462.731700311568,36729.828667929585,56192.56036824115,-30.728439591403664,0.5056200968936232,False
2018,senate,23,34962.04311017951,19375.67492052971,54337.71803070922,28.684252402430833,0.4713647679837802,False
2018,senate,24,30693.027898075117,24827.634973958484,55520.6628720336,10.564342392012577,0.6026532871361624,False
2018,senate,25,19491.010557317106,24579.287644345473,44070.298201662576,-11.54581950806135,0.6606137727812008,False
2018,senate,26,48263.0935571558,26631.25119440666,74894.34475156246,28.883145228796266,0.7513237417870332,False
2018,senate,27,26506.836604375418,41929.63207991564,68436.46868429106,-22.535931166595066,0.7111773806041047,False
2018,senate,28,28975.306076330446,21110.39515460524,50085.70123093569,15.702906674824396,0.4690373440257957,False
2018,senate,29,15255.107244810695,42574.314734980304,57829.421979791,-47.24101772920461,0.2803967757005014,False
2018,senate,30,16001.035379921677,42411.88135336305,58412.91673328473,-45.21405101894527,0.589222848903255,False
2018,senate,31,15874.267033969993,40335.88561263628,56210.15264660627,-43.518150061709854,0.4073984948437355,False
2018,senate,32,14744.435562086812,53085.10836004831,67829.54392213513,-56.52503405002198,0.35660693689730205,False
2018,senate,33,40670.16652345102,19397.97154870376,60068.13807215478,35.413441563969855,0.3535441368706559,False
2018,senate,34,21507.855218471785,43151.735608114315,64659.5908265861,-33.47358081446938,0.3535441368706559,False
2018,senate,35,16582.198433852012,32343.98794993825,48926.186383790264,-32.21544673939328,0.35354419419019373,False
