state,election_year,status,download_count,discovered_link_count,archive_url
SC,1994,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,1996,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,1998,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,2000,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,2002,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,2004,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,2006,downloaded_unknown_granularity,1,0,https://scvotes.gov/elections-statistics/election-results/
SC,2008,downloaded_precinct,46,46,https://scvotes.gov/elections-statistics/election-results/
SC,2010,downloaded_precinct,46,46,https://scvotes.gov/elections-statistics/election-results/
SC,2012,downloaded_precinct,46,46,https://scvotes.gov/elections-statistics/election-results/
SC,2014,downloaded_precinct,46,46,https://scvotes.gov/elections-statistics/election-results/
SC,2016,downloaded_precinct,46,46,https://scvotes.gov/elections-statistics/election-results/
TN,1994,not_found_on_archive,0,0,https://sos.tn.gov/elections/results
TN,1996,not_found_on_archive,0,0,https://sos.tn.gov/elections/results
TN,1998,downloaded_precinct,5,5,https://sos.tn.gov/elections/results
TN,2000,downloaded_precinct,5,5,https://sos.tn.gov/elections/results
TN,2002,downloaded_precinct,6,6,https://sos.tn.gov/elections/results
TN,2004,downloaded_precinct,4,4,https://sos.tn.gov/elections/results
TN,2006,downloaded_precinct,8,8,https://sos.tn.gov/elections/results
TN,2008,downloaded_precinct,1,1,https://sos.tn.gov/elections/results
TN,2010,downloaded_precinct,1,1,https://sos.tn.gov/elections/results
TN,2012,downloaded_precinct,1,1,https://sos.tn.gov/elections/results
TN,2014,downloaded_precinct,2,2,https://sos.tn.gov/elections/results
TN,2016,downloaded_precinct,2,2,https://sos.tn.gov/elections/results
VA,1995,not_found_on_archive,0,0,https://www.elections.virginia.gov/resultsreports/election-results/
VA,1997,not_found_on_archive,0,0,https://www.elections.virginia.gov/resultsreports/election-results/
VA,1999,not_found_on_archive,0,0,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2001,not_found_on_archive,0,0,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2003,not_found_on_archive,0,0,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2005,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2007,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2009,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2011,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2013,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
VA,2015,downloaded_precinct,1,1,https://www.elections.virginia.gov/resultsreports/election-results/
