source_file_id,parser_name,input_candidate_rows,output_candidate_rows,input_votes,output_votes,vote_delta,reconciliation_status,note
SRC-241A2E45C13B1D1C9ADC,south_carolina_detail_zip,26,26,212309,212309,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-2C846C3EBBF8A891FE18,south_carolina_detail_zip,32,32,210417,210417,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-394BE7B9A075BF296F8B,south_carolina_detail_zip,24,24,96986,96986,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-39BF44E99A04F7FD155A,south_carolina_detail_zip,22,22,146061,146061,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-3F3B47C778B677ECD807,south_carolina_detail_zip,25,25,77820,77820,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-43129541B97D49AD1956,south_carolina_detail_zip,24,24,65552,65552,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-4383341F800FABB67207,south_carolina_detail_zip,17,17,18975,18975,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-475AE3313915D82EB69C,south_carolina_detail_zip,25,25,138621,138621,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-4A11146C2D2174EF69D0,south_carolina_detail_zip,61,61,692683,692683,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-4C81AACACF4260D79C28,south_carolina_detail_zip,24,24,127391,127391,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-52FBAF43327EF4404F85,south_carolina_detail_zip,20,20,60579,60579,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-53DA2617DD9AD5976387,south_carolina_detail_zip,20,20,42408,42408,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-5AA2E7D8EE1ED73A1079,south_carolina_detail_zip,50,50,761144,761144,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-61311618B95FF9E9ABAE,south_carolina_detail_zip,58,58,877166,877166,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-64857A252F413972F606,south_carolina_detail_zip,16,16,39875,39875,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-6D5385F860FBACA36422,south_carolina_detail_zip,45,45,516909,516909,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-7F05389BBD70596B6CAC,south_carolina_detail_zip,23,23,63629,63629,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-8220703502E307856779,south_carolina_detail_zip,36,36,271759,271759,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-8255B0A4398C8974CAD3,south_carolina_detail_zip,21,21,76079,76079,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-876464CE2604C70F8FD3,south_carolina_detail_zip,24,24,139669,139669,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-88DEA3A902BB7793EBF3,south_carolina_detail_zip,29,29,187483,187483,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-8A703B24478BDDF764F0,south_carolina_detail_zip,19,19,56510,56510,0,exact,Fixed-width county totals; party labels are absent from the provider export
