state,cycle,chamber,district,party,candidate,provider_candidate,provider_identity,candidate_filer_id,campaign_id,match_score,match_margin,candidates_considered,match_status,event_target,committee_names,committee_name,source_path,registration_cycle,source_reported_total,match_method,adjudication_id,record_count,total_contributions
FL,2016,house,31,R,"sullivan, jennifer",Jennifer Sullivan,house|31|JENNIFER SULLIVAN|R,,,100.0,91.30434782608695,2,accepted_automatic,,,,,,,,,,
FL,2016,house,32,R,"metz, larry",Larry Metz,house|32|LARRY METZ|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,33,R,"hahnfeldt, don",Don Hahnfeldt,house|33|DON HAHNFELDT|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,34,R,"massullo, ralph, jr",Ralph Massullo Jr.,house|34|RALPH MASSULLO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,35,D,"gutierrez, ramon j",Ramon J. Gutierrez,house|35|RAMON J GUTIERREZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,35,R,"ingoglia, blaise",Blaise Ingoglia,house|35|BLAISE INGOGLIA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,36,D,"murphy, amanda",Amanda Murphy,house|36|AMANDA MURPHY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,36,R,"mariano, amber",Amber Mariano,house|36|AMBER MARIANO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,37,R,"corcoran, richard",Richard Corcoran,house|37|RICHARD CORCORAN|R,,,100.0,65.71428571428572,2,accepted_automatic,,,,,,,,,,
FL,2016,house,38,R,"burgess, danny",Danny Burgess,house|38|DANNY BURGESS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,39,D,"sims, victor",Victor Sims,house|39|VICTOR SIMS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,39,R,"combee, neil",Neil Combee,house|39|NEIL COMBEE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,40,D,"terrell, shandale",Shandale Terrell,house|40|SHANDALE TERRELL|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,40,R,"burton, colleen",Colleen Burton,house|40|COLLEEN BURTON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,41,D,"doyel, bob",Bob Doyel,house|41|BOB DOYEL|D,,,100.0,73.91304347826087,2,accepted_automatic,,,,,,,,,,
FL,2016,house,41,R,"killebrew, sam",Sam Killebrew,house|41|SAM KILLEBREW|R,,,100.0,64.28571428571429,3,accepted_automatic,,,,,,,,,,
FL,2016,house,42,D,"valentin, benny",Benny Valentin,house|42|BENNY VALENTIN|D,,,100.0,50.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,42,R,"larosa, mike",Mike La Rosa,house|42|MIKE LA ROSA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,43,D,"cortes, john",John Cortes,house|43|JOHN CORTES|D,,,100.0,65.21739130434783,3,accepted_automatic,,,,,,,,,,
FL,2016,house,44,R,"eisnaugle, eric e",Eric Eisnaugle,house|44|ERIC EISNAUGLE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,45,D,"brown, kamia l",Kamia Brown,house|45|KAMIA BROWN|D,,,100.0,51.72413793103448,5,accepted_automatic,,,,,,,,,,
FL,2016,house,46,D,"antone, bruce h",Bruce Antone,house|46|BRUCE ANTONE|D,,,100.0,69.23076923076923,2,accepted_automatic,,,,,,,,,,
FL,2016,house,47,D,"tuura, beth",Beth Tuura,house|47|BETH TUURA|D,,,100.0,66.66666666666667,3,accepted_automatic,,,,,,,,,,
FL,2016,house,47,R,"miller, mike",Mike Miller,house|47|MIKE MILLER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,48,D,"mercado, amy",Amy Mercado,house|48|AMY MERCADO|D,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,49,D,"smith, carlos g",Carlos Guillermo Smith,house|49|CARLOS GUILLERMO SMITH|D,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,50,D,"ashby, sean",Sean Ashby,house|50|SEAN ASHBY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,50,R,"plasencia, rene p (coachp)","Rene ""Coach P"" Plasencia",house|50|RENE COACH P PLASENCIA|R,,,100.0,60.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,51,D,"blake, mike",Mike Blake,house|51|MIKE BLAKE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,51,R,"goodson, tom",Tom Goodson,house|51|TOM GOODSON|R,,,100.0,72.72727272727273,2,accepted_automatic,,,,,,,,,,
FL,2016,house,52,R,"altman, thad",Thad Altman,house|52|THAD ALTMAN|R,,,100.0,58.333333333333336,4,accepted_automatic,,,,,,,,,,
FL,2016,house,53,D,"kearns, david a",David Anthony Kearns,house|53|DAVID ANTHONY KEARNS|D,,,100.0,65.51724137931035,2,accepted_automatic,,,,,,,,,,
FL,2016,house,53,R,"fine, randy",Randy Fine,house|53|RANDY FINE|R,,,100.0,44.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,54,R,"grall, erin",Erin Grall,house|54|ERIN GRALL|R,,,100.0,60.0,4,accepted_automatic,,,,,,,,,,
FL,2016,house,55,R,"pigman, cary",Cary Pigman,house|55|CARY PIGMAN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,56,D,"poulin, david c",David C. Poulin,house|56|DAVID C POULIN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,56,R,"albritton, ben",Ben Albritton,house|56|BEN ALBRITTON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,57,R,"raburn, jake",Jake Raburn,house|57|JAKE RABURN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,58,D,"vazquezfigueroa, jose n",Jose N. Vazquez Figueroa,house|58|JOSE N VAZQUEZ FIGUEROA|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,58,R,"raulerson, daniel d",Daniel D. Raulerson,house|58|DANIEL D RAULERSON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,59,D,"frazier, rena",Rena Frazier,house|59|RENA FRAZIER|D,,,100.0,57.142857142857146,2,accepted_automatic,,,,,,,,,,
FL,2016,house,59,R,"spano, ross",Ross Spano,house|59|ROSS SPANO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,60,D,"singer, david",David Singer,house|60|DAVID SINGER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,60,R,"toledo, jackie",Jackie Toledo,house|60|JACKIE TOLEDO|R,,,100.0,75.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,61,D,"shaw, sean",Sean Shaw,house|61|SEAN SHAW|D,,,100.0,50.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,62,D,"cruz, janet",Janet Cruz,house|62|JANET CRUZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,63,D,"montelione, lisa j",Lisa J. Montelione,house|63|LISA J MONTELIONE|D,,,100.0,70.37037037037037,2,accepted_automatic,,,,,,,,,,
FL,2016,house,63,R,"harrison, shawn",Shawn Harrison,house|63|SHAWN HARRISON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,64,R,"grant, james",James Grant,house|64|JAMES GRANT|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,65,D,"fensterwald, bernard (bernie)","Bernard ""Bernie"" Fensterwald",house|65|BERNARD BERNIE FENSTERWALD|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,65,R,"sprowls, chris",Chris Sprowls,house|65|CHRIS SPROWLS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,66,D,"grizzle, lorena",Lorena Grizzle,house|66|LORENA GRIZZLE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,66,R,"ahern, larry",Larry Ahern,house|66|LARRY AHERN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,67,D,"vogel, david s",David S. Vogel,house|67|DAVID S VOGEL|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,67,R,"latvala, chris",Chris Latvala,house|67|CHRIS LATVALA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,68,D,"diamond, ben",Ben Diamond,house|68|BEN DIAMOND|D,,,100.0,62.5,3,accepted_automatic,,,,,,,,,,
FL,2016,house,68,R,"bensmihen, joseph (jb)",Joseph JB Bensmihen,house|68|JOSEPH JB BENSMIHEN|R,,,100.0,52.94117647058824,2,accepted_automatic,,,,,,,,,,
FL,2016,house,69,D,"webb, jennifer n",Jennifer N. Webb,house|69|JENNIFER N WEBB|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,69,R,"peters, kathleen",Kathleen Peters,house|69|KATHLEEN PETERS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,70,D,"newton, wengay n (newt)","Wengay ""Newt"" Newton",house|70|WENGAY NEWT NEWTON|D,,,100.0,70.37037037037038,3,accepted_automatic,,,,,,,,,,
FL,2016,house,70,R,"fournier, cori",Cori Fournier,house|70|CORI FOURNIER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,71,R,"boyd, jim",Jim Boyd,house|71|JIM BOYD|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,72,D,"james, edward",Edward James III,house|72|EDWARD JAMES|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,72,R,"miller, alexandra (alex)","Alexandra ""Alex"" Miller",house|72|ALEXANDRA ALEX MILLER|R,,,100.0,70.37037037037038,3,accepted_automatic,,,,,,,,,,
FL,2016,house,73,D,"golden, james t",James T. Golden,house|73|JAMES T GOLDEN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,73,R,"gruters, joe",Joe Gruters,house|73|JOE GRUTERS|R,,,100.0,65.21739130434783,2,accepted_automatic,,,,,,,,,,
FL,2016,house,74,D,"lopez, manny",Manny Lopez,house|74|MANNY LOPEZ|D,,,100.0,75.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,74,R,"gonzalez, julio",Julio Gonzalez,house|74|JULIO GONZALEZ|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,75,R,"grant, michael j",Michael Grant,house|75|MICHAEL GRANT|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,76,R,"rodrigues, ray",Ray Rodrigues,house|76|RAY RODRIGUES|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,77,R,"eagle, dane",Dane Eagle,house|77|DANE EAGLE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,78,R,"fitzenhagen, heather d",Heather D. Fitzenhagen,house|78|HEATHER D FITZENHAGEN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,79,D,"scott, john w",John W. Scott,house|79|JOHN W SCOTT|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,79,R,"caldwell, matt",Matt Caldwell,house|79|MATT CALDWELL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,80,R,"donalds, byron",Byron Donalds,house|80|BYRON DONALDS|R,,,100.0,63.63636363636363,2,accepted_automatic,,,,,,,,,,
FL,2016,house,81,D,"abruzzo, joseph",Joseph Abruzzo,house|81|JOSEPH ABRUZZO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,82,D,"higgins, mary w",Mary W. Higgins,house|82|MARY W HIGGINS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,82,R,"magar, marylynn",Mary Lynn Magar,house|82|MARY LYNN MAGAR|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,83,D,"lucas, crystal",Crystal Lucas,house|83|CRYSTAL LUCAS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,83,R,"harrell, gayle",Gayle Harrell,house|83|GAYLE HARRELL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,84,D,"lee, larry, jr",Larry Lee Jr.,house|84|LARRY LEE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,85,D,"simeone, robert",Robert Simeone,house|85|ROBERT SIMEONE|D,,,100.0,65.0,2,accepted_automatic,,,,,,,,,,
FL,2016,house,85,R,"roth, rick",Rick Roth,house|85|RICK ROTH|R,,,100.0,44.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,86,D,"willhite, matt",Matt Willhite,house|86|MATT WILLHITE|D,,,100.0,70.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,86,R,"bennett, laurel s",Laurel S. Bennett,house|86|LAUREL S BENNETT|R,,,100.0,66.66666666666667,2,accepted_automatic,,,,,,,,,,
FL,2016,house,87,D,"silvers, david r",David Silvers,house|87|DAVID SILVERS|D,,,100.0,33.33333333333333,4,accepted_automatic,,,,,,,,,,
FL,2016,house,88,D,"jacquet, al",Al Jacquet,house|88|AL JACQUET|D,,,100.0,70.0,3,accepted_automatic,,,,,,,,,,
FL,2016,house,89,R,"hager, bill",Bill Hager,house|89|BILL HAGER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,90,D,"berman, lori",Lori Berman,house|90|LORI BERMAN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,91,D,"slosberg, emily a",Emily Slosberg,house|91|EMILY SLOSBERG|D,,,100.0,53.333333333333336,2,accepted_automatic,,,,,,,,,,
FL,2016,house,92,D,"hawkinswilliams, patricia",Patricia Hawkins-Williams,house|92|PATRICIA HAWKINS WILLIAMS|D,,,100.0,64.1025641025641,5,accepted_automatic,,,,,,,,,,
FL,2016,house,93,D,"keechl, ken",Ken Keechl,house|93|KEN KEECHL|D,,,100.0,72.72727272727273,2,accepted_automatic,,,,,,,,,,
FL,2016,house,93,R,"moraitis, george",George Moraitis,house|93|GEORGE MORAITIS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,94,D,"dubose, bobby",Bobby DuBose,house|94|BOBBY DU BOSE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,95,D,"russell, barrington a",Barrington Anthony Russell,house|95|BARRINGTON ANTHONY RUSSELL|D,,,100.0,65.71428571428571,5,accepted_automatic,,,,,,,,,,
FL,2016,house,96,D,"jacobs, kristin",Kristin Jacobs,house|96|KRISTIN JACOBS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,97,D,"moskowitz, jared e",Jared E. Moskowitz,house|97|JARED E MOSKOWITZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,98,D,"edwards, katie a",Katie Edwards,house|98|KATIE EDWARDS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,99,D,"jenne, evan b",Evan Jenne,house|99|EVAN JENNE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,100,D,"geller, joseph s (joe)","Joseph S. ""Joe"" Geller",house|100|JOSEPH S JOE GELLER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,101,D,"jones, shevrin d (shev)","Shevrin ""Shev"""" Jones",house|101|SHEVRIN SHEV JONES|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,102,D,"pritchett, sharon",Sharon Pritchett,house|102|SHARON PRITCHETT|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,103,D,"petkovich, ivette g",Ivette Gonzalez Petkovich,house|103|IVETTE GONZALEZ PETKOVICH|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,103,R,"diaz, manny, jr",Manny Diaz Jr.,house|103|MANNY DIAZ|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,104,D,"stark, richard (rick)","Richard ""Rick"" Stark",house|104|RICHARD RICK STARK|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,104,R,"ganem, oscar",Oscar Ganem,house|104|OSCAR GANEM|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,105,D,"moreno, patricio",Patricio Moreno,house|105|PATRICIO MORENO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,105,R,"trujillo, carlos",Carlos Trujillo,house|105|CARLOS TRUJILLO|R,,,100.0,61.53846153846154,2,accepted_automatic,,,,,,,,,,
FL,2016,house,106,R,"rommel, bob",Bob Rommel,house|106|BOB ROMMEL|R,,,100.0,70.0,4,accepted_automatic,,,,,,,,,,
FL,2016,house,107,D,"watson, barbara a",Barbara A. Watson,house|107|BARBARA A WATSON|D,,,100.0,72.41379310344828,2,accepted_automatic,,,,,,,,,,
FL,2016,house,108,D,"hardemon, roy",Roy Hardemon,house|108|ROY HARDEMON|D,,,100.0,56.52173913043478,7,accepted_automatic,,,,,,,,,,
FL,2016,house,109,D,"stafford, cynthia a",Cynthia A. Stafford,house|109|CYNTHIA A STAFFORD|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,110,D,"puentes, carlos a",Carlos A. Puentes Sr,house|110|CARLOS A PUENTES|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,110,R,"oliva, jose",Jose Oliva,house|110|JOSE OLIVA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,111,D,"miyar, sevi",Sevi Miyar,house|111|SEVI MIYAR|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,111,R,"avila, bryan",Bryan Avila,house|111|BRYAN AVILA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,112,D,"duran, nicholas x",Nicholas X. Duran,house|112|NICHOLAS X DURAN|D,,,100.0,54.285714285714285,3,accepted_automatic,,,,,,,,,,
FL,2016,house,112,R,"palomino, rosa m (rosy)","Rosa Maria ""Rosy"" Palomino",house|112|ROSA MARIA ROSY PALOMINO|R,,,100.0,71.42857142857143,2,accepted_automatic,,,,,,,,,,
FL,2016,house,113,D,"richardson, david",David Richardson,house|113|DAVID RICHARDSON|D,,,100.0,53.333333333333336,3,accepted_automatic,,,,,,,,,,
FL,2016,house,113,R,"parker, jonathan h (jp)",Jonathan H. Parker,house|113|JONATHAN H PARKER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,114,D,"baez, daisy j",Daisy J. Baez,house|114|DAISY J BAEZ|D,,,100.0,72.41379310344827,2,accepted_automatic,,,,,,,,,,
FL,2016,house,114,R,"couriel, john d",John D. Couriel,house|114|JOHN D COURIEL|R,,,100.0,61.53846153846154,2,accepted_automatic,,,,,,,,,,
FL,2016,house,115,D,"solomon, jeffrey (doc)",Jeffrey Doc Solomon,house|115|JEFFREY DOC SOLOMON|D,,,100.0,67.74193548387096,2,accepted_automatic,,,,,,,,,,
FL,2016,house,115,R,"bileca, michael",Michael Bileca,house|115|MICHAEL BILECA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,116,D,"rassner, heath",Heath Rassner,house|116|HEATH RASSNER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,116,R,"diaz, jose f",Jose Felix Diaz,house|116|JOSE FELIX DIAZ|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,117,D,"mcghee, kionne l",Kionne L. McGhee,house|117|KIONNE L MC GHEE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,118,D,"asencio, robert",Robert Asencio,house|118|ROBERT ASENCIO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2016,house,118,R,"rivera, david",David Rivera,house|118|DAVID RIVERA|R,,,100.0,56.52173913043478,6,accepted_automatic,,,,,,,,,,
FL,2016,house,119,D,"villanueva, wendy",Wendy Villanueva,house|119|WENDY VILLANUEVA|D,,,100.0,65.51724137931035,2,accepted_automatic,,,,,,,,,,
