submission_number,affected_cases,affected_activity,affected_cycles,affected_counties,state,county,subjurisdiction,first_activity_date,last_activity_date,first_notice_date,last_notice_date,descriptions,activities,notice_count,entry_count,withdrawn,objected,precinct_candidate,precinct_terms,classification_status,priority_score,requested_materials,retrieval_status
98-1558,7,4470.0,1994,MOBILE,ALABAMA,MOBILE,PRICHARD,1998-06-17,1998-06-19,1998-06-19,1998-06-19,Precinct (consolidation); Polling place (consolidation),Additional information received,1,2,0,0,1,consolidation | polling place | precinct,keyword_candidate,6220.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2000-3517,14,2383.0,2002,DEKALB,ALABAMA,DE KALB,,2000-08-31,2000-08-31,2000-09-01,2000-09-01,Precinct (Consolidation); Polling place (Consolidation),Submission received; Expedited Consideration Requested,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,5883.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-1261,6,4364.0,1994|1998,LIMESTONE|LIMSTONE,ALABAMA,LIMESTONE,,1999-05-05,1999-05-05,1999-05-07,1999-05-07,Precinct (Consolidation); Polling place (Changed),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,5864.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
98-1490,7,2881.0,1994,TALADEGA,ALABAMA,TALLADEGA,,1998-04-10,1998-04-10,1998-04-14,1998-04-14,Precinct (consolidation); Polling place (consolidation),Submission received,1,1,0,0,1,consolidation | polling place | precinct,keyword_candidate,4631.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
98-1488,5,2716.0,1994,HOUSTON,ALABAMA,HOUSTON,,1998-04-13,1998-06-11,1998-04-14,1998-06-19,Precinct (realignment); Polling place (changed),Additional information received | Submission received,3,3,0,0,1,polling place | precinct | realignment,keyword_candidate,3966.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-1666,9,1634.0,1994|1998,ESCAMBIA,ALABAMA,ESCAMBIA,,1999-06-22,1999-08-16,1999-06-25,1999-08-20,Precinct (Realignment); Polling place (Changed),Additional information received | Submission received,2,2,0,0,1,polling place | precinct | realignment,keyword_candidate,3884.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-3862,9,1634.0,1994|1998,ESCAMBIA,ALABAMA,ESCAMBIA,,1999-12-20,2000-02-04,1999-12-23,2000-02-11,Precinct (Realignment); Polling place (Changed),Additional information received | Submission received,2,2,0,0,1,polling place | precinct | realignment,keyword_candidate,3884.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
2000-0156,4,1039.0,1994|1998,DALE,ALABAMA,DALE,,2000-01-14,2000-03-08,2000-01-21,2000-03-10,Precinct (Realignment),Additional information received | Submission received,2,2,0,0,1,precinct | realignment,keyword_candidate,2039.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
1999-2443,1,69.0,1994,BALDWIN,ALABAMA,BALDWIN,,1999-09-27,1999-09-30,1999-10-01,1999-10-08,Redistricting plan (Commission); Precinct (Realignment) | Redistricting plan; Precinct (Realignment),Additional information received,2,4,0,0,1,precinct | realignment,keyword_candidate,319.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
98-2385,1,69.0,1994,BALDWIN,ALABAMA,BALDWIN,,1998-07-14,1998-07-14,1998-07-17,1998-07-17,Precinct (realignment),Submission received,1,1,0,0,1,precinct | realignment,keyword_candidate,319.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
99-2443,1,69.0,1994,BALDWIN,ALABAMA,BALDWIN,,1999-08-23,1999-08-23,1999-08-27,1999-08-27,Redistricting plan; Precinct (Realignment),Submission received,1,1,0,0,1,precinct | realignment,keyword_candidate,319.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
98-1537,1,22.0,1994,LAMAR,ALABAMA,LAMAR,,1998-06-09,1998-06-09,1998-06-10,1998-06-10,Redistricting plan; Precinct (realignment),Additional information received,1,1,0,0,1,precinct | realignment,keyword_candidate,272.0,submission packet; county resolution; precinct list; map; legal boundary description; determination correspondence,underlying_packet_not_in_local_archive
