year,chamber,district,canonical_party,canonical_votes,canonical_name,canonical_source,person_id,canonical_candidate_id,incumbent,winner,votesmart_candidate_id,match_method,pct_dimensions_scored,pct_policies_scored,pct_response_items_scored,abortion_position,criminal_justice_position,economic_ideology,education_position,environment_position,government_reform_position,guns_position,healthcare_position,labor_position,social_ideology,immigration_position,pct_available,pct_composite_ideology,cycle,raw_overperformance,legislative_dem_margin,core_index_margin,war_eligible,candidate_margin_overperformance,ideology_v3_issue_count,ideology_v3_scored_issue_count,ideology_v3_evidence_records,ideology_v3_source_type_count,ideology_v3_max_conflict_ratio,ideology_v3_environment_resources,ideology_v3_institutional_reform,ideology_v3_labor_capital,ideology_v3_market_government_direction,ideology_v3_material_support,ideology_v3_order_justice,ideology_v3_social_liberty_equality,ideology_v3_available,ideology_v3_scored_family_count,ideology_v3_model_eligible,cycle_race,contest_status,core_index_margin_race,prior_presidential_year,prior_pres_dem_margin,nonwhite_share,white_college_share,ideal_point,chamber_percentile,distance_from_caucus_median,party_loyalty_rate,cross_party_voting_rate,votes_used,issue__abortion_access,issue__anti_discrimination,issue__business_subsidy,issue__childcare_support,issue__civil_social_liberty,issue__criminal_punishment,issue__education_access,issue__education_accountability,issue__education_market_choice,issue__education_public_funding,issue__environmental_protection,issue__government_ethics_transparency,issue__gun_access,issue__gun_purchase_regulation,issue__healthcare_access,issue__labor_capital_alignment,issue__labor_rights,issue__market_governance,issue__marriage_equality,issue__public_employee_compensation,issue__public_spending,issue__racial_civil_rights,issue__religion_state,issue__renewable_energy_support,issue__tax_burden,issue__voting_access,issue__welfare_conditionality,issue__welfare_generosity,cluster_id,cluster_distance,ideology_map_x,ideology_map_y,expected_cmo_total_oof,candidate_cmo_total_oof,candidate_cmo_resource_adjusted_oof,candidate_cmo_fundraising_adjusted_oof,high_raw_overperformance,unopposed_democrat,republican_top_ticket_district,republican_presidential_district,cluster_label,selection_group
2006,senate,30,D,18907.0,"""WALKING"" WENDELL MITCHELL",alabama_sos,ALPERSON-WALKING-WENDELL-MITCHELL,AL-2006-senate-30-D-WALKING-WENDELL-MITCHELL,0,1,5610.0,same_race_party,,,,,,,,,,,,,,,False,,2006,46.18393229442541,20.969960651332418,-25.213971643092982,True,46.18393229442541,4.0,3.0,4.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-25.213971643092982,2004.0,-43.58938382242154,0.3199876111123312,0.1904855768275532,,,,,,,,,,,,,,,,,,,0.9000000000000001,,,-1.0,,0.0,,,,,,,,,,,2,3.8040583597350195,2.902741918513161,-0.6273223913632682,-14.375412179328556,60.55934447375395,26.69889225579177,26.614272835405018,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,senate,31,D,16900.0,JIMMY W. HOLLEY,alabama_sos,ALPERSON-JIMMY-W-HOLLEY,AL-2006-senate-31-D-JIMMY-W-HOLLEY,0,1,16030.0,same_race_party,,,,,,,,,,,,,,,False,,2006,46.13785787541346,10.511688736308647,-35.62616913910481,True,46.13785787541346,3.0,3.0,4.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-35.62616913910481,2004.0,-51.25036996694578,0.2674986719755848,0.1645205034339892,,,,,,,,,,,,,,,,,,,0.95,,,-1.0,,-0.2,,,,,,,,,,,2,3.853859250317493,2.804053228713278,-1.5709294686496822,-11.624200827840973,57.76205870325443,25.24494898675456,23.873094767150373,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,senate,3,D,26359.0,"Roberts, Tommy Ed",alabama_sos,ALPERSON-ROBERTS-TOMMY-ED,AL-2002-senate-3-D-ROBERTS-TOMMY-ED,0,1,5614.0,same_race_party,,,,,,,,,,,,,,,False,,2002,46.11998482487349,25.256605208135337,-20.86337961673816,True,46.11998482487349,12.0,12.0,15.0,1.0,0.0,,,,,,,,True,0,False,2002,contested_two_party,-20.863379616738158,2000.0,-22.36763658761328,0.1873517796703735,0.2344996022833632,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,-1.0,,1.0,,,-0.8200000000000001,,1.0,,,1.0,,-1.0,,,,1,4.182413007440695,-0.6762375010538944,-0.7739049326908879,2.495743029124881,43.62424179574862,34.36826565093267,33.02425404093245,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
2006,house,6,D,7202.0,SUE SCHMITZ,alabama_sos,ALPERSON-SUE-SCHMITZ,AL-2006-house-6-D-SUE-SCHMITZ,0,1,16097.0,same_race_party,,,,,,,,,,,,,,,False,,2006,45.293705464898885,29.044974018993013,-16.24873144590587,True,45.293705464898885,3.0,3.0,3.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-16.24873144590587,2004.0,-16.238158311715715,0.3331852573305462,0.278455468203099,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,-0.4,,,,,,,,,,,2,5.759468986328762,2.35091397897365,-2.1332088239043623,3.996565858054071,41.297139606844816,29.36212573873885,29.0944521471017,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,house,91,D,7984.0,"Spicer, Terry",alabama_sos,ALPERSON-SPICER-TERRY,AL-2002-house-91-D-SPICER-TERRY,0,1,15991.0,same_race_party,,,,,,,,,,,,,,,False,,2002,45.02571977439415,24.27426258852829,-20.751457185865853,True,45.02571977439415,12.0,10.0,39.0,1.0,1.0,,,,,,,-0.75,True,1,False,2002,contested_two_party,-20.751457185865853,2000.0,-31.12547829528961,0.2408630696542515,0.21661340858406,,,,,,,-1.0,,1.0,,-1.0,1.0,,,,0.0,,,-1.0,,1.0,,,,,1.0,,1.0,1.0,,0.0909090909090909,1.0,,,2,3.8469559545867575,0.994590433994968,0.5310393177040587,-6.374021109423758,51.3997408838179,26.844690676893848,27.16540948485665,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2010,house,39,D,7808.0,RICHARD LINDSEY,alabama_sos,ALPERSON-RICHARD-LINDSEY,AL-2010-house-39-D-RICHARD-LINDSEY,1,1,5675.0,same_race_party,,,,,,,,,,,,,,,False,,2010,44.86397663397608,14.152046783625732,-30.711929850350348,True,44.86397663397608,12.0,10.0,34.0,1.0,0.8,,,,,,,,True,0,False,2010,contested_two_party,-30.711929850350348,,,0.1055333591098509,0.1009600808489135,-0.6200186524076622,45.63106796116505,0.2398149166178439,0.9142857142857144,0.0,35.0,,,,,,0.7142857142857143,,,,1.0,,1.0,1.0,,1.0,,,0.12,,1.0,,,,,-0.1111111111111111,1.0,,,2,4.767677051299558,0.3317721591099435,1.854503616912279,-21.3444199949105,66.20839662888658,30.419970676216064,29.536297258951123,True,False,True,False,Crossover/traditionalist bloc,high_raw_overperformance
2014,house,18,D,6700.0,Johnny MacK Morrow,official_consolidated_candidate_results,ALPERSON-JOHNNY-MACK-MORROW,AL-2014-house-18-D-JOHNNY-MACK-MORROW,1,1,5688.0,same_race_party,,,,,,,,,,,,,,,False,,2014,43.98475640422987,19.0158983923972,-24.96885801183268,True,43.98475640422987,5.0,4.0,5.0,1.0,0.0,,,,,,,,True,0,False,2014,contested_two_party,-24.96885801183268,,,0.1899286016148046,0.1326818339835451,-1.0391150062968162,29.629629629629623,0.2776305675756769,0.7253521126760564,0.2767295597484276,284.0,,,,,,,,,-1.0,1.0,,,1.0,,,,,-0.1,,,,,-1.0,,,,,,2,5.518734424944012,3.033092419496927,1.9861703835361648,-8.047805777889202,52.03256218211908,29.67000055177719,23.16617270393036,True,False,True,False,Crossover/traditionalist bloc,high_raw_overperformance
1998,house,81,D,10313.0,Graham,alabama_sos,ALPERSON-GRAHAM,AL-1998-house-81-D-GRAHAM,0,1,5649.0,same_race_party,,,,,,,,,,,,,,,False,,1998,43.64203336804648,46.9506982046167,3.3086648365702187,True,43.64203336804648,8.0,8.0,10.0,2.0,0.0,,,,,,,,True,0,False,1998,contested_two_party,3.3086648365702187,1996.0,-11.359322528836326,0.2670514469538179,0.1389322277780621,,,,,,,,,,,-1.0,1.0,,,,1.0,,,,,1.0,,,-1.0,,1.0,,,1.0,,1.0,,,,2,2.9635523390950707,2.3879897424207206,1.2388049526366678,-10.667987365406546,54.31002073345303,31.6200130179482,31.788788286661543,True,False,False,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,house,13,D,7298.0,TOMMY SHERER,alabama_sos,ALPERSON-TOMMY-SHERER,AL-2006-house-13-D-TOMMY-SHERER,0,1,27480.0,same_race_party,9.0,55.0,57.0,1.0,0.5555555555555556,0.1578947368421052,-0.4375,0.0,,-1.0,-0.3333333333333333,-1.0,0.1428571428571428,,True,-0.1016139886753922,2006,43.33443619057589,39.00952380952381,-4.324912381052083,True,43.33443619057589,19.0,15.0,52.0,2.0,0.75,,,,,0.5833333333333334,,-0.4,True,2,True,2006,contested_two_party,-4.324912381052083,2004.0,-62.07222935027238,0.0882136254196219,0.1137068425701401,,,,,,,-1.0,-1.0,,,0.5,0.5555555555555556,,1.0,,0.75,0.0,,-1.0,1.0,0.3333333333333333,1.0,,1.0,-1.0,,,,1.0,1.0,-0.35,,1.0,0.8333333333333334,1,4.122519458242262,-1.1203887020592713,-2.1352146227601887,-53.7473169692203,97.0817531597962,18.66402435675144,19.227931627473453,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
2006,senate,27,D,16012.0,T. D. (TED) LITTLE,alabama_sos,ALPERSON-T-D-TED-LITTLE,AL-2006-senate-27-D-T-D-TED-LITTLE,0,1,5608.0,same_race_party,7.0,52.0,53.0,0.0,0.5555555555555556,0.2105263157894736,-0.25,-0.1666666666666666,,,-0.375,,0.2,,True,0.0249164578111946,2006,40.81119973151618,20.699532639831148,-20.11166709168504,True,40.81119973151618,17.0,15.0,50.0,2.0,1.0,,,,,0.5,,0.1111111111111111,True,2,True,2006,contested_two_party,-20.11166709168504,2004.0,-29.42644731782594,0.2759635948764792,0.2420641336049184,,,,,,,0.0,,,,0.5,0.5555555555555556,,1.0,,1.0,0.5,,1.0,,0.375,,,0.3333333333333333,-1.0,,,,1.0,1.0,-0.2,,1.0,0.6666666666666666,1,4.01918054754991,-0.8839640651189442,-1.610593116737094,-5.3147802261409005,46.12597995765709,21.69919350612804,21.128243644401657,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
2006,house,91,D,6787.0,TERRY SPICER,alabama_sos,ALPERSON-TERRY-SPICER,AL-2006-house-91-D-TERRY-SPICER,0,1,15991.0,same_race_party,,,,,,,,,,,,,,,False,,2006,40.61251472824456,2.8645043952712945,-37.74801033297326,True,40.61251472824456,12.0,11.0,38.0,2.0,0.65,,,,,,,-1.0,True,1,False,2006,contested_two_party,-37.74801033297326,2004.0,-48.79707411852106,0.2408630696542515,0.21661340858406,,,,,,,-1.0,,1.0,,-1.0,0.4,,,,,,1.0,-1.0,,1.0,,,-0.26,,1.0,,,1.0,,0.6666666666666666,,,,2,2.6558439112034895,0.8322119829853266,1.2107398369276834,-7.049063785547801,47.66157851379236,21.27807029809521,21.29670218680932,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
1998,house,8,D,8892.0,Dukes,alabama_sos,ALPERSON-DUKES,AL-1998-house-8-D-DUKES,0,1,5641.0,same_race_party,,,,,,,,,,,,,,,False,,1998,40.281064574846944,44.12837345003647,3.847308875189525,True,40.281064574846944,9.0,9.0,11.0,2.0,0.0,,,,,,,,True,0,False,1998,contested_two_party,3.847308875189525,1996.0,,0.1806253194264251,0.1657186974971238,,,,,,,,,,,-1.0,1.0,,,,1.0,,,1.0,,1.0,,,-1.0,,1.0,,,1.0,,1.0,,,,2,3.0392012303407383,2.3849963291587106,1.4376793371768863,4.0,36.281064574846944,45.40823568802847,43.7402521990982,True,False,False,False,Crossover/traditionalist bloc,high_raw_overperformance
1998,house,86,D,7116.0,Carothers,alabama_sos,ALPERSON-CAROTHERS,AL-1998-house-86-D-CAROTHERS,0,1,5631.0,same_race_party,9.0,57.0,59.0,0.2,0.55,0.1363636363636363,-0.125,0.4166666666666667,1.0,-0.3333333333333333,-0.8333333333333334,,-0.1111111111111111,,True,0.1000280583613916,1998,40.17057987115564,25.469452525786828,-14.70112734536881,True,40.17057987115564,23.0,20.0,70.0,3.0,0.8695652173913044,,,,,0.8888888888888888,,0.0,True,2,True,1998,contested_two_party,-14.70112734536881,1996.0,-34.56105137815415,0.2074602068682632,0.1229906538193781,,,,,,,-0.2,-1.0,,1.0,0.4285714285714285,0.6538461538461539,,1.0,,0.6666666666666666,-0.3,,-0.3333333333333333,,0.875,1.0,,0.6666666666666666,-1.0,1.0,1.0,,1.0,,1.0,-1.0,1.0,0.875,1,3.391879274329948,-1.4868671242988174,-1.0166266571713236,-15.859924032785337,56.030503903940975,25.296290094460687,25.48192002792248,True,False,True,True,Mainstream/progressive bloc,high_raw_overperformance
2006,senate,7,D,23582.0,PARKER GRIFFITH,alabama_sos,ALPERSON-PARKER-GRIFFITH,AL-2006-senate-7-D-PARKER-GRIFFITH,0,1,60357.0,same_race_party,,,,,,,,,,,,,,,False,,2006,40.11597113492631,31.025669518835425,-9.090301616090883,True,40.11597113492631,3.0,3.0,3.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-9.090301616090883,2004.0,-3.639123756042643,0.3818718725710309,0.317452815597653,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2,3.3138475337605415,0.3730733832945537,-0.5763744170809034,8.423520851500914,31.692450283425394,25.447743704382376,24.928548873244388,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2014,house,27,D,4856.0,Jeff McLaughlin,official_consolidated_candidate_results,ALPERSON-JEFF-MCLAUGHLIN,AL-2014-house-27-D-JEFF-MCLAUGHLIN,0,0,53380.0,same_race_party,,,,,,,,,,,,,,,False,,2014,39.99303494740549,-18.05602429969625,-58.04905924710175,True,39.99303494740549,5.0,4.0,5.0,1.0,0.0,,,,,,,,True,0,False,2014,contested_two_party,-58.04905924710175,,,0.0683775592525565,0.1858523436986391,,,,,,,,,,,,,,,,,,1.0,0.8400000000000001,,,,,0.12,,,1.0,,,,,,,,2,3.2149230805488314,0.6377940831691525,1.4709261677480918,0.1360379945529288,39.85699695285257,30.117808897385512,29.6436660021442,True,False,True,False,Crossover/traditionalist bloc,high_raw_overperformance
1998,house,17,D,9192.0,Millican,alabama_sos,ALPERSON-MILLICAN,AL-1998-house-17-D-MILLICAN,0,1,5683.0,same_race_party,,,,,,,,,,,,,,,False,,1998,39.84118389653459,42.89933929265449,3.0581553961199,True,39.84118389653459,9.0,9.0,11.0,2.0,0.0,,,,,,,,True,0,False,1998,contested_two_party,3.0581553961199,1996.0,-3.214365053288777,0.0279939132868289,0.0593673790027331,,,,,,,,,,,-1.0,1.0,,,,1.0,,,0.85,,1.0,,,-1.0,,1.0,,,1.0,,1.0,,,,2,2.804399798726076,2.416989998428201,1.657356286046573,-2.272520449408677,42.11370434594326,23.396769281354256,23.609294228649915,True,False,False,True,Crossover/traditionalist bloc,high_raw_overperformance
1998,senate,30,D,31647.0,Mitchell,alabama_sos,ALPERSON-MITCHELL,AL-1998-senate-30-D-MITCHELL,0,1,5610.0,same_race_party,,,,,,,,,,,,,,,False,,1998,39.441346765575815,38.70529453015428,-0.7360522354215415,True,39.441346765575815,3.0,3.0,4.0,1.0,0.0,,,,,,,,True,0,False,1998,contested_two_party,-0.7360522354215415,1996.0,-14.862280380879556,0.2858271154687423,0.1404685747318601,,,,,,,,,,,,,,,,,-1.0,,0.85,,,,,-0.26,,,,,,,,,,,2,4.214537996752599,2.9843441817489564,-0.15058099962573526,-10.126228145458017,49.56757491103384,29.815782107853128,29.83623965448893,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2002,house,22,D,7563.0,"Hall, Albert",alabama_sos,ALPERSON-HALL-ALBERT,AL-2002-house-22-D-HALL-ALBERT,0,1,5651.0,same_race_party,,,,,,,,,,,,,,,False,,2002,39.090819646860425,29.747812660833763,-9.34300698602666,True,39.090819646860425,11.0,9.0,26.0,1.0,1.0,,,,,,,-0.5,True,1,False,2002,contested_two_party,-9.34300698602666,2000.0,-18.51892235116157,0.1032182575093464,0.1650537522353154,,,,,,,-1.0,,,,-1.0,1.0,,,,0.0,,,-1.0,,1.0,,,-0.12,,1.0,,1.0,,,-0.7142857142857143,1.0,,,2,3.116402488716942,0.8878909516647912,-0.37367896299120035,-5.175915365134911,44.26673501199534,17.542163607058967,17.35172254982195,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,house,21,D,6063.0,RANDY HINSHAW,alabama_sos,ALPERSON-RANDY-HINSHAW,AL-2006-house-21-D-RANDY-HINSHAW,0,1,5661.0,same_race_party,,,,,,,,,,,,,,,False,,2006,37.38779286742569,22.18863361547763,-15.19915925194806,True,37.38779286742569,12.0,10.0,39.0,2.0,0.65,,,,,,,-1.0,True,1,False,2006,contested_two_party,-15.19915925194806,2004.0,-13.780648222604611,0.3574794289177669,0.2319545250645352,,,,,,,-1.0,,1.0,,-1.0,0.6363636363636364,,,,,,1.0,-1.0,,0.75,,,-0.12,,1.0,,,1.0,,1.0,,,,2,2.925861760765929,1.515021810883398,0.8299869386413539,5.418511029343449,31.96928183808224,19.89508255743187,18.77736670523649,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
2006,senate,9,D,20001.0,HINTON HITCHEM,alabama_sos,ALPERSON-HINTON-HITCHEM,AL-2006-senate-9-D-HINTON-HITCHEM,0,1,5611.0,same_race_party,,,,,,,,,,,,,,,False,,2006,37.20966149018633,7.025898972602739,-30.183762517583588,True,37.20966149018633,3.0,3.0,3.0,1.0,0.0,,,,,,,,True,0,False,2006,contested_two_party,-30.183762517583588,2004.0,-42.99619288162742,0.0818306568313208,0.2313488610098173,,,,,,,,,,,,,,,,,,,1.0,,,,,0.24,-1.0,,,,,,,,,,2,5.190655448806473,1.0287638891241122,-1.2010449309617646,-10.09636397040397,47.3060254605903,18.295964907906896,17.185972547547316,True,False,True,True,Crossover/traditionalist bloc,high_raw_overperformance
