result_id,source_file_id,year,office,county,candidate_name,normalized_name,party,votes,source_sheet
HSR-4EBCF8AF78DA2073CFCC,SRC-F8F06AC191F842EEA1D2,1990,Governor,Escambia,Guy Hunt,GUY HUNT,R,4292.0,Gen.90
HSR-9C7639E6CE93954BA438,SRC-F8F06AC191F842EEA1D2,1990,Governor,Etowah,Paul Hubbert,PAUL HUBBERT,D,16408.0,Gen.90
HSR-215FCC9262B88446E5AF,SRC-F8F06AC191F842EEA1D2,1990,Governor,Etowah,Guy Hunt,GUY HUNT,R,15992.0,Gen.90
HSR-AC2B34E554179C351237,SRC-F8F06AC191F842EEA1D2,1990,Governor,Fayette,Paul Hubbert,PAUL HUBBERT,D,4686.0,Gen.90
HSR-F46C8946CE6F1466CAC2,SRC-F8F06AC191F842EEA1D2,1990,Governor,Fayette,Guy Hunt,GUY HUNT,R,2648.0,Gen.90
HSR-BF8D2AE0C0BEC8E6DE20,SRC-F8F06AC191F842EEA1D2,1990,Governor,Franklin,Paul Hubbert,PAUL HUBBERT,D,4858.0,Gen.90
HSR-7601D41A1A26321BFC15,SRC-F8F06AC191F842EEA1D2,1990,Governor,Franklin,Guy Hunt,GUY HUNT,R,3752.0,Gen.90
HSR-0AFF80693707D607B7E3,SRC-F8F06AC191F842EEA1D2,1990,Governor,Geneva,Paul Hubbert,PAUL HUBBERT,D,3460.0,Gen.90
HSR-8EA76C6270DA19430688,SRC-F8F06AC191F842EEA1D2,1990,Governor,Geneva,Guy Hunt,GUY HUNT,R,4808.0,Gen.90
HSR-551E8474AEE10464DBA4,SRC-F8F06AC191F842EEA1D2,1990,Governor,Greene,Paul Hubbert,PAUL HUBBERT,D,3138.0,Gen.90
HSR-EACCDA3ED0F8895A7A4F,SRC-F8F06AC191F842EEA1D2,1990,Governor,Greene,Guy Hunt,GUY HUNT,R,963.0,Gen.90
HSR-F3A824F8730EDB2545B1,SRC-F8F06AC191F842EEA1D2,1990,Governor,Hale,Paul Hubbert,PAUL HUBBERT,D,3481.0,Gen.90
HSR-1EEEDBDC330AF6A1EC3E,SRC-F8F06AC191F842EEA1D2,1990,Governor,Hale,Guy Hunt,GUY HUNT,R,2121.0,Gen.90
HSR-63F91B28A4813ACDC258,SRC-F8F06AC191F842EEA1D2,1990,Governor,Henry,Paul Hubbert,PAUL HUBBERT,D,2607.0,Gen.90
HSR-70B71D2ACF3AA2302B33,SRC-F8F06AC191F842EEA1D2,1990,Governor,Henry,Guy Hunt,GUY HUNT,R,2894.0,Gen.90
HSR-CC28883187AB0093B78B,SRC-F8F06AC191F842EEA1D2,1990,Governor,Houston,Paul Hubbert,PAUL HUBBERT,D,7945.0,Gen.90
HSR-E7E4F956460ED9A12EA2,SRC-F8F06AC191F842EEA1D2,1990,Governor,Houston,Guy Hunt,GUY HUNT,R,14177.0,Gen.90
HSR-73DADB25FAAB0A6152BB,SRC-F8F06AC191F842EEA1D2,1990,Governor,Jackson,Paul Hubbert,PAUL HUBBERT,D,5865.0,Gen.90
HSR-CE452C1FCC9E77AB2788,SRC-F8F06AC191F842EEA1D2,1990,Governor,Jackson,Guy Hunt,GUY HUNT,R,4371.0,Gen.90
HSR-B2652403516625F03AA7,SRC-F8F06AC191F842EEA1D2,1990,Governor,Jefferson,Paul Hubbert,PAUL HUBBERT,D,95287.0,Gen.90
HSR-8B15390EB4C74276C9C1,SRC-F8F06AC191F842EEA1D2,1990,Governor,Jefferson,Guy Hunt,GUY HUNT,R,116034.0,Gen.90
HSR-FF36A5A81167546C3BB9,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lamar,Paul Hubbert,PAUL HUBBERT,D,3163.0,Gen.90
HSR-3BF3909F3462A2182F10,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lamar,Guy Hunt,GUY HUNT,R,2271.0,Gen.90
HSR-E7EBEAB8F456F95B8D23,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lauderdale,Paul Hubbert,PAUL HUBBERT,D,12089.0,Gen.90
HSR-189B768F7B475DB57D78,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lauderdale,Guy Hunt,GUY HUNT,R,9800.0,Gen.90
HSR-683326691D9ABA4A15D3,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lawrence,Paul Hubbert,PAUL HUBBERT,D,5294.0,Gen.90
HSR-FFAFCEBBE4590630E578,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lawrence,Guy Hunt,GUY HUNT,R,2984.0,Gen.90
HSR-5CA2CD95A73109F1954D,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lee,Paul Hubbert,PAUL HUBBERT,D,9964.0,Gen.90
HSR-C1C6D0BD3A9C47C14D39,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lee,Guy Hunt,GUY HUNT,R,9919.0,Gen.90
HSR-DDFCFE1C82A55F47CF41,SRC-F8F06AC191F842EEA1D2,1990,Governor,Limestone,Paul Hubbert,PAUL HUBBERT,D,6454.0,Gen.90
HSR-DA3B0FE49B31014C0257,SRC-F8F06AC191F842EEA1D2,1990,Governor,Limestone,Guy Hunt,GUY HUNT,R,7715.0,Gen.90
HSR-CD712020CBD6B946A735,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lowndes,Paul Hubbert,PAUL HUBBERT,D,3284.0,Gen.90
HSR-A6A41C9027E06E6ABB1C,SRC-F8F06AC191F842EEA1D2,1990,Governor,Lowndes,Guy Hunt,GUY HUNT,R,1243.0,Gen.90
HSR-A7EBDAC58F19870D350F,SRC-F8F06AC191F842EEA1D2,1990,Governor,Macon,Paul Hubbert,PAUL HUBBERT,D,6130.0,Gen.90
HSR-1CFB41D644BE3EE3374C,SRC-F8F06AC191F842EEA1D2,1990,Governor,Macon,Guy Hunt,GUY HUNT,R,1202.0,Gen.90
HSR-D172F44305C320621895,SRC-F8F06AC191F842EEA1D2,1990,Governor,Madison,Paul Hubbert,PAUL HUBBERT,D,27279.0,Gen.90
HSR-08A7427229050771546C,SRC-F8F06AC191F842EEA1D2,1990,Governor,Madison,Guy Hunt,GUY HUNT,R,44799.0,Gen.90
HSR-3D3516236C9E25AA3B6B,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marengo,Paul Hubbert,PAUL HUBBERT,D,4503.0,Gen.90
HSR-7A81DF20BC989150BAE3,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marengo,Guy Hunt,GUY HUNT,R,3649.0,Gen.90
HSR-60A2DE4B1CB1CAF6F79D,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marion,Paul Hubbert,PAUL HUBBERT,D,6219.0,Gen.90
HSR-94AF069AD278C0D63884,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marion,Guy Hunt,GUY HUNT,R,4342.0,Gen.90
HSR-B009749DA1974B7C927F,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marshall,Paul Hubbert,PAUL HUBBERT,D,7138.0,Gen.90
HSR-CC79FA99560C42810C93,SRC-F8F06AC191F842EEA1D2,1990,Governor,Marshall,Guy Hunt,GUY HUNT,R,11140.0,Gen.90
HSR-28BA2B000C1C56014918,SRC-F8F06AC191F842EEA1D2,1990,Governor,Mobile,Paul Hubbert,PAUL HUBBERT,D,48633.0,Gen.90
HSR-73A961614CD30A92481D,SRC-F8F06AC191F842EEA1D2,1990,Governor,Mobile,Guy Hunt,GUY HUNT,R,48132.0,Gen.90
HSR-41870551ADEA264BAFE5,SRC-F8F06AC191F842EEA1D2,1990,Governor,Monroe,Paul Hubbert,PAUL HUBBERT,D,3816.0,Gen.90
HSR-D7359F1A932A4750E3A6,SRC-F8F06AC191F842EEA1D2,1990,Governor,Monroe,Guy Hunt,GUY HUNT,R,3627.0,Gen.90
HSR-7487FF7AC4F6E27F7BFA,SRC-F8F06AC191F842EEA1D2,1990,Governor,Montgomery,Paul Hubbert,PAUL HUBBERT,D,35509.0,Gen.90
HSR-99305D984E062E416F2F,SRC-F8F06AC191F842EEA1D2,1990,Governor,Montgomery,Guy Hunt,GUY HUNT,R,34223.0,Gen.90
HSR-2D1DC25747F662BEA7B5,SRC-F8F06AC191F842EEA1D2,1990,Governor,Morgan,Paul Hubbert,PAUL HUBBERT,D,11930.0,Gen.90
HSR-70372D753D8C4D204B25,SRC-F8F06AC191F842EEA1D2,1990,Governor,Morgan,Guy Hunt,GUY HUNT,R,17707.0,Gen.90
HSR-36BF50212C84EA5B29AC,SRC-F8F06AC191F842EEA1D2,1990,Governor,Perry,Paul Hubbert,PAUL HUBBERT,D,3262.0,Gen.90
HSR-2FAB0D2058E3E24D0600,SRC-F8F06AC191F842EEA1D2,1990,Governor,Perry,Guy Hunt,GUY HUNT,R,1747.0,Gen.90
HSR-52C78258726E60825A11,SRC-F8F06AC191F842EEA1D2,1990,Governor,Pickens,Paul Hubbert,PAUL HUBBERT,D,3322.0,Gen.90
HSR-0EB4D959C78401C2F23E,SRC-F8F06AC191F842EEA1D2,1990,Governor,Pickens,Guy Hunt,GUY HUNT,R,2995.0,Gen.90
HSR-AE8B5E04C4F5F930B5CA,SRC-F8F06AC191F842EEA1D2,1990,Governor,Pike,Paul Hubbert,PAUL HUBBERT,D,4827.0,Gen.90
HSR-9AC61D25C8564B14FA8D,SRC-F8F06AC191F842EEA1D2,1990,Governor,Pike,Guy Hunt,GUY HUNT,R,4901.0,Gen.90
HSR-5189CF9262F750430906,SRC-F8F06AC191F842EEA1D2,1990,Governor,Randolph,Paul Hubbert,PAUL HUBBERT,D,3165.0,Gen.90
HSR-641470E4A0730BE51922,SRC-F8F06AC191F842EEA1D2,1990,Governor,Randolph,Guy Hunt,GUY HUNT,R,2969.0,Gen.90
HSR-B81D70F2BDF80045D92E,SRC-F8F06AC191F842EEA1D2,1990,Governor,Russell,Paul Hubbert,PAUL HUBBERT,D,5963.0,Gen.90
HSR-AE4E2C2D5F066908D1EB,SRC-F8F06AC191F842EEA1D2,1990,Governor,Russell,Guy Hunt,GUY HUNT,R,2613.0,Gen.90
HSR-91BA6F9D7261EA41C58A,SRC-F8F06AC191F842EEA1D2,1990,Governor,Shelby,Paul Hubbert,PAUL HUBBERT,D,8186.0,Gen.90
HSR-3336EF4D4B0CCB0D2388,SRC-F8F06AC191F842EEA1D2,1990,Governor,Shelby,Guy Hunt,GUY HUNT,R,22006.0,Gen.90
HSR-7E6766A3DDD41137866B,SRC-F8F06AC191F842EEA1D2,1990,Governor,St. Clair,Paul Hubbert,PAUL HUBBERT,D,5169.0,Gen.90
HSR-CDF8F577800B3BEC4C64,SRC-F8F06AC191F842EEA1D2,1990,Governor,St. Clair,Guy Hunt,GUY HUNT,R,9053.0,Gen.90
HSR-817A4E8EB791E54AC171,SRC-F8F06AC191F842EEA1D2,1990,Governor,Sumter,Paul Hubbert,PAUL HUBBERT,D,4007.0,Gen.90
HSR-825C01A4B67052A656E5,SRC-F8F06AC191F842EEA1D2,1990,Governor,Sumter,Guy Hunt,GUY HUNT,R,1386.0,Gen.90
HSR-61652D05C184F6B68BC6,SRC-F8F06AC191F842EEA1D2,1990,Governor,Talladega,Paul Hubbert,PAUL HUBBERT,D,9438.0,Gen.90
HSR-1DF5D065FCDD50D63ED7,SRC-F8F06AC191F842EEA1D2,1990,Governor,Talladega,Guy Hunt,GUY HUNT,R,10013.0,Gen.90
HSR-C31ABDF6EB9CF6FD34A1,SRC-F8F06AC191F842EEA1D2,1990,Governor,Tallapoosa,Paul Hubbert,PAUL HUBBERT,D,6227.0,Gen.90
HSR-DA0BB2DBB1A0E427EC8B,SRC-F8F06AC191F842EEA1D2,1990,Governor,Tallapoosa,Guy Hunt,GUY HUNT,R,7440.0,Gen.90
HSR-9DCEC048E1027CDFC3D1,SRC-F8F06AC191F842EEA1D2,1990,Governor,Tuscaloosa,Paul Hubbert,PAUL HUBBERT,D,19563.0,Gen.90
HSR-FF95E4864A6F2B666404,SRC-F8F06AC191F842EEA1D2,1990,Governor,Tuscaloosa,Guy Hunt,GUY HUNT,R,19669.0,Gen.90
HSR-BFC1B1534FB7F6B3EAB9,SRC-F8F06AC191F842EEA1D2,1990,Governor,Walker,Paul Hubbert,PAUL HUBBERT,D,12916.0,Gen.90
HSR-855484F2C908929903D8,SRC-F8F06AC191F842EEA1D2,1990,Governor,Walker,Guy Hunt,GUY HUNT,R,9121.0,Gen.90
HSR-965A5FD42BD007BDA983,SRC-F8F06AC191F842EEA1D2,1990,Governor,Washington,Paul Hubbert,PAUL HUBBERT,D,3746.0,Gen.90
HSR-A274EF2DF3E1BE4764C8,SRC-F8F06AC191F842EEA1D2,1990,Governor,Washington,Guy Hunt,GUY HUNT,R,2376.0,Gen.90
HSR-105B15396EBEE0EB1F53,SRC-F8F06AC191F842EEA1D2,1990,Governor,Wilcox,Paul Hubbert,PAUL HUBBERT,D,3385.0,Gen.90
HSR-15A552445BF2C7B9DD85,SRC-F8F06AC191F842EEA1D2,1990,Governor,Wilcox,Guy Hunt,GUY HUNT,R,1619.0,Gen.90
HSR-0A008C475FE5C1419F10,SRC-F8F06AC191F842EEA1D2,1990,Governor,Winston,Paul Hubbert,PAUL HUBBERT,D,3923.0,Gen.90
HSR-AB5EE6C127A685FC7046,SRC-F8F06AC191F842EEA1D2,1990,Governor,Winston,Guy Hunt,GUY HUNT,R,5467.0,Gen.90
HSR-79761874CF92C2F760A3,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Autauga,"Jim Folsom,Jr.",JAMES FOLSOM,D,7332.0,Gen.90
HSR-EF08CBE10090EC9FEB23,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Autauga,Bob McKee,ROBERT MCKEE,R,3279.0,Gen.90
HSR-153FA22506513EDCD3F7,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Baldwin,"Jim Folsom,Jr.",JAMES FOLSOM,D,14283.0,Gen.90
HSR-4A18D3737832BF00E89F,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Baldwin,Bob McKee,ROBERT MCKEE,R,12791.0,Gen.90
HSR-D64545436B0B23E78665,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Barbour,"Jim Folsom,Jr.",JAMES FOLSOM,D,5698.0,Gen.90
HSR-D2D0846ED011D470EEAB,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Barbour,Bob McKee,ROBERT MCKEE,R,1517.0,Gen.90
HSR-6676431C5110DBE0D115,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Bibb,"Jim Folsom,Jr.",JAMES FOLSOM,D,4161.0,Gen.90
HSR-41AE1CFC5FE58DA08E34,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Bibb,Bob McKee,ROBERT MCKEE,R,1382.0,Gen.90
HSR-3601FE338CFF0D423C26,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Blount,"Jim Folsom,Jr.",JAMES FOLSOM,D,6945.0,Gen.90
HSR-71715FEC6AF588C14FC6,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Blount,Bob McKee,ROBERT MCKEE,R,4866.0,Gen.90
HSR-28AF79C4C2B88B139F2D,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Bullock,"Jim Folsom,Jr.",JAMES FOLSOM,D,3537.0,Gen.90
HSR-2027B62CCE5B0897E9B9,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Bullock,Bob McKee,ROBERT MCKEE,R,468.0,Gen.90
HSR-E388C5345787685A5B91,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Butler,"Jim Folsom,Jr.",JAMES FOLSOM,D,5490.0,Gen.90
HSR-AA71D792C3BD84696A87,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Butler,Bob McKee,ROBERT MCKEE,R,1279.0,Gen.90
HSR-75DD9CB5576A4D6E6B60,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Calhoun,"Jim Folsom,Jr.",JAMES FOLSOM,D,18315.0,Gen.90
HSR-885B8044866B3E25CC22,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Calhoun,Bob McKee,ROBERT MCKEE,R,8212.0,Gen.90
HSR-9516D162963F28716BD2,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Chambers,"Jim Folsom,Jr.",JAMES FOLSOM,D,6238.0,Gen.90
HSR-0A09E2E3D4566090AB17,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Chambers,Bob McKee,ROBERT MCKEE,R,2282.0,Gen.90
HSR-AD00334137DBC85CC9A2,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Cherokee,"Jim Folsom,Jr.",JAMES FOLSOM,D,3787.0,Gen.90
HSR-51622E2A9A135A11BFDC,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Cherokee,Bob McKee,ROBERT MCKEE,R,1148.0,Gen.90
HSR-A6645A15BA875DD3050A,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Chilton,"Jim Folsom,Jr.",JAMES FOLSOM,D,8438.0,Gen.90
HSR-A7D375AF35B3FA3AEF66,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Chilton,Bob McKee,ROBERT MCKEE,R,3661.0,Gen.90
HSR-9BA56DB85F226300F556,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Choctaw,"Jim Folsom,Jr.",JAMES FOLSOM,D,4688.0,Gen.90
HSR-F27952339E02A4EE7A34,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Choctaw,Bob McKee,ROBERT MCKEE,R,877.0,Gen.90
HSR-92354E7B1F6AF00481BA,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Clarke,"Jim Folsom,Jr.",JAMES FOLSOM,D,5965.0,Gen.90
HSR-9C1E15838086C5468073,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Clarke,Bob McKee,ROBERT MCKEE,R,2274.0,Gen.90
HSR-6D5C672DCFD769016D1E,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Clay,"Jim Folsom,Jr.",JAMES FOLSOM,D,2931.0,Gen.90
HSR-266B73431B8104CA87C1,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Clay,Bob McKee,ROBERT MCKEE,R,865.0,Gen.90
HSR-7A326987A9B0AA3736EB,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Cleburne,"Jim Folsom,Jr.",JAMES FOLSOM,D,2280.0,Gen.90
HSR-FFCD434104BC8F6D3FAA,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Cleburne,Bob McKee,ROBERT MCKEE,R,870.0,Gen.90
HSR-A6755246ECE48C8E1FD5,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Coffee,"Jim Folsom,Jr.",JAMES FOLSOM,D,7335.0,Gen.90
HSR-CF56101C26533AC1D393,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Coffee,Bob McKee,ROBERT MCKEE,R,3173.0,Gen.90
HSR-2E8D5294EA57ABC4A292,SRC-68B092136E8694F993DF,1990,Lieutenant Governor,Colbert,"Jim Folsom,Jr.",JAMES FOLSOM,D,10712.0,Gen.90
