historical_candidate_id,incumbent_status,prior_year,prior_candidate_name,match_method,evidence_note
HC-82BB6900F583C3339C67,supported_prior_winner,1986.0,Joe Ford,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-36D68B425D652174FD57,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3B6EAC2D9AA582A258BD,supported_prior_winner,1986.0,June Bugg,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-65FD89528ECF1739FAAE,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-147DD60C20E286025EA3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D8257B6F320085EEAB01,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-BABD394CD7B9A9411807,supported_prior_winner,1986.0,Jack Venable,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-1AB111D66642FEA61DA2,supported_prior_winner,1986.0,Clarence Haynes,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-7496398B61ED75D319C9,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-75BD3D1E0876D5699405,supported_prior_winner,1986.0,Ron Johnson,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-4C6E423D75558BC2E28F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-CAF35170E16C06773FE7,supported_prior_winner,1986.0,Gerald Willis,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-21B70B0D17F234F40EE9,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E2ED9FD07D867A000975,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F2F7F1555064FB7D4437,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D2302CBD9D0A42F539F3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8AA56835EC81A27E94BE,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1360F68CB84E63A2B4C6,supported_prior_winner,1986.0,Bill Fuller,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-8E34D48EF3093F6FB7B0,supported_prior_winner,1986.0,Richard Lindsey,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-6B0FD478004FBA65BD13,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-13F66AF2BAA9FE4847B5,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-654F5904D5642AF2384A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-2B0D81281E37A288BBBE,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-066E6671360D2FD31F37,supported_prior_winner,1986.0,"Jack Biddle, III",same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-3C9242E9B808DED322E8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-79035DB436375E2D966F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-81669E2CDBB247150B88,supported_prior_winner,1986.0,Arthur Payne,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-D16A46CCD117C1638369,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-06E8AEE01F33E72B2CEA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-ED3F2A2292D8C2F5E81F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1AB1F28DDF4665FA62B6,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-628F252A2896B8B8F6B5,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-2815ADE7BA108DB6E3CB,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-26505B8424D3EBD61FAB,supported_prior_winner,1986.0,Tony Petelos,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-0A68E28F137C12C212C4,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-058165257E61FF643E33,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3E81A110ACA0FCF88F7B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-61E942D4C30D0A0AD1F8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D899FA7FB6AD50B764A5,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-59BEAF164D48C6CFF428,supported_prior_winner,1986.0,Demetrius Newton,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-4E3A82807FBC43BBA35F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-CC600CDF42B136B5CA96,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8105FE48AD5B4E57BBC9,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-0EFA7060006DFD676B2B,supported_prior_winner,1986.0,Edward McClain,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-C1CB93B450BA75638464,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-9FE887B22586D1E0B4E6,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-243C54FAC3FCAF3C1950,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1BE17BD4DAB6AB134F59,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-BF492F7CFB6BACCA5550,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-43ECD18C20599048D02D,supported_prior_winner,1986.0,"Bryant Melton, Jr.",same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-E14BCB74252CF23F710A,supported_prior_winner,1986.0,Phil Poole,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-44E1EC8340B214BFA92F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-4FCC48980ADEB6676D92,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-DF91C42FD3FE9C454DA9,supported_prior_winner,1986.0,Jimmy Warren,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-463A565D969CBB92A2BF,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-9913DDFBEB92B4304E89,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F4346DB165EFF6A1D987,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-00030AFD524957887495,supported_prior_winner,1986.0,Lucius Black,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-5338435D90E189912057,supported_prior_winner,1986.0,"Jenkins Bryant, Jr.",same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-AE483799BB288873F0B2,supported_prior_winner,1986.0,James Thomas,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-1EAE3C13B6165BB15F2A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D2EB2C66C8976658BCAD,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-98A4E9045361013EA16B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-B444E2DFE18394934216,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E7379FFD676991A1D946,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-A8356192248B07A11056,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-6483863499371168EF06,supported_prior_winner,1986.0,"Perry Hooper, Jr.",same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-AC5E3A640AF1F88CC01A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7E8BD5D1881842DDE9B0,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-AE4E231FA1A728A7F950,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C8805E5C28C424A7D3C2,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-799ACCE1BA84F1655CFA,supported_prior_winner,1986.0,Mike Mikell,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-D02EBF47EEF5768CC883,supported_prior_winner,1986.0,John Buskey,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-333F5D042F278251788E,supported_prior_winner,1986.0,Alvin Holmes,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-44FBB3D768A07243B570,supported_prior_winner,1986.0,Pete Turnham,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-525CDF13499AA35167BB,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F981291FFDF0048DAB03,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-D7F3134054DF7623774F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8A93A3FB52D8567A3B86,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1D84E59140E5D67A6712,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-16C4EDE554C6A32E33F0,supported_prior_winner,1986.0,James Clark,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-72F61189A615FFC7ABDC,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-A74B53B44C2051035CD0,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-347C15C08CFB09613528,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-79720F0FD6D6E8FD6F15,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3B471282AABBC12109F8,supported_prior_winner,1986.0,Nathan Mathis,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-A384DFFC820F1635D6EA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-4417E2F3440EC243784F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-06AA8542814CEF9E7D77,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E3A28FC444568665FAD3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-DC7864EE1E6FDFE7AD5A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E1055DB374B11C8A65EC,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-45B02C22A0224B5343FD,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-31077BC1E306D80B1C22,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E85B0083703D08095464,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1778C096B705B50EFFC4,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-68B68F734FFEF3D6B3E1,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-A8D7085E3626EAC062DA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C0E5D2D0BE34C314AF23,supported_prior_winner,1986.0,Steve McMillan,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-07AA807A7D01FFC41246,supported_prior_winner,1986.0,Mike Box,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-1C7D544EECE45158C3E2,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-70A5E6637B14B2B5106A,supported_prior_winner,1986.0,Mary Zoghby,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-133D64C3EF460DAC95FF,supported_prior_winner,1986.0,William Clark,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-095FEC8458EF084056A4,supported_prior_winner,1986.0,James Buskey,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-4393FBA55360E7F50ADF,supported_prior_winner,1986.0,Victor Gaston,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-35AC310C70A61DEF07FA,supported_prior_winner,1986.0,Ken Kvalheim,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-5D2CDDBD1BCB586723BA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1D25E3FFEFDE3860CC4B,supported_prior_winner,1986.0,J.E. Turner,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-FD0D09744D5F21B440CF,supported_prior_winner,1986.0,Yvonne Kennedy,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-497A66741BCA7F408E45,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7C66B364F5297F7943EF,supported_prior_winner,1986.0,Taylor Harper,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-1F113D167454EF4D92B7,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-026B5C494B3A2BBAD1E3,supported_prior_winner,1986.0,Bobby Denton,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-58C2C1486CBC39F56660,supported_prior_winner,1986.0,Jim Smith,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-5A2E89B08C2191C54C1B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-94ED296F0F3A97C99FCD,supported_prior_winner,1986.0,Ray Campbell,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-2D46C87EB18CF6B6233E,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C9A32493FE2982AC7CE3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-E4794F5F76797A23E786,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-5027708A1623E3DC7089,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-107587DE0122C6CC3D8D,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3DDDB7B60790C4996443,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7733955448F06945B833,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8B43AA5EA4036062399F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F2F2A1E4D81CB7D4E3BA,supported_prior_winner,1986.0,Lowell Barron,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-2B31CF70088F44B87D50,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-641115C2D9EDD15DC6C7,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F8E32CD6393FC391B6CB,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-11537C4082C14525CFE8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-792D5595A1AFBF714923,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-8F8E4B657DE5B4C3F266,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C86EC362F787C21D5572,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-2B5A8D49B87E75B1EE9D,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-B36A3E2BCF511A27A128,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3D44677B27F87B54452A,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-873D81BA490CE3809B3B,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-93B1AEC82EE10A6483C0,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7E5080ACEC8D69F1FC4E,supported_prior_winner,1986.0,Mac Parsons,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-8DFFFD45BE5DEA813515,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-EEF1C0D94AE20CB84EDA,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7836D302C077D87757F3,supported_prior_winner,1986.0,Jim Bennett,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-7BF94592FB0AED15E5AB,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-3F56F00607E7CFF9A985,supported_prior_winner,1986.0,"Ryan deGraffenried, Jr.",same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-59BFDE1BF185ECEABE55,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-BB3C48E95BEEBF23BF4D,supported_prior_winner,1986.0,Hank Sanders,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-44D1651E129910CB6E10,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1BC365078B56EA660124,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-C9CCD73CE5DC2CFE53C0,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-03FC79E66F695C258EB5,supported_prior_winner,1986.0,Larry Dixon,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-A5AC8BECEBE6102678B8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-72BB54213EE1251ADE3C,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-720389785F054505FB13,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-9A723F6B974625181A1D,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-B5124243E995C7BA5AA2,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-DF1771D428C8A7936263,supported_prior_winner,1986.0,Chip Bailey,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-74A02FD9702DE91891F3,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-038EF6BA7ED11D445443,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-014D8FFC1E35D8B980BD,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-7CC81E6D9C8024F13F9C,supported_prior_winner,1986.0,E.C.Crum Foshee,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-1DA301BD7A72AA1CB935,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-1E9DC3BD3A7B4BCDBEC8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-F825E94AED9C4CFE7AA8,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-9C5C1B8F244E40FD5CA8,supported_prior_winner,1986.0,Michael Figures,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-7B2FBFCAB786DD29B65F,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-FF8A2F606088D694DF57,supported_prior_winner,1986.0,Ann Bedsole,same_district_exact_normalized_name,Exact match to a recorded 1986 general-election winner
HC-ECE9D79A4E55E4E97F05,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
HC-A3FEF341E469E155365C,unknown,,,,The 1986 archive omits many uncontested districts; absence is not evidence of non-incumbency
