historical_candidate_id,year,chamber,district,party,candidate_name,normalized_name,votes,winner,counties_reported,source_name
HC-C9239A67962ADCCDA34E,1986,house,21,R,Keith Wilson,KEITH WILSON,4345.0,0,1,Alabama SOS historical legislative archive
HC-F19B82CD1DB06C8FC766,1986,house,22,D,Albert Hall,ALBERT HALL,4561.0,1,2,Alabama SOS historical legislative archive
HC-4D54B502AC9699387C63,1986,house,22,R,Paul W. Smith,PAUL W SMITH,3663.0,0,2,Alabama SOS historical legislative archive
HC-9516F65FE8F371F0857B,1986,house,23,D,Ben Richardson,BEN RICHARDSON,3435.0,1,1,Alabama SOS historical legislative archive
HC-70B4863C2D43C9859771,1986,house,23,R,Al Kline,AL KLINE,2519.0,0,1,Alabama SOS historical legislative archive
HC-76136143589D7B147DD7,1986,house,24,D,Ralph Burke,RALPH BURKE,7013.0,1,1,Alabama SOS historical legislative archive
HC-4C62A3292C7658C767A7,1986,house,24,D,Ron Johnson,RONALD JOHNSON,6182.0,0,1,Alabama SOS historical legislative archive
HC-C8F3102B46A59B4F0A43,1986,house,24,R,Benny West,BENNY WEST,5183.0,0,1,Alabama SOS historical legislative archive
HC-6F22E4C822E3B78B8B5A,1986,house,25,D,Gerald Willis,GERALD WILLIS,6191.0,1,1,Alabama SOS historical legislative archive
HC-AC6DEADF6FD3D023FB5C,1986,house,25,D,Gordon Moon,GORDON MOON,5377.0,0,1,Alabama SOS historical legislative archive
HC-3D021F5392FF9BB0BA68,1986,house,26,D,Euclid Rains,EUCLID RAINS,5742.0,1,2,Alabama SOS historical legislative archive
HC-C054CB5000630C2D750C,1986,house,27,D,Bob Harvey,ROBERT HARVEY,6301.0,1,1,Alabama SOS historical legislative archive
HC-A93A2FAB316DA3A71125,1986,house,27,R,Tim Hays,TIM HAYS,5961.0,0,1,Alabama SOS historical legislative archive
HC-E7389A52BD751F73E42B,1986,house,28,D,Joe Ford,JOE FORD,6924.0,1,1,Alabama SOS historical legislative archive
HC-04B06D77FC422CE6CFFD,1986,house,29,D,June Bugg,JUNE BUGG,6741.0,1,1,Alabama SOS historical legislative archive
HC-61871D01CB4327FF1023,1986,house,30,D,Bobby Junkins,BOBBY JUNKINS,8888.0,1,2,Alabama SOS historical legislative archive
HC-B0AEDC4F403BAE4564E0,1986,house,31,D,Jack Venable,JACK VENABLE,8839.0,1,2,Alabama SOS historical legislative archive
HC-DD3E411F49BC77857A05,1986,house,31,R,Paul W. Smith,PAUL W SMITH,3663.0,0,2,Alabama SOS historical legislative archive
HC-9742D138E3E31D3E566E,1986,house,32,D,Clarence Haynes,CLARENCE HAYNES,6239.0,1,1,Alabama SOS historical legislative archive
HC-0209DCEE959ABF9283DA,1986,house,32,R,Al Kline,AL KLINE,2519.0,0,1,Alabama SOS historical legislative archive
HC-9416B8654D2AC4CDC3BA,1986,house,33,D,Ron Johnson,RONALD JOHNSON,6182.0,1,1,Alabama SOS historical legislative archive
HC-EDA0E17E7797D9F0CF52,1986,house,34,D,Gerald Willis,GERALD WILLIS,6191.0,1,1,Alabama SOS historical legislative archive
HC-58331AB0A4EB7554EF24,1986,house,34,R,"A.C. Shelton, Jr.",AC SHELTON,3218.0,0,1,Alabama SOS historical legislative archive
HC-4ED8705F3918FA196178,1986,house,35,D,Bobby Crow,BOBBY CROW,6581.0,0,1,Alabama SOS historical legislative archive
HC-453E003D245F04B3CD2F,1986,house,35,R,"Jack Biddle, III",JACK BIDDLE,8684.0,1,1,Alabama SOS historical legislative archive
HC-E460EF83F3DA58D64A03,1986,house,36,D,Arthur Payne,ARTHUR PAYNE,6439.0,1,1,Alabama SOS historical legislative archive
HC-5283A7975AECD6100115,1986,house,36,D,James Campbell,JAMES CAMPBELL,6360.0,0,1,Alabama SOS historical legislative archive
HC-8641217DAC62CBDB423D,1986,house,37,D,Richard Laird,RICHARD LAIRD,3330.0,0,2,Alabama SOS historical legislative archive
HC-6D096F2A73ED95A105F8,1986,house,37,R,Billy Gray,BILLY GRAY,11856.0,1,1,Alabama SOS historical legislative archive
HC-1C5E7F8EF72710E2AEE3,1986,house,38,D,Bill Fuller,WILLIAM FULLER,5748.0,1,1,Alabama SOS historical legislative archive
HC-BDD61ED1A7BB4C867851,1986,house,39,D,Richard Lindsey,RICHARD LINDSEY,6777.0,1,3,Alabama SOS historical legislative archive
HC-ABD06200FF6F4B012DCC,1986,house,41,D,Jim Wright,JAMES WRIGHT,7475.0,1,1,Alabama SOS historical legislative archive
HC-BACD7300559DCC74CF26,1986,house,41,D,Mike Hill,MICHAEL HILL,7022.0,0,1,Alabama SOS historical legislative archive
HC-E49D05BB6580A0D321C6,1986,house,41,R,Jim Entrekin,JAMES ENTREKIN,6281.0,0,1,Alabama SOS historical legislative archive
HC-5391F32F42AB15A88591,1986,house,42,D,A.J. Blake,AJ BLAKE,5826.0,0,1,Alabama SOS historical legislative archive
HC-FB2E3361BC76CFA21638,1986,house,42,D,John W. Rogers,JOHN W ROGERS,10055.0,1,1,Alabama SOS historical legislative archive
HC-CACD212DA5DC20F0787F,1986,house,42,R,Fred Hughes,FRED HUGHES,5546.0,0,1,Alabama SOS historical legislative archive
HC-48FE44EC90307D58DA65,1986,house,43,D,Greg Morris,GREG MORRIS,3932.0,0,1,Alabama SOS historical legislative archive
HC-A5149FC9D81DAF7AE898,1986,house,43,R,"Jack Biddle, III",JACK BIDDLE,8684.0,1,1,Alabama SOS historical legislative archive
HC-456670EAD7CD3E6C5DE4,1986,house,44,D,Arthur Payne,ARTHUR PAYNE,6439.0,1,1,Alabama SOS historical legislative archive
HC-79583A0BB024DEBACD14,1986,house,44,R,Stephen Mosely,STEPHEN MOSELY,6332.0,0,1,Alabama SOS historical legislative archive
HC-0DF00B843D55D0FFA13F,1986,house,45,D,Bob Gafford,ROBERT GAFFORD,5406.0,0,1,Alabama SOS historical legislative archive
HC-F681190FDAE76CD3DE47,1986,house,45,R,Billy Gray,BILLY GRAY,11856.0,1,1,Alabama SOS historical legislative archive
HC-76EFD7ABD8CD2F623A89,1986,house,46,D,Rodney A. Max,RODNEY A MAX,5392.0,0,1,Alabama SOS historical legislative archive
HC-7979E260C4121F600BB3,1986,house,46,R,William Slaughter,WILLIAM SLAUGHTER,13078.0,1,1,Alabama SOS historical legislative archive
HC-C3C3E401F058811A2D7F,1986,house,47,R,"Geo. Seibels, Jr.",GEO SEIBELS,12092.0,1,1,Alabama SOS historical legislative archive
HC-4E08710A6E41E2961A19,1986,house,48,R,Greg Beers,GREG BEERS,13655.0,1,1,Alabama SOS historical legislative archive
HC-94B5790ECBDE50434779,1986,house,49,D,Jack Pratt,JACK PRATT,6645.0,0,1,Alabama SOS historical legislative archive
HC-D283B569ECA11013F1FF,1986,house,49,R,Tony Petelos,TONY PETELOS,6918.0,1,1,Alabama SOS historical legislative archive
HC-86ED2220FB47E291AFE0,1986,house,50,D,Hugh Boles,HUGH BOLES,5957.0,0,1,Alabama SOS historical legislative archive
HC-C016A4D2F26473CB102E,1986,house,50,R,Johnny L. Curry,JOHNNY L CURRY,6456.0,1,1,Alabama SOS historical legislative archive
HC-CB662A3F075E8E4DB3B1,1986,house,51,D,Jim Wright,JAMES WRIGHT,7475.0,1,1,Alabama SOS historical legislative archive
HC-9F9704F0946EDBDABDE3,1986,house,52,D,John W. Rogers,JOHN W ROGERS,10055.0,1,1,Alabama SOS historical legislative archive
HC-DC4F685DDD1A96964869,1986,house,53,D,Demetrius Newton,DEMETRIUS NEWTON,8733.0,1,1,Alabama SOS historical legislative archive
HC-F98D42EBF73BB2D0E98D,1986,house,53,D,Roy Johnson,ROY JOHNSON,6638.0,0,1,Alabama SOS historical legislative archive
HC-9573737D450EB222BA0C,1986,house,53,R,Tobert Thomason,TOBERT THOMASON,2206.0,0,1,Alabama SOS historical legislative archive
HC-70D0DFB7833E9C8BABF9,1986,house,54,D,Geo. Purdue,GEO PURDUE,8003.0,1,1,Alabama SOS historical legislative archive
HC-9AD10ED7CC9E0C302190,1986,house,54,D,Jimmy Warren,JIMMY WARREN,3084.0,0,1,Alabama SOS historical legislative archive
HC-125D13D31098BDCB6384,1986,house,56,D,Bobbie McDowell,BOBBIE MCDOWELL,9153.0,1,1,Alabama SOS historical legislative archive
HC-F8B245E4AFC2981A0065,1986,house,57,D,Edward McClain,EDWARD MCCLAIN,10200.0,1,1,Alabama SOS historical legislative archive
HC-072035AF99CC58F0CAA2,1986,house,57,D,Harrell Blakeney,HARRELL BLAKENEY,1161.0,0,1,Alabama SOS historical legislative archive
HC-2A23FBD3A01C643D5B7C,1986,house,58,D,Pat Davis,PAT DAVIS,7115.0,1,1,Alabama SOS historical legislative archive
HC-6BF28B5D43ADB5A87FB3,1986,house,59,D,Lucius Black,LUCIUS BLACK,5870.0,1,2,Alabama SOS historical legislative archive
HC-2DE18E43475E943CCBC6,1986,house,61,D,"Bryant Melton, Jr.",BRYANT MELTON,7209.0,1,1,Alabama SOS historical legislative archive
HC-44049D60666DFB6CDE99,1986,house,62,D,Phil Poole,PHIL POOLE,7440.0,1,1,Alabama SOS historical legislative archive
HC-04D0D06F52ACC833F325,1986,house,63,D,Roy Johnson,ROY JOHNSON,6638.0,1,1,Alabama SOS historical legislative archive
HC-D97F15CC6F02B08EF253,1986,house,64,D,Jimmy Warren,JIMMY WARREN,7260.0,1,2,Alabama SOS historical legislative archive
HC-78C2C76FD8D1FEE7BD82,1986,house,65,D,Michael Breedlove,MICHAEL BREEDLOVE,7959.0,1,2,Alabama SOS historical legislative archive
HC-8BB428E2236CDF76EAFB,1986,house,66,D,Harrell Blakeney,HARRELL BLAKENEY,7897.0,1,3,Alabama SOS historical legislative archive
HC-BFAE48D48939F386D66F,1986,house,67,D,Lucius Black,LUCIUS BLACK,10278.0,1,3,Alabama SOS historical legislative archive
HC-437960356D15149E64AD,1986,house,68,D,"Jenkins Bryant, Jr.",JENKINS BRYANT,8155.0,1,3,Alabama SOS historical legislative archive
HC-3C9843CF0D2FABC14A95,1986,house,69,D,James Thomas,JAMES THOMAS,5873.0,1,2,Alabama SOS historical legislative archive
HC-0B773C89B3BEBFFD091E,1986,house,69,R,Jane George,JANE GEORGE,1117.0,0,1,Alabama SOS historical legislative archive
HC-3A4B06565298A4C19493,1986,house,69,R,William Bradley,WILLIAM BRADLEY,1922.0,0,2,Alabama SOS historical legislative archive
HC-8B34504E45FA5492B67C,1986,house,70,D,"W.F. Noopie Cosby, Jr.",WF NOOPIE COSBY,8446.0,1,1,Alabama SOS historical legislative archive
HC-23DE648B26B21515AD56,1986,house,71,D,Ed Grouby,EDWARD GROUBY,7550.0,1,2,Alabama SOS historical legislative archive
HC-797FE43D4AB18CFE1F76,1986,house,71,R,Frank Thiemong III,FRANK THIEMONG,3888.0,0,2,Alabama SOS historical legislative archive
HC-DF37AC8D86E47BFA9C97,1986,house,72,D,Lester White,LESTER WHITE,6107.0,1,1,Alabama SOS historical legislative archive
HC-C2D0D86AE33F88D46429,1986,house,73,R,"Perry Hooper, Jr.",PERRY HOOPER,13012.0,1,1,Alabama SOS historical legislative archive
HC-718C827B37D6997EA416,1986,house,74,D,Charles Adams,CHARLES ADAMS,3844.0,1,1,Alabama SOS historical legislative archive
HC-B50ABC933053B0BEE9D9,1986,house,75,D,James Clark,JAMES CLARK,5646.0,1,2,Alabama SOS historical legislative archive
HC-174FA9F4110EB34CEC29,1986,house,76,D,John Bush,JOHN BUSH,4437.0,0,2,Alabama SOS historical legislative archive
HC-B86319267BCC65C55941,1986,house,76,R,Mike Mikell,MICHAEL MIKELL,5680.0,1,2,Alabama SOS historical legislative archive
HC-2173C7CDF490A3AB0015,1986,house,77,D,John Buskey,JOHN BUSKEY,8346.0,1,1,Alabama SOS historical legislative archive
HC-234AE6CB44C49DFD7CB3,1986,house,77,R,Jane George,JANE GEORGE,1117.0,0,1,Alabama SOS historical legislative archive
HC-C3917E9E68CBBF94B066,1986,house,78,D,Alvin Holmes,ALVIN HOLMES,9209.0,1,1,Alabama SOS historical legislative archive
HC-C8BB6A9EB3BA1229A08F,1986,house,79,D,Pete Turnham,PETE TURNHAM,5250.0,1,1,Alabama SOS historical legislative archive
HC-5A7DEEBF27675A3FB215,1986,house,80,D,Dutch Higginbotham,DUTCH HIGGINBOTHAM,5307.0,1,1,Alabama SOS historical legislative archive
HC-781104D49DB29DDA9077,1986,house,80,R,Shelby D. Ward,SHELBY D WARD,3848.0,0,1,Alabama SOS historical legislative archive
HC-1AE3DBB11E21378CEBBA,1986,house,81,D,Lester White,LESTER WHITE,6107.0,1,1,Alabama SOS historical legislative archive
HC-30B055B125AA77F4F178,1986,house,82,D,Thomas Reed,THOMAS REED,9660.0,1,2,Alabama SOS historical legislative archive
HC-2DFC9425EC975E994B7A,1986,house,83,D,Charles Adams,CHARLES ADAMS,3844.0,1,1,Alabama SOS historical legislative archive
HC-3226DD954102F3B0DD67,1986,house,84,D,James Clark,JAMES CLARK,5646.0,1,2,Alabama SOS historical legislative archive
HC-9F1CCBABDF9AB29B7678,1986,house,85,D,John P. Beasley,JOHN P BEASLEY,6234.0,1,2,Alabama SOS historical legislative archive
HC-39CAA06108222049457D,1986,house,86,D,"Joe Carothers, Jr.",JOE CAROTHERS,6880.0,0,1,Alabama SOS historical legislative archive
HC-2D1E2DF4AF24F21127DB,1986,house,86,D,Steve McMillan,STEVE MCMILLAN,7233.0,1,1,Alabama SOS historical legislative archive
HC-02A7511FD1E4D4FB0D97,1986,house,86,R,Mimi Page,MIMI PAGE,6417.0,0,1,Alabama SOS historical legislative archive
HC-417CE16AD1F611E6EF76,1986,house,87,D,Mike Box,MICHAEL BOX,6219.0,0,1,Alabama SOS historical legislative archive
HC-0D8CA56A3C2A86145EF5,1986,house,87,D,Nathan Mathis,NATHAN MATHIS,8461.0,1,2,Alabama SOS historical legislative archive
HC-4BB89526859E31CEA3E0,1986,house,87,R,Russ Rothrock,RUSS ROTHROCK,3228.0,0,2,Alabama SOS historical legislative archive
HC-7B2AFF60FC185955CBD8,1986,house,90,D,Dwight Faulk,DWIGHT FAULK,8197.0,0,2,Alabama SOS historical legislative archive
HC-207BAF0B6D07A695E4BD,1986,house,90,R,Mahlon Stead,MAHLON STEAD,3472.0,0,2,Alabama SOS historical legislative archive
HC-0D9AD482A84EB6194D12,1986,house,90,R,Victor Gaston,VICTOR GASTON,10492.0,1,1,Alabama SOS historical legislative archive
HC-77174BBF681EFDCB64DA,1986,house,95,D,Steve McMillan,STEVE MCMILLAN,7233.0,1,1,Alabama SOS historical legislative archive
HC-8EE0D32156FFC95184AA,1986,house,95,R,Rex Childress,REX CHILDRESS,5841.0,0,1,Alabama SOS historical legislative archive
HC-A8C514E1638206D75705,1986,house,96,D,Mike Box,MICHAEL BOX,6219.0,1,1,Alabama SOS historical legislative archive
HC-161FAB47B013DBFBF53B,1986,house,97,D,Mary Zoghby,MARY ZOGHBY,6460.0,1,1,Alabama SOS historical legislative archive
HC-9AB0450D2FF8E8EF9FB1,1986,house,98,D,William Clark,WILLIAM CLARK,5356.0,1,1,Alabama SOS historical legislative archive
HC-31A59B08502D1F8113AD,1986,house,99,D,James Buskey,JAMES BUSKEY,7610.0,1,1,Alabama SOS historical legislative archive
HC-D0DC32A38DCDBC9FE383,1986,house,100,D,Luke Cooley,LUKE COOLEY,1987.0,0,1,Alabama SOS historical legislative archive
HC-D98E47A8D167733D5DC8,1986,house,100,R,Victor Gaston,VICTOR GASTON,10492.0,1,1,Alabama SOS historical legislative archive
HC-C416C8EF154AF8892C73,1986,house,101,D,Mildred Laurendine,MILDRED LAURENDINE,2041.0,0,1,Alabama SOS historical legislative archive
HC-7C61635C9531CAC1F4E7,1986,house,101,R,Ken Kvalheim,KEN KVALHEIM,9672.0,1,1,Alabama SOS historical legislative archive
HC-9428D64638E1CF9BC8CE,1986,house,102,D,J.E. Turner,JE TURNER,7141.0,1,1,Alabama SOS historical legislative archive
HC-FC4D442B775CA7391A32,1986,house,102,R,Steve Campbell,STEVE CAMPBELL,4066.0,0,1,Alabama SOS historical legislative archive
HC-A8A1CD3CB69EBB41751C,1986,house,103,D,Yvonne Kennedy,YVONNE KENNEDY,5344.0,1,1,Alabama SOS historical legislative archive
HC-D4014583D25A26CEC0C6,1986,house,104,D,Beth Marietta,BETH MARIETTA,5903.0,1,1,Alabama SOS historical legislative archive
HC-13B2E1084188677D2E73,1986,house,104,R,Joseph Lathan,JOSEPH LATHAN,5847.0,0,1,Alabama SOS historical legislative archive
HC-0DB8D66ED73187D628C7,1986,house,105,D,Taylor Harper,TAYLOR HARPER,4648.0,1,1,Alabama SOS historical legislative archive
HC-37DE6280E73556ABD7A8,1986,senate,1,D,Bill G. Smith,WILLIAM G SMITH,18821.0,0,1,Alabama SOS historical legislative archive
HC-EF4707DF5696D7C157A8,1986,senate,1,D,Bobby Denton,BOBBY DENTON,23136.0,1,2,Alabama SOS historical legislative archive
HC-061D41C8DE4E19C8560F,1986,senate,2,D,Jim Smith,JAMES SMITH,20166.0,1,3,Alabama SOS historical legislative archive
HC-F0C13EE2D877922FA245,1986,senate,3,D,Ray Campbell,RAY CAMPBELL,25411.0,1,2,Alabama SOS historical legislative archive
HC-22A64184253AF00822D5,1986,senate,4,D,Bill Drinkard,WILLIAM DRINKARD,44468.0,1,3,Alabama SOS historical legislative archive
HC-17D630D3CB941C2366C7,1986,senate,5,D,Charles Bishop,CHARLES BISHOP,21011.0,1,3,Alabama SOS historical legislative archive
HC-35C3F4200A3254739483,1986,senate,5,R,Charles Stalfort,CHARLES STALFORT,9722.0,0,3,Alabama SOS historical legislative archive
HC-55E486B2D95CD1B835CF,1986,senate,6,D,Rober Bedford,ROBER BEDFORD,24400.0,1,5,Alabama SOS historical legislative archive
HC-FEFAE3F135C22ADD2E86,1986,senate,6,R,Herb Hollingsworth,HERB HOLLINGSWORTH,11039.0,0,5,Alabama SOS historical legislative archive
HC-0039DC62B3432710557C,1986,senate,7,D,Bill G. Smith,WILLIAM G SMITH,18821.0,1,1,Alabama SOS historical legislative archive
HC-C57A75AEFE181CF7DD2D,1986,senate,7,R,Annie M. Wells,ANNIE M WELLS,11240.0,0,1,Alabama SOS historical legislative archive
HC-F3BDFD8168692CB654CC,1986,senate,8,D,Lowell Barron,LOWELL BARRON,17582.0,1,3,Alabama SOS historical legislative archive
HC-1C65ABE98B434FBFCF3A,1986,senate,9,D,Loyd Coleman,LOYD COLEMAN,15382.0,1,3,Alabama SOS historical legislative archive
HC-568B9D4A0DE57A9097AC,1986,senate,10,D,Bill Drinkard,WILLIAM DRINKARD,22234.0,1,2,Alabama SOS historical legislative archive
HC-02E7D8C083E6FFB51879,1986,senate,11,D,Jim Preuitt,JAMES PREUITT,18594.0,1,3,Alabama SOS historical legislative archive
HC-6D2971120819CA1CEE44,1986,senate,11,R,Curtis Lambert,CURTIS LAMBERT,10740.0,0,3,Alabama SOS historical legislative archive
HC-417BD7D966CCBAB1BCC0,1986,senate,12,D,Donald Holmes,DONALD HOLMES,20030.0,1,1,Alabama SOS historical legislative archive
HC-5FB2385C6E45730870C1,1986,senate,13,D,Gerald Dial,GERALD DIAL,14949.0,0,4,Alabama SOS historical legislative archive
HC-AAE0804F4EFBC32D4B5E,1986,senate,13,D,"Ryan deGraffenried, Jr.",RYAN DEGRAFFENRIED,46202.0,1,3,Alabama SOS historical legislative archive
HC-8A9786A186D1E656D660,1986,senate,14,D,Frank Butch Ellis,FRANK BUTCH ELLIS,24414.0,1,3,Alabama SOS historical legislative archive
HC-9E969B8738D7C23AE9D0,1986,senate,15,D,Hank Sanders,HANK SANDERS,2766.0,1,2,Alabama SOS historical legislative archive
HC-95613E2D9931E1FE4099,1986,senate,16,D,Robert Hood,ROBERT HOOD,6959.0,0,1,Alabama SOS historical legislative archive
HC-F5631FEEB4FA5DA6BD03,1986,senate,16,R,"William Cabaniss, Jr.",WILLIAM CABANISS,41834.0,1,1,Alabama SOS historical legislative archive
HC-563A1E551C40B371445B,1986,senate,17,D,Mac Parsons,MAC PARSONS,24119.0,1,1,Alabama SOS historical legislative archive
HC-21A809D97C561E0A0DA0,1986,senate,18,D,Earl Goodwin,EARL GOODWIN,5994.0,1,2,Alabama SOS historical legislative archive
HC-7DD071AE684F823C9303,1986,senate,19,D,Jim Bennett,JAMES BENNETT,27507.0,1,1,Alabama SOS historical legislative archive
HC-4973106E1DF5056EF98D,1986,senate,20,D,Earl Hilliard,EARL HILLIARD,27032.0,0,1,Alabama SOS historical legislative archive
HC-3CB2BA268677C78E213A,1986,senate,20,R,Larry Dixon,LARRY DIXON,33459.0,1,1,Alabama SOS historical legislative archive
HC-4EBDED57571A34FCE9EA,1986,senate,21,D,"Ryan deGraffenried, Jr.",RYAN DEGRAFFENRIED,23101.0,1,2,Alabama SOS historical legislative archive
HC-BDA5F4C8B58E76CEDB9C,1986,senate,22,D,Rick Manley,RICK MANLEY,22682.0,1,6,Alabama SOS historical legislative archive
HC-EAD9F629F4ED02BFC50A,1986,senate,23,D,Hank Sanders,HANK SANDERS,24685.0,1,8,Alabama SOS historical legislative archive
HC-332E1964C6D017035A27,1986,senate,24,D,Earl Goodwin,EARL GOODWIN,20119.0,1,4,Alabama SOS historical legislative archive
HC-E5A2C2E646FDF73AC951,1986,senate,24,R,Cordy Taylor,CORDY TAYLOR,15858.0,0,4,Alabama SOS historical legislative archive
HC-3C7DA033105FEA6E8220,1986,senate,25,D,Jas. Chernau,JAS CHERNAU,10494.0,0,1,Alabama SOS historical legislative archive
HC-98B7BD16ECA2D5BAE0EF,1986,senate,25,R,Larry Dixon,LARRY DIXON,33459.0,1,1,Alabama SOS historical legislative archive
HC-4432383120C9F93284E7,1986,senate,26,D,Charles Langford,CHARLES LANGFORD,23272.0,0,2,Alabama SOS historical legislative archive
HC-A4B3930434568445CD57,1986,senate,26,R,Perry Hand,PERRY HAND,23889.0,1,2,Alabama SOS historical legislative archive
HC-8B15B0CDDEB919CD0F90,1986,senate,27,D,John Rice,JOHN RICE,16345.0,0,2,Alabama SOS historical legislative archive
HC-4899B4998BA646685F93,1986,senate,27,D,Michael Figures,MICHAEL FIGURES,18808.0,1,1,Alabama SOS historical legislative archive
HC-1987E29EC1AC4CADDF2C,1986,senate,29,D,Chip Bailey,CHIP BAILEY,22973.0,1,3,Alabama SOS historical legislative archive
HC-B7B06A1EB8F313290D2C,1986,senate,30,D,J. Foy Covington,J FOY COVINGTON,15778.0,1,4,Alabama SOS historical legislative archive
HC-C7BBB827D98F1470DC6C,1986,senate,31,D,E.C.Crum Foshee,EC CRUM FOSHEE,14868.0,1,3,Alabama SOS historical legislative archive
