cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2010,house,80,-4.601923374055902,-4.601923374055901,-4.601923374055902,4.440892098500626e-16,8.881784197001252e-16
2010,house,81,-16.738212818709833,-16.73821281870983,-16.738212818709833,1.7763568394002505e-15,3.552713678800501e-15
2010,house,82,37.908751231883286,37.908751231883286,37.908751231883286,0.0,0.0
2010,house,83,-2.1847036970101614,-2.1847036970101614,-2.1847036970101614,0.0,0.0
2010,house,84,28.74196404651994,28.74196404651994,28.74196404651994,0.0,0.0
2010,house,85,-2.8559787423859664,-2.8559787423859637,-2.855978742385966,1.1749496091904413e-15,2.6645352591003757e-15
2010,house,86,-9.815371422517382,-9.815371422517376,-9.815371422517382,2.3498992183808826e-15,5.329070518200751e-15
2010,house,87,-23.892297224685606,-23.892297224685606,-23.892297224685606,0.0,0.0
2010,house,88,-33.2416189169139,-33.2416189169139,-33.2416189169139,0.0,0.0
2010,house,89,-8.667317801469606,-8.667317801469604,-8.667317801469604,8.881784197001252e-16,1.7763568394002505e-15
2010,house,90,0.5019422328019101,0.5019422328019101,0.5019422328019101,0.0,0.0
2010,house,91,-28.703715964888335,-28.703715964888335,-28.703715964888335,0.0,0.0
2010,house,92,-31.501592766092635,-31.50159276609263,-31.501592766092635,1.7763568394002505e-15,3.552713678800501e-15
2010,house,93,-19.617781832012113,-19.61778183201211,-19.617781832012113,1.7763568394002505e-15,3.552713678800501e-15
2010,house,94,-56.91915658699976,-56.91915658699975,-56.91915658699975,7.105427357601002e-15,1.4210854715202004e-14
2010,house,95,-56.452213381057,-56.45221338105699,-56.45221338105699,3.552713678800501e-15,7.105427357601002e-15
2010,house,96,-47.48208765956513,-47.482087659565124,-47.482087659565124,3.552713678800501e-15,7.105427357601002e-15
2010,house,97,23.210466670749778,23.210466670749785,23.210466670749778,3.076740298213702e-15,7.105427357601002e-15
2010,house,98,12.85469936886074,12.854699368860743,12.854699368860741,1.7763568394002505e-15,3.552713678800501e-15
2010,house,99,2.8172705553648583,2.817270555364864,2.8172705553648596,2.589462819655575e-15,5.773159728050814e-15
2010,house,100,-33.190366183516076,-33.190366183516076,-33.190366183516076,0.0,0.0
2010,house,101,-25.948429780286524,-25.948429780286524,-25.948429780286524,0.0,0.0
2010,house,102,-24.479224818933147,-24.479224818933147,-24.479224818933147,0.0,0.0
2010,house,103,13.123809012644308,13.123809012644308,13.123809012644307,0.0,0.0
2010,house,104,-32.8817046894942,-32.8817046894942,-32.8817046894942,0.0,0.0
2010,house,105,-27.858935814463653,-27.85893581446365,-27.85893581446365,1.7763568394002505e-15,3.552713678800501e-15
2010,senate,1,-17.60617751055719,-17.60617751055719,-17.60617751055719,0.0,0.0
2010,senate,2,-31.829022076368318,-31.829022076368318,-31.829022076368318,0.0,0.0
2010,senate,3,-37.23930281957493,-37.23930281957493,-37.23930281957493,0.0,0.0
2010,senate,4,-35.247694771639274,-35.247694771639274,-35.247694771639274,0.0,0.0
2010,senate,5,-19.853279095230818,-19.853279095230803,-19.853279095230807,6.4047456679787536e-15,1.4210854715202004e-14
2010,senate,6,-25.51992461843591,-25.51992461843591,-25.51992461843591,0.0,0.0
2010,senate,7,-15.524956946707285,-15.524956946707285,-15.524956946707283,0.0,0.0
2010,senate,8,-22.064215855569394,-22.064215855569383,-22.064215855569387,4.699798436761765e-15,1.0658141036401503e-14
2010,senate,9,-41.83290618544869,-41.83290618544869,-41.83290618544869,0.0,0.0
2010,senate,10,-21.359694784278663,-21.359694784278663,-21.359694784278663,0.0,0.0
2010,senate,11,-12.984440343157745,-12.98444034315774,-12.984440343157743,2.3498992183808826e-15,5.329070518200751e-15
2010,senate,12,-33.61368922697666,-33.61368922697666,-33.61368922697666,0.0,0.0
2010,senate,13,-18.522633440133998,-18.52263344013399,-18.522633440133994,3.076740298213702e-15,7.105427357601002e-15
2010,senate,14,-42.121168405681466,-42.12116840568146,-42.12116840568146,3.552713678800501e-15,7.105427357601002e-15
2010,senate,15,-29.40927872149712,-29.40927872149711,-29.409278721497117,4.699798436761765e-15,1.0658141036401503e-14
2010,senate,16,-18.731223320588946,-18.73122332058894,-18.731223320588942,3.552713678800501e-15,7.105427357601002e-15
2010,senate,17,-34.96216861922559,-34.96216861922558,-34.96216861922558,3.552713678800501e-15,7.105427357601002e-15
2010,senate,18,18.501073354609805,18.501073354609808,18.501073354609805,1.7763568394002505e-15,3.552713678800501e-15
2010,senate,19,-0.544005929626905,-0.544005929626905,-0.544005929626905,0.0,0.0
2010,senate,20,9.741498330849726,9.741498330849726,9.741498330849726,0.0,0.0
2010,senate,21,-17.162756483279246,-17.162756483279246,-17.162756483279246,0.0,0.0
2010,senate,22,-19.324792224897095,-19.324792224897088,-19.324792224897088,3.552713678800501e-15,7.105427357601002e-15
2010,senate,23,29.148980182150012,29.148980182150016,29.148980182150012,1.7763568394002505e-15,3.552713678800501e-15
2010,senate,24,15.652782889550899,15.652782889550906,15.6527828895509,3.2023728339893768e-15,7.105427357601002e-15
2010,senate,25,1.3602777270198587,1.3602777270198587,1.3602777270198587,0.0,0.0
