year,source,chamber,district,candidate_key,ballot_name,source_party,source_votes,resolved_party,canonical_candidate_id,canonical_name,canonical_party,canonical_votes,name_score,vote_score,composite_score,match_status,score_margin,reason
2014,openelections,house,35,HURST,Hurst,R,3079.0,R,AL-2014-house-35-R-STEVE-HURST,Steve Hurst,R,6945.0,90.0,44.334053275737936,77.21353491720662,review,,
2014,openelections,house,39,JONES,Jones,R,2347.0,R,AL-2014-house-39-R-HEATH-JONES,Heath Jones,R,5928.0,90.0,39.591767881241566,75.88569500674764,review,,
2014,openelections,house,39,LINDSEY,Lindsey,D,2348.0,D,AL-2014-house-39-D-RICHARD-LINDSEY,Richard Lindsey,D,7786.0,90.0,30.156691497559716,73.24387361931672,review,,
2014,openelections,house,49,WEAVER,Weaver,R,4615.0,R,AL-2014-house-49-R-APRIL-WEAVER,April Weaver,R,7755.0,90.0,59.50999355254674,81.46279819471309,review,,
2014,openelections,house,61,HARPER,Harper,R,3023.0,R,AL-2014-house-61-R-ALAN-HARPER,Alan Harper,R,9008.0,90.0,33.55905861456483,74.19653641207815,review,,
2014,openelections,house,69,GRANT,Grant,R,1219.0,R,AL-2014-house-69-R-LORETTA-G-GRANT,Loretta G. Grant,R,4340.0,90.0,28.08755760368664,72.66451612903225,review,,
2014,openelections,house,69,LAWRENCE,Lawrence,D,2756.0,D,AL-2014-house-69-D-KELVIN-J-LAWRENCE,Kelvin J. Lawrence,D,9396.0,90.0,29.33163048105577,73.01285653469562,review,,
2014,openelections,house,71,MCCAMPBELL,McCampbell,D,2417.0,D,AL-2014-house-71-D-ARTIS-A-J-MCCAMPBELL,Artis (A.J.) McCampbell,D,9942.0,90.0,24.311003822168576,71.6070810702072,review,,
2014,openelections,house,72,HOWARD,Howard,D,2302.0,D,AL-2014-house-72-D-RALPH-A-HOWARD,Ralph A. Howard,D,10435.0,90.0,22.060373742213702,70.97690464781984,review,,
2014,openelections,house,75,INGRAM,Ingram,R,2626.0,R,AL-2014-house-75-R-REED-INGRAM,Reed Ingram,R,8338.0,90.0,31.49436315663229,73.61842168385704,review,,
2014,openelections,house,81,OLIVER,Oliver,D,898.0,D,AL-2014-house-81-D-DYLAN-V-OLIVER,Dylan V. Oliver,D,4352.0,90.0,20.634191176470583,70.57757352941177,review,,
2014,openelections,house,81,TUGGLE,Tuggle,R,2067.0,R,AL-2014-house-81-R-MARK-M-TUGGLE,Mark M. Tuggle,R,9119.0,90.0,22.666959096392148,71.1467485469898,review,,
2014,openelections,house,82,WARREN,Warren,D,4987.0,D,AL-2014-house-82-D-PEBBLIN-W-WARREN,Pebblin W. Warren,D,8455.0,90.0,58.98285038438793,81.31519810762862,review,,
2014,openelections,house,87,CHESTEEN,Chesteen,R,6078.0,R,AL-2014-house-87-R-DONNIE-CHESTEEN,Donnie Chesteen,R,10404.0,90.0,58.41983852364475,81.15755478662052,review,,
2014,openelections,house,88,BECKMAN,Beckman,R,2507.0,R,AL-2014-house-88-R-PAUL-BECKMAN,Paul Beckman,R,8215.0,90.0,30.517346317711503,73.34485696895922,review,,
2014,openelections,house,90,HICKMAN,Hickman,D,3001.0,D,AL-2014-house-90-D-WALTON-HICKMAN,Walton Hickman,D,5894.0,90.0,50.91618595181541,79.05653206650831,review,,
2014,openelections,house,90,SELLS,Sells,R,2897.0,R,AL-2014-house-90-R-CHRIS-SELLS,Chris Sells,R,7722.0,90.0,37.516187516187514,75.3045325045325,review,,
2014,openelections,house,92,JONES JR,"Jones, Jr.",R,1252.0,R,AL-2014-house-92-R-MIKE-JONES-JR,"Mike Jones, Jr.",R,8081.0,90.0,15.4931320381141,69.13807697067195,review,,
2014,openelections,senate,5,REED,Reed,R,13355.0,R,AL-2014-senate-5-R-GREG-REED,Greg Reed,R,29611.0,90.0,45.101482557157816,77.42841511600419,review,,
2014,openelections,senate,8,CLEMMONS,Clemmons,D,3342.0,D,AL-2014-senate-8-D-HORACE-CLEMMONS,Horace Clemmons,D,9322.0,90.0,35.850675820639346,74.83818922977902,review,,
2014,openelections,senate,8,LIVINGSTON,Livingston,R,8666.0,R,AL-2014-senate-8-R-STEVE-LIVINGSTON,Steve Livingston,R,24332.0,90.0,35.6156501726122,74.77238204833141,review,,
2014,openelections,senate,9,SCOFIELD,Scofield,R,2296.0,R,AL-2014-senate-9-R-CLAY-SCOFIELD,Clay Scofield,R,22574.0,90.0,10.170993177992383,67.64787808983786,review,,
2014,openelections,senate,13,DIAL,Dial,R,1599.0,R,AL-2014-senate-13-R-GERALD-DIAL,Gerald Dial,R,16758.0,90.0,9.541711421410671,67.47167919799499,review,,
2014,openelections,senate,13,TURNER,Turner,D,801.0,D,AL-2014-senate-13-D-DARRELL-TURNER,Darrell Turner,D,10424.0,90.0,7.684190330007679,66.95157329240214,review,,
2014,openelections,senate,14,WARD,Ward,R,10540.0,R,AL-2014-senate-14-R-CAM-WARD,Cam Ward,R,25724.0,90.0,40.97341004509407,76.27255481262634,review,,
2014,openelections,senate,17,SHELNUTT,Shelnutt,R,10025.0,R,AL-2014-senate-17-R-SHAY-SHELNUTT,Shay Shelnutt,R,31105.0,90.0,32.22954508921395,73.8242726249799,review,,
2014,openelections,senate,21,ALLEN,Allen,R,5227.0,R,AL-2014-senate-21-R-GERALD-ALLEN,Gerald Allen,R,20179.0,90.0,25.90316665840725,72.05288666435403,review,,
2014,openelections,senate,21,POOLE,Poole,D,2918.0,D,AL-2014-senate-21-D-PHIL-POOLE,Phil Poole,D,12161.0,90.0,23.99473727489516,71.51852643697065,review,,
2014,openelections,senate,22,ALBRITTON,Albritton,R,5136.0,R,AL-2014-senate-22-R-GREG-ALBRITTON,Greg Albritton,R,23065.0,90.0,22.26750487752005,71.03490136570561,review,,
2014,openelections,senate,22,SMITH,Smith,D,3636.0,D,AL-2014-senate-22-D-SUSAN-SMITH,Susan Smith,D,11136.0,90.0,32.650862068965516,73.94224137931035,review,,
2014,openelections,senate,23,SANDERS,Sanders,D,15320.0,D,AL-2014-senate-23-D-HANK-SANDERS,Hank Sanders,D,29306.0,90.0,52.27598444004641,79.43727564321298,review,,
2014,openelections,senate,24,SINGLETON,Singleton,D,4742.0,D,AL-2014-senate-24-D-BOBBY-SINGLETON,Bobby Singleton,D,26859.0,90.0,17.655162143043302,69.74344540005212,review,,
2014,openelections,senate,25,BREWBAKER,Brewbaker,R,7173.0,R,AL-2014-senate-25-R-DICK-L-BREWBAKER,Dick L. Brewbaker,R,29545.0,90.0,24.27821966491792,71.59790150617701,review,,
2014,openelections,senate,28,BEASLEY,Beasley,D,5003.0,D,AL-2014-senate-28-D-BILLY-BEASLEY,Billy Beasley,D,22147.0,90.0,22.589967038425073,71.12519077075902,review,,
2014,openelections,senate,28,SAVAGE,Savage,R,604.0,R,AL-2014-senate-28-R-JOHN-SAVAGE,John Savage,R,8020.0,90.0,7.531172069825431,66.90872817955112,review,,
2014,openelections,senate,29,MCCLENDON,McClendon,R,2829.0,R,AL-2014-senate-29-R-MELINDA-MCCLENDON,Melinda McClendon,R,16145.0,90.0,17.522452771755958,69.70628677609167,review,,
2014,openelections,senate,30,CHAMBLISS JR,"Chambliss, Jr.",R,12514.0,R,AL-2014-senate-30-R-CLYDE-CHAMBLISS-JR,"Clyde Chambliss, Jr.",R,22916.0,90.0,54.608134054808865,80.09027753534647,review,,
2010,alabama_sos,house,5,JERRY HILL,JERRY HILL,O,1359.0,O,,,,,52.17391304347826,,,,15.810276679841891,2010_party_unresolved
2010,alabama_sos,house,47,CHARLES A CHIP MCCALLUM III,"CHARLES A ""CHIP' MCCALLUM,III",O,5527.0,O,,,,,38.0,,,,38.0,2010_party_unresolved
2010,alabama_sos,house,62,STEVEN KNEUSSLE,STEVEN KNEUSSLE,O,1694.0,O,,,,,29.629629629629626,,,,29.629629629629626,2010_party_unresolved
2010,alabama_sos,house,65,OZELLE HUBERT,OZELLE HUBERT,O,1920.0,O,,,,,48.0,,,,48.0,2010_party_unresolved
2010,alabama_sos,house,74,JAY KING,JAY KING,O,2562.0,O,,,,,51.81818181818182,,,,51.81818181818182,2010_party_unresolved
2010,alabama_sos,house,78,LARRY THOMAS,LARRY THOMAS,O,1313.0,O,,,,,50.0,,,,50.0,2010_party_unresolved
2010,alabama_sos,house,92,DON COTTON,DON COTTON,O,3175.0,O,,,,,26.086956521739136,,,,8.69565217391305,2010_party_unresolved
2010,alabama_sos,house,99,RASHAWN FIGURES,RASHAWN FIGURES,O,1800.0,O,,,,,34.48275862068966,,,,34.48275862068966,2010_party_unresolved
2010,alabama_sos,senate,29,HARRI ANNE SMITH,HARRI ANNE SMITH,O,23755.0,O,,,,,26.66666666666667,,,,26.66666666666667,2010_party_unresolved
