cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,core_index_margin,core_index_offices,baseline_allocation_method,core_index_complete,contested_two_party,raw_overperformance,score_status
1994,house,59,7464.0,0.0,7464.0,100.0,52.37754330736372,2,legislative_activity_split_provisional,True,False,47.62245669263628,provisional_raw_baseline_not_fitted_cmo
1994,house,60,6222.0,3266.0,9488.0,31.15514333895447,43.49299820736955,2,legislative_activity_split_provisional,True,True,-12.337854868415082,provisional_raw_baseline_not_fitted_cmo
1994,house,61,9444.0,0.0,9444.0,100.0,7.780611398587254,2,legislative_activity_split_provisional,True,False,92.21938860141275,provisional_raw_baseline_not_fitted_cmo
1994,house,62,6730.0,4962.0,11692.0,15.121450564488539,-6.154108476629407,2,legislative_activity_split_provisional,True,True,21.275559041117944,provisional_raw_baseline_not_fitted_cmo
1994,house,63,8132.0,0.0,8132.0,100.0,-8.683538018226812,2,legislative_activity_split_provisional,True,False,108.68353801822681,provisional_raw_baseline_not_fitted_cmo
1994,house,64,7714.0,4261.0,11975.0,28.83507306889353,-8.59245080341777,2,legislative_activity_split_provisional,True,True,37.4275238723113,provisional_raw_baseline_not_fitted_cmo
1994,house,65,8497.0,4453.0,12950.0,31.227799227799228,8.987242588999218,2,legislative_activity_split_provisional,True,True,22.240556638800008,provisional_raw_baseline_not_fitted_cmo
1994,house,66,5093.0,3508.0,8601.0,18.428089757005,-1.3293907524687425,2,legislative_activity_split_provisional,True,True,19.757480509473744,provisional_raw_baseline_not_fitted_cmo
1994,house,67,7507.0,3785.0,11292.0,32.96138859369465,23.671313222420167,2,legislative_activity_split_provisional,True,True,9.290075371274483,provisional_raw_baseline_not_fitted_cmo
1994,house,68,7022.0,0.0,7022.0,100.0,26.15563853313298,2,legislative_activity_split_provisional,True,False,73.84436146686701,provisional_raw_baseline_not_fitted_cmo
1994,house,69,4706.0,1097.0,5803.0,62.1919696708599,20.37879502620574,2,legislative_activity_split_provisional,True,True,41.813174644654154,provisional_raw_baseline_not_fitted_cmo
