person_id,candidate,max_cmo,min_cmo,median_cmo,stability_low,stability_high,cycles_observed,earliest_cycle,latest_cycle,chambers,districts,incumbent_cycles,wins,partial_issue_count,partial_evidence_records,full_name,identity_researchable,research_tail,extreme_cmo,tail_result_stable,priority_score,high_tail_rank,low_tail_rank,research_status,target_evidence
ALPERSON-BAKER,Baker,4.900465826699673,-17.607964363027172,-6.3537492681637495,-4.325324435204696,-8.382174101122803,2,1994,2006,house,85,0,1,2.0,2.0,False,True,low_overperformance,-17.607964363027172,True,33.10102580636772,160,75,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-GREG-BURDINE,GREG BURDINE,11.32065351859849,9.719342357908909,10.519997938253699,2.094863256694122,18.945132619813275,2,2010,2014,house,1,1,1,15.0,88.0,True,True,high_overperformance,11.32065351859849,True,32.81371496193904,113,279,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-WHITE,White,17.238175412783278,-1.8447420721972847,7.6967166702929966,8.01238515087891,7.381048189707084,2,1994,1998,house,66,0,2,2.0,3.0,False,True,high_overperformance,17.238175412783278,True,32.73123685612383,78,179,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-PERDUE,Perdue,-5.769588098213493,-17.016208998397506,-11.3928985483055,-14.99537836011786,-7.790418736493137,2,1994,1998,house,54,0,2,2.0,2.0,False,True,low_overperformance,-17.016208998397506,True,32.50927044173805,242,80,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MERRITT-CAROTHERS,MERRITT CAROTHERS,-18.693605845653053,-18.693605845653053,-18.693605845653053,-27.91939610755742,-9.467815583748685,1,2010,2010,house,86,0,0,3.0,3.0,True,True,high_overperformance,-18.693605845653053,False,32.159341748452775,317,67,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-GEORGE-M-MARC-KEAHEY,GEORGE M. (MARC) KEAHEY,22.63193697871944,22.63193697871944,22.63193697871944,13.406146716815073,31.85772724062381,1,2006,2006,house,65,0,1,,,True,True,high_overperformance,22.63193697871944,True,32.097672881519166,57,341,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-WARREN,Warren,16.375877177074788,6.11922517173331,11.247551174404048,7.150086915170419,15.34501543363768,2,1994,1998,house,64,0,2,2.0,2.0,False,True,high_overperformance,16.375877177074788,True,31.868938620415335,84,251,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-PALMER,Palmer,-28.263501133047622,-28.263501133047622,-28.263501133047622,-37.48929139495199,-19.037710871143258,1,1998,1998,senate,29,0,0,,,False,False,high_overperformance,-28.263501133047622,False,31.729237035847348,352,30,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MIKE-CHAPPELL,MIKE CHAPPELL,-24.245084019224628,-24.245084019224628,-24.245084019224628,-33.470874281129,-15.01929375732026,1,2006,2006,senate,25,0,0,,,True,True,high_overperformance,-24.245084019224628,False,31.710819922024353,340,42,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-CINDY-BELL,Cindy Bell,-24.21709307208,-24.21709307208,-24.21709307208,-33.44288333398437,-14.991302810175632,1,2014,2014,senate,16,0,0,,,True,True,high_overperformance,-24.21709307208,False,31.682828974879726,339,43,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-SULLIVAN,Sullivan,-28.16798972352789,-28.16798972352789,-28.16798972352789,-37.39377998543226,-18.942199461623524,1,1994,1994,senate,34,0,0,,,False,False,high_overperformance,-28.16798972352789,False,31.633725626327614,351,31,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BILLY-BEASLEY,BILLY BEASLEY,10.127470310477204,7.540196754933879,8.83383353270554,0.9016800485728352,16.765987016838245,2,2010,2014,senate,28,1,2,14.0,123.0,True,True,high_overperformance,10.127470310477204,True,31.62053175381775,125,261,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
