candidate_result_id,finance_candidate_cycle_id,build_run_id,state_code,cycle,chamber,district,party_family,candidate_name,total_fundraising,cash_contributions,other_receipts,in_kind_contributions,loans_received,expenditures,ending_cash,finance_observation_status,finance_observed,source_name,source_measure,match_method,match_score,incumbency_support
AL-2018-house-11-R-RANDALL-SHEDD,FIN-477AB8C49998D4C31DAF,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,11,republican,Randall Shedd,102705.0,82055.0,20650.0,3169.66,,45917.92,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-12-R-COREY-HARBISON,FIN-C5BAB6040FBD06D02E2F,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,12,republican,Corey Harbison,156770.0,156770.0,0.0,4339.03,,95125.81,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-13-R-CONNIE-COONER-ROWE,FIN-2A8812DD5D3DB48EC5C7,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,13,republican,Connie Cooner Rowe,174330.0,174330.0,0.0,3616.78,,32327.49,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-14-R-TIM-WADSWORTH,FIN-BC3099094AC1101EB571,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,14,republican,Tim Wadsworth,107102.56,105850.0,1252.56,1967.11,,90214.23,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-15-D-SUZANNA-COLEMAN,FIN-74A1065C5967FB1C33F1,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,15,democratic,Suzanna Coleman,14119.55,12509.55,1610.0,803.72,,13739.25,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-15-R-ALLEN-FARLEY,FIN-34D7E121B66638979D79,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,15,republican,Allen Farley,86182.84,86125.0,57.84,2260.41,,54173.99,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-16-R-KYLE-SOUTH,FIN-D88969F82B1718125CA2,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,16,republican,Kyle South,158415.0,157775.0,640.0,202.14,,121612.11,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-17-R-TRACY-ESTES,FIN-5C253D722518EDD93CFD,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,17,republican,Tracy Estes,137676.99,102676.99,35000.0,12162.69,,124606.79,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-18-D-EDDIE-BRITTON,FIN-811E25F6FFA131CF1264,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,18,democratic,Eddie Britton,48045.0,29035.0,19010.0,15733.41,,47026.34,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-18-R-JAMIE-KIEL,FIN-A5E50C27888424A3BE6F,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,18,republican,Jamie Kiel,195017.68,145017.68,50000.0,3900.82,,141732.1,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-19-D-LAURA-HALL,FIN-4BA83297067C56F8FB5F,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,19,democratic,Laura Hall,111120.09,110405.0,715.09,2632.5,,102134.05,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-2-D-LORA-KAY-MORROW,FIN-A492A6C728E97F6B3791,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,2,democratic,Lora Kay Morrow,13748.97,11922.51,1826.46,1792.47,,13232.43,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-2-R-LYNN-GREER,FIN-47FBCCC02ADDD9399B04,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,2,republican,Lynn Greer,176800.0,76800.0,100000.0,2465.01,,179424.14,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-20-D-LINDA-MEIGS,FIN-4C14591D295EEFB6CAE6,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,20,democratic,Linda Meigs,57521.98,54512.74,3009.24,3388.55,,57521.98,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-20-R-HOWARD-SANDERFORD,FIN-34507EAD8DEB516E5F57,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,20,republican,Howard Sanderford,115100.0,115100.0,0.0,1904.5,,110522.73,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-21-D-TERRY-JONES,FIN-75D14EE9FC58288A2219,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,21,democratic,Terry Jones,0.0,0.0,0.0,0.0,,0.0,,observed_zero,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-21-R-REX-REYNOLDS,FIN-775D65A822C962ED749A,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,21,republican,Rex Reynolds,156920.7,153375.81,3544.8900000000003,4184.24,,123956.79,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-22-R-RITCHIE-WHORTON,FIN-5851A2622A77CA75828A,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,22,republican,Ritchie Whorton,20350.0,20350.0,0.0,325.97,,3380.0,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-23-R-TOMMY-HANES,FIN-9A6949547EF65A1F252B,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,23,republican,Tommy Hanes,112610.16,112610.16,0.0,1860.11,,88139.98,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-24-R-NATHANIEL-LEDBETTER,FIN-21FFF3FAEA7FDFE4506E,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,24,republican,Nathaniel Ledbetter,138480.0,138480.0,0.0,2927.51,,16897.309999999998,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-25-R-MAC-MCCUTCHEON,FIN-39A4BE11ED8510F896EF,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,25,republican,Mac McCutcheon,303115.46,300395.0,2720.46,194.64,,154915.53,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-26-R-KERRY-RICH,FIN-C705945B7DD0BC5B1A21,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,26,republican,Kerry Rich,94570.24,94012.84,557.4,1576.3200000000002,,17015.940000000002,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-27-D-BILL-JONES,FIN-EB26A31BF5D9F72BAFF8,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,27,democratic,Bill Jones,3457.46,2371.38,1086.08,235.08,,3457.46,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,approved_identity_adjudication:FINID-AL-BILL-JONES-HD27,100.0,0
AL-2018-house-27-R-WES-KITCHENS,FIN-8CB53B35621E7753EF0A,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,27,republican,Wes Kitchens,136009.0,116009.0,20000.0,2019.09,,92355.83,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-28-D-KYLE-PIERCE,FIN-186956ACCFD569E827F7,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,28,democratic,Kyle Pierce,35642.04,33527.0,2115.04,6817.94,,35642.04,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-28-R-GIL-F-ISBELL,FIN-6C7BAB9FF7D7284419B8,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,28,republican,Gil F. Isbell,86759.75,85254.0,1505.75,1281.94,,71203.48,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-29-D-JARED-MILLICAN,FIN-095E3047B0DBD5ED1899,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,29,democratic,Jared Millican,15458.67,15458.67,0.0,2143.27,,14305.29,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-29-R-BECKY-NORDGREN,FIN-C31ECEF5C824684E5A5E,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,29,republican,Becky Nordgren,124344.0,124344.0,0.0,3491.49,,95195.23,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-3-D-CHAD-YOUNG,FIN-00736824F04112D048FE,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,3,democratic,Chad Young,90321.42,88117.09,2204.33,17557.5,,88269.56,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-3-R-ANDREW-SORRELL,FIN-C9E6EEBDDBF4360B2D6B,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,3,republican,Andrew Sorrell,370787.48,138849.29,231938.19,32676.65,,370452.0,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-30-D-JARED-VAUGHN,FIN-B20FE99DBF6B914BC83E,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,30,democratic,Jared Vaughn,9265.48,5735.0,3530.48,11388.12,,9265.48,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-30-R-B-CRAIG-LIPSCOMB,FIN-765BDCC54B150EBC42CB,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,30,republican,B. Craig Lipscomb,163810.37,135830.0,27980.37,1758.99,,159198.22,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-31-R-MIKE-HOLMES,FIN-A474A1EA2B167DF499DA,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,31,republican,Mike Holmes,129475.59,124342.88,5132.71,13062.169999999998,,116324.06,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,FIN-99BDE7135E56E72265B6,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,32,democratic,Barbara Bigsby Boyd,80405.0,80405.0,0.0,241.39,,71715.75,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-32-R-JAMES-ALLEN-LLOYD,FIN-BA9AF4CA0ECEAA480918,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,32,republican,James Allen Lloyd,0.0,0.0,0.0,0.0,,0.0,,observed_zero,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-33-D-SCOTT-BREWER,FIN-0BEDB877763372D0240C,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,33,democratic,Scott Brewer,215.0,215.0,0.0,1149.33,,215.0,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-33-R-RON-JOHNSON,FIN-C53A558E47A571B1F6E4,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,33,republican,Ron Johnson,0.0,0.0,0.0,0.0,,0.0,,observed_zero,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-34-R-DAVID-STANDRIDGE,FIN-A6F872706A548557A372,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,34,republican,David Standridge,95075.0,80075.0,15000.0,1452.36,,13364.69,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-35-R-STEVE-HURST,FIN-64F95914D36E70B00CD0,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,35,republican,Steve Hurst,60275.0,55775.0,4500.0,406.44,,2922.06,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-36-D-NICKI-ARNOLD-SWINDLE,FIN-CE297BB72763C2BC0F6B,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,36,democratic,Nicki Arnold-Swindle,8083.56,5059.56,3024.0,905.56,,7284.12,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-36-R-RANDY-WOOD,FIN-6B0BA7746489127BEF4D,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,36,republican,Randy Wood,107020.0,107020.0,0.0,1543.16,,76625.51000000001,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,FIN-B67004BE8F53C491D9ED,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,37,democratic,Charlotte A. Clark-Frieson,17173.66,13238.95,3934.71,9083.38,,16935.93,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-37-R-BOB-FINCHER,FIN-71BED07F94C84A6C0C4D,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,37,republican,Bob Fincher,88434.0,68434.0,20000.0,1875.91,,22596.82,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-38-D-BRIAN-MCGEE,FIN-7C319BB897DBDE01F350,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,38,democratic,Brian McGee,32054.57,13323.0,18731.57,6193.18,,31116.36,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-38-R-DEBBIE-HAMBY-WOOD,FIN-FCD2FA9B75C24D0E29F1,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,38,republican,Debbie Hamby Wood,212236.32,180675.44,31560.88,20110.86,,188112.28,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-39-R-GINNY-SHAVER,FIN-AA8FC2AC38E7759E4F66,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,39,republican,Ginny Shaver,116824.67,106115.0,10709.67,3170.1600000000003,,72841.24,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-4-D-JO-ANN-CUMMINGS,FIN-226900BA365B1CA1024C,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,4,democratic,Jo Ann Cummings,15697.18,5697.18,10000.0,1067.69,,15697.18,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-4-R-PARKER-DUNCAN-MOORE,FIN-D16384819234DB3C9BF4,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,4,republican,Parker Duncan Moore,170422.22,169092.0,1330.22,17757.18,,138460.50999999998,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-40-D-PAMELA-JEAN-HOWARD,FIN-C4032D9EACC824A520AF,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,40,democratic,Pamela Jean Howard,7105.14,7105.14,0.0,1584.07,,6399.12,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-40-R-KOVEN-K-L-BROWN,FIN-E5EBE83648738BBC17E3,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,40,republican,"Koven ""K.L."" Brown",71500.0,71500.0,0.0,3678.02,,43712.49,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-41-D-EMILY-ANNE-MARCUM,FIN-83430A46E1C57AF4C79A,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,41,democratic,Emily Anne Marcum,6528.21,5928.21,600.0,2944.59,,6528.21,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-41-R-CORLEY-ELLIS,FIN-981A790C9B154805896D,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,41,republican,Corley Ellis,105570.0,105570.0,0.0,2870.52,,46191.16,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-42-R-JAMES-M-JIMMY-MARTIN,FIN-F4B7B7010F5D60AF4944,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,42,republican,"James M. ""Jimmy"" Martin",0.0,0.0,0.0,0.0,,0.0,,observed_zero,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-43-D-CARIN-MAYO,FIN-488774264F61E7D1EBD6,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,43,democratic,Carin Mayo,10784.93,10784.93,0.0,3371.08,,10733.65,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-43-R-ARNOLD-G-MOONEY-II,FIN-BB5E1FB57F0A70C66352,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,43,republican,Arnold G. Mooney II,256760.0,256760.0,0.0,7210.88,,63830.37,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-44-R-DANNY-GARRETT,FIN-238A5D2F73BC49DB9BFF,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,44,republican,Danny Garrett,53250.0,53250.0,0.0,0.0,,28505.0,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-45-D-JENN-GRAY,FIN-CAB42168F6B2102CB315,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,45,democratic,Jenn Gray,37133.05,35163.69,1969.36,3666.56,,34500.55,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-45-R-DICKIE-DRAKE,FIN-F9A7FBE3AB91F9A2CFDA,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,45,republican,Dickie Drake,235700.0,226050.0,9650.0,11816.8,,223714.41,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-46-D-FELICIA-STEWART,FIN-397A4822931D7CE6A3A7,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,46,democratic,Felicia Stewart,121142.03,121042.03,100.0,14178.68,,112230.53,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-46-R-DAVID-FAULKNER,FIN-18744CD23494D50D3F77,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,46,republican,David Faulkner,270930.0,270655.0,275.0,1698.16,,189659.33,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-47-D-JIM-TOOMEY,FIN-3B812B0EA2C3CB187126,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,47,democratic,Jim Toomey,41531.1,41518.14,12.96,2117.78,,38096.95,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-47-R-DAVID-WHEELER,FIN-9FBEE71A9F32E2776CD0,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,47,republican,David Wheeler,167235.02000000002,161235.02000000002,6000.0,824.38,,66377.98999999999,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-48-D-ALLI-SUMMERFORD,FIN-6AE53A5902A2A9947AC6,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,48,democratic,Alli Summerford,76487.23,76187.23,300.0,18912.55,,76487.23,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,approved_identity_adjudication:FINID-AL-ALLI-SUMMERFORD-HD48,100.0,0
AL-2018-house-48-R-JIM-CARNS,FIN-11803F1C06ACE4E4E91F,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,48,republican,Jim Carns,160275.0,160275.0,0.0,2513.38,,126428.28,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
