Candidate,Candidate Status,Beginning Funds on Hand,Monetary Contributions,Monetary Expenditures,Non-Monetary Contributions,Other Receipts,Ending Funds on Hand,Year
"JEFFCOAT, JEREMY EDWIN",Dissolved,0.0,15170.14,15170.14,9010.42,0.0,0.0,2019
"JESSUP, RUSTY MICHAEL",Dissolved,0.0,36775.0,49275.0,1553.5,12500.0,0.0,2019
"JOHNS, JOYFUL LEIGH",Active,0.0,6594.01,9165.1,154.6,3141.47,570.38,2026
"JOHNSON, KEN CLEO",Active,14020.77,69127.95,70847.28,1271.3,48068.4,33386.11,2026
"JOHNSON, RONALD G",Active,55503.47,148702.0,187074.42,1846.98,0.0,48779.67,2021
"JOHNSON, TERRENCE KAREEM",Dissolved,0.0,2045.0,2140.39,6389.4,0.0,-95.39,2021
"JOHNSON, VERONICA ROCHELLE",Dissolved,0.0,3720.83,3735.57,50.0,0.0,-14.74,2022
"JOHNSON, WAYNE",Active,16055.63,23533.35,41174.78,7644.14,294.95,11924.34,2026
"JONES, CLYDE TERRY",Dissolved,5299.26,16604.35,21384.71,2316.94,0.0,518.9,2018
"JONES, ""DR"" EARL CARTER",Dissolved,0.0,0.0,0.0,3406.08,0.0,0.0,2019
"JONES, MICHAEL L",Dissolved,44479.45,191800.0,256936.68,907.78,0.0,0.0,2022
"JONES, PATRICIA ANN",Dissolved,0.0,47634.21,58145.89,4882.4,10511.68,0.0,2018
"JONES, SAMUEL L",Active,0.0,119325.92,125786.27,18153.82,1325.0,21236.44,2025
"JONES, WILLIAM B",Dissolved,0.0,2371.38,3457.46,235.08,1086.08,0.0,2018
"KIEL, JAMIE GLENN",Active,0.0,179967.68,202169.44,4050.82,50000.0,114425.57,2025
"KING, JB",Dissolved,0.0,9942.89,10021.64,2768.44,78.75,273.21,2019
"KIRKLAND, KRISTY",Active,0.0,5110.0,5660.0,1396.32,550.0,0.0,2022
"KITCHENS, WESLEY THOMAS",Dissolved,0.0,145009.0,248051.0,2429.98,20000.0,0.0,2025
"KLING, MARY WYNNE",Dissolved,0.0,22489.5,22489.5,4255.25,0.0,0.0,2019
"KNIGHT, JOHN F",Dissolved,18440.31,38510.25,45963.64,0.0,256.73,0.0,2018
"LARUE, JUDY",Dissolved,0.0,0.0,0.0,1087.6,100.0,100.0,2018
"LAWRENCE, KELVIN J",Active,10152.88,162175.0,163368.88,1866.96,67.06,6956.22,2025
"LEDBETTER, NATHANIEL DAVID",Active,40509.25,186980.0,135516.3,8034.69,0.0,387172.9,2025
"LEE, HUMPHREY",Dissolved,0.0,44420.0,54068.0,0.0,9648.0,0.0,2019
"LEE, PAUL WESLEY",Active,66765.62,168250.0,121092.35,6733.72,193.9,227197.46,2025
"LEFLORE, BURTON R.",Dissolved,0.0,0.0,20052.0,1394.21,20052.0,0.0,2023
"LIPSCOMB, BRANDON CRAIG",Active,0.0,193480.0,244301.93,1758.99,28070.29,42358.35,2025
"LOVVORN, JOSEPH FLOY",Active,8371.57,238113.95,166818.04,7527.33,12191.13,274456.88,2025
"MACK, RAYFORD AUNDRE",Dissolved,173.46,9240.0,10463.47,1346.75,622.0,516.41,2022
"MALONEY, TIMOTHY J",Dissolved,0.0,106199.0,108238.9,19665.0,2039.9,0.0,2019
"MARCUM, EMILY ANNE",Dissolved,0.0,5928.21,6528.21,2944.59,600.0,0.0,2018
"MARQUES, RHETT WILLIAM",Active,0.0,119320.18,121518.65,1455.45,8250.0,83035.22,2025
"MARTIN, JAMES M",Active,7030.1,130651.14,139851.57,907.41,50500.0,27904.93,2019
"MARTIN, TERRY DARRELL",Dissolved,0.0,17610.0,21610.0,23489.82,4000.0,0.0,2019
"MASHBURN-MYRICK, IDA DANIELLE",Dissolved,0.0,58758.51,58758.51,9387.19,0.0,0.0,2023
"MAYO, CARIN",Dissolved,0.0,10784.93,10733.65,3371.08,0.0,51.28,2019
"MCCAMPBELL, ARTIS J",Active,105803.3,85950.0,173631.67,1053.42,579.01,51042.99,2025
"MCCARTY, WALTER THOMAS ARIN",Dissolved,0.0,2180.0,3455.14,106.36,1275.14,0.0,2018
"MCCLAMMY, THAD",Active,3100.0,91975.0,72405.38,35975.0,0.0,-22258.16,2021
"MCCUTCHEON, MAC",Dissolved,186516.56,320395.0,511293.02,194.64,4381.46,0.0,2023
"MCFARLAND, JAMES WILLIAM ""BILLY""",Dissolved,0.0,20466.0,93516.0,781.25,73050.0,0.0,2018
"MCGEE, BRIAN",Dissolved,0.0,13323.0,32054.57,6193.18,18731.57,0.0,2021
"MCKAY, ROBERT",Dissolved,0.0,29100.0,59200.0,0.0,30100.0,0.0,2018
"MCMILLAN, STEPHEN A.",Dissolved,11043.91,43538.14,62418.66,1016.85,0.0,5398.0,2022
"MCMILLION, FRANKLIN SYLSVESTER",Dissolved,0.0,2837.31,2837.4,0.0,0.0,-0.09,2018
"MCNAIR, MICHAEL STEPHEN",Dissolved,0.0,95359.0,116359.0,7942.01,21000.0,0.0,2020
"MEIGS, LINDA MORRIS",Dissolved,0.0,54512.74,57521.98,3388.55,3009.24,0.0,2019
"MILLICAN, TIMOTHY JARED",Dissolved,0.0,15458.67,14305.29,2143.27,0.0,1153.38,2018
"MOONEY, ARNOLD G",Active,25453.92,285560.0,207811.9,11785.49,17183.48,282922.94,2025
"MOORE, MARY ANN",Active,29891.2,58150.0,72101.87,2093.16,0.0,981.32,2025
"MOORE, PARKER DUNCAN",Active,4458.74,103999.0,82436.44,6841.24,730.22,117566.44,2025
"MORRIS, TASHINA MONET",Active,925.14,31192.0,34817.14,2250.14,0.0,215.32,2024
"MORROW, JOHNNY MACK",Dissolved,10941.27,79625.0,237600.83,396.66,72.49,0.0,2017
"MORROW, JUSTIN KYLE",Dissolved,0.0,1725.0,1593.25,2879.66,0.0,131.75,2019
"MORROW, LORA KAY",Dissolved,0.0,11922.51,13748.97,1792.47,1826.46,0.0,2020
"MURPHY, BRYAN",Dissolved,0.0,6221.75,8777.56,3480.95,0.0,-2555.81,2018
"NORDGREN, BECKY",Dissolved,27941.12,133744.0,161685.12,8540.7,0.0,0.0,2021
"OGLESBY, JANET AGATHA",Dissolved,0.0,2475.0,3595.0,88.49,1120.0,0.0,2018
"OLIVER, EDWARD BANKS",Active,0.0,120247.46,139294.65,5141.48,3050.0,61991.69,2024
"OPOLKA, RONNIE EUGENE",Dissolved,0.0,8167.35,10167.35,-725.14,2000.0,0.0,2018
"ORR, CHARLES ANTHONY",Dissolved,0.0,7240.04,39192.56,1076.36,32000.0,47.48,2020
"PARAMORE, MARCUS B.",Dissolved,0.0,115407.5,117433.9,4769.22,2026.4,0.0,2020
"PARKER, ADAM EUGENE",Dissolved,0.0,39859.0,44401.51,2080.0,4542.51,0.0,2018
"PATTERSON, JAMES M.",Dissolved,14007.63,48532.05,70082.48,0.0,0.0,0.0,2017
"PETTUS, PHILLIP J",Active,0.0,189454.01,198749.17,8330.41,11582.02,69996.06,2025
"PIERCE, KYLE DAVID",Dissolved,0.0,33527.0,35642.04,6817.94,2115.04,0.0,2019
"POLIZOS, DIMITRI",Dissolved,41965.5,102250.0,148050.4,7852.99,3834.9,0.0,2021
"POOLE, WILLIAM",Active,135334.0,220600.0,147308.67,194.64,2000.0,190937.71,2026
"PORTER, CHESTER W.",Dissolved,0.0,3925.0,8925.0,0.0,5000.0,0.0,2018
"PRESTON, THOMAS RYAN",Active,0.0,2655.0,10455.0,0.0,7800.0,0.0,2022
"PRINGLE, CHRIS",Active,24881.16,109425.0,131015.73,2202.14,0.0,81061.99,2025
"RAFFERTY, NEIL",Active,0.0,120118.02,136945.73,1786.61,2084.02,64816.86,2025
"RAUCH, TODD ROBERT",Dissolved,0.0,44944.39,45869.77,5245.39,1000.0,0.0,2018
"REED, RONNIE",Dissolved,0.0,1650.0,1650.0,4419.52,0.0,0.0,2019
"REEVES, LISTER H.",Dissolved,1000.0,15850.0,16850.0,5700.37,0.0,0.0,2018
"REYNOLDS, REX",Active,0.0,158545.81,129678.35,4029.85,4152.89,82323.89,2025
"RICH, KERRY",Active,13079.95,99512.84,88204.63,1576.32,2259.19,26647.35,2026
"RILEY, ANTHONY DALE",Active,0.0,73725.0,70924.99,557.37,50.0,2850.01,2024
"ROBBINS, BENJAMIN WAYNE",Active,0.0,25948.16,129351.54,3389.0,0.0,35585.3,2025
"ROBERTSON, PRONCEY",Active,0.0,105401.71,115235.89,23493.4,6400.0,29506.66,2026
"ROGERS, JOHN WESLEY",Active,-26837.0,61700.0,62872.18,24.16,0.0,17442.24,2024
"ROWE, CONNIE COONER",Dissolved,0.0,180914.99,175391.86,5333.3,0.0,0.0,2024
"SANDERFORD, JAMES HOWARD",Dissolved,70384.03,118550.0,216545.73,1904.5,27411.7,0.0,2025
"SCOTT, RODERICK HAMPTON",Dissolved,18651.13,169199.0,163765.62,1795.89,5000.0,0.0,2025
"SEGRAVES, PHILLIP WAYNE",Dissolved,0.0,24784.31,25846.45,3012.31,1062.14,0.0,2018
"SELASE, SEYRAM",Dissolved,0.0,4589.92,7589.92,0.0,3000.0,0.0,2019
"SELLS, CHRIS",Active,0.0,372326.52,339044.13,5821.42,145000.0,194680.09,2025
"SELMAN-LYNN, AMBER",Dissolved,0.0,11548.96,11548.96,7159.93,0.0,0.0,2019
"SESSIONS, DAVID",Dissolved,2978.74,4325.0,43244.67,0.0,0.0,0.0,2017
"SEXTON, STEPHEN",Dissolved,0.0,12070.33,12070.33,0.0,0.0,0.0,2020
"SHAVER, GINNY",Active,0.0,118415.0,110923.8,3170.16,10719.54,69717.82,2025
"SHEDD, RANDALL ",Active,0.0,105555.0,141344.89,4208.71,46050.0,49475.95,2026
"SHELBY, JASON MATTHEW",Dissolved,0.0,3765.0,3729.33,0.0,0.0,35.67,2018
"SHIVER, HARRY",Dissolved,54068.03,126677.14,180745.17,2347.87,0.0,0.0,2023
"SHOUB, BELINDA HAMILTON",Dissolved,0.0,9220.54,12594.35,6173.13,3373.81,0.0,2018
"SIMPSON, MATT",Active,0.0,157935.0,134943.34,2738.1,100.0,42481.39,2025
"SIMPSON, MICHAEL RAY",Dissolved,0.0,13273.34,13273.34,1924.56,0.0,0.0,2018
"SMITH, SUSAN ELAINE",Dissolved,0.0,11795.59,19832.49,10142.0,8036.9,0.0,2021
"SORRELL, JUSTIN ANDREW",Dissolved,0.0,221649.29,459499.95,36219.25,238188.19,0.0,2022
"SORRELLS, JEFF ALAN",Active,0.0,70055.0,83955.3,1355.55,7387.25,49355.23,2025
"SOUTH, KYLE",Active,48009.56,193675.0,270418.94,202.14,51687.75,88769.54,2026
"STADTHAGEN, SCOTT",Active,0.0,109333.97,160723.56,30268.27,4581.9,38800.38,2025
"STANDRIDGE, DAVID",Active,81555.05,121356.81,138950.06,1560.05,35000.0,154486.94,2025
"STEWART, FELICIA",Dissolved,0.0,121042.03,114958.82,14178.68,100.0,6183.21,2020
"STRINGER, SHANE",Active,0.0,127091.58,137871.04,23821.59,5565.0,53354.28,2025
"STRONG, DONNA DOROUGH",Dissolved,0.0,10050.0,10241.48,2889.3,191.48,0.0,2020
"SULLIVAN, WILLIAM RODNEY",Dissolved,0.0,138749.73,141295.89,541.0,2500.0,-46.16,2023
"SWINDLE, CONSTANCE NICOLE ARNOLD",Dissolved,0.0,5059.56,7284.12,905.56,3024.0,799.44,2020
"TALBERT, CHARLES W.",Dissolved,0.0,2555.94,2555.94,2336.81,0.0,0.0,2023
"THOMAS, HERMAN",Dissolved,0.0,12750.0,12750.0,9050.0,0.0,0.0,2021
"TODD, PATRICIA ANN",Dissolved,14448.76,32825.0,49844.91,2000.0,0.0,-2571.15,2018
"TOOMEY, JAMES CLAUDE",Dissolved,0.0,41518.14,41531.1,2117.78,12.96,0.0,2020
"TREADAWAY, BENJAMIN ALLEN",Active,21061.52,55200.0,36229.81,0.0,0.0,68122.05,2025
"TURNER, CHRISTOPHER",Dissolved,0.0,7825.0,8825.0,0.0,1000.0,0.0,2018
"VAUGHN, JARED",Dissolved,0.0,5735.0,9265.48,11388.12,3530.48,0.0,2018
"WADSWORTH, TIM",Active,16714.23,121450.0,124197.84,1967.11,3977.29,51451.28,2025
"WARREN, PEBBLIN WALKER",Active,16833.22,158492.31,197721.86,4764.07,754.96,33409.48,2025
"WASHINGTON, RICO B",Dissolved,0.0,4319.24,4319.24,0.0,0.0,0.0,2021
"WEAVER, APRIL C",Dissolved,92191.31,241122.18,344636.05,5645.4,11322.56,0.0,2020
"WENTOWSKI, WILLIAM CAREY",Dissolved,0.0,76881.48,57738.14,1472.72,0.0,0.0,2026
"WHEELER, DAVID WILLIAM",Dissolved,16864.42,170235.77,95473.16,1173.28,6000.0,164710.81,2024
"WHETSTONE, JOANNE",Dissolved,0.0,18488.18,20788.18,3246.23,2300.0,0.0,2021
"WHITE, CLARKE J",Dissolved,0.0,18860.0,28860.0,5450.0,10000.0,0.0,2019
"WHITING, RICHARD WEBSTER",Dissolved,0.0,1201.29,2276.29,226.0,1075.0,0.0,2018
"WHITT, ANDY",Active,0.0,134065.0,94631.53,1723.16,2500.0,128266.04,2025
"WHORTON, RITCHIE AARON",Dissolved,52931.61,117526.38,102793.3,3121.15,0.0,66664.69,2019
"WHORTON, RITCHIE AARON",Active,3465.64,55350.0,52614.59,0.0,50000.0,56183.8,2025
"WHORTON, WILLIAM ISAAC",Dissolved,7163.43,28000.0,21002.01,0.0,0.0,0.0,2023
"WILCOX, JULIA MARGARET",Active,30780.77,117182.42,135605.42,2284.28,128.82,83964.28,2025
"WILLIAMS, BRIAN DEQUIS",Dissolved,0.0,2888.1,9037.53,799.0,6162.13,12.7,2020
"WILLIAMS, JOEL LEE",Dissolved,0.0,37450.0,47450.0,2110.26,10000.0,0.0,2019
"WILLIAMS, KELVIN",Dissolved,0.0,0.0,2322.16,0.0,2322.16,0.0,2018
"WILLIS, POLAN DRAUGHN",Dissolved,0.0,2660.0,79797.14,2478.4,92821.15,0.0,2019
"WILSON, JAMES",Dissolved,0.0,57200.0,59830.93,1000.14,5000.0,2369.07,2018
"WINGO, RICH ALLEN",Dissolved,41554.03,55000.0,96554.03,1293.25,0.0,0.0,2024
"WOMACK, ANTWON BERNARD",Dissolved,0.0,703.0,703.0,1849.14,0.0,0.0,2018
"WOOD, DEBBIE HAMBY",Dissolved,0.0,217675.44,321792.33,20110.86,31660.88,0.0,2026
"WOOD, RANDY",Active,127355.17,118020.0,252978.43,1543.16,28802.72,51206.3,2025
"YOUNG, WILLIAM CHAD",Dissolved,0.0,88117.09,90321.42,17557.5,2204.33,0.0,2022
