Candidate,Candidate Status,Beginning Funds on Hand,Monetary Contributions,Monetary Expenditures,Non-Monetary Contributions,Other Receipts,Ending Funds on Hand,Year
"ORR, ARTHUR",Active,167673.26,519085.0,134419.72,7377.69,131815.45,1320105.71,2026
"PEACOCK, WILLIAM JEFFERY",Dissolved,0.0,9295.0,11220.02,550.0,1925.02,0.0,2017
"PITTMAN, TRIP ",Active,2732.0,112735.0,105641.92,1457.23,1000.0,7705.08,2026
"POOLE, VICTOR PHILLIPS",Dissolved,0.0,224585.0,224679.0,2825.72,94.0,0.0,2018
"REED, GREG J",Active,42010.21,398189.75,283235.17,7614.23,104019.37,781890.88,2026
"RITCH, ADAM GLENN",Dissolved,0.0,11367.35,11315.3,0.0,1901.74,1953.79,2017
"ROBERTS, JAMES S",Dissolved,0.0,19225.0,72192.12,0.0,52967.12,0.0,2017
"ROSS, QUINTON T",Dissolved,22115.47,213400.0,238438.37,0.0,2922.9,0.0,2019
"SANDERS, HENRY",Dissolved,79140.88,221096.43,325172.24,61.47,0.0,-24934.93,2024
"SANFORD, PAUL",Dissolved,0.0,301056.0,301056.0,10241.54,0.0,0.0,2023
"SAVAGE, JOHN ANTHONY",Dissolved,0.0,12173.47,17179.65,125.0,5006.18,0.0,2014
"SCOFIELD, CLAY DANIEL",Active,2554.89,233715.0,64200.89,928.23,307.0,551284.9,2026
"SEIBERT, CHRIS",Active,0.0,84438.0,107449.15,0.0,23406.01,394.86,2026
"SEXTON, STEPHEN",Dissolved,0.0,45599.0,45599.0,0.0,0.0,0.0,2015
"SHELNUTT, SHAY WESLEY",Active,0.0,491950.56,680845.83,19501.92,155714.99,307859.02,2025
"SINGLETON, BOBBY D",Active,35760.49,411350.0,401886.2,9420.0,2576.53,312978.54,2025
"SMITHERMAN, RODGER MELL",Active,1153.1,241100.0,384142.95,0.0,2949.28,144244.84,2025
"SMITH, HARRI ANNE",Dissolved,80.04,699395.0,768208.42,473.78,268733.38,0.0,2018
"SMITH, SUSAN ELAINE",Dissolved,0.0,143435.0,158435.0,18312.29,15000.0,0.0,2017
"SPRAYBERRY, TIM",Dissolved,0.0,70946.47,74671.87,95733.78,3725.4,0.0,2015
"STEWART, WILLIAM TAYLOR",Active,0.0,1108887.48,1176364.63,33382.56,9161.64,-58315.51,2022
"STUTTS, LARRY COLLINS",Active,0.0,674501.53,807686.12,51255.6,215331.52,51167.8,2024
"TAYLOR, BRYAN MCDANIEL",Dissolved,21840.46,26755.0,49531.55,8500.0,936.09,0.0,2016
"TURNER, JAMES DARRELL",Dissolved,0.0,190643.94,190643.94,31380.35,0.0,0.0,2017
"WAGGONER, JAMES T",Active,46025.71,422569.89,461176.58,1855.88,0.0,455142.31,2025
"WARD, CAM ",Active,25373.84,357141.78,511993.92,18483.37,10000.0,10713.7,2026
"WHATLEY, TOM",Dissolved,63904.24,1237184.3,1348531.23,51681.97,279300.99,0.0,2023
"WHITLOCK, BRUCE",Active,0.0,25399.0,28899.21,295.08,3500.0,-0.21,2026
"WILLIAMS, PHILLIP WAYNE",Dissolved,9491.47,778044.5,787859.72,27645.06,323.75,0.0,2025
