model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
state_chamber_incumbency,leave_state_out,NC,316,10.973667520210334,13.56854753616935,-5.155956626597268,0.8734177215189873,12.250231903058932
state_chamber_incumbency,leave_state_out,OK,98,15.828243734301042,21.15358725437802,13.152587460537005,0.7959183673469388,25.849983103558458
state_chamber_incumbency,leave_state_out,SC,36,17.80378673223368,21.187163920384737,16.782521346695333,0.8333333333333334,24.61162981290703
state_chamber_incumbency,leave_state_out,TN,321,13.0321582386512,16.652558256640305,-0.4211851800686552,0.8442367601246106,14.910798091167683
state_chamber_incumbency,leave_state_out,TX,426,12.95825637722901,15.901113047629874,-5.758718060198075,0.852112676056338,15.952938183376036
state_chamber_lag,leave_state_out,AL,52,17.593012345506402,21.889039342745487,13.388716126322054,0.8076923076923077,14.214555689629684
state_chamber_lag,leave_state_out,AR,110,16.796865286734988,21.129192073675476,-15.646707022578163,0.8090909090909091,
state_chamber_lag,leave_state_out,FL,69,20.48963623018953,24.027793564927425,20.203723957150885,0.8695652173913043,24.027793564927425
state_chamber_lag,leave_state_out,GA,96,18.59493351048629,20.074582074160173,-17.815647967618094,0.78125,15.463254414971777
state_chamber_lag,leave_state_out,KY,66,18.181241957401674,23.199693503477647,-0.04216511986728784,0.6818181818181818,21.66697050944712
state_chamber_lag,leave_state_out,MO,812,16.059228815174947,19.326874011548632,-11.869067881910318,0.7278325123152709,18.059578547476356
state_chamber_lag,leave_state_out,NC,316,11.311927762730287,14.329867661816403,-3.5394879835074553,0.8481012658227848,13.725966381383758
state_chamber_lag,leave_state_out,OK,98,18.62067245378989,24.405559961067958,11.748794355607826,0.7653061224489796,28.712164153951317
state_chamber_lag,leave_state_out,SC,36,17.37997871624861,21.867634032869265,16.20344607152741,0.8333333333333334,34.20177792840779
state_chamber_lag,leave_state_out,TN,321,15.567327541053233,19.41637739536942,0.04728703220140524,0.7850467289719626,17.994712887412796
state_chamber_lag,leave_state_out,TX,426,13.814484460160953,16.693126696998426,-7.018937574284274,0.8051643192488263,16.744690399570437
symmetric_incumbency,leave_state_out,AL,52,17.226288764198063,21.119646036800905,14.88723136767112,0.8076923076923077,8.610017744444725
symmetric_incumbency,leave_state_out,AR,110,14.902403578307432,18.98448985661747,-13.577336245664556,0.8363636363636363,
symmetric_incumbency,leave_state_out,FL,69,25.47965422113007,27.64028251349023,25.133991148089038,0.8695652173913043,27.64028251349023
symmetric_incumbency,leave_state_out,GA,96,10.939863554123514,13.401894900723152,-9.211398256455148,0.8541666666666666,13.296284768334353
symmetric_incumbency,leave_state_out,KY,66,15.39649892433457,20.26638757174715,0.6375661100444021,0.7575757575757576,18.51822916730328
symmetric_incumbency,leave_state_out,MO,812,11.09956577998189,14.067555438292965,-6.205314533334706,0.833743842364532,13.540191795096469
symmetric_incumbency,leave_state_out,NC,316,9.889740210112116,12.55762094786784,-1.2742302406949528,0.870253164556962,11.58153135836749
symmetric_incumbency,leave_state_out,OK,98,18.28344352068464,23.544436426481315,16.986624190449167,0.8061224489795918,28.04981905869737
symmetric_incumbency,leave_state_out,SC,36,20.853009485820998,24.350729754941746,20.619167024868986,0.8333333333333334,28.231528562015257
symmetric_incumbency,leave_state_out,TN,321,13.284200064635634,17.2755141027442,4.53797879530997,0.8442367601246106,16.196690116609943
symmetric_incumbency,leave_state_out,TX,426,12.154386239349577,14.98600698955101,-0.9129672040454228,0.8615023474178404,15.04690484908642
