county,precinct,office,district,party,candidate,votes
Autauga,100 TRINITY METHODIST,Attorney General,,,Over Votes,1
Autauga,100 TRINITY METHODIST,Attorney General,,,Under Votes,21
Autauga,100 TRINITY METHODIST,Ballots Cast,,,Ballots Cast - Total,1781
Autauga,100 TRINITY METHODIST,Commissioner of Agriculture and Industries,,NON,Write-ins,16
Autauga,100 TRINITY METHODIST,Commissioner of Agriculture and Industries,,REP,Rick Pate,1445
Autauga,100 TRINITY METHODIST,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Commissioner of Agriculture and Industries,,,Under Votes,320
Autauga,100 TRINITY METHODIST,Governor,,DEM,Walt Maddox,333
Autauga,100 TRINITY METHODIST,Governor,,NON,Write-ins,4
Autauga,100 TRINITY METHODIST,Governor,,REP,Kay Ivey,1436
Autauga,100 TRINITY METHODIST,Governor,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Governor,,,Under Votes,8
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,DEM,Will Boyd,288
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,NON,Write-ins,0
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,REP,Will Ainsworth,1470
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,,Under Votes,23
Autauga,100 TRINITY METHODIST,Secretary of State,,DEM,Heather Milam,299
Autauga,100 TRINITY METHODIST,Secretary of State,,NON,Write-ins,3
Autauga,100 TRINITY METHODIST,Secretary of State,,REP,John H. Merrill,1436
Autauga,100 TRINITY METHODIST,Secretary of State,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Secretary of State,,,Under Votes,43
Autauga,100 TRINITY METHODIST,State Auditor,,DEM,Miranda Karrine Joseph,337
Autauga,100 TRINITY METHODIST,State Auditor,,NON,Write-ins,2
Autauga,100 TRINITY METHODIST,State Auditor,,REP,Jim Zeigler,1390
Autauga,100 TRINITY METHODIST,State Auditor,,,Over Votes,0
Autauga,100 TRINITY METHODIST,State Auditor,,,Under Votes,52
Autauga,100 TRINITY METHODIST,State House,88,DEM,Cory Creel,252
Autauga,100 TRINITY METHODIST,State House,88,NON,Write-ins,3
Autauga,100 TRINITY METHODIST,State House,88,REP,Will Dismukes,1499
Autauga,100 TRINITY METHODIST,State House,88,,Over Votes,0
Autauga,100 TRINITY METHODIST,State House,88,,Under Votes,27
Autauga,100 TRINITY METHODIST,State Senate,30,NON,Write-ins,27
Autauga,100 TRINITY METHODIST,State Senate,30,REP,"Clyde Chambliss, Jr.",1494
Autauga,100 TRINITY METHODIST,State Senate,30,,Over Votes,0
Autauga,100 TRINITY METHODIST,State Senate,30,,Under Votes,260
Autauga,100 TRINITY METHODIST,State Treasurer,,NON,Write-ins,18
Autauga,100 TRINITY METHODIST,State Treasurer,,REP,John McMillan,1446
Autauga,100 TRINITY METHODIST,State Treasurer,,,Over Votes,0
Autauga,100 TRINITY METHODIST,State Treasurer,,,Under Votes,317
Autauga,100 TRINITY METHODIST,Straight Party,,DEM,Alabama Democratic Party,150
Autauga,100 TRINITY METHODIST,Straight Party,,REP,Alabama Republican Party,916
Autauga,100 TRINITY METHODIST,Straight Party,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Straight Party,,,Under Votes,715
Autauga,100 TRINITY METHODIST,U.S. House,2,DEM,Tabitha Isner,391
Autauga,100 TRINITY METHODIST,U.S. House,2,NON,Write-ins,1
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Martha Roby,1375
Autauga,100 TRINITY METHODIST,U.S. House,2,,Over Votes,1
Autauga,100 TRINITY METHODIST,U.S. House,2,,Under Votes,13
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,DEM,Joseph Siegelman,160
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,REP,Steve Marshall,94
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,,Under Votes,1
Autauga,110 CENTRAL AL ELECTRIC,Ballots Cast,,,Ballots Cast - Total,255
Autauga,110 CENTRAL AL ELECTRIC,Commissioner of Agriculture and Industries,,NON,Write-ins,3
Autauga,110 CENTRAL AL ELECTRIC,Commissioner of Agriculture and Industries,,REP,Rick Pate,106
Autauga,110 CENTRAL AL ELECTRIC,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Commissioner of Agriculture and Industries,,,Under Votes,146
Autauga,110 CENTRAL AL ELECTRIC,Governor,,DEM,Walt Maddox,149
Autauga,110 CENTRAL AL ELECTRIC,Governor,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Governor,,REP,Kay Ivey,106
Autauga,110 CENTRAL AL ELECTRIC,Governor,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Governor,,,Under Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,DEM,Will Boyd,157
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,REP,Will Ainsworth,97
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,,Under Votes,1
Autauga,110 CENTRAL AL ELECTRIC,Secretary of State,,DEM,Heather Milam,154
Autauga,110 CENTRAL AL ELECTRIC,Secretary of State,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Secretary of State,,REP,John H. Merrill,97
Autauga,110 CENTRAL AL ELECTRIC,Secretary of State,,,Over Votes,1
Autauga,110 CENTRAL AL ELECTRIC,Secretary of State,,,Under Votes,3
Autauga,110 CENTRAL AL ELECTRIC,State Auditor,,DEM,Miranda Karrine Joseph,154
Autauga,110 CENTRAL AL ELECTRIC,State Auditor,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,State Auditor,,REP,Jim Zeigler,98
Autauga,110 CENTRAL AL ELECTRIC,State Auditor,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State Auditor,,,Under Votes,3
Autauga,110 CENTRAL AL ELECTRIC,State House,69,DEM,Kelvin Jamichael Lawrence,166
Autauga,110 CENTRAL AL ELECTRIC,State House,69,NON,Write-ins,7
Autauga,110 CENTRAL AL ELECTRIC,State House,69,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State House,69,,Under Votes,82
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,NON,Write-ins,2
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,REP,"Clyde Chambliss, Jr.",107
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,,Under Votes,146
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,NON,Write-ins,4
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,REP,John McMillan,107
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,,Under Votes,144
Autauga,110 CENTRAL AL ELECTRIC,Straight Party,,DEM,Alabama Democratic Party,138
Autauga,110 CENTRAL AL ELECTRIC,Straight Party,,REP,Alabama Republican Party,59
Autauga,110 CENTRAL AL ELECTRIC,Straight Party,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Straight Party,,,Under Votes,58
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,DEM,Tabitha Isner,159
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Martha Roby,94
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,,Under Votes,2
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,DEM,Joseph Siegelman,325
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,REP,Steve Marshall,256
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,,Under Votes,9
Autauga,140 AUTAUGAVILLE VFD,Ballots Cast,,,Ballots Cast - Total,592
Autauga,140 AUTAUGAVILLE VFD,Commissioner of Agriculture and Industries,,NON,Write-ins,9
Autauga,140 AUTAUGAVILLE VFD,Commissioner of Agriculture and Industries,,REP,Rick Pate,289
Autauga,140 AUTAUGAVILLE VFD,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Commissioner of Agriculture and Industries,,,Under Votes,294
Autauga,140 AUTAUGAVILLE VFD,Governor,,DEM,Walt Maddox,308
Autauga,140 AUTAUGAVILLE VFD,Governor,,NON,Write-ins,0
Autauga,140 AUTAUGAVILLE VFD,Governor,,REP,Kay Ivey,280
Autauga,140 AUTAUGAVILLE VFD,Governor,,,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,Governor,,,Under Votes,3
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,DEM,Will Boyd,314
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,REP,Will Ainsworth,271
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,,Under Votes,6
Autauga,140 AUTAUGAVILLE VFD,Secretary of State,,DEM,Heather Milam,308
Autauga,140 AUTAUGAVILLE VFD,Secretary of State,,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,Secretary of State,,REP,John H. Merrill,273
Autauga,140 AUTAUGAVILLE VFD,Secretary of State,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Secretary of State,,,Under Votes,10
Autauga,140 AUTAUGAVILLE VFD,State Auditor,,DEM,Miranda Karrine Joseph,314
Autauga,140 AUTAUGAVILLE VFD,State Auditor,,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,State Auditor,,REP,Jim Zeigler,264
Autauga,140 AUTAUGAVILLE VFD,State Auditor,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,State Auditor,,,Under Votes,13
Autauga,140 AUTAUGAVILLE VFD,State House,69,DEM,Kelvin Jamichael Lawrence,351
Autauga,140 AUTAUGAVILLE VFD,State House,69,NON,Write-ins,9
Autauga,140 AUTAUGAVILLE VFD,State House,69,,Over Votes,1
Autauga,140 AUTAUGAVILLE VFD,State House,69,,Under Votes,231
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,NON,Write-ins,7
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,REP,"Clyde Chambliss, Jr.",296
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,,Under Votes,289
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,NON,Write-ins,10
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,REP,John McMillan,287
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,,Under Votes,295
Autauga,140 AUTAUGAVILLE VFD,Straight Party,,DEM,Alabama Democratic Party,267
Autauga,140 AUTAUGAVILLE VFD,Straight Party,,REP,Alabama Republican Party,186
Autauga,140 AUTAUGAVILLE VFD,Straight Party,,,Over Votes,3
Autauga,140 AUTAUGAVILLE VFD,Straight Party,,,Under Votes,136
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,DEM,Tabitha Isner,326
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,NON,Write-ins,2
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Martha Roby,254
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,,Over Votes,2
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,,Under Votes,8
Autauga,150 PRATTMONT BAPTIST CH,Attorney General,,DEM,Joseph Siegelman,198
Autauga,150 PRATTMONT BAPTIST CH,Attorney General,,NON,Write-ins,0
Autauga,150 PRATTMONT BAPTIST CH,Attorney General,,REP,Steve Marshall,445
Autauga,150 PRATTMONT BAPTIST CH,Attorney General,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Attorney General,,,Under Votes,4
Autauga,150 PRATTMONT BAPTIST CH,Ballots Cast,,,Ballots Cast - Total,647
Autauga,150 PRATTMONT BAPTIST CH,Commissioner of Agriculture and Industries,,NON,Write-ins,9
Autauga,150 PRATTMONT BAPTIST CH,Commissioner of Agriculture and Industries,,REP,Rick Pate,488
Autauga,150 PRATTMONT BAPTIST CH,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Commissioner of Agriculture and Industries,,,Under Votes,150
Autauga,150 PRATTMONT BAPTIST CH,Governor,,DEM,Walt Maddox,175
Autauga,150 PRATTMONT BAPTIST CH,Governor,,NON,Write-ins,0
Autauga,150 PRATTMONT BAPTIST CH,Governor,,REP,Kay Ivey,472
Autauga,150 PRATTMONT BAPTIST CH,Governor,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Governor,,,Under Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Lieutenant Governor,,DEM,Will Boyd,163
Autauga,150 PRATTMONT BAPTIST CH,Lieutenant Governor,,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CH,Lieutenant Governor,,REP,Will Ainsworth,478
Autauga,150 PRATTMONT BAPTIST CH,Lieutenant Governor,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Lieutenant Governor,,,Under Votes,5
Autauga,150 PRATTMONT BAPTIST CH,Secretary of State,,DEM,Heather Milam,161
Autauga,150 PRATTMONT BAPTIST CH,Secretary of State,,NON,Write-ins,0
Autauga,150 PRATTMONT BAPTIST CH,Secretary of State,,REP,John H. Merrill,474
Autauga,150 PRATTMONT BAPTIST CH,Secretary of State,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Secretary of State,,,Under Votes,12
Autauga,150 PRATTMONT BAPTIST CH,State Auditor,,DEM,Miranda Karrine Joseph,176
Autauga,150 PRATTMONT BAPTIST CH,State Auditor,,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CH,State Auditor,,REP,Jim Zeigler,462
Autauga,150 PRATTMONT BAPTIST CH,State Auditor,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,State Auditor,,,Under Votes,8
Autauga,150 PRATTMONT BAPTIST CH,State House,88,DEM,Cory Creel,158
Autauga,150 PRATTMONT BAPTIST CH,State House,88,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CH,State House,88,REP,Will Dismukes,482
Autauga,150 PRATTMONT BAPTIST CH,State House,88,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,State House,88,,Under Votes,6
Autauga,150 PRATTMONT BAPTIST CH,State Senate,30,NON,Write-ins,11
Autauga,150 PRATTMONT BAPTIST CH,State Senate,30,REP,"Clyde Chambliss, Jr.",507
Autauga,150 PRATTMONT BAPTIST CH,State Senate,30,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,State Senate,30,,Under Votes,129
Autauga,150 PRATTMONT BAPTIST CH,State Treasurer,,NON,Write-ins,9
Autauga,150 PRATTMONT BAPTIST CH,State Treasurer,,REP,John McMillan,490
Autauga,150 PRATTMONT BAPTIST CH,State Treasurer,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,State Treasurer,,,Under Votes,148
Autauga,150 PRATTMONT BAPTIST CH,Straight Party,,DEM,Alabama Democratic Party,94
Autauga,150 PRATTMONT BAPTIST CH,Straight Party,,REP,Alabama Republican Party,300
Autauga,150 PRATTMONT BAPTIST CH,Straight Party,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,Straight Party,,,Under Votes,253
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,DEM,Tabitha Isner,196
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,NON,Write-ins,0
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,Martha Roby,448
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,,Under Votes,3
Autauga,160 DOSTER COMMUNITY CTR,Attorney General,,DEM,Joseph Siegelman,1412
Autauga,160 DOSTER COMMUNITY CTR,Attorney General,,NON,Write-ins,1
Autauga,160 DOSTER COMMUNITY CTR,Attorney General,,REP,Steve Marshall,2560
Autauga,160 DOSTER COMMUNITY CTR,Attorney General,,,Over Votes,3
Autauga,160 DOSTER COMMUNITY CTR,Attorney General,,,Under Votes,25
Autauga,160 DOSTER COMMUNITY CTR,Ballots Cast,,,Ballots Cast - Total,4001
Autauga,160 DOSTER COMMUNITY CTR,Commissioner of Agriculture and Industries,,NON,Write-ins,59
Autauga,160 DOSTER COMMUNITY CTR,Commissioner of Agriculture and Industries,,REP,Rick Pate,2766
Autauga,160 DOSTER COMMUNITY CTR,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,160 DOSTER COMMUNITY CTR,Commissioner of Agriculture and Industries,,,Under Votes,1176
Autauga,160 DOSTER COMMUNITY CTR,Governor,,DEM,Walt Maddox,1317
Autauga,160 DOSTER COMMUNITY CTR,Governor,,NON,Write-ins,5
Autauga,160 DOSTER COMMUNITY CTR,Governor,,REP,Kay Ivey,2658
Autauga,160 DOSTER COMMUNITY CTR,Governor,,,Over Votes,5
Autauga,160 DOSTER COMMUNITY CTR,Governor,,,Under Votes,16
Autauga,160 DOSTER COMMUNITY CTR,Lieutenant Governor,,DEM,Will Boyd,1233
Autauga,160 DOSTER COMMUNITY CTR,Lieutenant Governor,,NON,Write-ins,3
Autauga,160 DOSTER COMMUNITY CTR,Lieutenant Governor,,REP,Will Ainsworth,2723
Autauga,160 DOSTER COMMUNITY CTR,Lieutenant Governor,,,Over Votes,3
Autauga,160 DOSTER COMMUNITY CTR,Lieutenant Governor,,,Under Votes,39
Autauga,160 DOSTER COMMUNITY CTR,Secretary of State,,DEM,Heather Milam,1250
Autauga,160 DOSTER COMMUNITY CTR,Secretary of State,,NON,Write-ins,1
Autauga,160 DOSTER COMMUNITY CTR,Secretary of State,,REP,John H. Merrill,2689
Autauga,160 DOSTER COMMUNITY CTR,Secretary of State,,,Over Votes,5
Autauga,160 DOSTER COMMUNITY CTR,Secretary of State,,,Under Votes,56
Autauga,160 DOSTER COMMUNITY CTR,State Auditor,,DEM,Miranda Karrine Joseph,1309
Autauga,160 DOSTER COMMUNITY CTR,State Auditor,,NON,Write-ins,5
Autauga,160 DOSTER COMMUNITY CTR,State Auditor,,REP,Jim Zeigler,2600
Autauga,160 DOSTER COMMUNITY CTR,State Auditor,,,Over Votes,3
Autauga,160 DOSTER COMMUNITY CTR,State Auditor,,,Under Votes,84
Autauga,160 DOSTER COMMUNITY CTR,State House,42,NON,Write-ins,4
Autauga,160 DOSTER COMMUNITY CTR,State House,42,REP,"James M. ""Jimmy"" Martin",384
Autauga,160 DOSTER COMMUNITY CTR,State House,42,,Over Votes,0
Autauga,160 DOSTER COMMUNITY CTR,State House,42,,Under Votes,79
Autauga,160 DOSTER COMMUNITY CTR,State House,69,DEM,Kelvin Jamichael Lawrence,211
Autauga,160 DOSTER COMMUNITY CTR,State House,69,NON,Write-ins,28
Autauga,160 DOSTER COMMUNITY CTR,State House,69,,Over Votes,0
Autauga,160 DOSTER COMMUNITY CTR,State House,69,,Under Votes,784
Autauga,160 DOSTER COMMUNITY CTR,State House,88,DEM,Cory Creel,968
Autauga,160 DOSTER COMMUNITY CTR,State House,88,NON,Write-ins,6
Autauga,160 DOSTER COMMUNITY CTR,State House,88,REP,Will Dismukes,1507
Autauga,160 DOSTER COMMUNITY CTR,State House,88,,Over Votes,4
Autauga,160 DOSTER COMMUNITY CTR,State House,88,,Under Votes,26
Autauga,160 DOSTER COMMUNITY CTR,State Senate,30,NON,Write-ins,81
Autauga,160 DOSTER COMMUNITY CTR,State Senate,30,REP,"Clyde Chambliss, Jr.",2835
Autauga,160 DOSTER COMMUNITY CTR,State Senate,30,,Over Votes,1
Autauga,160 DOSTER COMMUNITY CTR,State Senate,30,,Under Votes,1084
Autauga,160 DOSTER COMMUNITY CTR,State Treasurer,,NON,Write-ins,65
Autauga,160 DOSTER COMMUNITY CTR,State Treasurer,,REP,John McMillan,2763
Autauga,160 DOSTER COMMUNITY CTR,State Treasurer,,,Over Votes,0
Autauga,160 DOSTER COMMUNITY CTR,State Treasurer,,,Under Votes,1173
Autauga,160 DOSTER COMMUNITY CTR,Straight Party,,DEM,Alabama Democratic Party,865
Autauga,160 DOSTER COMMUNITY CTR,Straight Party,,REP,Alabama Republican Party,1717
Autauga,160 DOSTER COMMUNITY CTR,Straight Party,,,Over Votes,2
Autauga,160 DOSTER COMMUNITY CTR,Straight Party,,,Under Votes,1417
Autauga,160 DOSTER COMMUNITY CTR,U.S. House,2,DEM,Tabitha Isner,1368
Autauga,160 DOSTER COMMUNITY CTR,U.S. House,2,NON,Write-ins,9
Autauga,160 DOSTER COMMUNITY CTR,U.S. House,2,REP,Martha Roby,2589
Autauga,160 DOSTER COMMUNITY CTR,U.S. House,2,,Over Votes,2
Autauga,160 DOSTER COMMUNITY CTR,U.S. House,2,,Under Votes,33
Autauga,170 CAMELLIA BAPTIST CH,Attorney General,,DEM,Joseph Siegelman,461
Autauga,170 CAMELLIA BAPTIST CH,Attorney General,,NON,Write-ins,1
Autauga,170 CAMELLIA BAPTIST CH,Attorney General,,REP,Steve Marshall,708
Autauga,170 CAMELLIA BAPTIST CH,Attorney General,,,Over Votes,1
Autauga,170 CAMELLIA BAPTIST CH,Attorney General,,,Under Votes,10
Autauga,170 CAMELLIA BAPTIST CH,Ballots Cast,,,Ballots Cast - Total,1181
Autauga,170 CAMELLIA BAPTIST CH,Commissioner of Agriculture and Industries,,NON,Write-ins,23
Autauga,170 CAMELLIA BAPTIST CH,Commissioner of Agriculture and Industries,,REP,Rick Pate,777
Autauga,170 CAMELLIA BAPTIST CH,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CH,Commissioner of Agriculture and Industries,,,Under Votes,381
Autauga,170 CAMELLIA BAPTIST CH,Governor,,DEM,Walt Maddox,431
Autauga,170 CAMELLIA BAPTIST CH,Governor,,NON,Write-ins,0
Autauga,170 CAMELLIA BAPTIST CH,Governor,,REP,Kay Ivey,745
Autauga,170 CAMELLIA BAPTIST CH,Governor,,,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CH,Governor,,,Under Votes,5
Autauga,170 CAMELLIA BAPTIST CH,Lieutenant Governor,,DEM,Will Boyd,415
Autauga,170 CAMELLIA BAPTIST CH,Lieutenant Governor,,NON,Write-ins,0
Autauga,170 CAMELLIA BAPTIST CH,Lieutenant Governor,,REP,Will Ainsworth,748
Autauga,170 CAMELLIA BAPTIST CH,Lieutenant Governor,,,Over Votes,1
