county,precinct,office,district,party,candidate,votes
Autauga,10 JONES COMMUNITY CENTER,State Treasurer,,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,State Treasurer,,,Under Votes,71
Autauga,10 JONES COMMUNITY CENTER,U.S. House,2,DEM,Erick Wright,69
Autauga,10 JONES COMMUNITY CENTER,U.S. House,2,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CENTER,U.S. House,2,REP,Martha Roby,115
Autauga,10 JONES COMMUNITY CENTER,U.S. House,2,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,U.S. House,2,,Under Votes,3
Autauga,10 JONES COMMUNITY CENTER,U.S. Senate,,NON,Write-ins,2
Autauga,10 JONES COMMUNITY CENTER,U.S. Senate,,REP,Jeff Sessions,120
Autauga,10 JONES COMMUNITY CENTER,U.S. Senate,,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,U.S. Senate,,,Under Votes,65
Autauga,100 TRINITY METHODIST,Attorney General,,DEM,Joe Hubbard,318
Autauga,100 TRINITY METHODIST,Attorney General,,NON,Write-ins,5
Autauga,100 TRINITY METHODIST,Attorney General,,REP,Luther Strange,972
Autauga,100 TRINITY METHODIST,Attorney General,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Attorney General,,,Under Votes,36
Autauga,100 TRINITY METHODIST,Governor,,DEM,Parker Griffith,228
Autauga,100 TRINITY METHODIST,Governor,,NON,Write-ins,3
Autauga,100 TRINITY METHODIST,Governor,,REP,Robert Bentley,1083
Autauga,100 TRINITY METHODIST,Governor,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Governor,,,Under Votes,17
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,DEM,"James C. Fields, Jr.",187
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,NON,Write-ins,2
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,REP,Kay Ivey,1122
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,,Over Votes,0
Autauga,100 TRINITY METHODIST,Lieutenant Governor,,,Under Votes,20
Autauga,100 TRINITY METHODIST,State House,88,NON,Write-ins,11
Autauga,100 TRINITY METHODIST,State House,88,REP,Paul Beckman,1124
Autauga,100 TRINITY METHODIST,State House,88,,Over Votes,0
Autauga,100 TRINITY METHODIST,State House,88,,Under Votes,196
Autauga,100 TRINITY METHODIST,State Senate,30,IND,Bryan Morgan,153
Autauga,100 TRINITY METHODIST,State Senate,30,NON,Write-ins,1
Autauga,100 TRINITY METHODIST,State Senate,30,REP,"Clyde Chambliss, Jr.",1126
Autauga,100 TRINITY METHODIST,State Senate,30,,Over Votes,1
Autauga,100 TRINITY METHODIST,State Senate,30,,Under Votes,50
Autauga,100 TRINITY METHODIST,State Treasurer,,NON,Write-ins,7
Autauga,100 TRINITY METHODIST,State Treasurer,,REP,Young Boozer,1127
Autauga,100 TRINITY METHODIST,State Treasurer,,,Over Votes,0
Autauga,100 TRINITY METHODIST,State Treasurer,,,Under Votes,197
Autauga,100 TRINITY METHODIST,U.S. House,2,DEM,Erick Wright,136
Autauga,100 TRINITY METHODIST,U.S. House,2,NON,Write-ins,2
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Martha Roby,1174
Autauga,100 TRINITY METHODIST,U.S. House,2,,Over Votes,0
Autauga,100 TRINITY METHODIST,U.S. House,2,,Under Votes,19
Autauga,100 TRINITY METHODIST,U.S. Senate,,NON,Write-ins,10
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Jeff Sessions,1192
Autauga,100 TRINITY METHODIST,U.S. Senate,,,Over Votes,0
Autauga,100 TRINITY METHODIST,U.S. Senate,,,Under Votes,129
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,DEM,Joe Hubbard,136
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,REP,Luther Strange,68
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Attorney General,,,Under Votes,6
Autauga,110 CENTRAL AL ELECTRIC,Governor,,DEM,Parker Griffith,134
Autauga,110 CENTRAL AL ELECTRIC,Governor,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Governor,,REP,Robert Bentley,74
Autauga,110 CENTRAL AL ELECTRIC,Governor,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Governor,,,Under Votes,2
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,DEM,"James C. Fields, Jr.",132
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,REP,Kay Ivey,73
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,Lieutenant Governor,,,Under Votes,5
Autauga,110 CENTRAL AL ELECTRIC,State House,69,DEM,Kelvin J. Lawrence,133
Autauga,110 CENTRAL AL ELECTRIC,State House,69,IND,Cedric Coley,1
Autauga,110 CENTRAL AL ELECTRIC,State House,69,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,State House,69,REP,Loretta G. Grant,68
Autauga,110 CENTRAL AL ELECTRIC,State House,69,,Over Votes,1
Autauga,110 CENTRAL AL ELECTRIC,State House,69,,Under Votes,7
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,IND,Bryan Morgan,22
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,REP,"Clyde Chambliss, Jr.",82
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State Senate,30,,Under Votes,106
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,REP,Young Boozer,83
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,State Treasurer,,,Under Votes,127
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,DEM,Erick Wright,131
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,REP,Martha Roby,73
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. House,2,,Under Votes,6
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,NON,Write-ins,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,REP,Jeff Sessions,90
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,,Over Votes,0
Autauga,110 CENTRAL AL ELECTRIC,U.S. Senate,,,Under Votes,120
Autauga,130 CHAMBER OF COMMERCE,Attorney General,,DEM,Joe Hubbard,486
Autauga,130 CHAMBER OF COMMERCE,Attorney General,,NON,Write-ins,3
Autauga,130 CHAMBER OF COMMERCE,Attorney General,,REP,Luther Strange,399
Autauga,130 CHAMBER OF COMMERCE,Attorney General,,,Over Votes,2
Autauga,130 CHAMBER OF COMMERCE,Attorney General,,,Under Votes,15
Autauga,130 CHAMBER OF COMMERCE,Governor,,DEM,Parker Griffith,432
Autauga,130 CHAMBER OF COMMERCE,Governor,,NON,Write-ins,1
Autauga,130 CHAMBER OF COMMERCE,Governor,,REP,Robert Bentley,468
Autauga,130 CHAMBER OF COMMERCE,Governor,,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,Governor,,,Under Votes,4
Autauga,130 CHAMBER OF COMMERCE,Lieutenant Governor,,DEM,"James C. Fields, Jr.",410
Autauga,130 CHAMBER OF COMMERCE,Lieutenant Governor,,NON,Write-ins,2
Autauga,130 CHAMBER OF COMMERCE,Lieutenant Governor,,REP,Kay Ivey,482
Autauga,130 CHAMBER OF COMMERCE,Lieutenant Governor,,,Over Votes,1
Autauga,130 CHAMBER OF COMMERCE,Lieutenant Governor,,,Under Votes,10
Autauga,130 CHAMBER OF COMMERCE,State House,42,NON,Write-ins,0
Autauga,130 CHAMBER OF COMMERCE,State House,42,REP,"James M. ""Jimmy"" Martin",39
Autauga,130 CHAMBER OF COMMERCE,State House,42,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,State House,42,,Under Votes,10
Autauga,130 CHAMBER OF COMMERCE,State House,88,NON,Write-ins,26
Autauga,130 CHAMBER OF COMMERCE,State House,88,REP,Paul Beckman,458
Autauga,130 CHAMBER OF COMMERCE,State House,88,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,State House,88,,Under Votes,372
Autauga,130 CHAMBER OF COMMERCE,State Senate,30,IND,Bryan Morgan,185
Autauga,130 CHAMBER OF COMMERCE,State Senate,30,NON,Write-ins,5
Autauga,130 CHAMBER OF COMMERCE,State Senate,30,REP,"Clyde Chambliss, Jr.",487
Autauga,130 CHAMBER OF COMMERCE,State Senate,30,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,State Senate,30,,Under Votes,228
Autauga,130 CHAMBER OF COMMERCE,State Treasurer,,NON,Write-ins,13
Autauga,130 CHAMBER OF COMMERCE,State Treasurer,,REP,Young Boozer,516
Autauga,130 CHAMBER OF COMMERCE,State Treasurer,,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,State Treasurer,,,Under Votes,376
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,DEM,Erick Wright,410
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,NON,Write-ins,2
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,REP,Martha Roby,486
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,,Over Votes,1
Autauga,130 CHAMBER OF COMMERCE,U.S. House,2,,Under Votes,6
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,NON,Write-ins,21
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,REP,Jeff Sessions,524
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,,Over Votes,0
Autauga,130 CHAMBER OF COMMERCE,U.S. Senate,,,Under Votes,360
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,DEM,Joe Hubbard,259
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,REP,Luther Strange,176
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Attorney General,,,Under Votes,8
Autauga,140 AUTAUGAVILLE VFD,Governor,,DEM,Parker Griffith,241
Autauga,140 AUTAUGAVILLE VFD,Governor,,NON,Write-ins,0
Autauga,140 AUTAUGAVILLE VFD,Governor,,REP,Robert Bentley,200
Autauga,140 AUTAUGAVILLE VFD,Governor,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Governor,,,Under Votes,3
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,DEM,"James C. Fields, Jr.",225
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,NON,Write-ins,0
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,REP,Kay Ivey,212
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,Lieutenant Governor,,,Under Votes,7
Autauga,140 AUTAUGAVILLE VFD,State House,69,DEM,Kelvin J. Lawrence,223
Autauga,140 AUTAUGAVILLE VFD,State House,69,IND,Cedric Coley,11
Autauga,140 AUTAUGAVILLE VFD,State House,69,NON,Write-ins,0
Autauga,140 AUTAUGAVILLE VFD,State House,69,REP,Loretta G. Grant,188
Autauga,140 AUTAUGAVILLE VFD,State House,69,,Over Votes,2
Autauga,140 AUTAUGAVILLE VFD,State House,69,,Under Votes,20
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,IND,Bryan Morgan,113
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,NON,Write-ins,1
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,REP,"Clyde Chambliss, Jr.",213
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,State Senate,30,,Under Votes,117
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,NON,Write-ins,6
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,REP,Young Boozer,215
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,State Treasurer,,,Under Votes,223
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,DEM,Erick Wright,222
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,NON,Write-ins,0
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,REP,Martha Roby,213
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,U.S. House,2,,Under Votes,9
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,NON,Write-ins,6
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,REP,Jeff Sessions,227
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,,Over Votes,0
Autauga,140 AUTAUGAVILLE VFD,U.S. Senate,,,Under Votes,211
Autauga,150 PRATTMONT BAPTIST CHURCH,Attorney General,,DEM,Joe Hubbard,177
Autauga,150 PRATTMONT BAPTIST CHURCH,Attorney General,,NON,Write-ins,3
Autauga,150 PRATTMONT BAPTIST CHURCH,Attorney General,,REP,Luther Strange,370
Autauga,150 PRATTMONT BAPTIST CHURCH,Attorney General,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,Attorney General,,,Under Votes,10
Autauga,150 PRATTMONT BAPTIST CHURCH,Governor,,DEM,Parker Griffith,139
Autauga,150 PRATTMONT BAPTIST CHURCH,Governor,,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CHURCH,Governor,,REP,Robert Bentley,417
Autauga,150 PRATTMONT BAPTIST CHURCH,Governor,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,Governor,,,Under Votes,3
Autauga,150 PRATTMONT BAPTIST CHURCH,Lieutenant Governor,,DEM,"James C. Fields, Jr.",108
Autauga,150 PRATTMONT BAPTIST CHURCH,Lieutenant Governor,,NON,Write-ins,0
Autauga,150 PRATTMONT BAPTIST CHURCH,Lieutenant Governor,,REP,Kay Ivey,449
Autauga,150 PRATTMONT BAPTIST CHURCH,Lieutenant Governor,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,Lieutenant Governor,,,Under Votes,3
Autauga,150 PRATTMONT BAPTIST CHURCH,State House,88,NON,Write-ins,7
Autauga,150 PRATTMONT BAPTIST CHURCH,State House,88,REP,Paul Beckman,460
Autauga,150 PRATTMONT BAPTIST CHURCH,State House,88,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,State House,88,,Under Votes,93
Autauga,150 PRATTMONT BAPTIST CHURCH,State Senate,30,IND,Bryan Morgan,78
Autauga,150 PRATTMONT BAPTIST CHURCH,State Senate,30,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CHURCH,State Senate,30,REP,"Clyde Chambliss, Jr.",445
Autauga,150 PRATTMONT BAPTIST CHURCH,State Senate,30,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,State Senate,30,,Under Votes,36
Autauga,150 PRATTMONT BAPTIST CHURCH,State Treasurer,,NON,Write-ins,3
Autauga,150 PRATTMONT BAPTIST CHURCH,State Treasurer,,REP,Young Boozer,460
Autauga,150 PRATTMONT BAPTIST CHURCH,State Treasurer,,,Over Votes,1
Autauga,150 PRATTMONT BAPTIST CHURCH,State Treasurer,,,Under Votes,96
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. House,2,DEM,Erick Wright,94
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. House,2,NON,Write-ins,1
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. House,2,REP,Martha Roby,461
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. House,2,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. House,2,,Under Votes,4
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. Senate,,NON,Write-ins,7
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. Senate,,REP,Jeff Sessions,478
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. Senate,,,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CHURCH,U.S. Senate,,,Under Votes,75
Autauga,160 AUTAUGA ACADEMY,Attorney General,,DEM,Joe Hubbard,499
Autauga,160 AUTAUGA ACADEMY,Attorney General,,NON,Write-ins,2
Autauga,160 AUTAUGA ACADEMY,Attorney General,,REP,Luther Strange,1081
Autauga,160 AUTAUGA ACADEMY,Attorney General,,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,Attorney General,,,Under Votes,38
Autauga,160 AUTAUGA ACADEMY,Governor,,DEM,Parker Griffith,367
Autauga,160 AUTAUGA ACADEMY,Governor,,NON,Write-ins,4
Autauga,160 AUTAUGA ACADEMY,Governor,,REP,Robert Bentley,1238
Autauga,160 AUTAUGA ACADEMY,Governor,,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,Governor,,,Under Votes,11
Autauga,160 AUTAUGA ACADEMY,Lieutenant Governor,,DEM,"James C. Fields, Jr.",326
Autauga,160 AUTAUGA ACADEMY,Lieutenant Governor,,NON,Write-ins,3
Autauga,160 AUTAUGA ACADEMY,Lieutenant Governor,,REP,Kay Ivey,1263
Autauga,160 AUTAUGA ACADEMY,Lieutenant Governor,,,Over Votes,1
Autauga,160 AUTAUGA ACADEMY,Lieutenant Governor,,,Under Votes,27
Autauga,160 AUTAUGA ACADEMY,State House,42,NON,Write-ins,5
Autauga,160 AUTAUGA ACADEMY,State House,42,REP,"James M. ""Jimmy"" Martin",630
Autauga,160 AUTAUGA ACADEMY,State House,42,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,State House,42,,Under Votes,157
Autauga,160 AUTAUGA ACADEMY,State House,69,DEM,Kelvin J. Lawrence,43
Autauga,160 AUTAUGA ACADEMY,State House,69,IND,Cedric Coley,5
Autauga,160 AUTAUGA ACADEMY,State House,69,NON,Write-ins,0
Autauga,160 AUTAUGA ACADEMY,State House,69,REP,Loretta G. Grant,64
Autauga,160 AUTAUGA ACADEMY,State House,69,,Over Votes,1
Autauga,160 AUTAUGA ACADEMY,State House,69,,Under Votes,8
Autauga,160 AUTAUGA ACADEMY,State House,88,NON,Write-ins,20
Autauga,160 AUTAUGA ACADEMY,State House,88,REP,Paul Beckman,547
Autauga,160 AUTAUGA ACADEMY,State House,88,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,State House,88,,Under Votes,140
Autauga,160 AUTAUGA ACADEMY,State Senate,30,IND,Bryan Morgan,216
Autauga,160 AUTAUGA ACADEMY,State Senate,30,NON,Write-ins,3
Autauga,160 AUTAUGA ACADEMY,State Senate,30,REP,"Clyde Chambliss, Jr.",1254
Autauga,160 AUTAUGA ACADEMY,State Senate,30,,Over Votes,1
Autauga,160 AUTAUGA ACADEMY,State Senate,30,,Under Votes,146
Autauga,160 AUTAUGA ACADEMY,State Treasurer,,NON,Write-ins,13
Autauga,160 AUTAUGA ACADEMY,State Treasurer,,REP,Young Boozer,1266
Autauga,160 AUTAUGA ACADEMY,State Treasurer,,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,State Treasurer,,,Under Votes,341
Autauga,160 AUTAUGA ACADEMY,U.S. House,2,DEM,Erick Wright,308
Autauga,160 AUTAUGA ACADEMY,U.S. House,2,NON,Write-ins,2
Autauga,160 AUTAUGA ACADEMY,U.S. House,2,REP,Martha Roby,1287
Autauga,160 AUTAUGA ACADEMY,U.S. House,2,,Over Votes,3
Autauga,160 AUTAUGA ACADEMY,U.S. House,2,,Under Votes,20
Autauga,160 AUTAUGA ACADEMY,U.S. Senate,,NON,Write-ins,17
Autauga,160 AUTAUGA ACADEMY,U.S. Senate,,REP,Jeff Sessions,1325
Autauga,160 AUTAUGA ACADEMY,U.S. Senate,,,Over Votes,0
Autauga,160 AUTAUGA ACADEMY,U.S. Senate,,,Under Votes,278
Autauga,170 CAMELLIA BAPTIST CHURCH,Attorney General,,DEM,Joe Hubbard,313
Autauga,170 CAMELLIA BAPTIST CHURCH,Attorney General,,NON,Write-ins,6
Autauga,170 CAMELLIA BAPTIST CHURCH,Attorney General,,REP,Luther Strange,477
Autauga,170 CAMELLIA BAPTIST CHURCH,Attorney General,,,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CHURCH,Attorney General,,,Under Votes,13
Autauga,170 CAMELLIA BAPTIST CHURCH,Governor,,DEM,Parker Griffith,264
Autauga,170 CAMELLIA BAPTIST CHURCH,Governor,,NON,Write-ins,3
Autauga,170 CAMELLIA BAPTIST CHURCH,Governor,,REP,Robert Bentley,535
Autauga,170 CAMELLIA BAPTIST CHURCH,Governor,,,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CHURCH,Governor,,,Under Votes,7
Autauga,170 CAMELLIA BAPTIST CHURCH,Lieutenant Governor,,DEM,"James C. Fields, Jr.",226
Autauga,170 CAMELLIA BAPTIST CHURCH,Lieutenant Governor,,NON,Write-ins,1
Autauga,170 CAMELLIA BAPTIST CHURCH,Lieutenant Governor,,REP,Kay Ivey,570
Autauga,170 CAMELLIA BAPTIST CHURCH,Lieutenant Governor,,,Over Votes,1
Autauga,170 CAMELLIA BAPTIST CHURCH,Lieutenant Governor,,,Under Votes,11
Autauga,170 CAMELLIA BAPTIST CHURCH,State House,88,NON,Write-ins,14
Autauga,170 CAMELLIA BAPTIST CHURCH,State House,88,REP,Paul Beckman,580
Autauga,170 CAMELLIA BAPTIST CHURCH,State House,88,,Over Votes,0
Autauga,170 CAMELLIA BAPTIST CHURCH,State House,88,,Under Votes,215
Autauga,170 CAMELLIA BAPTIST CHURCH,State Senate,30,IND,Bryan Morgan,153
