state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,sos_dem_votes,sos_rep_votes,_merge,dem_vote_delta,rep_vote_delta,total_absolute_delta,klarner_major_votes,reconciliation_status,model_eligible
AR,1994,house,16.0,4987.0,3623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ammons, evelyn","campbell, lonnie d",4987.0,3623.0,both,0.0,0.0,0.0,8610.0,exact,True
AR,1994,house,17.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"maddox, ode",,,,left_only,,,,,missing_one_source,False
AR,1994,house,18.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"hendrix, gerald",,26.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,19.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hill, jim",,375.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,20.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"horn, barbara",,1533.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,21.0,2946.0,1629.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"young, dennis r","ruggles, don c",2946.0,1629.0,both,0.0,0.0,0.0,4575.0,exact,True
AR,1994,house,22.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"beatty, david l",,4536.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,23.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"laverty, randy",,,,left_only,,,,,missing_one_source,False
AR,1994,house,24.0,5574.0,3812.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"whorton, charles, jr","love, tim",5574.0,3812.0,both,0.0,0.0,0.0,9386.0,exact,True
AR,1994,house,25.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"curran, armil o",,,,left_only,,,,,missing_one_source,False
AR,1994,house,26.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"willems, frank j",,,,left_only,,,,,missing_one_source,False
AR,1994,house,27.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"george, r lloyd",,,,left_only,,,,,missing_one_source,False
AR,1994,house,28.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wood, keith n 2",,3733.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,29.0,3798.0,5142.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"morton, rob","watts, bob",3798.0,5142.0,both,0.0,0.0,0.0,8940.0,exact,True
AR,1994,house,30.0,4014.0,3712.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"bryan, l l (doc)","montgomery, john",4014.0,3712.0,both,0.0,0.0,0.0,7726.0,exact,True
AR,1994,house,31.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"johnson, bob",,3323.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,32.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mullenix, ted",,,left_only,,,,,missing_one_source,False
AR,1994,house,33.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"smith, terry","wilkins, tom",,,left_only,,,,,missing_one_source,False
AR,1994,house,34.0,,,,,,,,,,,,8296.0,6823.0,right_only,,,,,missing_one_source,False
AR,1994,house,35.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wallis, buddy",,,,left_only,,,,,missing_one_source,False
AR,1994,house,36.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"malone, percy",,,,left_only,,,,,missing_one_source,False
AR,1994,house,37.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"smith, judy s",,2628.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,38.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"dawson, john h",,2628.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,39.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"purdom, billy j",,3270.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,40.0,4508.0,6014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"flippo, pat","hudson, joe",4508.0,6014.0,both,0.0,0.0,0.0,10522.0,exact,True
AR,1994,house,41.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"rorie, roger l",,,,left_only,,,,,missing_one_source,False
AR,1994,house,42.0,5380.0,3873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"lynn, becky","mcgahhey, mindy",5380.0,3873.0,both,0.0,0.0,0.0,9253.0,exact,True
AR,1994,house,43.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"simon, stephen",,1883.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,44.0,4450.0,4149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"wren, greg","parks, marvin",4450.0,4149.0,both,0.0,0.0,0.0,8599.0,exact,True
AR,1994,house,45.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"courtway, tom",,,,left_only,,,,,missing_one_source,False
AR,1994,house,46.0,3818.0,3501.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"mitchell, larry","curtis, j lance",3818.0,3501.0,both,0.0,0.0,0.0,7319.0,exact,True
AR,1994,house,47.0,6020.0,2836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kidd, douglas","hunnicutt, gary f",6020.0,2836.0,both,0.0,0.0,0.0,8856.0,exact,True
AR,1994,house,48.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"lancaster, jim",,,,left_only,,,,,missing_one_source,False
AR,1994,house,49.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"newman, bobby g",,2628.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,50.0,3688.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sheppard, courtney","mathis, tom",3802.0,2752.0,both,114.0,113.0,227.0,6327.0,material_mismatch,False
AR,1994,house,51.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"stalnaker, e ray",,,,left_only,,,,,missing_one_source,False
AR,1994,house,52.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wyrick, phill",,,,left_only,,,,,missing_one_source,False
AR,1994,house,53.0,3905.0,4074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"moreland, debbie","thomas, ted",3732.0,3930.0,both,-173.0,-144.0,317.0,7979.0,material_mismatch,False
AR,1994,house,54.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"jones, myra",,,,left_only,,,,,missing_one_source,False
AR,1994,house,55.0,5070.0,3398.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"argue, jim, jr","lamb, kevin",5070.0,3398.0,both,0.0,0.0,0.0,8468.0,exact,True
AR,1994,house,56.0,3651.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"booker, michael d","alale, clare m",3651.0,1233.0,both,0.0,0.0,0.0,4884.0,exact,True
AR,1994,house,57.0,6178.0,2721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ferrell, lisa","phillips, gary l",6178.0,2721.0,both,0.0,0.0,0.0,8899.0,exact,True
AR,1994,house,58.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"brown, irma h",,,,left_only,,,,,missing_one_source,False
AR,1994,house,59.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"bennett, m dee",,,,left_only,,,,,missing_one_source,False
AR,1994,house,60.0,3963.0,3576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"vess, stuart","powers, buddy",3963.0,3576.0,both,0.0,0.0,0.0,7539.0,exact,True
AR,1994,house,61.0,5560.0,3140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"dietz, james g","boyd, valtaree",5560.0,3140.0,both,0.0,0.0,0.0,8700.0,exact,True
AR,1994,house,62.0,2340.0,1572.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"molinaro, joe","gullahorn, tom l, jr",2340.0,1572.0,both,0.0,0.0,0.0,3912.0,exact,True
AR,1994,house,63.0,3526.0,3411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"wood, doug","rackley, david l",3526.0,3411.0,both,0.0,0.0,0.0,6937.0,exact,True
AR,1994,house,64.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wilson, michael (mike)",,,,left_only,,,,,missing_one_source,False
AR,1994,house,65.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"townsend, william h",,,,left_only,,,,,missing_one_source,False
AR,1994,house,66.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"goodwin, larry",,1090.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,67.0,5832.0,3085.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"miller, john e","hutchins, donald",5832.0,3085.0,both,0.0,0.0,0.0,8917.0,exact,True
AR,1994,house,68.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"capps, john p",,4913.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,69.0,5724.0,2684.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"choate, david","bush, jim",5624.0,2684.0,both,-100.0,0.0,100.0,8408.0,material_mismatch,False
AR,1994,house,70.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"flechter, billi",,,,left_only,,,,,missing_one_source,False
AR,1994,house,71.0,3614.0,3144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pappas, pat","francis, betsy",3614.0,3144.0,both,0.0,0.0,0.0,6758.0,exact,True
AR,1994,house,72.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wilkins, josetta e",,,,left_only,,,,,missing_one_source,False
AR,1994,house,73.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"roberts, jacqueline",,,,left_only,,,,,missing_one_source,False
AR,1994,house,74.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"schexnayder, charlotte",,,,left_only,,,,,missing_one_source,False
AR,1994,house,75.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mckissack, jimmie d",,,,left_only,,,,,missing_one_source,False
AR,1994,house,76.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"owensingram, marian d",,2777.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,77.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"davis, michael",,,,left_only,,,,,missing_one_source,False
AR,1994,house,78.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"baker, thomas g (tom)",,,,left_only,,,,,missing_one_source,False
AR,1994,house,79.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"ray, donald l",,5423.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,80.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"calhoun, v o (butch) 2",,2307.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,81.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"northcutt, wanda",,5674.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,82.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"jordon, james t",,,,left_only,,,,,missing_one_source,False
AR,1994,house,83.0,3767.0,2703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"murphy, nap b","dintelman, jim l",3767.0,2703.0,both,0.0,0.0,0.0,6470.0,exact,True
AR,1994,house,84.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"simmons, richard",,,,left_only,,,,,missing_one_source,False
AR,1994,house,85.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wooldridge, tim",,,,left_only,,,,,missing_one_source,False
AR,1994,house,86.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wood, bobby g",,,,left_only,,,,,missing_one_source,False
AR,1994,house,88.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"cash, claud v",,,,left_only,,,,,missing_one_source,False
AR,1994,house,89.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"critcher, jack l",,,,left_only,,,,,missing_one_source,False
AR,1994,house,90.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"luker, james c",,,,left_only,,,,,missing_one_source,False
AR,1994,house,91.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"flanagin, pat",,,,left_only,,,,,missing_one_source,False
AR,1994,house,92.0,3758.0,2309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"wagner, wayne","benson, nelson",3690.0,2240.0,both,-68.0,-69.0,137.0,6067.0,material_mismatch,False
AR,1994,house,93.0,2338.0,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"goodman, jack","bush, ann h",2338.0,2882.0,both,0.0,0.0,0.0,5220.0,exact,True
AR,1994,house,94.0,2330.0,2211.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"harris, joe, jr","brownlee, christene",2330.0,2211.0,both,0.0,0.0,0.0,4541.0,exact,True
AR,1994,house,95.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mcgee, ben",,,,left_only,,,,,missing_one_source,False
AR,1994,house,96.0,3766.0,2231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ferguson, scott","baker, joe e",3766.0,2231.0,both,0.0,0.0,0.0,5997.0,exact,True
AR,1994,house,97.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mcginnis, bob",,,,left_only,,,,,missing_one_source,False
AR,1994,house,98.0,5151.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"cunningham, ernest",,5056.0,739.0,both,-95.0,739.0,834.0,5151.0,material_mismatch,False
AR,1994,house,99.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wilson, jimmie l",,8586.0,0.0,both,,,,,missing_one_source,False
AR,1994,house,100.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"angel, sam e (sammy), ii",,,,left_only,,,,,missing_one_source,False
AR,1994,senate,2.0,12673.0,6978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"mahony, joseph k (joe), ii","hall, pat",12802.0,7063.0,both,129.0,85.0,214.0,19651.0,material_mismatch,False
AR,1994,senate,7.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"smith, kevin a",,5674.0,0.0,both,,,,,missing_one_source,False
AR,1994,senate,11.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"jeffries, peggy",,,left_only,,,,,missing_one_source,False
AR,1994,senate,14.0,8980.0,12867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"roberson, del","webb, doyle",8920.0,12772.0,both,-60.0,-95.0,155.0,21847.0,within_one_percent,True
AR,1994,senate,16.0,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"snyder, victor f",,,,left_only,,,,,missing_one_source,False
AR,1994,senate,17.0,8964.0,2469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"walker, william l (bill), jr","jackson, antimoore h",8964.0,2469.0,both,0.0,0.0,0.0,11433.0,exact,True
AR,1994,senate,18.0,10683.0,8730.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"hoofman, clifton (cliff)","freeland, jim",10683.0,8730.0,both,0.0,0.0,0.0,19413.0,exact,True
AR,1994,senate,19.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"gwatney, bill a",,,,left_only,,,,,missing_one_source,False
AR,1994,senate,21.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"beebe, mike",,8855.0,0.0,both,,,,,missing_one_source,False
AR,1994,senate,23.0,10427.0,9393.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"everett, mike","brawley, stan",10432.0,9393.0,both,5.0,0.0,5.0,19820.0,within_one_percent,True
AR,1994,senate,24.0,15422.0,5375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"bell, steve","biggers, lonnie d",15419.0,5373.0,both,-3.0,-2.0,5.0,20797.0,within_one_percent,True
AR,1994,senate,26.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"fitch, jon",,2436.0,0.0,both,,,,,missing_one_source,False
AR,1994,senate,30.0,13082.0,7040.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"todd, mike","williams, kay",13156.0,7020.0,both,74.0,-20.0,94.0,20122.0,within_one_percent,True
AR,1994,senate,31.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wilson, nick",,,,left_only,,,,,missing_one_source,False
AR,1994,senate,32.0,12271.0,13172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sheid, richard","hunter, gary d",12271.0,13172.0,both,0.0,0.0,0.0,25443.0,exact,True
AR,1994,senate,33.0,8758.0,12434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"holman, reid","boozman, fay w, iii",8689.0,5369.0,both,-69.0,-7065.0,7134.0,21192.0,material_mismatch,False
AR,1994,senate,34.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"brown, john e",,,left_only,,,,,missing_one_source,False
AR,1994,senate,35.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"malone, david r",,,,left_only,,,,,missing_one_source,False
AR,1996,house,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"hendren, jim",,,left_only,,,,,missing_one_source,False
AR,1996,house,2.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"hausam, david c",,,left_only,,,,,missing_one_source,False
AR,1996,house,3.0,0.0,4283.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"bisbee, david a",0.0,4283.0,both,0.0,0.0,0.0,4283.0,exact,True
AR,1996,house,4.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"bryant, randy",,,left_only,,,,,missing_one_source,False
AR,1996,house,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"fuqua, charlie",,,left_only,,,,,missing_one_source,False
AR,1996,house,6.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mcjunkin, louis m",,,,left_only,,,,,missing_one_source,False
AR,1996,house,7.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"stewart, charles w",,,,left_only,,,,,missing_one_source,False
AR,1996,house,8.0,5895.0,5666.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"madison, sue","pritchard, bill",5895.0,5666.0,both,0.0,0.0,0.0,11561.0,exact,True
AR,1996,house,9.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hunton, jerry",,,,left_only,,,,,missing_one_source,False
AR,1996,house,10.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hall, john",,,,left_only,,,,,missing_one_source,False
AR,1996,house,11.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"thicksten, edward f",,,,left_only,,,,,missing_one_source,False
AR,1996,house,12.0,10489.0,11690.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"mcgehee, w k (mac), jr","pollan, carolyn",10489.0,0.0,both,0.0,-11690.0,11690.0,22179.0,material_mismatch,False
AR,1996,house,13.0,,,,,,,,,,,,0.0,16456.0,right_only,,,,,missing_one_source,False
AR,1996,house,14.0,,,,,,,,,,,,11997.0,10320.0,right_only,,,,,missing_one_source,False
AR,1996,house,15.0,6070.0,4177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"wilkinson, ed","king, jerry d",6070.0,4177.0,both,0.0,0.0,0.0,10247.0,exact,True
AR,1996,house,16.0,5592.0,4128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"ammons, evelyn","campbell, bruce",5592.0,4128.0,both,0.0,0.0,0.0,9720.0,exact,True
AR,1996,house,17.0,5719.0,4288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"maddox, ode","whisenhunt, audry t",5719.0,4288.0,both,0.0,0.0,0.0,10007.0,exact,True
AR,1996,house,18.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"faris, steve",,,,left_only,,,,,missing_one_source,False
AR,1996,house,19.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"teague, larry r",,,,left_only,,,,,missing_one_source,False
AR,1996,house,20.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"horn, barbara",,,,left_only,,,,,missing_one_source,False
AR,1996,house,21.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"young, dennis r",,,,left_only,,,,,missing_one_source,False
AR,1996,house,22.0,4560.0,3805.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"beatty, david l","bennett, russ",4560.0,3805.0,both,0.0,0.0,0.0,8365.0,exact,True
AR,1996,house,23.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"laverty, randy",,,,left_only,,,,,missing_one_source,False
AR,1996,house,24.0,6095.0,4749.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"whorton, charles, jr","mcdougall, doug",6095.0,4749.0,both,0.0,0.0,0.0,10844.0,exact,True
AR,1996,house,25.0,6660.0,3539.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"curran, armil o","heffley, luke",6660.0,3539.0,both,0.0,0.0,0.0,10199.0,exact,True
AR,1996,house,26.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"willems, frank j",,,,left_only,,,,,missing_one_source,False
AR,1996,house,27.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"george, r lloyd",,,,left_only,,,,,missing_one_source,False
AR,1996,house,28.0,5709.0,2382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rodgers, sandra r","cornelius, tim",5709.0,2382.0,both,0.0,0.0,0.0,8091.0,exact,True
AR,1996,house,29.0,4204.0,6129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"shelton, sam l","milum, jim",4204.0,6129.0,both,0.0,0.0,0.0,10333.0,exact,True
AR,1996,house,30.0,5063.0,4801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cook, m olin","lovell, richard k",5063.0,4801.0,both,0.0,0.0,0.0,9864.0,exact,True
AR,1996,house,31.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"johnson, bob",,,,left_only,,,,,missing_one_source,False
AR,1996,house,32.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mullenix, ted",,,left_only,,,,,missing_one_source,False
AR,1996,house,33.0,12941.0,7786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"smith, terry","wilkins, tom",12941.0,7786.0,both,0.0,0.0,0.0,20727.0,exact,True
AR,1996,house,34.0,,,,,,,,,,,,13897.0,6249.0,right_only,,,,,missing_one_source,False
AR,1996,house,35.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wallis, buddy",,,,left_only,,,,,missing_one_source,False
AR,1996,house,36.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"malone, percy",,,,left_only,,,,,missing_one_source,False
AR,1996,house,37.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"smith, judy s",,,,left_only,,,,,missing_one_source,False
AR,1996,house,38.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"dawson, john h",,,,left_only,,,,,missing_one_source,False
AR,1996,house,39.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"purdom, billy j",,,,left_only,,,,,missing_one_source,False
AR,1996,house,40.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"hudson, joe",,,left_only,,,,,missing_one_source,False
AR,1996,house,41.0,5414.0,5259.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"rorie, roger l","taylor, chaney, jr",5414.0,5259.0,both,0.0,0.0,0.0,10673.0,exact,True
AR,1996,house,42.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"lynn, becky",,,,left_only,,,,,missing_one_source,False
AR,1996,house,43.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"simon, stephen",,,,left_only,,,,,missing_one_source,False
AR,1996,house,44.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wren, greg",,,,left_only,,,,,missing_one_source,False
AR,1996,house,45.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"courtway, tom",,,,left_only,,,,,missing_one_source,False
AR,1996,house,46.0,4904.0,4555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"broadway, shane","burks, lois a",4904.0,4555.0,both,0.0,0.0,0.0,9459.0,exact,True
AR,1996,house,47.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"kidd, douglas",,,,left_only,,,,,missing_one_source,False
AR,1996,house,48.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"lancaster, jim",,,,left_only,,,,,missing_one_source,False
AR,1996,house,49.0,4677.0,2339.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"newman, bobby g","hall, ronnie",4677.0,2339.0,both,0.0,0.0,0.0,7016.0,exact,True
AR,1996,house,50.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"sheppard, courtney",,,,left_only,,,,,missing_one_source,False
AR,1996,house,51.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"stalnaker, e ray",,,,left_only,,,,,missing_one_source,False
AR,1996,house,52.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"wyrick, phill",,,,left_only,,,,,missing_one_source,False
