state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible
GA,2018,lower,36.0,10329.0,19891.0,-31.641297154202515,0,0.0,Klarner SLER contest file,-43.1655662805381,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-36.8850032805381,0.2627053477804963,0.5402497447577161,0.5371346430282703,2018,ACS 2018 5-year direct SLD tabulation,1.6499374871723171,3.3735079650215622,5.243706126335585,True
GA,2018,lower,37.0,11928.0,11755.0,0.7304817801798759,1,-1.0,Klarner SLER contest file,-4.130262055215706,Daily Kos 2016 presidential results by 2010-plan district,6.280563,2.150300944784294,0.4502835602947669,0.4015441102504778,0.4583193277310924,2018,ACS 2018 5-year direct SLD tabulation,2.828034268295582,2.878503411932773,-1.419819164604418,True
GA,2018,lower,39.0,16607.0,3345.0,66.46952686447474,1,1.0,Klarner SLER contest file,54.848583651517444,Daily Kos 2016 presidential results by 2010-plan district,6.280563,61.129146651517445,0.7789699222490951,0.3103103359835855,0.3149651972157772,2018,ACS 2018 5-year direct SLD tabulation,4.892369671790544,1.9781587639211133,5.3403802129572995,True
GA,2018,lower,40.0,15719.0,13029.0,9.357172672881592,1,0.0,Klarner SLER contest file,2.8592212720306787,Daily Kos 2016 presidential results by 2010-plan district,6.280563,9.139784272030678,0.4414778167890201,0.6304682920475022,0.658878842676311,2018,ACS 2018 5-year direct SLD tabulation,2.7727292414458984,4.13813008079566,0.21738840085091482,True
GA,2018,lower,41.0,11673.0,4858.0,41.22557619018813,1,1.0,Klarner SLER contest file,29.44347622671303,Daily Kos 2016 presidential results by 2010-plan district,6.280563,35.72403922671303,0.7444040722585953,0.226789686135596,0.3027764087399375,2018,ACS 2018 5-year direct SLD tabulation,4.6752766732766595,1.901606310004928,5.501536963475097,True
GA,2018,lower,43.0,12330.0,13122.0,-3.1117397454031117,0,-1.0,Klarner SLER contest file,-11.357835840125091,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-5.077272840125091,0.3607903471165814,0.6503509999276289,0.6601662289065592,2018,ACS 2018 5-year direct SLD tabulation,2.265966504857558,4.146215591120066,1.9655330947219793,True
GA,2018,lower,44.0,11422.0,14170.0,-10.737730540793999,0,-1.0,Klarner SLER contest file,-22.56136098407786,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-16.28079798407786,0.3212094882266052,0.4841621875489224,0.5007635808304851,2018,ACS 2018 5-year direct SLD tabulation,2.0173764270049523,3.145077217511454,5.543067443283862,True
GA,2018,lower,45.0,11681.0,17003.0,-18.553897643285456,0,-1.0,Klarner SLER contest file,-24.17014256455011,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-17.889579564550107,0.2474160090596969,0.6887718023255814,0.7009095773140717,2018,ACS 2018 5-year direct SLD tabulation,1.5539118321079972,4.402106757624398,-0.6643180787353486,True
GA,2018,lower,46.0,10789.0,17466.0,-23.631215714032916,0,-1.0,Klarner SLER contest file,-34.409665941682654,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-28.129102941682653,0.2163381661099355,0.5506239935587761,0.5554927454305634,2018,ACS 2018 5-year direct SLD tabulation,1.3587254815579148,3.4888071837196155,4.497887227649738,True
GA,2018,lower,47.0,10403.0,16718.0,-23.28453965561742,0,-1.0,Klarner SLER contest file,-30.9400062634669,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-24.659443263466898,0.307488008241316,0.6871870397643594,0.7036442334543423,2018,ACS 2018 5-year direct SLD tabulation,1.9311978075041043,4.419281937796705,1.374903607849479,True
GA,2018,lower,48.0,11102.0,10952.0,0.6801487258547202,1,-1.0,Klarner SLER contest file,-12.778612738766187,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-6.498049738766187,0.43186927200415,0.5109996140486299,0.6331927319922128,2018,ACS 2018 5-year direct SLD tabulation,2.7123821705862,3.976806844419208,7.178198464620907,True
GA,2018,lower,49.0,11268.0,13334.0,-8.39769124461426,0,-1.0,Klarner SLER contest file,-17.60803058947036,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-11.32746758947036,0.4126090579771765,0.6660176991150443,0.6725347827850566,2018,ACS 2018 5-year direct SLD tabulation,2.5914171829963095,4.223897072972863,2.9297763448560996,True
GA,2018,lower,50.0,11015.0,10698.0,1.4599548657486299,1,0.0,Klarner SLER contest file,-13.952429168321157,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-7.671866168321157,0.5229588838708594,0.677632919128132,0.6840786043713656,2018,ACS 2018 5-year direct SLD tabulation,3.2844762165606163,4.2963987717064365,9.131821034069787,True
GA,2018,lower,51.0,12531.0,11767.0,3.144291711251955,1,0.0,Klarner SLER contest file,-4.672638042445515,Daily Kos 2016 presidential results by 2010-plan district,6.280563,1.6079249575544852,0.4326385615192942,0.5703630633014941,0.6464545419568312,2018,ACS 2018 5-year direct SLD tabulation,2.7172137418513027,4.060098477396021,1.53636675369747,True
GA,2018,lower,52.0,12796.0,14018.0,-4.557320802565823,0,-1.0,Klarner SLER contest file,-10.44817688308153,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-4.16761388308153,0.3027076466426217,0.7034930358054401,0.7965070124371527,2018,ACS 2018 5-year direct SLD tabulation,1.901174445320724,5.002512471553321,-0.3897069194842935,True
GA,2018,lower,54.0,15186.0,14179.0,3.4292525114932744,1,-1.0,Klarner SLER contest file,-1.8668500605549516,Daily Kos 2016 presidential results by 2010-plan district,6.280563,4.413712939445048,0.2859430972719757,0.7731038439472174,0.8085944889337284,2018,ACS 2018 5-year direct SLD tabulation,1.7958836368317714,5.078428629201084,-0.9844604279517739,True
GA,2018,lower,71.0,6765.0,19690.0,-48.856548856548855,0,-1.0,Klarner SLER contest file,-53.60093728991662,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-47.32037428991662,0.204262204778627,0.3527090526753031,0.3522723643447989,2018,ACS 2018 5-year direct SLD tabulation,1.2828816456310679,2.212468777426463,-1.5361745666322335,True
GA,2018,lower,79.0,12441.0,10670.0,7.66301761066159,1,0.0,Klarner SLER contest file,-2.554071742556027,Daily Kos 2016 presidential results by 2010-plan district,6.280563,3.726491257443973,0.451801041104476,0.665963181448332,0.7305770887166236,2018,ACS 2018 5-year direct SLD tabulation,2.837564902122251,4.588435432041344,3.9365263532176167,True
GA,2018,lower,80.0,12578.0,11389.0,4.960988025201319,1,-1.0,Klarner SLER contest file,0.32456955562930556,Daily Kos 2016 presidential results by 2010-plan district,6.280563,6.6051325556293055,0.4062691969251714,0.6922162261044544,0.7804175928287723,2018,ACS 2018 5-year direct SLD tabulation,2.5515992862479453,4.901461858069453,-1.6441445304279867,True
GA,2018,lower,81.0,11304.0,6334.0,28.177797936273954,1,1.0,Klarner SLER contest file,14.771093932628563,Daily Kos 2016 presidential results by 2010-plan district,6.280563,21.051656932628564,0.5822729267222466,0.4551287559794907,0.6454687229249697,2018,ACS 2018 5-year direct SLD tabulation,3.6570017994734534,4.053906978859817,7.12614100364539,True
GA,2018,lower,90.0,21038.0,5286.0,59.83893025376083,1,1.0,Klarner SLER contest file,53.719369527117664,Daily Kos 2016 presidential results by 2010-plan district,6.280563,59.999932527117664,0.7589229255954472,0.3090084741188535,0.1929158760278304,2018,ACS 2018 5-year direct SLD tabulation,4.766463246346518,1.2116203130929786,-0.1610022733568357,True
GA,2018,lower,95.0,12101.0,11442.0,2.799133500403517,1,-1.0,Klarner SLER contest file,-4.589977419215247,Daily Kos 2016 presidential results by 2010-plan district,6.280563,1.6905855807847532,0.4974913954006061,0.5305008967137336,0.6412213740458015,2018,ACS 2018 5-year direct SLD tabulation,3.1245260507714168,4.027231236641221,1.108547919618764,True
GA,2018,lower,97.0,10696.0,13538.0,-11.727325245522819,0,0.0,Klarner SLER contest file,-23.499854909869804,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-17.219291909869803,0.5168100078186083,0.5047366154729439,0.5396517460017034,2018,ACS 2018 5-year direct SLD tabulation,3.245857813135262,3.389316788823696,5.491966664346984,True
GA,2018,lower,101.0,11459.0,8027.0,17.61264497588012,1,1.0,Klarner SLER contest file,4.364667675979986,Daily Kos 2016 presidential results by 2010-plan district,6.280563,10.645230675979985,0.669493907378933,0.3425823254854431,0.4223442478476035,2018,ACS 2018 5-year direct SLD tabulation,4.204798663409553,2.652559656294488,6.967414299900135,True
GA,2018,lower,102.0,10617.0,10033.0,2.828087167070218,1,0.0,Klarner SLER contest file,-12.35165022749343,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-6.07108722749343,0.5504402904372007,0.3963691376701966,0.4442159939400498,2018,ACS 2018 5-year direct SLD tabulation,3.457074921829136,2.789926535548101,8.899174394563648,True
GA,2018,lower,104.0,11790.0,13493.0,-6.7357512953367875,0,-1.0,Klarner SLER contest file,-26.513686066391543,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-20.233123066391542,0.5029402281555634,0.3750823326746719,0.4088205223533785,2018,ACS 2018 5-year direct SLD tabulation,3.1587477881653894,2.567623046333302,13.497371771054755,True
GA,2018,lower,105.0,14335.0,10224.0,16.739280915346715,1,0.0,Klarner SLER contest file,4.839652214059326,Daily Kos 2016 presidential results by 2010-plan district,6.280563,11.120215214059325,0.555254812774272,0.3420457793135701,0.3451048571118114,2018,ACS 2018 5-year direct SLD tabulation,3.48731283268202,2.1674527966967294,5.61906570128739,True
GA,2018,lower,107.0,12425.0,8709.0,17.583041544430774,1,0.0,Klarner SLER contest file,1.7677133629747077,Daily Kos 2016 presidential results by 2010-plan district,6.280563,8.048276362974708,0.6479460310020422,0.3732679599232573,0.4335111511022559,2018,ACS 2018 5-year direct SLD tabulation,4.069465868308279,2.7226940957002377,9.534765181456066,True
GA,2018,lower,108.0,10877.0,10585.0,1.3605442176870748,1,-1.0,Klarner SLER contest file,-10.312662956836789,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-4.032099956836789,0.5910460392687881,0.3863850749397338,0.4371797727779015,2018,ACS 2018 5-year direct SLD tabulation,3.712101885528097,2.745735105257295,5.392644174523864,True
