state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_office,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,cycle_gate,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
MO,2012,house,72,9815.0,5828.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"nichols, mary","brennan, patrick j",USP,9420.0,6567.0,17.845749671608182,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,9815.0,5828.0,25.487438470881543,7.641688799273361,1.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,73,13495.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"allencurtis, courtney a",,USP,12665.177603423681,2143.7368045649073,71.04802221817853,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,13495.0,0.0,100.0,28.95197778182147,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,74,14356.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"pace, sharon l",,USP,13470.0,2809.0,65.48928066834573,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,14356.0,0.0,100.0,34.51071933165427,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,75,16600.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"gray, rochelle w",,USP,16836.0,959.0,89.22169148637258,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,16600.0,0.0,100.0,10.778308513627422,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,76,17869.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"carter, chris",,USP,18742.0,158.0,98.32804232804233,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,17869.0,0.0,100.0,1.6719576719576708,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,77,13992.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"gardner, kimberly m",,USP,14616.0,1371.0,82.84856445862263,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,13992.0,0.0,100.0,17.151435541377367,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,78,12100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hubbard, penny v",,USP,12401.0,1624.0,76.84135472370767,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,12100.0,0.0,100.0,23.158645276292333,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,79,15225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"butler, michael",,USP,15696.0,1941.0,77.9894539887736,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15225.0,0.0,100.0,22.010546011226396,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,80,13683.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"colona, mike",,USP,13050.0,2976.0,62.86035192811681,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,13683.0,0.0,100.0,37.13964807188319,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,81,11555.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hummel, jacob w",,USP,10423.0,3286.0,52.060690057626374,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,11555.0,0.0,100.0,47.939309942373626,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,82,12631.0,4560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"kratky, michele","harlow, edward",USP,11302.0,6746.0,25.243794326241133,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,12631.0,4560.0,46.94898493397708,21.705190607735947,1.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,83,15171.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"mitten, gina",,USP,12809.0,6351.0,33.70563674321503,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15171.0,0.0,100.0,66.29436325678498,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,84,15214.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"may, karla",,USP,15246.0,1962.0,77.19665271966527,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15214.0,0.0,100.0,22.803347280334734,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,85,15570.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"smith, clem",,USP,14649.822396576319,2597.2631954350927,69.88171501116564,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15570.0,0.0,100.0,30.11828498883436,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,86,17721.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"ellinger, rory",,USP,17613.0,2178.0,77.9899954524784,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,17721.0,0.0,100.0,22.010004547521604,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,87,15823.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"newman, stacey",,USP,12635.0,9095.0,16.290842153704556,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15823.0,0.0,100.0,83.70915784629544,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,88,15334.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"schupp, jill",,USP,11031.0,9830.0,5.757154498825559,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,15334.0,0.0,100.0,94.24284550117444,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
