state,year,chamber,district,heda_dem_votes,heda_rep_votes,heda_total_votes,dem_two_party_share,heda_dem_margin,precinct_fragment_rows,office,baseline_dem_votes,baseline_rep_votes,context_fragment_rows,split_context_rows,expected_context_groups,allocated_context_groups,incomplete_context_groups,baseline_dem_margin,baseline_allocation_quality,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,model_eligible_permissive,model_eligible,heda_dem_vote_delta,heda_rep_vote_delta,result_source,baseline_source
AL,2010,house,11,0.0,12977.0,12977.0,0.0,-1.0,36,USS,2857.059510703856,12221.502157659683,36.0,14.0,36.0,36.0,0.0,-62.10434955877421,includes_turnout_share_allocation,0.0,12977.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"oden, jeremy h",0.0,12977.0,-100.0,-37.89565044122579,-1.0,False,False,False,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,12,7667.0,9062.0,16729.0,0.4583059358001076,-0.0833881283997848,35,USS,3378.060430216755,13478.551082410699,35.0,6.0,35.0,35.0,0.0,-59.92005359219181,includes_turnout_share_allocation,7667.0,9062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"fields, james c, jr","buttram, mac",7667.0,9062.0,-8.33881283997848,51.58124075221333,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,13,5186.0,7990.0,13176.0,0.3935944140862173,-0.2128111718275652,22,USS,3530.5697464244977,9674.15104852154,22.0,3.0,22.0,22.0,0.0,-46.525643347555146,includes_turnout_share_allocation,5186.0,7990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"sherer, tommy","roberts, bill 2",5186.0,7990.0,-21.281117182756528,25.244526164798618,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,14,4119.0,9326.0,13445.0,0.306359241353663,-0.3872815172926738,42,USS,3641.9280292143826,9786.570325846464,42.0,7.0,42.0,42.0,0.0,-45.75822354936899,includes_turnout_share_allocation,4121.0,9327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"guin, ken","baughn, richard",4121.0,9327.0,-38.7120761451517,7.046147404217294,1.0,True,True,True,-2.0,-1.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,15,,14114.0,14114.0,,,12,USS,3277.5105380414425,14110.218449951697,12.0,2.0,12.0,12.0,0.0,-62.300878506851774,includes_turnout_share_allocation,0.0,14117.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"farley, allen",0.0,14117.0,-100.0,-37.699121493148226,0.0,False,False,False,,-3.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,16,6372.0,7422.0,13794.0,0.4619399739016964,-0.0761200521966072,62,USS,3340.5724370112944,10438.935273675064,62.0,2.0,62.0,62.0,0.0,-51.51390735939578,includes_turnout_share_allocation,6379.0,7451.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"thigpen, william e, sr","boman, daniel h",6379.0,7451.0,-7.751265365148228,43.76264199424755,1.0,True,True,True,-7.0,-29.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,17,8107.0,,8107.0,,,34,USS,2824.377105921601,9530.9953294412,34.0,3.0,34.0,34.0,0.0,-54.28098795568736,includes_turnout_share_allocation,8107.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"millican, mike",,8107.0,0.0,100.0,154.28098795568735,1.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,18,8343.0,,8343.0,,,39,USS,4168.107438016529,7645.7661157024795,39.0,3.0,39.0,39.0,0.0,-29.437073808794775,includes_turnout_share_allocation,8344.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mackmorrow, johnny m",,8344.0,0.0,100.0,129.43707380879476,1.0,False,False,False,-1.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,19,10489.0,,10489.0,,,12,USS,9482.735563140113,2281.96994815934,12.0,7.0,12.0,12.0,0.0,61.20650965776213,includes_turnout_share_allocation,10669.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hall, laura 2",,10669.0,0.0,100.0,38.79349034223787,1.0,False,False,False,-180.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,20,,17733.0,17733.0,,,18,USS,3891.0873110336415,17800.89931663125,18.0,10.0,18.0,18.0,0.0,-64.12419592706978,includes_turnout_share_allocation,0.0,17733.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"sanderford, howard",0.0,17733.0,-100.0,-35.87580407293022,-1.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,21,6201.0,6654.0,12855.0,0.4823803967327888,-0.0352392065344224,20,USS,4836.755427767603,8781.620273671657,20.0,14.0,20.0,20.0,0.0,-28.967219970933396,includes_turnout_share_allocation,6201.0,6654.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"hinshaw, randy","patterson, jim 2",6201.0,6654.0,-3.5239206534422403,25.443299317491157,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,22,5120.0,9371.0,14491.0,0.3533227520529984,-0.2933544958940032,38,USS,3179.2824003621577,11548.022393904417,38.0,15.0,38.0,38.0,0.0,-56.82465400458243,includes_turnout_share_allocation,5177.0,9523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"taylor, butch","johnson, wayne",5177.0,9523.0,-29.564625850340136,27.260028154242292,0.0,True,True,True,-57.0,-152.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,23,7782.0,,4826.0,,,21,USS,3771.5921783897466,8119.720145018089,21.0,6.0,21.0,21.0,0.0,-36.56558543222459,includes_turnout_share_allocation,7782.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"robinson, john l (johnny)",,7782.0,0.0,100.0,136.5655854322246,1.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,24,6971.0,7967.0,14938.0,0.4666622037756058,-0.0666755924487883,38,USS,4036.21987178375,10600.414138275977,38.0,6.0,38.0,38.0,0.0,-44.84770379569969,includes_turnout_share_allocation,6971.0,7967.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"ledbetter, nathaniel","greeson, todd",6971.0,7967.0,-6.667559244878833,38.180144550820856,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,25,,17816.0,17816.0,,,21,USS,5466.304905348581,17386.375639949714,21.0,15.0,21.0,21.0,0.0,-52.16049255566899,includes_turnout_share_allocation,0.0,17822.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mccutcheon, mac",0.0,17822.0,-100.0,-47.83950744433101,-1.0,False,False,False,,-6.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,26,4873.0,7203.0,12076.0,0.4035276581649553,-0.1929446836700894,25,USS,2328.735459695431,9733.900585403733,25.0,13.0,25.0,25.0,0.0,-61.389277584287974,includes_turnout_share_allocation,4873.0,7203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"white, randall","rich, kerry",4873.0,7203.0,-19.294468367008943,42.094809217279035,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,27,7224.0,8238.0,15462.0,0.4672099340318199,-0.0655801319363601,31,USS,2844.7863846708597,12531.142652900202,31.0,8.0,31.0,31.0,0.0,-62.996884575629494,includes_turnout_share_allocation,7225.0,8238.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"mclaughlin, jeffrey (jeff)","long, wes",7225.0,8238.0,-6.551122033240639,56.445762542388856,1.0,True,True,True,-1.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,28,8208.0,,8208.0,,,22,USS,4183.538502822323,7904.064900666004,22.0,4.0,22.0,22.0,0.0,-30.779686209509368,includes_turnout_share_allocation,8208.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"ford, craig",,8208.0,0.0,100.0,130.77968620950938,1.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,29,5406.0,5845.0,11251.0,0.4804906230557283,-0.0390187538885432,26,USS,3947.374914945692,7368.790352647443,26.0,10.0,26.0,26.0,0.0,-30.234760246033954,includes_turnout_share_allocation,5406.0,5845.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"page, john g (jack), iii","nordgren, becky",5406.0,5845.0,-3.9018753888543243,26.33288485717963,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,30,4153.0,10979.0,15132.0,0.2744514935236585,-0.451097012952683,29,USS,2841.753435600826,12001.563476277424,29.0,9.0,29.0,29.0,0.0,-61.70999443760802,includes_turnout_share_allocation,4153.0,10979.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"burns, wally","galliher, blaine",4153.0,10979.0,-45.10970129526831,16.60029314233971,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,31,,13104.0,13104.0,,,32,USS,4446.513924921029,12840.813497378993,32.0,8.0,32.0,32.0,0.0,-48.557532158670305,includes_turnout_share_allocation,0.0,13104.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mask, barry",0.0,13104.0,-100.0,-51.442467841329695,-1.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,32,7238.0,2903.0,10141.0,0.7137363179173651,0.4274726358347303,27,USS,6522.861373824118,3991.943521987735,27.0,14.0,27.0,26.0,1.0,24.07004102229678,partial_unresolved,7240.0,2905.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"bigsbyboyd, barbara b","struzik, ron",7240.0,2905.0,42.73040906850665,18.66036804620987,1.0,True,True,False,-2.0,-2.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,33,,9567.0,9567.0,,,21,USS,3942.4614746093976,8329.367098759003,21.0,11.0,21.0,20.0,1.0,-35.74777465250622,partial_unresolved,0.0,9567.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"johnson, ronald (ron)",0.0,9567.0,-100.0,-64.25222534749378,-1.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,34,0.0,13504.0,13504.0,0.0,-1.0,22,USS,1967.9060959839944,13041.21529302689,22.0,4.0,22.0,22.0,0.0,-73.7771979454464,includes_turnout_share_allocation,0.0,13515.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"thomas, elwyn",0.0,13515.0,-100.0,-26.222802054553597,-1.0,False,False,False,0.0,-11.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,35,6719.0,6292.0,13011.0,0.516409192221966,0.032818384443932,20,USS,3254.1060527884756,9781.934662453692,20.0,7.0,20.0,19.0,1.0,-50.07523950145894,partial_unresolved,6722.0,6295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"hurst, steve","dean, steven m",6722.0,6295.0,3.280325727894292,53.35556522935323,1.0,True,True,False,-3.0,-3.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,36,3300.0,10582.0,13882.0,0.2377179080824088,-0.5245641838351822,19,USS,3359.5176742852436,10825.851969697304,19.0,9.0,19.0,19.0,0.0,-52.634048197533495,includes_turnout_share_allocation,3301.0,10612.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bearden, garry","wood, randy 1",3301.0,10612.0,-52.54797671242723,0.08607148510626672,-1.0,True,True,True,-1.0,-30.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,37,8106.0,7011.0,15117.0,0.5362175034729113,0.0724350069458225,59,USS,4735.784341757138,10096.104078680097,59.0,6.0,59.0,59.0,0.0,-36.14050743219481,includes_turnout_share_allocation,8106.0,7011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"laird, richard","fincher, bob",8106.0,7011.0,7.243500694582258,43.38400812677707,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,38,5748.0,5980.0,11728.0,0.4901091405184175,-0.019781718963165,23,USS,4612.066690087885,7174.00187528613,23.0,12.0,23.0,23.0,0.0,-21.736978458829668,includes_turnout_share_allocation,5748.0,5980.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"long, huey p","bridges, duwayne",5748.0,5980.0,-1.9781718963165076,19.75880656251316,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,39,7808.0,5872.0,13680.0,0.5707602339181287,0.1415204678362573,52,USS,3547.1995640917917,10082.526285577133,52.0,6.0,52.0,52.0,0.0,-47.9490695085704,includes_turnout_share_allocation,7808.0,5872.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"lindsey, richard j","sprayberry, tim",7808.0,5872.0,14.152046783625732,62.10111629219614,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,40,5148.0,8582.0,13730.0,0.3749453750910415,-0.250109249817917,24,USS,3227.0255941499086,10495.51919561243,24.0,1.0,24.0,24.0,0.0,-52.96753417693457,includes_turnout_share_allocation,5148.0,8587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"whaley, ricky","brown, koven l (koven) 2",5148.0,8587.0,-25.038223516563523,27.929310660371048,0.0,True,True,True,0.0,-5.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,41,,19229.0,19229.0,,,24,USS,3861.643070224272,18536.296077706927,24.0,11.0,24.0,24.0,0.0,-65.51787157988636,includes_turnout_share_allocation,0.0,19319.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"hill, mike",0.0,19319.0,-100.0,-34.48212842011364,-1.0,False,False,False,,-90.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,42,5451.0,9377.0,14828.0,0.3676153223630968,-0.2647693552738063,24,USS,3232.875486381323,11526.96999567661,24.0,2.0,24.0,24.0,0.0,-56.19364050509599,includes_turnout_share_allocation,5452.0,9382.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"martin, james m (jimmy) 4","wallace, kurt",5452.0,9382.0,-26.493191317244168,29.700449187851824,1.0,True,True,True,-1.0,-5.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,43,4039.0,16367.0,20406.0,0.1979319807899637,-0.6041360384200726,16,USS,3060.919731032242,18036.16685119755,16.0,8.0,16.0,16.0,0.0,-70.98253619899846,includes_turnout_share_allocation,4041.0,16368.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"sweet, virginia","mcclurkin, mary s",4041.0,16368.0,-60.3998236072321,10.58271259176636,-1.0,True,True,True,-2.0,-1.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,44,,11473.0,11473.0,,,6,USS,3968.0,11314.0,6.0,0.0,6.0,6.0,0.0,-48.06962439471273,whole_precincts,0.0,11654.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"payne, arthur (pod)",0.0,11654.0,-100.0,-51.93037560528727,-1.0,False,False,False,,-181.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,45,5103.0,8165.0,13268.0,0.3846095869761833,-0.2307808260476334,16,USS,5265.032110238908,8632.703261294631,16.0,7.0,16.0,16.0,0.0,-24.231797922657663,includes_turnout_share_allocation,5103.0,8165.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"cannon, charlene","drake, owen",5103.0,8165.0,-23.078082604763342,1.1537153178943207,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,46,57.0,154.0,211.0,0.2701421800947867,-0.4597156398104265,2,USS,67.17372488712762,292.0586936377438,2.0,2.0,2.0,2.0,0.0,-62.60152401447207,includes_turnout_share_allocation,0.0,15446.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"demarco, paul",0.0,15446.0,-100.0,-37.39847598552793,-1.0,False,False,False,57.0,-15292.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,47,8678.0,5510.0,14188.0,0.6116436425148012,0.2232872850296025,11,USS,3195.444385540459,12266.788181040378,11.0,3.0,11.0,11.0,0.0,-58.667749022907536,includes_turnout_share_allocation,0.0,8735.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,"williams, jack 1",0.0,8735.0,-100.0,-41.332250977092464,-1.0,False,False,False,8678.0,-3225.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,48,,16851.0,16851.0,,,19,USS,2968.8333477882943,16973.790948642374,19.0,7.0,19.0,19.0,0.0,-70.22625203524836,includes_turnout_share_allocation,0.0,16859.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"canfield, j gregory (greg)",0.0,16859.0,-100.0,-29.773747964751635,-1.0,False,False,False,,-8.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,49,0.0,13135.0,13135.0,0.0,-1.0,21,USS,3091.1965752519495,11961.200204058789,21.0,14.0,21.0,21.0,0.0,-58.92751671945365,includes_turnout_share_allocation,0.0,12411.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"weaver, april",0.0,12411.0,-100.0,-41.07248328054635,0.0,False,False,False,0.0,724.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,50,,14248.0,14248.0,,,27,USS,2658.5568914169376,13832.227517595811,27.0,15.0,27.0,27.0,0.0,-67.75705963430157,includes_turnout_share_allocation,0.0,14248.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mcclendon, jim",0.0,14248.0,-100.0,-32.24294036569843,-1.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,51,7.0,14054.0,14061.0,0.0004978308797382,-0.9990043382405236,11,USS,2721.8751356042526,13905.052144355248,11.0,2.0,11.0,11.0,0.0,-67.25943296949474,includes_turnout_share_allocation,0.0,14061.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"treadaway, allen",0.0,14061.0,-100.0,-32.74056703050526,-1.0,False,False,False,7.0,-7.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,52,9594.0,,9594.0,,,18,USS,8812.97187823659,3902.5246093574096,18.0,2.0,18.0,18.0,0.0,38.61781782307995,includes_turnout_share_allocation,9599.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"rogers, john w, jr",,9599.0,0.0,100.0,61.38218217692005,1.0,False,False,False,-5.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,53,7630.0,,7630.0,,,9,USS,7180.0,1866.0,9.0,0.0,9.0,9.0,0.0,58.74419632986955,whole_precincts,7729.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"newton, demetrius c",,7729.0,0.0,100.0,41.25580367013045,1.0,False,False,False,-99.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,54,7599.0,,7599.0,,,16,USS,6487.893943013094,2864.9399760150404,16.0,3.0,16.0,16.0,0.0,38.7364300314072,includes_turnout_share_allocation,7599.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"todd, patricia a",,7599.0,0.0,100.0,61.2635699685928,1.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,55,8666.0,,8666.0,,,16,USS,8030.055536968886,2511.6721980595516,16.0,2.0,16.0,16.0,0.0,52.347997193786824,includes_turnout_share_allocation,8670.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hamptonscott, roderick (rod)",,8670.0,0.0,100.0,47.652002806213176,1.0,False,False,False,-4.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,56,9876.0,,9876.0,,,15,USS,8797.530612244898,3881.6897959183675,15.0,1.0,15.0,15.0,0.0,38.770844405871856,includes_turnout_share_allocation,9881.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"mcadory, lawrence",,9881.0,0.0,100.0,61.229155594128144,0.0,False,False,False,-5.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,57,10674.0,,10674.0,,,16,USS,9828.997457343594,3036.316694546671,16.0,2.0,16.0,16.0,0.0,52.798405717896074,includes_turnout_share_allocation,10676.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"coleman, merika 1",,10676.0,0.0,100.0,47.201594282103926,1.0,False,False,False,-2.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,58,9703.0,,9703.0,,,11,USS,9094.724590163934,2292.881967213115,11.0,1.0,11.0,11.0,0.0,59.73022152354299,includes_turnout_share_allocation,9704.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"robinson, oliver",,9704.0,0.0,100.0,40.26977847645701,1.0,False,False,False,-1.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,59,7518.0,,7518.0,,,14,USS,6947.8393442622955,2044.9311475409836,14.0,1.0,14.0,14.0,0.0,54.520552939610866,includes_turnout_share_allocation,7521.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"moore, mary 1",,7521.0,0.0,100.0,45.479447060389134,1.0,False,False,False,-3.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,60,10383.0,,10383.0,,,16,USS,9633.12518628912,2940.4475906607054,16.0,2.0,16.0,16.0,0.0,53.228129461322176,includes_turnout_share_allocation,10383.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"givan, juandalynn (lele)",,10383.0,0.0,100.0,46.771870538677824,0.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,61,9213.0,5051.0,14264.0,0.6458917554683118,0.2917835109366237,37,USS,4823.773886518117,9544.55002044258,37.0,3.0,37.0,37.0,0.0,-32.85544065190162,includes_turnout_share_allocation,9213.0,5051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"harper, alan","chandler, frank",9213.0,5051.0,29.178351093662368,62.03379174556399,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
